Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,27.870001,28.000000,27.139999,27.309999,26.653769,862000
2016-01-12,27.670000,27.740000,27.290001,27.660000,26.995361,1187000
2016-01-13,27.809999,27.940001,26.910000,27.049999,26.400019,2340600
2016-01-14,27.170000,27.360001,26.490000,26.860001,26.214584,942800
2016-01-15,25.990000,26.450001,25.700001,26.129999,25.502127,1563600
2016-01-19,26.480000,26.480000,25.410000,25.730000,25.111738,1219900
2016-01-20,25.360001,25.510000,24.250000,25.129999,24.526154,1614500
2016-01-21,25.170000,25.580000,24.709999,24.840000,24.243122,1629700
2016-01-22,25.540001,26.139999,25.410000,25.980000,25.355732,1405900
2016-01-25,25.790001,26.020000,25.219999,25.260000,24.653030,590600
2016-01-26,25.570000,26.320000,25.309999,26.270000,25.638763,603700
2016-01-27,26.059999,26.520000,25.920000,26.040001,25.414288,521600
2016-01-28,26.719999,26.719999,26.070000,26.340000,25.707081,494700
2016-01-29,26.389999,27.440001,26.020000,27.440001,26.780643,1125700
2016-02-01,27.010000,27.370001,26.860001,26.940001,26.292662,954200
2016-02-02,26.240000,26.750000,25.750000,25.820000,25.199574,1272900
2016-02-03,26.170000,26.340000,25.150000,25.830000,25.209333,884600
2016-02-04,25.940001,26.850000,25.740000,26.430000,25.794918,1548200
2016-02-05,26.420000,26.639999,25.709999,25.830000,25.209333,672500
2016-02-08,25.430000,25.490000,23.879999,24.360001,23.774662,1299200
2016-02-09,23.750000,24.840000,22.980000,23.780001,23.208595,1918300
2016-02-10,24.260000,24.600000,24.030001,24.100000,23.520901,1089200
2016-02-11,23.450001,23.780001,22.799999,23.150000,22.593731,1321600
2016-02-12,23.490000,24.690001,23.270000,24.469999,23.882013,1285600
2016-02-16,24.709999,25.200001,24.350000,25.139999,24.535917,931600
2016-02-17,25.260000,26.440001,25.129999,26.070000,25.443567,1299900
2016-02-18,26.260000,26.440001,25.900000,26.110001,25.482603,724900
2016-02-19,25.910000,26.129999,25.510000,26.059999,25.433805,490400
2016-02-22,26.450001,26.940001,26.450001,26.770000,26.126747,529800
2016-02-23,26.400000,27.059999,26.250000,26.260000,25.629004,600600
2016-02-24,25.639999,26.690001,25.459999,26.670000,26.029148,527600
2016-02-25,26.680000,27.410000,26.530001,27.340000,26.683052,1075400
2016-02-26,27.510000,27.980000,27.510000,27.910000,27.239351,914900
2016-02-29,27.350000,28.010000,27.160000,27.459999,26.800167,854600
2016-03-01,27.780001,28.830000,27.639999,28.680000,27.990852,795600
2016-03-02,28.580000,28.990000,28.360001,28.950001,28.254364,686900
2016-03-03,29.059999,29.450001,28.870001,29.299999,28.595953,706700
2016-03-04,29.410000,29.730000,29.100000,29.350000,28.644756,896100
2016-03-07,29.340000,29.760000,29.129999,29.650000,28.937546,1293300
2016-03-08,29.400000,29.530001,28.260000,28.299999,27.619984,971600
2016-03-09,28.559999,29.120001,28.280001,28.930000,28.234844,706400
2016-03-10,29.000000,29.360001,28.820000,29.219999,28.517876,598800
2016-03-11,29.530001,30.410000,29.530001,30.400000,29.669521,935900
2016-03-14,30.030001,30.360001,29.820000,30.120001,29.396250,546300
2016-03-15,29.709999,30.030001,29.559999,29.900000,29.181538,447900
2016-03-16,29.879999,30.740000,29.879999,30.590000,29.854958,761500
2016-03-17,30.600000,31.580000,30.549999,31.469999,30.713810,898700
2016-03-18,31.900000,31.900000,31.280001,31.520000,30.762611,1424800
2016-03-21,30.930000,31.200001,30.760000,31.000000,30.255108,691800
2016-03-22,30.639999,31.360001,30.639999,31.320000,30.567415,984100
2016-03-23,31.320000,31.320000,30.559999,30.559999,29.825678,639500
2016-03-24,30.309999,30.650000,30.200001,30.590000,29.854958,438700
2016-03-28,30.639999,30.770000,30.330000,30.540001,29.806158,560200
2016-03-29,30.389999,31.260000,30.240000,31.240000,30.489338,889300
2016-03-30,31.500000,31.500000,30.820000,30.969999,30.225824,477400
2016-03-31,31.010000,31.010000,30.680000,30.790001,30.050150,685600
2016-04-01,30.350000,30.950001,30.280001,30.809999,30.069670,626700
2016-04-04,30.840000,30.870001,30.410000,30.469999,29.737839,444100
2016-04-05,30.180000,30.320000,29.680000,29.700001,28.986343,607000
2016-04-06,29.730000,29.860001,29.459999,29.820000,29.103460,507200
2016-04-07,29.690001,29.820000,29.059999,29.250000,28.547155,763300
2016-04-08,29.719999,30.180000,29.469999,29.559999,28.849709,467700
2016-04-11,29.809999,30.420000,29.730000,29.770000,29.054659,476200
2016-04-12,29.809999,30.530001,29.780001,30.270000,29.542648,452000
2016-04-13,30.459999,30.690001,30.270000,30.570000,29.835438,684600
2016-04-14,30.830000,30.860001,30.330000,30.370001,29.640244,784800
2016-04-15,30.209999,30.610001,30.020000,30.379999,29.650002,745800
2016-04-18,30.080000,30.700001,29.940001,30.540001,29.806158,312800
2016-04-19,30.750000,30.850000,30.309999,30.570000,29.835438,926500
2016-04-20,30.549999,30.670000,30.129999,30.559999,29.825678,450800
2016-04-21,30.690001,31.059999,30.590000,30.600000,29.864716,723100
2016-04-22,30.730000,31.120001,30.570000,31.100000,30.352703,1074600
2016-04-25,30.870001,31.410000,30.870001,31.400000,30.645494,1585500
2016-04-26,31.490000,32.349998,31.420000,32.099998,31.328674,1548800
2016-04-27,32.060001,33.060001,32.060001,33.000000,32.207043,1254700
2016-04-28,32.750000,33.139999,32.240002,32.270000,31.494589,757900
2016-04-29,32.270000,32.680000,31.969999,32.490002,31.709303,1135800
2016-05-02,32.490002,32.820000,32.139999,32.810001,32.021610,715900
2016-05-03,32.270000,32.410000,31.730000,32.360001,31.582422,1560400
2016-05-04,32.209999,32.570000,31.780001,32.060001,31.289639,562500
2016-05-05,32.290001,32.639999,31.940001,32.049999,31.279873,1239700
2016-05-06,31.750000,32.220001,31.680000,32.160000,31.387230,1953100
2016-05-09,32.040001,32.380001,31.299999,31.340000,30.586937,1698600
2016-05-10,32.730000,32.779999,31.770000,31.950001,31.182281,1788600
2016-05-11,32.020000,32.790001,32.020000,32.470001,31.689785,1204900
2016-05-12,32.650002,33.209999,32.459999,32.529999,31.748343,1387000
2016-05-13,32.459999,32.990002,31.750000,31.950001,31.182281,1042400
2016-05-16,32.099998,32.820000,31.950001,32.639999,31.855696,973300
2016-05-17,32.540001,32.990002,32.389999,32.400002,31.621464,1070500
2016-05-18,32.180000,32.430000,31.610001,31.790001,31.026123,685700
2016-05-19,31.459999,31.780001,31.049999,31.469999,30.713810,636800
2016-05-20,31.690001,31.950001,31.500000,31.620001,30.860209,562900
2016-05-23,31.500000,31.660000,31.320000,31.420000,30.665014,549100
2016-05-24,31.629999,32.110001,31.350000,32.099998,31.328674,985500
2016-05-25,32.410000,32.560001,32.139999,32.369999,31.592184,880400
2016-05-26,32.500000,32.630001,32.009998,32.009998,31.240835,687500
2016-05-27,31.889999,32.209999,31.830000,32.139999,31.367708,610400
2016-05-31,32.139999,32.520000,31.969999,32.110001,31.338436,865500
2016-06-01,31.930000,32.169998,31.730000,32.090000,31.318916,641200
2016-06-02,31.820000,32.080002,31.670000,32.049999,31.279873,619300
2016-06-03,32.119999,32.119999,31.530001,31.990000,31.221317,652400
2016-06-06,32.220001,32.709999,31.950001,32.560001,31.777618,1075800
2016-06-07,32.570000,32.820000,32.500000,32.750000,31.963057,622500
2016-06-08,32.900002,33.290001,32.720001,33.119999,32.324165,1409800
2016-06-09,32.799999,33.230000,32.639999,33.220001,32.421757,837800
2016-06-10,32.669998,32.820000,32.380001,32.740002,31.953299,1213500
2016-06-13,32.410000,32.849998,31.950001,31.959999,31.192036,1474800
2016-06-14,31.910000,32.209999,31.469999,31.500000,30.743092,1032500
2016-06-15,31.610001,31.950001,31.459999,31.719999,30.957806,923500
2016-06-16,31.500000,31.820000,31.020000,31.790001,31.026123,969700
2016-06-17,31.980000,32.330002,31.790001,32.180000,31.406750,1176200
2016-06-20,32.720001,33.119999,32.619999,32.840000,32.050896,1211700
2016-06-21,32.790001,33.070000,32.430000,32.830002,32.041134,769000
2016-06-22,32.970001,33.080002,32.509998,32.509998,31.728823,556100
2016-06-23,33.110001,34.049999,33.090000,33.939999,33.124458,1548200
2016-06-24,32.189999,32.419998,30.580000,30.870001,30.128229,2122500
2016-06-27,30.170000,30.280001,29.320000,29.450001,28.742350,1792600
2016-06-28,29.900000,30.219999,29.610001,30.180000,29.454807,1255200
2016-06-29,30.700001,30.750000,30.219999,30.709999,29.972076,1214700
2016-06-30,30.860001,31.770000,30.600000,31.770000,31.006605,1265200
2016-07-01,31.780001,32.270000,31.440001,31.610001,30.850451,789600
2016-07-05,31.160000,31.320000,30.639999,31.030001,30.284384,800900
2016-07-06,30.770000,31.450001,30.620001,31.430000,30.674776,792800
2016-07-07,31.570000,31.969999,31.459999,31.760000,30.996843,930700
2016-07-08,32.110001,32.959999,32.070000,32.849998,32.060650,1023200
2016-07-11,33.000000,33.450001,32.900002,32.980000,32.187527,645200
2016-07-12,33.380001,34.009998,33.189999,33.980000,33.163498,1340800
2016-07-13,34.209999,34.290001,33.840000,33.980000,33.163498,758300
2016-07-14,34.250000,34.669998,34.209999,34.279999,33.456291,590100
2016-07-15,34.490002,34.669998,34.209999,34.349998,33.524605,758000
2016-07-18,34.220001,34.779999,34.099998,34.580002,33.749081,686700
2016-07-19,34.500000,34.720001,34.130001,34.279999,33.456291,1311500
2016-07-20,34.200001,34.889999,33.900002,34.820000,33.983318,1031200
2016-07-21,34.860001,35.209999,34.840000,35.160000,34.315147,1085300
2016-07-22,35.009998,35.009998,34.599998,34.770000,33.934521,741600
2016-07-25,34.590000,35.029999,34.450001,35.000000,34.158985,562500
2016-07-26,35.000000,35.900002,34.950001,35.860001,34.998325,985200
2016-07-27,35.900002,36.200001,35.849998,36.169998,35.300877,1068500
2016-07-28,35.939999,36.119999,35.669998,35.939999,35.076397,434100
2016-07-29,35.900002,35.919998,35.320000,35.490002,34.637215,1393600
2016-08-01,35.299999,35.810001,34.930000,35.340000,34.490818,1145300
2016-08-02,35.349998,35.369999,34.549999,34.779999,33.944275,869500
2016-08-03,34.790001,35.110001,34.730000,35.110001,34.266350,376900
2016-08-04,34.980000,35.220001,34.869999,34.880001,34.041874,607500
2016-08-05,35.119999,35.910000,34.939999,35.799999,34.939766,1250200
2016-08-08,35.900002,36.020000,35.410000,35.430000,34.578663,1184800
2016-08-09,35.430000,35.799999,34.660000,34.709999,33.875957,1876600
2016-08-10,35.029999,35.099998,34.450001,34.759998,33.924751,2700500
2016-08-11,34.779999,35.509998,34.779999,35.110001,34.266350,3527900
