Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,37.209999,37.209999,36.549999,36.869999,29.331930,2910200
2016-01-12,37.209999,37.250000,36.730000,37.060001,29.483086,2193700
2016-01-13,37.410000,37.410000,36.410000,36.500000,29.037577,1368100
2016-01-14,36.580002,37.119999,36.340000,36.959999,29.403532,2739400
2016-01-15,35.799999,35.950001,35.389999,35.650002,28.361362,1944700
2016-01-19,36.259998,36.279999,35.709999,35.970001,28.615940,2969600
2016-01-20,35.180000,35.419998,34.470001,35.189999,27.995409,2929900
2016-01-21,35.209999,35.709999,34.860001,35.459999,28.210203,5989000
2016-01-22,36.320000,36.570000,36.279999,36.540001,29.069408,1820900
2016-01-25,36.189999,36.369999,35.970001,35.990002,28.631853,1866900
2016-01-26,36.209999,36.660000,36.160000,36.639999,29.148960,912500
2016-01-27,36.549999,36.970001,36.279999,36.439999,28.989849,1037500
2016-01-28,36.820000,36.910000,36.340000,36.630001,29.141001,2202800
2016-01-29,36.880001,37.430000,36.880001,37.410000,29.761528,1628400
2016-02-01,37.009998,37.410000,36.910000,37.279999,29.658110,1540600
2016-02-02,36.720001,36.720001,36.270000,36.369999,28.934158,2965700
2016-02-03,36.619999,36.830002,35.959999,36.810001,29.284204,2039300
2016-02-04,36.810001,37.160000,36.709999,36.939999,29.387621,1230800
2016-02-05,36.810001,36.849998,36.330002,36.470001,29.013714,1885900
2016-02-08,35.900002,35.900002,35.459999,35.790001,28.472736,2084200
2016-02-09,35.180000,35.560001,35.060001,35.330002,28.106791,4285100
2016-02-10,35.580002,35.830002,35.320000,35.360001,28.130653,2032900
2016-02-11,34.820000,35.009998,34.540001,34.869999,27.740831,1648800
2016-02-12,34.950001,35.439999,34.869999,35.419998,28.178387,1403700
2016-02-16,36.020000,36.180000,35.799999,36.160000,28.767096,1961700
2016-02-17,36.470001,36.889999,36.459999,36.830002,29.300117,967200
2016-02-18,37.029999,37.029999,36.669998,36.709999,29.204653,831500
2016-02-19,36.459999,36.639999,36.299999,36.590000,29.109186,492200
2016-02-22,36.930000,37.110001,36.930000,37.080002,29.499004,751000
2016-02-23,36.790001,36.869999,36.439999,36.439999,28.989849,452300
2016-02-24,35.889999,36.450001,35.709999,36.400002,28.958029,788800
2016-02-25,36.480000,36.779999,36.349998,36.779999,29.260334,1028600
2016-02-26,36.980000,37.000000,36.580002,36.639999,29.148960,1415700
2016-02-29,36.650002,36.849998,36.490002,36.490002,29.029621,1084500
2016-03-01,37.169998,37.570000,37.029999,37.549999,29.872910,569700
2016-03-02,37.490002,37.849998,37.439999,37.849998,30.111570,1435500
2016-03-03,37.889999,38.259998,37.889999,38.240002,30.421843,859700
2016-03-04,38.459999,38.820000,38.459999,38.630001,30.732107,817500
2016-03-07,38.270000,38.770000,38.230000,38.630001,30.732107,1086300
2016-03-08,38.369999,38.400002,38.130001,38.189999,30.382059,848800
2016-03-09,38.360001,38.509998,38.290001,38.389999,30.541166,626600
2016-03-10,38.680000,38.869999,38.009998,38.340000,30.501396,1205300
2016-03-11,38.990002,39.310001,38.980000,39.299999,31.265116,1025400
2016-03-14,39.180000,39.279999,39.080002,39.189999,31.177608,577100
2016-03-15,38.730000,38.740002,38.580002,38.720001,30.803703,658200
2016-03-16,38.450001,39.240002,38.450001,39.209999,31.193521,481900
2016-03-17,39.290001,39.730000,39.180000,39.669998,31.559481,561500
2016-03-18,39.599998,39.750000,39.549999,39.590000,31.495832,1617100
2016-03-21,39.529999,39.639999,39.439999,39.570000,31.479923,651900
2016-03-22,39.240002,39.570000,39.230000,39.480000,31.408327,571000
2016-03-23,39.349998,39.349998,38.970001,38.990002,31.018497,540300
2016-03-24,38.590000,38.790001,38.470001,38.790001,30.859390,770300
2016-03-28,38.980000,39.020000,38.840000,39.000000,31.026451,675700
2016-03-29,38.799999,39.450001,38.730000,39.439999,31.376507,602200
2016-03-30,39.790001,40.029999,39.750000,39.799999,31.662897,1288000
2016-03-31,39.669998,39.779999,39.470001,39.480000,31.408327,999500
2016-04-01,38.709999,39.180000,38.639999,39.150002,31.145788,461100
