Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,5.280000,5.310000,5.230000,5.290000,3.502350,1767300
2016-01-12,5.370000,5.410000,5.320000,5.410000,3.581797,1960300
2016-01-13,5.980000,6.000000,5.750000,5.770000,3.820144,4376100
2016-01-14,5.870000,5.960000,5.820000,5.930000,3.926075,2254200
2016-01-15,5.700000,5.800000,5.680000,5.740000,3.800281,1886000
2016-01-19,5.650000,5.670000,5.550000,5.610000,3.714212,1830000
2016-01-20,5.460000,5.510000,5.320000,5.460000,3.614902,3514900
2016-01-21,5.440000,5.550000,5.390000,5.490000,3.634763,2267900
2016-01-22,5.720000,5.810000,5.640000,5.720000,3.787039,4400100
2016-01-25,5.590000,5.630000,5.550000,5.550000,3.674488,1917400
2016-01-26,5.630000,5.710000,5.620000,5.680000,3.760556,1675800
2016-01-27,5.590000,5.680000,5.540000,5.560000,3.681108,1698400
2016-01-28,5.640000,5.660000,5.530000,5.610000,3.714212,1235000
2016-01-29,5.600000,5.700000,5.550000,5.680000,3.760556,2002800
2016-02-01,5.580000,5.660000,5.550000,5.640000,3.734075,1750100
2016-02-02,5.410000,5.410000,5.310000,5.340000,3.535453,2025800
2016-02-03,5.350000,5.370000,5.210000,5.370000,3.555315,2778400
2016-02-04,5.400000,5.500000,5.380000,5.470000,3.621522,2001000
2016-02-05,5.440000,5.450000,5.360000,5.380000,3.561936,2472400
2016-02-08,5.230000,5.260000,5.190000,5.230000,3.462625,2073200
2016-02-09,4.800000,4.930000,4.790000,4.830000,3.197797,3624000
2016-02-10,4.970000,5.030000,4.900000,4.920000,3.257384,2359600
2016-02-11,4.720000,4.750000,4.610000,4.670000,3.091866,2160100
2016-02-12,4.620000,4.700000,4.580000,4.700000,3.111728,2740000
2016-02-16,4.750000,4.790000,4.670000,4.760000,3.151452,2341900
2016-02-17,4.910000,5.050000,4.910000,5.030000,3.330211,1699900
2016-02-18,5.020000,5.040000,4.970000,5.020000,3.323590,2027100
2016-02-19,4.740000,4.820000,4.740000,4.790000,3.171314,1817600
2016-02-22,4.910000,5.000000,4.910000,4.990000,3.303729,1595600
2016-02-23,5.040000,5.040000,4.920000,4.940000,3.270625,1944000
2016-02-24,4.870000,4.950000,4.800000,4.930000,3.264004,2719000
2016-02-25,4.950000,4.970000,4.890000,4.960000,3.283867,1569100
2016-02-26,5.040000,5.060000,4.980000,5.000000,3.310350,1207400
2016-02-29,5.030000,5.060000,4.990000,5.000000,3.310350,1081700
2016-03-01,5.150000,5.240000,5.110000,5.240000,3.469246,1623300
2016-03-02,5.240000,5.320000,5.220000,5.320000,3.522212,1343100
2016-03-03,5.300000,5.420000,5.290000,5.400000,3.575177,1956900
2016-03-04,5.420000,5.470000,5.390000,5.410000,3.581797,1293000
2016-03-07,5.360000,5.430000,5.340000,5.410000,3.581797,1485200
2016-03-08,5.380000,5.390000,5.310000,5.320000,3.522212,1896800
2016-03-09,5.390000,5.410000,5.350000,5.380000,3.561936,991200
2016-03-10,5.500000,5.550000,5.400000,5.500000,3.641385,2420500
2016-03-11,5.650000,5.730000,5.640000,5.730000,3.793660,1356800
2016-03-14,5.650000,5.700000,5.610000,5.680000,3.760556,1672600
2016-03-15,5.600000,5.620000,5.570000,5.600000,3.707592,1101000
2016-03-16,5.570000,5.720000,5.570000,5.710000,3.780419,1284200
2016-03-17,5.720000,5.810000,5.680000,5.790000,3.833385,1359900
2016-03-18,5.810000,5.840000,5.760000,5.800000,3.840005,1482700
2016-03-21,5.730000,5.790000,5.720000,5.750000,3.806901,986500
2016-03-22,5.650000,5.710000,5.640000,5.700000,3.773798,785900
2016-03-23,5.690000,5.710000,5.630000,5.640000,3.734075,734900
2016-03-24,5.500000,5.540000,5.480000,5.530000,3.661247,929500
2016-03-28,5.530000,5.580000,5.520000,5.550000,3.674488,457400
2016-03-29,5.520000,5.640000,5.500000,5.630000,3.727453,1048800
2016-03-30,5.570000,5.630000,5.540000,5.560000,3.681108,1342800
2016-03-31,5.550000,5.580000,5.500000,5.500000,3.641385,973000
2016-04-01,5.370000,5.410000,5.360000,5.400000,3.575177,1175400
2016-04-04,5.480000,5.490000,5.420000,5.440000,3.601660,1016600
2016-04-05,5.290000,5.290000,5.230000,5.240000,3.469246,1589300
2016-04-06,5.260000,5.300000,5.220000,5.290000,3.502350,937800
2016-04-07,5.300000,5.320000,5.200000,5.220000,3.456004,1350300
2016-04-08,5.380000,5.430000,5.360000,5.390000,3.568556,1108300
2016-04-11,5.580000,5.620000,5.530000,5.550000,3.674488,1520600
2016-04-12,5.630000,5.650000,5.550000,5.610000,3.714212,1584800
2016-04-13,5.760000,5.840000,5.750000,5.840000,3.866488,1260600
2016-04-14,5.850000,5.860000,5.820000,5.840000,3.866488,1048600
2016-04-15,5.810000,5.830000,5.780000,5.790000,3.833385,775300
2016-04-18,5.790000,5.880000,5.770000,5.850000,3.873109,731100
2016-04-19,5.860000,5.900000,5.830000,5.860000,3.879729,975000
2016-04-20,5.920000,5.970000,5.910000,5.920000,3.919454,1398300
2016-04-21,6.080000,6.090000,5.990000,6.050000,4.005522,1537900
2016-04-22,6.010000,6.090000,6.010000,6.070000,4.018764,1434500
2016-04-25,5.830000,5.850000,5.770000,5.820000,3.853246,1322700
2016-04-26,5.900000,5.910000,5.870000,5.890000,3.899591,1315500
2016-04-27,5.810000,5.880000,5.800000,5.810000,3.846626,3110900
2016-04-28,5.840000,5.880000,5.800000,5.810000,3.846626,2943500
2016-04-29,5.820000,5.830000,5.740000,5.760000,3.813523,1883600
2016-05-02,5.800000,5.900000,5.760000,5.890000,3.899591,1353200
2016-05-03,5.720000,5.730000,5.620000,5.640000,3.734075,1597000
2016-05-04,5.620000,5.670000,5.580000,5.610000,3.714212,1127900
2016-05-05,5.530000,5.570000,5.490000,5.510000,3.648005,1845200
2016-05-06,5.500000,5.610000,5.490000,5.580000,3.694350,1199700
2016-05-09,5.580000,5.600000,5.510000,5.530000,3.661247,1688100
2016-05-10,5.540000,5.600000,5.530000,5.590000,3.700970,983400
2016-05-11,5.490000,5.570000,5.460000,5.530000,3.661247,1043000
2016-05-12,4.970000,4.980000,4.870000,4.920000,3.257384,2400000
2016-05-13,4.890000,4.920000,4.870000,4.870000,3.224280,2542900
2016-05-16,4.860000,4.940000,4.860000,4.910000,3.250763,2186400
2016-05-17,4.890000,4.930000,4.840000,4.850000,3.211039,4549100
2016-05-18,4.810000,4.980000,4.800000,4.950000,3.277246,2893600
2016-05-19,4.980000,5.040000,4.940000,5.000000,3.310350,2786900
2016-05-20,5.040000,5.090000,5.040000,5.070000,3.356695,1777900
2016-05-23,4.870000,4.900000,4.840000,4.840000,3.296085,1942500
2016-05-24,4.980000,5.050000,4.970000,5.030000,3.425476,1496900
2016-05-25,5.050000,5.110000,5.040000,5.090000,3.466337,1219200
2016-05-26,5.110000,5.140000,5.100000,5.100000,3.473147,1130600
2016-05-27,5.090000,5.120000,5.070000,5.100000,3.473147,820800
2016-05-31,5.160000,5.190000,5.110000,5.140000,3.500387,1703100
2016-06-01,5.020000,5.110000,5.010000,5.100000,3.473147,1109000
2016-06-02,5.060000,5.120000,5.050000,5.110000,3.479957,1144600
2016-06-03,5.020000,5.030000,4.950000,5.020000,3.418666,1357100
2016-06-06,4.980000,5.060000,4.980000,5.020000,3.418666,1092200
2016-06-07,5.040000,5.080000,5.000000,5.020000,3.418666,1801800
2016-06-08,4.960000,4.980000,4.930000,4.970000,3.384616,983900
2016-06-09,4.860000,4.890000,4.850000,4.870000,3.316514,1227800
2016-06-10,4.650000,4.660000,4.590000,4.620000,3.146262,2187200
2016-06-13,4.420000,4.500000,4.420000,4.460000,3.037301,2217700
2016-06-14,4.390000,4.430000,4.330000,4.370000,2.976010,2397300
2016-06-15,4.400000,4.440000,4.370000,4.370000,2.976010,1720100
2016-06-16,4.280000,4.340000,4.200000,4.340000,2.955580,2148400
2016-06-17,4.420000,4.510000,4.330000,4.420000,3.010060,2316600
2016-06-20,4.660000,4.680000,4.620000,4.640000,3.159883,1916800
2016-06-21,4.730000,4.780000,4.670000,4.730000,3.221173,1091900
2016-06-22,4.800000,4.840000,4.760000,4.760000,3.241603,1795400
2016-06-23,4.960000,4.970000,4.890000,4.970000,3.384616,1794000
2016-06-24,4.270000,4.420000,4.250000,4.290000,2.921529,2774300
2016-06-27,4.050000,4.050000,3.970000,4.030000,2.744467,3717700
2016-06-28,4.030000,4.050000,3.950000,4.040000,2.751277,3976900
2016-06-29,3.920000,3.980000,3.910000,3.970000,2.703606,3077700
2016-06-30,3.930000,4.040000,3.910000,4.010000,2.730847,2690800
