Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,58.380001,59.000000,58.209999,58.770000,43.131725,2763500
2016-01-12,58.889999,58.970001,57.459999,58.169998,42.691383,4252100
2016-01-13,58.230000,58.540001,57.820000,57.950001,42.529919,3531500
2016-01-14,58.279999,59.560001,57.900002,59.139999,43.403263,4091600
2016-01-15,58.360001,59.090000,57.880001,58.689999,43.073002,3577300
2016-01-19,59.000000,59.720001,58.700001,59.570000,43.718842,3620700
2016-01-20,59.209999,59.459999,57.169998,57.919998,42.507908,4403300
2016-01-21,57.380001,58.380001,57.099998,57.639999,42.302414,3990500
2016-01-22,58.459999,58.570000,57.720001,58.529999,42.955582,3707600
2016-01-25,58.540001,58.560001,57.669998,57.750000,42.383129,3639700
2016-01-26,58.000000,58.970001,57.869999,58.200001,42.713398,3176500
2016-01-27,58.189999,58.799999,57.680000,58.189999,42.706051,3125500
2016-01-28,57.130001,59.840000,56.750000,59.450001,43.630775,4542500
2016-01-29,60.000000,61.080002,59.959999,60.970001,44.746319,4726900
2016-02-01,61.000000,62.560001,60.820000,61.790001,45.348125,5033500
2016-02-02,61.660000,62.299999,61.500000,62.000000,45.502243,4599000
2016-02-03,62.380001,63.630001,62.180000,63.310001,46.463665,4944000
2016-02-04,63.150002,63.340000,62.029999,62.290001,45.715084,4114600
2016-02-05,62.169998,63.279999,61.549999,62.840000,46.118729,4123000
2016-02-08,62.230000,63.049999,61.380001,62.490002,46.274235,4545200
2016-02-09,62.400002,62.930000,61.950001,62.369999,46.185375,3166400
2016-02-10,62.060001,63.380001,61.549999,62.900002,46.577850,4180300
2016-02-11,62.529999,63.000000,61.279999,61.310001,45.400444,3288500
2016-02-12,61.310001,61.849998,60.410000,60.599998,44.874680,3847300
2016-02-16,60.919998,61.560001,60.500000,61.090000,45.237534,3925100
2016-02-17,61.119999,61.279999,60.330002,61.099998,45.244923,3400700
2016-02-18,61.290001,62.779999,60.919998,62.450001,46.244610,2926700
2016-02-19,62.430000,62.450001,61.590000,61.910000,45.844738,2445700
2016-02-22,62.009998,62.880001,61.849998,62.849998,46.540810,2213500
2016-02-23,62.470001,62.939999,62.099998,62.759998,46.474178,1943800
2016-02-24,62.779999,63.299999,62.400002,63.009998,46.659309,1800800
2016-02-25,63.169998,63.900002,63.020000,63.889999,47.310944,1763100
2016-02-26,63.279999,63.770000,61.419998,61.470001,45.518921,3320900
2016-02-29,61.470001,62.389999,61.439999,61.750000,45.726269,3225100
2016-03-01,62.070000,62.270000,61.250000,61.730000,45.711441,2059600
2016-03-02,61.509998,61.970001,60.150002,61.889999,45.829926,2801700
2016-03-03,61.779999,61.849998,60.660000,61.770000,45.741070,3879100
2016-03-04,61.459999,62.709999,61.020000,62.430000,46.229809,3857900
2016-03-07,62.410000,63.400002,62.169998,63.240002,46.829617,2929100
