Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,37.130001,37.200001,35.849998,36.700001,36.501369,3882300
2016-01-12,37.169998,38.070000,36.980000,37.900002,37.694878,3370000
2016-01-13,38.000000,38.360001,35.830002,36.099998,35.904617,4072700
2016-01-14,35.919998,37.029999,34.799999,36.549999,36.352180,4494700
2016-01-15,34.759998,35.880001,33.900002,34.009998,33.825928,4937200
2016-01-19,34.560001,34.779999,32.470001,32.849998,32.672203,6084900
2016-01-20,32.099998,32.099998,29.650000,31.400000,31.230055,7741400
2016-01-21,31.400000,33.070000,31.070000,32.090000,31.916319,6156200
2016-01-22,33.060001,33.330002,32.259998,32.950001,32.771667,3142100
2016-01-25,32.740002,32.830002,30.629999,30.799999,30.633301,3348100
2016-01-26,31.049999,32.029999,31.000000,31.760000,31.588106,4618400
2016-01-27,31.549999,31.680000,29.830000,30.280001,30.116116,4472000
2016-01-28,30.750000,30.879999,28.700001,28.840000,28.683910,3771900
2016-01-29,29.240000,30.770000,28.900000,30.709999,30.543789,3653900
2016-02-01,30.340000,31.200001,30.020000,31.040001,30.872005,2235200
2016-02-02,30.440001,30.520000,28.520000,28.639999,28.484991,3292500
2016-02-03,29.000000,29.180000,26.840000,28.430000,28.276131,4748400
2016-02-04,28.370001,29.389999,28.150000,28.969999,28.813206,2932100
2016-02-05,28.750000,29.410000,27.629999,27.840000,27.689322,2500500
2016-02-08,27.520000,27.570000,25.070000,25.540001,25.401772,5913700
2016-02-09,25.000000,27.290001,24.610001,26.790001,26.645006,4664700
2016-02-10,27.000000,27.450001,26.629999,27.049999,26.903597,3984900
2016-02-11,26.070000,27.070000,25.940001,26.340000,26.197441,4445200
2016-02-12,26.700001,28.100000,26.549999,28.059999,27.908131,3347900
2016-02-16,28.639999,29.230000,28.100000,29.150000,28.992231,3036700
2016-02-17,29.389999,31.410000,29.280001,30.969999,30.802382,5558300
2016-02-18,31.219999,32.509998,30.660000,32.000000,31.826807,4676400
2016-02-19,31.370001,31.780001,30.719999,31.700001,31.528433,3170200
2016-02-22,32.500000,33.470001,32.500000,33.419998,33.239120,3669500
2016-02-23,32.520000,34.689999,32.259998,33.169998,32.990475,4397600
2016-02-24,32.770000,34.200001,32.230000,34.150002,33.965176,4196100
2016-02-25,34.029999,34.700001,33.689999,34.660000,34.472408,3365800
2016-02-26,35.080002,35.990002,34.830002,35.490002,35.297920,3077700
2016-02-29,35.470001,36.090000,34.980000,35.730000,35.536621,3804600
2016-03-01,36.160000,36.689999,35.900002,36.680000,36.481476,3001300
2016-03-02,36.259998,37.799999,36.070000,37.750000,37.545689,3295000
2016-03-03,37.619999,38.430000,37.160000,37.990002,37.784389,3617300
2016-03-04,38.340000,38.340000,37.169998,37.630001,37.426338,3762600
2016-03-07,37.209999,38.139999,36.959999,37.759998,37.555634,3010000
2016-03-08,37.240002,37.480000,36.180000,36.189999,35.994129,2730700
2016-03-09,36.419998,37.330002,36.360001,36.950001,36.750015,2039700
2016-03-10,37.250000,37.400002,35.759998,36.400002,36.202995,2133400
2016-03-11,37.009998,38.040001,36.869999,37.610001,37.406445,1975100
2016-03-14,37.529999,38.160000,37.270000,37.939999,37.734657,1412300
2016-03-15,37.560001,37.560001,36.669998,36.820000,36.620720,1715100
2016-03-16,36.880001,37.990002,36.810001,37.680000,37.476067,2323200
2016-03-17,37.669998,38.860001,37.419998,38.410000,38.202114,2653500
2016-03-18,38.750000,39.310001,38.020000,38.320000,38.112602,1871800
2016-03-21,38.049999,38.840000,38.049999,38.570000,38.361248,1202900
2016-03-22,38.240002,38.730000,37.720001,38.540001,38.331413,2595800
2016-03-23,38.360001,38.580002,37.570000,38.070000,37.863953,2340800
2016-03-24,37.630001,37.849998,36.669998,37.509998,37.306984,3032200
2016-03-28,37.700001,38.299999,36.889999,38.040001,37.834118,1672100
2016-03-29,37.860001,38.549999,37.509998,38.389999,38.182224,2502900
2016-03-30,38.880001,39.779999,38.660000,39.110001,38.898327,3271300
2016-03-31,38.910000,39.459999,38.549999,38.759998,38.550217,1831200
2016-04-01,38.369999,39.029999,37.320000,38.889999,38.679520,2051900
2016-04-04,38.830002,39.130001,38.119999,38.250000,38.042980,2046600
2016-04-05,37.509998,37.540001,36.080002,37.160000,36.958878,3017900
2016-04-06,37.060001,37.720001,36.939999,37.459999,37.257256,1754000
2016-04-07,37.090000,37.650002,36.419998,36.700001,36.501369,2132300
2016-04-08,37.259998,38.349998,37.259998,37.880001,37.674984,2146800
2016-04-11,37.869999,39.080002,37.869999,38.209999,38.003197,1879100
2016-04-12,38.220001,38.840000,38.000000,38.520000,38.311520,1855800
2016-04-13,39.080002,39.490002,38.770000,39.459999,39.246429,2544600
2016-04-14,39.509998,39.889999,39.119999,39.470001,39.256378,1933400
2016-04-15,39.340000,39.840000,38.889999,39.730000,39.514973,2238600
2016-04-18,39.400002,40.200001,39.360001,39.959999,39.743725,1595000
2016-04-19,40.070000,40.889999,40.070000,40.500000,40.280800,2591000
2016-04-20,40.529999,41.000000,40.480000,40.490002,40.270859,2134500
2016-04-21,40.419998,40.919998,40.090000,40.599998,40.380260,1591500
2016-04-22,40.580002,41.520000,40.400002,41.430000,41.205769,1812200
2016-04-25,41.209999,41.520000,40.320000,40.599998,40.380260,1646100
2016-04-26,40.669998,41.299999,40.580002,41.150002,40.927288,1851700
2016-04-27,41.480000,42.340000,41.340000,42.189999,41.961655,1996200
2016-04-28,41.869999,42.169998,41.040001,41.209999,40.986958,3071200
2016-04-29,41.090000,41.090000,38.950001,40.009998,39.793453,3590900
2016-05-02,40.099998,40.689999,39.779999,40.380001,40.161453,1734200
