Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,57.889999,58.000000,56.840000,57.689999,46.373222,9637600
2016-01-12,58.200001,58.389999,57.299999,57.959999,46.590256,8550000
2016-01-13,59.160000,59.349998,56.500000,56.669998,45.553310,12610000
2016-01-14,56.779999,57.820000,56.380001,57.299999,46.059723,9118500
2016-01-15,55.439999,56.320000,55.310001,56.090000,45.087086,11694000
2016-01-19,56.529999,57.090000,55.840000,56.160000,45.143360,10187800
2016-01-20,54.509998,55.720001,53.490002,55.049999,44.251083,16217200
2016-01-21,55.110001,56.119999,55.049999,55.310001,44.460094,8286400
2016-01-22,56.349998,56.930000,55.660000,56.349998,45.296082,9544500
2016-01-25,56.180000,56.470001,55.320000,55.360001,44.500286,10235200
2016-01-26,56.230000,56.639999,55.590000,55.910000,44.942406,11816800
2016-01-27,55.520000,56.020000,54.470001,54.540001,43.841141,15174500
2016-01-28,55.009998,55.299999,54.180000,54.709999,43.977795,12172600
2016-01-29,55.070000,56.480000,54.889999,56.480000,45.400585,10818700
2016-02-01,55.820000,56.820000,55.380001,56.290001,45.247864,12280800
2016-02-02,55.480000,55.720001,55.160000,55.330002,44.476181,12799600
2016-02-03,55.380001,55.380001,52.470001,54.310001,43.656265,17506100
2016-02-04,54.169998,54.779999,53.689999,54.020000,43.423157,12286900
2016-02-05,53.910000,54.009998,52.500000,53.369999,42.900646,13321500
2016-02-08,52.509998,52.650002,51.849998,52.299999,42.040550,15839600
2016-02-09,51.410000,52.869999,51.299999,52.250000,42.000362,11267500
2016-02-10,52.730000,53.459999,52.419998,52.450001,42.161133,10241200
2016-02-11,51.049999,51.470001,50.380001,50.520000,40.609726,18848100
2016-02-12,51.750000,54.250000,51.330002,53.000000,42.603233,17512800
2016-02-16,53.000000,53.490002,51.799999,52.060001,41.847630,13233000
2016-02-17,52.700001,53.480000,52.250000,52.669998,42.337978,9892300
2016-02-18,51.959999,52.290001,51.549999,51.919998,41.735092,8637600
2016-02-19,51.900002,51.930000,51.299999,51.529999,41.421589,9108000
2016-02-22,52.049999,52.259998,51.820000,52.099998,41.879787,7219900
