Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,32.919998,32.959999,31.850000,32.490002,16.978226,279900
2016-01-12,32.720001,32.950001,31.049999,31.350000,16.382500,396900
2016-01-13,31.350000,31.500000,29.780001,30.570000,15.974899,318700
2016-01-14,30.629999,31.639999,30.080000,31.150000,16.277988,315000
2016-01-15,30.400000,30.820000,30.180000,30.540001,15.959227,218100
2016-01-19,30.790001,30.980000,30.049999,30.309999,15.839032,170700
2016-01-20,29.910000,30.809999,29.230000,30.379999,15.875612,267600
2016-01-21,30.389999,30.900000,30.150000,30.420000,15.896513,244500
2016-01-22,30.770000,31.540001,30.639999,31.389999,16.403402,212400
2016-01-25,31.180000,31.459999,30.160000,30.250000,15.807677,133400
2016-01-26,30.459999,31.209999,30.320000,30.879999,16.136889,149400
2016-01-27,30.730000,30.930000,30.110001,30.330000,15.849477,136000
2016-01-28,30.620001,30.900000,29.730000,30.000000,15.677034,188100
2016-01-29,30.230000,30.670000,29.879999,30.299999,15.833805,455400
2016-02-01,30.150000,30.870001,29.980000,30.440001,15.906966,254500
2016-02-02,30.100000,30.100000,29.270000,29.299999,15.311234,414600
2016-02-03,29.559999,29.740000,28.820000,29.500000,15.415750,765100
2016-02-04,29.690001,30.290001,29.430000,29.940001,15.677567,283000
2016-02-05,29.830000,30.040001,29.520000,29.590000,15.494294,413600
2016-02-08,29.389999,29.930000,29.059999,29.790001,15.599024,367600
2016-02-09,29.459999,30.020000,29.330000,29.690001,15.546659,210300
2016-02-10,29.830000,30.930000,29.790001,30.590000,16.017927,263200
2016-02-11,30.070000,30.740000,29.730000,30.370001,15.902726,195800
2016-02-12,30.639999,31.270000,30.170000,31.170000,16.321630,244300
2016-02-16,31.510000,31.990000,31.270000,31.870001,16.688175,206300
2016-02-17,32.020000,32.480000,32.020000,32.250000,16.887156,197200
2016-02-18,32.360001,32.360001,31.900000,32.270000,16.897631,157900
2016-02-19,32.189999,32.480000,31.830000,32.360001,16.944757,133600
2016-02-22,32.860001,33.189999,32.410000,32.869999,17.211807,216000
2016-02-23,32.770000,33.070000,32.470001,32.980000,17.269407,245100
2016-02-24,32.599998,33.150002,32.380001,33.090000,17.327005,220000
2016-02-25,33.209999,33.720001,33.099998,33.439999,17.510281,159000
2016-02-26,33.230000,33.669998,32.599998,33.290001,17.431740,208000
2016-02-29,33.290001,33.779999,33.259998,33.520000,17.552172,246100
2016-03-01,33.660000,34.169998,33.410000,34.160000,17.887295,286800
2016-03-02,34.090000,34.439999,33.720001,34.340000,17.981552,197600
2016-03-03,34.290001,34.700001,34.230000,34.490002,18.060101,236900
2016-03-04,34.540001,35.000000,34.320000,34.840000,18.243372,160800
2016-03-07,34.669998,35.299999,34.669998,35.160000,18.410931,206900
2016-03-08,35.009998,35.630001,35.009998,35.130001,18.395220,248900
2016-03-09,35.189999,35.639999,35.169998,35.619999,18.651802,202600
2016-03-10,35.650002,35.910000,35.270000,35.630001,18.657036,247900
2016-03-11,35.910000,36.400002,35.770000,36.340000,19.028820,154000
2016-03-14,36.299999,36.299999,35.720001,35.880001,18.787949,108800
2016-03-15,35.630001,35.630001,34.869999,35.180000,18.421404,145500
2016-03-16,35.040001,36.529999,35.040001,36.480000,19.102121,193100
2016-03-17,36.520000,37.139999,36.200001,36.990002,19.369183,122400
2016-03-18,37.200001,37.830002,37.080002,37.430000,19.599583,340800
2016-03-21,37.250000,37.250000,35.990002,36.349998,19.034050,241800
2016-03-22,35.919998,36.160000,35.630001,35.779999,18.735579,146300
2016-03-23,35.810001,35.919998,34.689999,34.720001,18.180527,161900
2016-03-24,34.610001,34.860001,34.169998,34.810001,18.227659,239500
2016-03-28,34.959999,35.110001,34.619999,34.849998,18.248598,137400
2016-03-29,34.880001,35.950001,34.689999,35.939999,18.819365,264400
2016-03-30,36.040001,36.430000,35.849998,36.299999,19.007874,108200
2016-03-31,36.250000,36.830002,36.160000,36.680000,19.206848,135000
2016-04-01,36.360001,36.669998,35.990002,36.230000,18.971218,124100
2016-04-04,36.180000,36.450001,35.240002,35.540001,18.609911,167100
2016-04-05,35.290001,35.650002,35.139999,35.340000,18.505180,96200
2016-04-06,35.380001,36.049999,35.330002,35.970001,18.835075,131400
2016-04-07,35.799999,36.150002,35.619999,35.779999,18.735579,154800
2016-04-08,36.070000,36.470001,35.740002,36.349998,19.034050,95800
2016-04-11,36.509998,37.200001,36.509998,36.779999,19.259212,208800
2016-04-12,36.799999,37.360001,36.509998,36.840000,19.290636,93500
2016-04-13,37.209999,37.619999,36.799999,37.500000,19.636229,155200
2016-04-14,37.450001,37.849998,37.250000,37.560001,19.667648,114300
2016-04-15,37.400002,38.099998,37.150002,38.020000,19.908520,134400
2016-04-18,37.820000,38.110001,37.299999,37.650002,19.714771,120400
2016-04-19,37.599998,37.970001,37.189999,37.560001,19.667648,112700
2016-04-20,37.470001,37.700001,37.340000,37.470001,19.620525,113100
2016-04-21,37.570000,38.389999,37.529999,37.849998,19.819498,150200
2016-04-22,37.970001,38.779999,37.849998,38.750000,20.290771,159400
2016-04-25,38.669998,38.770000,38.009998,38.529999,20.175568,142600
2016-04-26,38.630001,39.360001,38.500000,38.990002,20.416443,153100
2016-04-27,38.820000,39.320000,38.599998,39.000000,20.421677,152800
2016-04-28,38.889999,39.169998,38.230000,38.320000,20.065609,97800
2016-04-29,38.250000,38.650002,37.810001,38.240002,20.023722,215400
2016-05-02,38.349998,39.310001,38.349998,39.000000,20.421677,203800
2016-05-03,38.709999,38.779999,37.830002,37.910000,19.850920,184100
2016-05-04,37.720001,38.200001,37.549999,37.910000,19.850920,231400
2016-05-05,37.970001,38.980000,37.590000,37.740002,19.793232,115900
2016-05-06,35.000000,37.000000,32.939999,36.689999,19.242540,460700
2016-05-09,36.580002,36.919998,36.000000,36.250000,19.011780,128600
2016-05-10,36.279999,36.669998,35.930000,36.230000,19.001291,208300
2016-05-11,36.000000,36.459999,35.560001,35.580002,18.660391,130400
2016-05-12,35.750000,35.930000,35.430000,35.830002,18.791506,151900
2016-05-13,35.650002,35.840000,35.459999,35.669998,18.707590,113700
2016-05-16,35.660000,36.270000,35.560001,35.849998,18.801992,142500
2016-05-17,35.860001,35.860001,35.330002,35.439999,18.586966,190600
2016-05-18,35.380001,35.840000,34.680000,34.950001,18.329975,165300
2016-05-19,34.790001,35.189999,33.849998,34.430000,18.057261,187600
2016-05-20,34.500000,35.180000,34.500000,35.150002,18.434866,193400
2016-05-23,35.139999,35.209999,34.610001,34.900002,18.303753,145900
2016-05-24,34.919998,36.119999,34.779999,36.099998,18.933104,162100
2016-05-25,36.000000,36.029999,35.619999,35.959999,18.859682,118800
2016-05-26,36.259998,36.889999,36.189999,36.419998,19.100939,100100
2016-05-27,36.549999,37.230000,36.509998,37.119999,19.468060,219800
2016-05-31,37.419998,37.880001,37.189999,37.660000,19.751272,239500
2016-06-01,37.439999,38.060001,37.049999,38.040001,19.950573,165600
2016-06-02,38.000000,38.000000,37.480000,37.990002,19.924343,120700
2016-06-03,38.200001,38.240002,37.389999,37.759998,19.803719,110200
2016-06-06,37.820000,38.169998,37.509998,38.070000,19.966301,147300
2016-06-07,38.189999,38.849998,38.139999,38.599998,20.244267,144600
2016-06-08,38.630001,39.270000,38.630001,39.040001,20.475031,121100
2016-06-09,38.639999,39.020000,38.380001,38.880001,20.391117,204300
2016-06-10,38.560001,38.619999,37.779999,37.779999,19.814205,168100
2016-06-13,37.599998,37.880001,37.000000,37.139999,19.478550,271200
2016-06-14,36.970001,37.340000,36.330002,36.660000,19.226809,205500
2016-06-15,36.959999,37.410000,36.529999,37.060001,19.436598,97600
2016-06-16,36.930000,37.049999,36.340000,36.950001,19.378904,152100
2016-06-17,36.860001,37.029999,36.250000,36.430000,19.106182,485900
2016-06-20,36.869999,37.130001,36.490002,36.529999,19.158627,165500
2016-06-21,36.590000,36.700001,36.119999,36.279999,19.027512,190700
2016-06-22,36.480000,36.570000,35.930000,35.959999,18.859682,190000
2016-06-23,36.459999,37.360001,36.459999,37.349998,19.588692,217100
2016-06-24,35.799999,36.480000,35.320000,35.709999,18.728569,1099400
2016-06-27,35.330002,35.619999,34.779999,34.810001,18.256554,293500
2016-06-28,35.060001,35.570000,35.060001,35.209999,18.466335,143700
2016-06-29,35.700001,35.860001,35.330002,35.680000,18.712835,108700
2016-06-30,35.849998,36.150002,35.320000,36.139999,18.954088,204700
2016-07-01,36.150002,36.939999,36.040001,36.240002,19.006535,106700
2016-07-05,36.130001,36.240002,35.439999,35.650002,18.697105,159000
2016-07-06,35.459999,35.910000,35.220001,35.759998,18.754791,101100
2016-07-07,35.730000,35.840000,35.119999,35.250000,18.487314,83100
2016-07-08,35.549999,36.770000,35.380001,36.680000,19.237297,136600
2016-07-11,36.939999,37.279999,36.680000,37.080002,19.447084,109100
2016-07-12,37.330002,38.000000,37.090000,37.740002,19.793232,144100
2016-07-13,38.000000,38.130001,37.560001,37.680000,19.761763,105100
2016-07-14,37.930000,38.160000,37.599998,37.720001,19.782742,75500
2016-07-15,37.950001,38.029999,37.470001,37.840000,19.845673,207600
2016-07-18,37.529999,38.020000,37.509998,37.580002,19.709316,105700
2016-07-19,37.480000,37.990002,37.290001,37.810001,19.829945,102400
2016-07-20,37.849998,38.230000,37.480000,38.040001,19.950573,83900
2016-07-21,37.830002,38.150002,37.540001,37.790001,19.819445,131300
2016-07-22,37.860001,38.110001,37.750000,37.849998,19.850918,156400
2016-07-25,37.869999,38.139999,37.689999,37.779999,19.814205,147100
