Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,5.470000,5.480000,5.190000,5.250000,5.250000,68900
2016-01-12,5.260000,5.330000,5.060000,5.170000,5.170000,91800
2016-01-13,5.220000,5.280000,5.000000,5.060000,5.060000,68600
2016-01-14,5.100000,5.280000,5.040000,5.130000,5.130000,151900
2016-01-15,5.100000,5.120000,4.950000,5.040000,5.040000,73800
2016-01-19,5.100000,5.100000,4.920000,5.000000,5.000000,132300
2016-01-20,4.870000,4.930000,4.700000,4.890000,4.890000,434000
2016-01-21,4.930000,4.950000,4.840000,4.950000,4.950000,102300
2016-01-22,5.000000,5.110000,5.000000,5.010000,5.010000,81400
2016-01-25,5.000000,5.100000,4.970000,5.010000,5.010000,32500
2016-01-26,5.050000,5.070000,5.010000,5.040000,5.040000,47000
2016-01-27,5.010000,5.020000,4.930000,4.950000,4.950000,29700
2016-01-28,4.940000,4.940000,4.800000,4.870000,4.870000,45900
2016-01-29,4.870000,5.060000,4.870000,4.990000,4.990000,124200
2016-02-01,4.900000,5.320000,4.850000,5.270000,5.270000,241500
2016-02-02,5.280000,5.340000,5.220000,5.310000,5.310000,52400
2016-02-03,5.340000,5.370000,5.230000,5.350000,5.350000,138500
2016-02-04,5.350000,5.390000,5.290000,5.360000,5.360000,136800
2016-02-05,5.360000,5.360000,5.100000,5.200000,5.200000,111000
2016-02-08,5.130000,5.150000,4.850000,4.950000,4.950000,220500
2016-02-09,4.800000,4.910000,4.420000,4.560000,4.560000,842600
2016-02-10,4.660000,4.720000,4.490000,4.520000,4.520000,279600
2016-02-11,4.550000,4.550000,4.290000,4.320000,4.320000,263000
2016-02-12,4.460000,4.460000,4.310000,4.330000,4.330000,213400
2016-02-16,4.500000,4.540000,4.240000,4.300000,4.300000,269300
2016-02-17,4.530000,4.570000,4.350000,4.380000,4.380000,275800
2016-02-18,4.360000,4.460000,4.320000,4.410000,4.410000,192600
2016-02-19,4.440000,4.600000,4.420000,4.530000,4.530000,35700
2016-02-22,4.600000,4.730000,4.570000,4.590000,4.590000,74800
2016-02-23,4.590000,4.610000,4.480000,4.540000,4.540000,40200
2016-02-24,4.560000,4.610000,4.480000,4.590000,4.590000,101700
2016-02-25,4.580000,4.620000,4.490000,4.510000,4.510000,92100
2016-02-26,4.530000,4.700000,4.510000,4.640000,4.640000,56000
2016-02-29,4.620000,4.750000,4.510000,4.520000,4.520000,473600
2016-03-01,4.610000,4.800000,4.610000,4.640000,4.640000,308500
2016-03-02,4.690000,4.870000,4.680000,4.840000,4.840000,78400
2016-03-03,4.880000,5.100000,4.870000,4.970000,4.970000,109400
2016-03-04,4.970000,5.160000,4.940000,4.940000,4.940000,70600
2016-03-07,4.970000,5.130000,4.970000,5.060000,5.060000,105700
2016-03-08,5.160000,5.160000,4.890000,4.980000,4.980000,122500
2016-03-09,5.010000,5.090000,4.960000,5.070000,5.070000,68500
2016-03-10,5.110000,5.170000,4.870000,4.900000,4.900000,34600
2016-03-11,4.960000,5.040000,4.830000,4.940000,4.940000,61900
