Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,14.210000,14.340000,14.210000,14.340000,13.205736,500
2016-01-12,14.180000,14.430000,14.100000,14.250000,13.122854,7800
2016-01-13,14.220000,14.330000,13.300000,13.940000,12.837375,5100
2016-01-14,14.310000,14.310000,12.680000,14.000000,12.892631,18200
2016-01-15,13.950000,14.010000,13.880000,13.880000,12.782123,5200
2016-01-19,13.800000,14.230000,13.600000,14.220000,13.095227,17200
2016-01-20,13.500000,14.280000,12.720000,14.070000,12.957093,13900
2016-01-21,13.700000,14.070000,13.700000,14.050000,12.938677,4300
2016-01-22,14.180000,14.520000,13.500000,14.520000,13.371498,8400
2016-01-25,14.520000,14.520000,14.520000,14.520000,13.371498,0
2016-01-26,14.090000,15.040000,13.690000,15.040000,13.850368,11400
2016-01-27,15.030000,15.890000,14.620000,15.750000,14.504207,13100
2016-01-28,15.900000,15.900000,15.500000,15.750000,14.504207,4100
2016-01-29,15.800000,15.940000,15.530000,15.690000,14.448954,4900
2016-02-01,15.020000,15.600000,14.800000,15.400000,14.181891,13100
2016-02-02,15.300000,15.690000,15.040000,15.420000,14.200312,4300
2016-02-03,15.420000,15.420000,15.150000,15.210000,14.006920,900
2016-02-04,15.390000,15.390000,15.150000,15.250000,14.043756,5600
2016-02-05,15.280000,15.280000,14.980000,15.240000,14.034548,2400
2016-02-08,15.000000,15.000000,14.100000,14.770000,13.601725,7200
2016-02-09,14.650000,14.770000,14.040000,14.550000,13.399127,1600
2016-02-10,13.610000,14.360000,13.610000,14.360000,13.224154,300
2016-02-11,12.420000,12.980000,11.180000,12.970000,11.944100,1700
2016-02-12,12.830000,13.500000,12.830000,13.210000,12.165115,1200
2016-02-16,13.080000,13.430000,13.080000,13.140000,12.100655,2700
2016-02-17,13.340000,14.370000,12.820000,12.820000,11.805964,3200
2016-02-18,13.000000,13.000000,12.500000,12.750000,11.741501,2200
2016-02-19,12.720000,12.720000,12.650000,12.700000,11.695457,700
2016-02-22,12.700000,12.920000,12.150000,12.610000,11.612576,8300
2016-02-23,13.000000,13.980000,12.720000,13.170000,12.128280,2400
2016-02-24,13.030000,13.030000,13.030000,13.030000,11.999354,200
2016-02-25,13.100000,13.860000,13.100000,13.180000,12.137490,1600
2016-02-26,13.280000,13.280000,13.280000,13.280000,12.229580,200
2016-02-29,13.410000,13.410000,13.410000,13.410000,12.349297,400
2016-03-01,14.750000,14.780000,13.660000,13.660000,12.579523,800
2016-03-02,13.720000,13.720000,13.720000,13.720000,12.634777,200
2016-03-03,14.570000,14.570000,13.840000,13.840000,12.745286,1000
2016-03-04,14.380000,14.500000,14.000000,14.120000,13.003139,2400
2016-03-07,14.350000,14.990000,14.050000,14.510000,13.362289,9200
2016-03-08,14.510000,15.250000,14.200000,14.340000,13.205736,13100
2016-03-09,14.900000,14.900000,14.340000,14.650000,13.557396,4100
2016-03-10,15.000000,15.150000,14.750000,14.940000,13.825767,28000
2016-03-11,15.500000,15.500000,14.880000,15.040000,13.918308,24700
2016-03-14,15.200000,15.200000,14.890000,15.010000,13.890547,2300
2016-03-15,15.000000,15.250000,14.990000,15.250000,14.112647,8200
2016-03-16,15.150000,15.500000,14.650000,14.650000,13.557396,12800
2016-03-17,14.700000,15.100000,14.660000,14.660000,13.566648,5300
2016-03-18,14.750000,14.750000,14.660000,14.660000,13.566648,1800
2016-03-21,14.650000,14.660000,14.300000,14.360000,13.289025,1700
2016-03-22,14.740000,15.100000,14.740000,14.910000,13.798007,14700
2016-03-23,14.700000,14.760000,14.700000,14.760000,13.659192,400
2016-03-24,14.680000,15.000000,14.360000,14.910000,13.798007,5500
2016-03-28,14.820000,14.820000,14.490000,14.500000,13.418582,1600
2016-03-29,15.000000,15.000000,14.530000,14.530000,13.446347,2000
2016-03-30,14.490000,14.760000,14.250000,14.250000,13.187228,3700
2016-03-31,13.910000,13.950000,13.860000,13.860000,12.826315,2600
2016-04-01,14.250000,14.780000,13.720000,13.720000,12.696755,6400
2016-04-04,14.340000,14.340000,13.650000,13.700000,12.678246,5100
2016-04-05,13.690000,13.690000,13.690000,13.690000,12.668994,100
2016-04-06,13.650000,13.650000,13.500000,13.520000,12.511670,4400
2016-04-07,13.200000,13.570000,12.400000,13.480000,12.474655,9700
2016-04-08,13.480000,13.480000,13.480000,13.480000,12.474655,0
2016-04-11,13.480000,13.480000,13.480000,13.480000,12.474655,0
2016-04-12,13.450000,13.450000,13.000000,13.320000,12.326588,2600
2016-04-13,13.200000,13.470000,13.200000,13.470000,12.465400,8700
2016-04-14,13.570000,14.000000,13.380000,13.680000,12.659739,46800
2016-04-15,13.650000,13.990000,13.430000,13.430000,12.428385,2300
2016-04-18,13.290000,14.450000,13.290000,13.910000,12.872586,9400
2016-04-19,13.630000,13.910000,13.630000,13.900000,12.863329,18600
2016-04-20,13.950000,14.150000,13.850000,13.990000,12.946620,26100
2016-04-21,14.430000,14.480000,14.010000,14.010000,12.965127,10400
2016-04-22,14.390000,14.390000,13.750000,13.920000,12.881841,2100
2016-04-25,14.070000,14.090000,13.830000,14.020000,12.974381,2900
2016-04-26,13.960000,14.220000,13.550000,14.010000,12.965127,8500
2016-04-27,14.280000,14.460000,13.510000,14.000000,12.955874,18900
2016-04-28,14.140000,14.170000,13.920000,14.160000,13.103939,23300
2016-04-29,14.180000,15.000000,13.960000,14.350000,13.279771,158900
2016-05-02,14.600000,14.830000,14.530000,14.530000,13.446347,6100
2016-05-03,14.560000,15.000000,14.090000,15.000000,13.881290,16800
2016-05-04,14.990000,15.470000,14.880000,15.340000,14.195932,18500
2016-05-05,15.290000,15.450000,14.720000,15.310000,14.168174,6500
2016-05-06,15.310000,15.400000,15.190000,15.250000,14.112647,57900
2016-05-09,15.310000,15.310000,14.900000,15.110000,13.983089,10100
2016-05-10,15.150000,15.350000,15.150000,15.320000,14.177425,26200
2016-05-11,15.300000,15.300000,14.620000,15.070000,13.946070,4900
2016-05-12,14.850000,15.290000,14.330000,14.710000,13.612923,9600
2016-05-13,15.020000,15.140000,14.850000,14.930000,13.816512,4600
2016-05-16,15.000000,15.140000,14.620000,14.620000,13.529634,2000
2016-05-17,14.330000,14.940000,14.330000,14.520000,13.437090,7300
2016-05-18,14.520000,14.520000,14.520000,14.520000,13.437090,0
2016-05-19,14.520000,14.520000,14.520000,14.520000,13.437090,0
2016-05-20,14.710000,14.950000,14.550000,14.730000,13.631430,2100
2016-05-23,14.870000,14.870000,14.600000,14.870000,13.760986,2800
2016-05-24,14.850000,14.850000,14.500000,14.500000,13.418582,3000
2016-05-25,14.460000,15.040000,14.460000,15.000000,13.881290,8600
2016-05-26,15.000000,15.000000,15.000000,15.000000,13.881290,0
2016-05-27,14.360000,14.810000,14.360000,14.710000,13.612923,6300
2016-05-31,14.450000,14.600000,14.440000,14.440000,13.363056,1000
2016-06-01,13.990000,14.990000,13.490000,14.520000,13.437090,4200
2016-06-02,14.640000,14.640000,13.960000,14.060000,13.011399,700
2016-06-03,14.440000,14.440000,14.000000,14.300000,13.233499,7600
2016-06-06,14.500000,14.930000,14.500000,14.510000,13.427837,700
2016-06-07,14.530000,14.720000,13.630000,14.400000,13.326040,26600
2016-06-08,14.910000,15.050000,14.370000,14.480000,13.465531,103200
2016-06-09,14.520000,15.200000,14.500000,15.180000,14.116488,9200
2016-06-10,15.240000,15.240000,15.020000,15.240000,14.172284,2900
2016-06-13,15.040000,15.240000,15.010000,15.240000,14.172284,2800
2016-06-14,15.100000,15.500000,14.980000,15.450000,14.367575,10700
2016-06-15,15.500000,15.500000,14.560000,15.400000,14.321074,15500
2016-06-16,15.450000,15.670000,15.260000,15.450000,14.367575,18800
2016-06-17,15.500000,15.550000,15.300000,15.430000,14.348975,9700
2016-06-20,15.430000,15.430000,15.430000,15.430000,14.348975,0
2016-06-21,15.140000,15.400000,14.980000,14.980000,13.930503,5300
2016-06-22,14.980000,14.980000,14.980000,14.980000,13.930503,0
2016-06-23,15.200000,15.420000,15.050000,15.150000,14.088593,1400
2016-06-24,15.000000,15.200000,15.000000,15.120000,14.060694,1000
2016-06-27,15.100000,15.250000,15.100000,15.140000,14.079291,2100
2016-06-28,15.200000,15.400000,15.200000,15.400000,14.321074,1900
2016-06-29,15.400000,15.490000,15.400000,15.490000,14.404770,700
2016-06-30,15.680000,15.680000,15.140000,15.220000,14.153690,3000
2016-07-01,15.200000,15.500000,14.330000,15.500000,14.414070,10200
2016-07-05,15.460000,15.490000,15.200000,15.200000,14.135087,2400
2016-07-06,15.250000,15.550000,15.110000,15.260000,14.190885,4500
2016-07-07,15.480000,15.540000,14.660000,15.530000,14.441972,6200
2016-07-08,15.680000,15.800000,15.670000,15.800000,14.693051,15800
2016-07-11,15.760000,15.900000,15.750000,15.750000,14.646556,9000
2016-07-12,15.780000,15.800000,15.780000,15.800000,14.693051,800
2016-07-13,15.670000,15.800000,15.420000,15.700000,14.600059,3900
2016-07-14,15.680000,15.810000,15.610000,15.800000,14.693051,5600
2016-07-15,15.780000,15.800000,15.780000,15.790000,14.683753,1600
2016-07-18,15.790000,15.790000,15.790000,15.790000,14.683753,0
2016-07-19,15.550000,15.700000,15.550000,15.660000,14.562860,600
2016-07-20,15.660000,15.660000,15.660000,15.660000,14.562860,0
2016-07-21,15.680000,15.680000,15.650000,15.650000,14.553562,500
2016-07-22,15.750000,15.750000,15.750000,15.750000,14.646556,500
2016-07-25,15.900000,15.900000,15.490000,15.900000,14.786046,3100
2016-07-26,15.800000,16.150000,15.800000,16.000000,14.879042,36300
2016-07-27,15.970000,16.000000,15.940000,16.000000,14.879042,12400
2016-07-28,16.150000,16.170000,16.030001,16.170000,15.037130,1700
2016-07-29,15.900000,16.000000,15.830000,15.890000,14.776748,3100
2016-08-01,15.800000,16.000000,15.630000,15.630000,14.534963,800
2016-08-02,15.110000,15.650000,15.110000,15.650000,14.553562,1100
2016-08-03,15.960000,15.960000,15.610000,15.710000,14.609359,7000
2016-08-04,15.860000,15.900000,15.830000,15.900000,14.786046,800
2016-08-05,15.920000,16.000000,15.920000,16.000000,14.879042,300
2016-08-08,16.000000,16.150000,16.000000,16.150000,15.018532,3600
2016-08-09,15.780000,16.150000,15.750000,16.150000,15.018532,5400
2016-08-10,16.150000,16.150000,16.150000,16.150000,15.018532,0
2016-08-11,16.250000,16.410000,16.240000,16.400000,15.251017,18200
2016-08-12,16.400000,16.400000,16.400000,16.400000,15.251017,0
2016-08-15,15.750000,16.080000,15.750000,16.000000,14.879042,700
2016-08-16,15.840000,16.000000,15.840000,16.000000,14.879042,500
2016-08-17,15.510000,16.000000,15.410000,15.650000,14.553562,6600
2016-08-18,15.650000,15.650000,15.650000,15.650000,14.553562,0
2016-08-19,15.650000,15.940000,15.130000,15.940000,14.823242,5400
2016-08-22,15.870000,16.030001,15.780000,16.020000,14.897641,4600
2016-08-23,15.990000,16.000000,15.520000,16.000000,14.879042,13400
2016-08-24,15.500000,15.700000,15.200000,15.450000,14.367575,12100
2016-08-25,15.010000,15.400000,15.000000,15.360000,14.283880,5600
2016-08-26,15.200000,15.200000,14.450000,14.730000,13.698017,8200
2016-08-29,15.310000,15.310000,14.930000,14.930000,13.884004,700
2016-08-30,14.930000,14.930000,14.930000,14.930000,13.884004,0
2016-08-31,14.930000,14.930000,14.930000,14.930000,13.884004,0
2016-09-01,14.930000,14.930000,14.930000,14.930000,13.884004,0
2016-09-02,14.930000,14.930000,14.930000,14.930000,13.884004,0
2016-09-06,15.180000,16.000000,15.180000,15.320000,14.246680,2000
2016-09-07,15.320000,16.000000,15.320000,15.610000,14.516362,3800
2016-09-08,14.680000,16.000000,14.680000,15.660000,14.562860,10400
2016-09-09,15.700000,15.700000,15.310000,15.320000,14.246680,1800
2016-09-12,15.390000,15.660000,15.120000,15.460000,14.376874,2400
2016-09-13,15.140000,15.140000,15.140000,15.140000,14.079291,200
2016-09-14,15.600000,15.600000,15.060000,15.380000,14.368914,4600
2016-09-15,15.380000,15.380000,15.380000,15.380000,14.368914,0
2016-09-16,15.010000,15.250000,15.010000,15.060000,14.069948,4600
2016-09-19,15.150000,15.190000,14.750000,15.190000,14.191404,3300
2016-09-20,15.030000,15.220000,14.700000,15.200000,14.200747,4100
2016-09-21,15.290000,15.300000,15.120000,15.300000,14.294172,400
2016-09-22,15.220000,15.400000,14.920000,15.100000,14.107320,6300
2016-09-23,15.120000,15.120000,15.120000,15.120000,14.126004,400
2016-09-26,15.000000,15.000000,14.990000,14.990000,14.004553,1400
2016-09-27,14.990000,14.990000,14.990000,14.990000,14.004553,0
2016-09-28,14.950000,14.950000,14.670000,14.810000,13.836387,2200
2016-09-29,14.500000,14.500000,14.500000,14.500000,13.546766,100
2016-09-30,14.720000,14.800000,14.720000,14.800000,13.827044,400
2016-10-03,14.910000,15.000000,14.720000,14.960000,13.976524,1700
2016-10-04,14.660000,14.660000,14.660000,14.660000,13.696246,400
2016-10-05,14.930000,14.930000,14.600000,14.600000,13.640191,600
2016-10-06,14.850000,14.920000,14.480000,14.620000,13.658876,10500
2016-10-07,14.740000,14.740000,14.610000,14.680000,13.714931,1000
2016-10-10,14.710000,14.710000,14.480000,14.690000,13.724274,3000
2016-10-11,14.690000,14.690000,14.690000,14.690000,13.724274,0
2016-10-12,14.690000,14.690000,14.690000,14.690000,13.724274,0
2016-10-13,14.950000,14.950000,14.520000,14.520000,13.565452,1200
2016-10-14,14.520000,14.520000,14.520000,14.520000,13.565452,0
2016-10-17,14.400000,14.500000,14.400000,14.500000,13.546766,500
2016-10-18,14.400000,15.200000,14.400000,15.200000,14.200747,1000
2016-10-19,14.950000,14.950000,14.450000,14.450000,13.500051,700
2016-10-20,14.500000,14.800000,14.500000,14.700000,13.733615,2000
2016-10-21,14.800000,14.900000,14.800000,14.900000,13.920468,300
2016-10-24,14.900000,14.900000,14.900000,14.900000,13.920468,0
2016-10-25,14.540000,14.540000,14.500000,14.500000,13.546766,2100
2016-10-26,14.560000,14.560000,14.400000,14.420000,13.472025,3200
2016-10-27,14.680000,14.700000,14.410000,14.700000,13.733615,1800
2016-10-28,14.740000,14.740000,14.600000,14.600000,13.640191,1000
2016-10-31,14.600000,14.600000,14.600000,14.600000,13.640191,0
2016-11-01,14.600000,14.600000,14.600000,14.600000,13.640191,0
2016-11-02,14.600000,14.600000,14.600000,14.600000,13.640191,0
2016-11-03,14.500000,14.540000,14.500000,14.500000,13.546766,1700
2016-11-04,14.500000,14.500000,14.400000,14.400000,13.453337,600
2016-11-07,14.500000,14.550000,13.600000,13.750000,12.846069,99400
2016-11-08,14.550000,14.550000,14.500000,14.550000,13.593477,900
2016-11-09,14.530000,14.530000,14.250000,14.460000,13.509395,3200
2016-11-10,14.300000,14.350000,13.660000,14.000000,13.079635,2700
2016-11-11,14.050000,14.250000,14.050000,14.250000,13.313199,300
2016-11-14,14.250000,14.250000,14.250000,14.250000,13.313199,0
2016-11-15,14.250000,14.300000,14.250000,14.260000,13.322543,2300
2016-11-16,14.250000,14.260000,14.050000,14.050000,13.126348,4600
2016-11-17,14.050000,14.050000,13.650000,13.750000,12.846069,1300
2016-11-18,13.750000,13.750000,13.750000,13.750000,12.846069,0
2016-11-21,13.750000,13.750000,13.750000,13.750000,12.846069,0
2016-11-22,13.600000,13.650000,13.300000,13.640000,12.743302,14400
2016-11-23,13.500000,13.650000,12.500000,13.400000,12.519078,22200
2016-11-25,13.400000,13.400000,13.400000,13.400000,12.519078,0
2016-11-28,12.950000,13.000000,12.950000,13.000000,12.145376,400
2016-11-29,13.050000,13.190000,13.040000,13.190000,12.322883,1200
2016-11-30,13.190000,13.190000,13.190000,13.190000,12.322883,0
2016-12-01,13.000000,13.050000,12.900000,12.980000,12.126689,4000
2016-12-02,13.100000,13.200000,12.950000,13.100000,12.238801,1600
2016-12-05,13.280000,13.350000,13.100000,13.100000,12.238801,3400
2016-12-06,12.950000,13.500000,12.950000,13.050000,12.192089,800
2016-12-07,13.260000,13.600000,13.050000,13.600000,12.705932,12800
2016-12-08,13.200000,14.100000,13.200000,13.900000,12.986208,9500
2016-12-09,13.400000,13.500000,13.400000,13.500000,12.612505,200
2016-12-12,12.920000,14.450000,12.920000,14.450000,13.570417,800
2016-12-13,13.500000,14.100000,13.500000,13.850000,13.006939,6600
2016-12-14,14.000000,14.000000,13.550000,13.830000,12.988155,10400
2016-12-15,13.830000,13.830000,13.830000,13.830000,12.988155,0
2016-12-16,13.690000,13.890000,13.690000,13.800000,12.959984,500
2016-12-19,13.570000,13.570000,13.570000,13.570000,12.743985,700
2016-12-20,14.000000,14.300000,13.750000,14.300000,13.429549,4700
2016-12-21,13.740000,14.450000,13.740000,14.400000,13.523458,1400
2016-12-22,14.250000,14.250000,13.950000,13.950000,13.100852,3200
