Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,376.519989,377.170013,368.450012,368.450012,215.101974,2500
2016-01-12,364.239990,377.679993,364.239990,377.679993,220.490417,2300
2016-01-13,377.679993,380.019989,371.809998,371.809998,217.063522,3000
2016-01-14,373.260010,375.029999,366.059998,373.799988,218.225296,3000
2016-01-15,368.799988,368.799988,363.200012,368.799988,215.306259,2100
2016-01-19,362.200012,364.399994,360.239990,364.399994,212.737488,2500
2016-01-20,364.269989,371.829987,364.269989,368.869995,215.347183,3000
2016-01-21,374.000000,374.000000,362.059998,370.809998,216.479660,3200
2016-01-22,370.000000,375.010010,364.679993,375.010010,218.931717,5900
2016-01-25,368.200012,371.980011,368.200012,371.940002,217.139420,1500
2016-01-26,371.950012,375.000000,369.119995,370.269989,216.164429,24800
2016-01-27,371.000000,373.359985,366.019989,370.000000,216.006821,3200
2016-01-28,360.609985,362.500000,356.109985,359.350006,212.082108,5700
2016-01-29,360.010010,365.000000,359.410004,365.000000,215.416550,10600
2016-02-01,360.070007,360.070007,356.100006,356.100006,210.163986,2400
2016-02-02,356.000000,356.000000,354.100006,354.100006,208.983658,2600
2016-02-03,357.049988,365.000000,350.029999,362.920013,214.189041,11500
2016-02-04,369.600006,369.600006,364.029999,364.029999,214.844131,1000
2016-02-05,357.529999,361.679993,356.100006,360.000000,212.465744,6600
2016-02-08,359.989990,369.119995,358.000000,364.000000,214.826462,7900
2016-02-09,367.980011,370.000000,365.500000,365.500000,215.711777,3300
2016-02-10,369.989990,377.630005,367.989990,370.450012,218.633163,5900
2016-02-11,365.000000,370.000000,361.059998,361.149994,213.144409,7500
2016-02-12,364.920013,372.329987,360.000000,372.329987,219.742661,11200
2016-02-16,372.440002,375.000000,368.299988,375.000000,221.318436,2900
2016-02-17,387.239990,395.000000,387.239990,394.500000,232.827026,4700
2016-02-18,389.589996,393.489990,387.619995,391.029999,230.779114,3300
2016-02-19,390.510010,398.000000,390.510010,394.200012,232.650009,3700
2016-02-22,399.369995,404.799988,399.369995,404.190002,238.545868,4100
2016-02-23,404.000000,405.890015,400.000000,405.890015,239.549164,2500
2016-02-24,401.579987,401.579987,390.519989,401.200012,236.781250,4000
2016-02-25,398.700012,401.000000,394.910004,400.410004,236.314987,3500
2016-02-26,397.399994,405.890015,383.559998,383.559998,226.370453,3500
2016-02-29,380.140015,384.829987,379.000000,384.829987,227.119919,8100
2016-03-01,396.279999,396.279999,391.440002,393.299988,232.118790,1600
2016-03-02,396.089996,400.920013,392.209991,397.570007,234.638916,5200
2016-03-03,395.200012,397.670013,393.980011,395.000000,233.122131,6300
2016-03-04,396.190002,396.190002,391.239990,391.869995,231.274826,3100
2016-03-07,392.299988,395.000000,381.369995,395.000000,233.122131,2000
2016-03-08,390.100006,396.940002,388.869995,388.869995,229.504333,4600
2016-03-09,390.000000,390.000000,383.200012,386.779999,228.270752,3000
2016-03-10,382.209991,384.480011,382.010010,384.480011,226.913391,1000
2016-03-11,381.010010,384.750000,378.839996,383.000000,226.039963,8000
2016-03-14,387.000000,387.000000,384.000000,384.000000,226.630096,1600
2016-03-15,380.299988,387.899994,380.299988,382.160004,225.544205,1800
2016-03-16,392.700012,392.730011,380.890015,388.410004,229.232834,5900
2016-03-17,385.000000,387.000000,385.000000,386.420013,228.058350,2500
2016-03-18,388.549988,394.630005,381.619995,381.619995,225.225403,10800
2016-03-21,383.290009,385.989990,382.000000,384.130005,226.706848,1700
2016-03-22,382.119995,383.480011,382.000000,383.480011,226.323257,3000
2016-03-23,383.480011,385.000000,380.899994,380.899994,224.800507,4600
2016-03-24,383.399994,383.480011,380.420013,380.420013,224.517227,1600
2016-03-28,385.359985,385.359985,385.359985,385.359985,227.432709,1100
2016-03-29,381.500000,386.690002,378.850006,379.899994,224.210342,11000
2016-03-30,379.899994,385.309998,379.880005,379.880005,224.198486,5300
2016-03-31,379.880005,380.549988,378.480011,380.549988,224.593994,3400
2016-04-01,379.779999,380.799988,379.500000,380.799988,224.741516,3200
2016-04-04,381.000000,381.000000,378.369995,379.450012,223.944809,5300
2016-04-05,377.529999,379.230011,377.000000,379.230011,223.814972,2700
2016-04-06,382.019989,382.570007,379.570007,380.279999,224.434647,13200
2016-04-07,375.350006,376.950012,375.350006,376.950012,222.469284,2200
2016-04-08,376.989990,379.820007,376.760010,377.380005,222.723022,6600
2016-04-11,377.000000,378.250000,375.570007,377.609985,222.858871,4200
2016-04-12,378.000000,379.049988,377.220001,378.000000,223.089050,5200
2016-04-13,379.980011,380.000000,373.000000,377.750000,222.941498,16100
2016-04-14,377.000000,378.970001,377.000000,378.970001,223.661438,1800
2016-04-15,378.980011,384.410004,378.000000,381.200012,224.977615,4700
