Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,135.570007,136.929993,132.240005,135.839996,131.543060,933700
2016-01-12,136.940002,137.410004,134.300003,136.369995,132.056335,640600
2016-01-13,137.059998,138.000000,130.000000,131.160004,127.011116,864300
2016-01-14,131.990005,133.660004,128.380005,131.820007,127.650246,718000
2016-01-15,128.220001,129.729996,124.410004,128.199997,124.144768,951700
2016-01-19,129.919998,131.869995,126.699997,128.610001,124.541771,864400
2016-01-20,125.489998,128.000000,120.680000,126.570000,122.566307,991800
2016-01-21,127.180000,131.330002,126.000000,127.440002,123.408798,460200
2016-01-22,131.070007,134.979996,130.350006,134.529999,130.274536,788200
2016-01-25,134.169998,134.889999,127.559998,128.179993,124.125389,728000
2016-01-26,126.879997,132.229996,126.860001,131.399994,127.243523,701400
2016-01-27,131.169998,134.710007,130.110001,131.100006,126.953003,715500
2016-01-28,132.639999,133.389999,128.259995,128.779999,124.706406,472300
2016-01-29,130.259995,134.339996,129.979996,134.190002,129.945282,616700
2016-02-01,132.830002,133.210007,129.539993,132.199997,128.018219,602000
2016-02-02,125.989998,127.699997,121.720001,122.599998,118.721878,960400
2016-02-03,123.510002,123.510002,117.290001,122.400002,118.528198,792600
2016-02-04,123.330002,130.649994,122.150002,128.660004,124.590210,640700
2016-02-05,128.550003,129.960007,124.160004,124.750000,120.803864,634800
2016-02-08,121.580002,121.980003,117.120003,120.360001,116.552757,779900
2016-02-09,117.690002,120.760002,117.099998,119.940002,116.146042,743000
2016-02-10,120.690002,123.650002,120.260002,120.989998,117.162804,533900
2016-02-11,116.459999,120.070000,115.970001,117.800003,114.073746,763900
2016-02-12,120.470001,125.199997,119.120003,124.419998,120.484337,530000
2016-02-16,126.830002,127.919998,125.360001,126.620003,122.614738,628400
2016-02-17,128.839996,132.389999,128.839996,130.600006,126.468834,454700
2016-02-18,130.759995,130.990005,127.589996,129.199997,125.113144,658400
2016-02-19,128.039993,129.630005,125.870003,129.539993,125.442360,666500
2016-02-22,132.080002,135.270004,132.080002,134.990005,130.719925,571100
2016-02-23,134.429993,134.770004,129.000000,129.169998,125.084076,636000
2016-02-24,126.559998,129.490005,124.639999,128.929993,124.851662,870200
2016-02-25,129.289993,130.360001,126.419998,130.300003,126.178314,476000
2016-02-26,133.059998,137.300003,132.179993,136.929993,132.598587,738500
2016-02-29,137.380005,139.960007,137.009995,138.690002,134.302917,1337500
2016-03-01,140.479996,145.149994,139.759995,144.179993,139.619278,956800
2016-03-02,144.050003,145.279999,142.289993,145.190002,140.597351,753200
2016-03-03,144.860001,150.179993,144.139999,150.009995,145.264847,641800
2016-03-04,151.130005,154.350006,149.279999,153.220001,148.373291,816000
2016-03-07,151.160004,152.339996,149.880005,151.580002,146.785172,383200
2016-03-08,149.899994,150.800003,147.169998,147.330002,142.669617,411400
2016-03-09,149.160004,149.160004,145.729996,148.270004,143.579895,340800
2016-03-10,149.869995,150.039993,143.240005,145.899994,141.284821,591700
2016-03-11,149.970001,154.110001,147.750000,153.660004,148.799423,724300
2016-03-14,152.199997,152.559998,148.500000,151.619995,146.823929,499700
2016-03-15,149.729996,150.440002,146.300003,148.250000,143.560577,498400
2016-03-16,146.910004,153.419998,146.910004,152.919998,148.082840,658600
2016-03-17,152.740005,161.559998,152.740005,159.940002,154.880753,809900
2016-03-18,160.809998,163.929993,158.509995,160.000000,154.938828,1000700
2016-03-21,161.000000,163.070007,158.279999,162.380005,157.243591,693500
2016-03-22,160.199997,161.899994,158.759995,161.490005,156.381729,422800
2016-03-23,161.369995,161.369995,158.839996,158.979996,153.951157,496400
2016-03-24,156.660004,157.550003,154.600006,157.429993,152.450134,396200
2016-03-28,158.029999,158.029999,155.470001,156.529999,151.578598,297300
2016-03-29,155.360001,160.740005,154.440002,160.330002,155.258423,590200
2016-03-30,161.490005,165.100006,160.970001,163.050003,157.892334,694400
2016-03-31,162.309998,163.899994,161.789993,162.399994,157.262939,390700
2016-04-01,160.949997,164.110001,160.100006,163.889999,158.705765,395900
2016-04-04,164.160004,164.169998,160.089996,160.619995,155.539200,426200
2016-04-05,158.880005,160.690002,157.160004,159.240005,154.202911,682200
2016-04-06,159.600006,161.649994,158.720001,160.699997,155.616684,471200
2016-04-07,158.669998,159.750000,154.710007,156.000000,151.065369,412600
2016-04-08,158.190002,158.360001,156.160004,157.279999,152.304840,487700
2016-04-11,159.110001,161.990005,158.259995,159.139999,154.106033,423200
2016-04-12,159.889999,164.710007,158.520004,164.149994,158.957581,445200
2016-04-13,166.199997,170.710007,165.330002,170.490005,165.097015,506000
2016-04-14,170.559998,173.720001,169.910004,171.820007,166.384964,540600
2016-04-15,171.600006,171.710007,169.210007,169.990005,164.612839,439800
2016-04-18,168.449997,170.880005,168.410004,170.250000,164.864639,629800
2016-04-19,171.179993,172.960007,170.580002,172.679993,167.217758,771500
2016-04-20,173.889999,175.669998,171.770004,175.179993,169.638657,508400
2016-04-21,174.919998,176.160004,173.119995,174.910004,169.377213,531200
