Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,1.650000,1.650000,1.530000,1.600000,1.600000,6000
2016-01-12,1.650000,1.650000,1.650000,1.650000,1.650000,200
2016-01-13,1.650000,1.650000,1.650000,1.650000,1.650000,0
2016-01-14,1.570000,1.920000,1.570000,1.920000,1.920000,6800
2016-01-15,1.920000,1.920000,1.920000,1.920000,1.920000,0
2016-01-19,1.720000,2.000000,1.720000,1.990000,1.990000,2400
2016-01-20,1.940000,2.000000,1.930000,2.000000,2.000000,4800
2016-01-21,1.800000,1.920000,1.800000,1.910000,1.910000,1400
2016-01-22,1.800000,1.920000,1.800000,1.860000,1.860000,6300
2016-01-25,1.910000,1.980000,1.910000,1.980000,1.980000,300
2016-01-26,1.850000,1.890000,1.510000,1.650000,1.650000,20100
2016-01-27,1.680000,1.680000,1.570000,1.570000,1.570000,2300
2016-01-28,1.570000,1.570000,1.540000,1.570000,1.570000,3500
2016-01-29,1.640000,1.800000,1.530000,1.530000,1.530000,5300
2016-02-01,1.700000,1.710000,1.570000,1.570000,1.570000,2900
2016-02-02,1.700000,1.800000,1.680000,1.800000,1.800000,2700
2016-02-03,1.850000,1.850000,1.840000,1.850000,1.850000,400
2016-02-04,1.770000,1.810000,1.770000,1.810000,1.810000,4400
2016-02-05,1.810000,1.810000,1.810000,1.810000,1.810000,400
2016-02-08,1.760000,1.810000,1.750000,1.790000,1.790000,1000
2016-02-09,1.730000,1.730000,1.630000,1.630000,1.630000,1700
2016-02-10,1.630000,1.630000,1.630000,1.630000,1.630000,0
2016-02-11,1.720000,1.720000,1.720000,1.720000,1.720000,600
2016-02-12,1.720000,1.720000,1.720000,1.720000,1.720000,0
2016-02-16,1.750000,1.750000,1.720000,1.720000,1.720000,2000
2016-02-17,1.760000,1.760000,1.760000,1.760000,1.760000,100
2016-02-18,1.760000,1.760000,1.760000,1.760000,1.760000,0
2016-02-19,1.900000,1.900000,1.830000,1.830000,1.830000,3500
2016-02-22,1.920000,1.920000,1.890000,1.900000,1.900000,1800
2016-02-23,1.900000,1.900000,1.880000,1.880000,1.880000,500
2016-02-24,1.900000,1.900000,1.900000,1.900000,1.900000,2200
2016-02-25,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-02-26,1.820000,1.820000,1.820000,1.820000,1.820000,200
2016-02-29,1.740000,1.900000,1.740000,1.830000,1.830000,500
2016-03-01,1.980000,1.980000,1.870000,1.870000,1.870000,400
2016-03-02,2.040000,2.040000,1.860000,1.860000,1.860000,2500
2016-03-03,1.830000,1.830000,1.830000,1.830000,1.830000,200
2016-03-04,1.810000,1.910000,1.810000,1.900000,1.900000,7200
2016-03-07,1.870000,1.890000,1.870000,1.880000,1.880000,1400
2016-03-08,1.900000,1.970000,1.710000,1.900000,1.900000,36500
2016-03-09,1.810000,1.900000,1.810000,1.900000,1.900000,300
2016-03-10,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-03-11,1.890000,1.980000,1.840000,1.980000,1.980000,6100
2016-03-14,1.970000,1.970000,1.970000,1.970000,1.970000,400
2016-03-15,1.860000,1.860000,1.850000,1.850000,1.850000,1500
