Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,9.780000,9.970000,9.740000,9.960000,7.462859,28500
2016-01-12,10.070000,10.080000,9.660000,9.890000,7.410408,43300
2016-01-13,9.960000,9.960000,9.550000,9.640000,7.223086,53100
2016-01-14,9.730000,9.920000,9.590000,9.790000,7.335480,91200
2016-01-15,9.520000,9.620000,9.320000,9.450000,7.080724,62000
2016-01-19,9.580000,9.660000,9.340000,9.520000,7.133173,43900
2016-01-20,9.450000,9.570000,9.260000,9.380000,7.028273,102700
2016-01-21,9.380000,9.530000,9.340000,9.400000,7.043258,100400
2016-01-22,9.450000,9.560000,9.370000,9.420000,7.058246,82900
2016-01-25,9.400000,9.430000,9.280000,9.380000,7.028273,86300
2016-01-26,9.460000,9.690000,9.110000,9.400000,7.043258,66400
2016-01-27,9.340000,9.650000,9.110000,9.160000,6.863432,66300
2016-01-28,9.250000,9.430000,9.150000,9.340000,6.998303,30900
2016-01-29,9.400000,9.750000,9.260000,9.730000,7.290521,91900
2016-02-01,9.640000,9.750000,9.550000,9.670000,7.245565,30200
2016-02-02,9.600000,9.660000,9.540000,9.590000,7.185624,24300
2016-02-03,9.700000,9.760000,9.330000,9.520000,7.133173,23700
2016-02-04,9.530000,9.730000,9.410000,9.450000,7.080724,22600
2016-02-05,9.430000,9.430000,9.090000,9.090000,6.810981,69200
2016-02-08,9.040000,9.330000,9.010000,9.280000,6.953344,57800
2016-02-09,9.120000,9.250000,9.000000,9.030000,6.766025,50100
2016-02-10,9.020000,9.200000,8.900000,8.920000,6.758449,36700
2016-02-11,8.720000,9.130000,8.710000,8.940000,6.773601,54600
2016-02-12,9.030000,9.190000,8.900000,9.100000,6.894829,24000
2016-02-16,9.200000,9.330000,9.010000,9.100000,6.894829,84300
2016-02-17,9.190000,9.370000,9.030000,9.250000,7.008481,86700
2016-02-18,9.320000,9.400000,9.200000,9.260000,7.016054,50200
2016-02-19,9.240000,9.670000,9.240000,9.600000,7.273665,69300
2016-02-22,9.660000,9.830000,9.600000,9.620000,7.288820,34500
2016-02-23,9.620000,9.710000,9.540000,9.540000,7.228205,34500
2016-02-24,9.500000,9.680000,9.360000,9.470000,7.175168,46600
2016-02-25,9.500000,9.760000,9.260000,9.730000,7.372162,67900
2016-02-26,9.600000,9.770000,9.260000,9.290000,7.038785,113800
2016-02-29,9.240000,9.510000,9.240000,9.400000,7.122130,84000
2016-03-01,9.490000,9.510000,9.260000,9.440000,7.152438,42000
2016-03-02,9.480000,9.480000,9.230000,9.290000,7.038785,49900
2016-03-03,9.260000,9.510000,9.070000,9.120000,6.909983,53400
2016-03-04,9.080000,9.170000,9.040000,9.100000,6.894829,41700
2016-03-07,9.040000,9.170000,9.040000,9.150000,6.932713,57500
2016-03-08,9.120000,9.190000,9.040000,9.050000,6.856946,87600
2016-03-09,9.050000,9.180000,8.780000,8.870000,6.720565,95400
2016-03-10,8.900000,9.310000,8.700000,8.760000,6.637220,67200
2016-03-11,8.810000,8.940000,8.660000,8.700000,6.591760,80500
2016-03-14,8.690000,8.820000,8.560000,8.740000,6.622065,35700
2016-03-15,8.760000,8.990000,8.680000,8.730000,6.614490,85400
2016-03-16,8.750000,8.810000,8.680000,8.740000,6.622065,38200
2016-03-17,8.770000,8.990000,8.610000,8.950000,6.781178,45600
2016-03-18,9.010000,9.010000,8.800000,8.820000,6.682679,107700
2016-03-21,8.780000,8.950000,8.690000,8.790000,6.659951,44100
2016-03-22,8.760000,8.890000,8.720000,8.850000,6.705410,27800
2016-03-23,8.870000,8.900000,8.660000,8.700000,6.591760,52500
2016-03-24,8.740000,8.880000,8.610000,8.860000,6.712987,44100
2016-03-28,8.840000,8.910000,8.690000,8.740000,6.622065,21400
2016-03-29,8.750000,9.000000,8.750000,8.940000,6.773601,34900
2016-03-30,8.960000,8.960000,8.820000,8.840000,6.697834,41100
2016-03-31,8.810000,9.110000,8.660000,9.000000,6.819061,57500
2016-04-01,8.920000,9.050000,8.820000,8.970000,6.796332,20500
2016-04-04,8.920000,9.010000,8.780000,8.780000,6.652373,33300
2016-04-05,8.750000,8.840000,8.700000,8.780000,6.652373,46700
2016-04-06,8.790000,8.890000,8.710000,8.850000,6.705410,28300
2016-04-07,8.770000,8.830000,8.720000,8.740000,6.622065,56700
2016-04-08,8.780000,8.830000,8.610000,8.700000,6.591760,40100
2016-04-11,8.790000,8.790000,8.650000,8.670000,6.569030,47200
2016-04-12,8.640000,9.030000,8.610000,8.880000,6.728141,79800
2016-04-13,8.980000,9.020000,8.830000,9.010000,6.826639,46300
2016-04-14,8.990000,9.080000,8.900000,8.930000,6.766025,26900
2016-04-15,8.880000,9.140000,8.820000,9.000000,6.819061,33000
2016-04-18,8.950000,9.090000,8.950000,9.040000,6.849369,38000
2016-04-19,9.030000,9.070000,8.920000,8.950000,6.781178,30100
2016-04-20,8.920000,9.040000,8.860000,8.990000,6.811487,47100
2016-04-21,8.920000,9.020000,8.860000,8.940000,6.773601,47100
2016-04-22,8.880000,9.150000,8.880000,9.130000,6.917560,20500
2016-04-25,9.100000,9.120000,8.940000,8.960000,6.788756,21600
2016-04-26,8.940000,9.150000,8.940000,9.090000,6.887252,53800
2016-04-27,9.060000,9.160000,9.010000,9.140000,6.925135,42400
2016-04-28,9.160000,9.190000,9.070000,9.140000,6.925135,30000
2016-04-29,9.080000,9.200000,8.980000,9.140000,6.925135,36900
2016-05-02,9.130000,9.250000,9.030000,9.220000,6.985750,27500
2016-05-03,9.190000,9.200000,8.990000,9.010000,6.826639,27900
2016-05-04,8.940000,9.140000,8.940000,9.030000,6.841792,31900
2016-05-05,9.100000,9.190000,9.010000,9.050000,6.856946,47000
2016-05-06,9.100000,9.130000,8.880000,8.970000,6.796332,57900
2016-05-09,9.000000,9.090000,8.850000,8.990000,6.811487,38600
2016-05-10,8.980000,9.110000,8.890000,9.070000,6.872100,22700
2016-05-11,8.940000,8.970000,8.810000,8.870000,6.795488,33900
2016-05-12,8.860000,8.970000,8.800000,8.850000,6.780164,34100
2016-05-13,8.820000,9.030000,8.820000,8.960000,6.864439,21200
2016-05-16,8.990000,9.220000,8.980000,9.090000,6.964033,39100
2016-05-17,9.160000,9.160000,8.730000,8.940000,6.849114,95700
2016-05-18,8.880000,9.130000,8.840000,9.000000,6.895082,32300
2016-05-19,8.980000,9.160000,8.940000,9.140000,7.002338,38600
2016-05-20,9.140000,9.320000,9.110000,9.300000,7.124920,57600
2016-05-23,9.360000,9.790000,9.360000,9.580000,7.339433,222100
2016-05-24,9.650000,9.870000,9.650000,9.810000,7.515640,39000
2016-05-25,9.810000,9.810000,9.620000,9.650000,7.393061,27500
2016-05-26,9.720000,9.790000,9.590000,9.590000,7.347095,22100
2016-05-27,9.670000,9.680000,9.560000,9.600000,7.354754,22200
2016-05-31,9.630000,9.680000,9.570000,9.640000,7.385398,32700
2016-06-01,9.630000,9.770000,9.590000,9.750000,7.469674,42500
2016-06-02,9.720000,9.830000,9.670000,9.780000,7.492656,36200
2016-06-03,9.810000,9.880000,9.670000,9.770000,7.484994,25900
2016-06-06,9.840000,9.970000,9.840000,9.940000,7.615236,42900
2016-06-07,9.900000,10.000000,9.780000,9.940000,7.615236,18900
2016-06-08,10.010000,10.020000,9.880000,9.980000,7.645882,42600
2016-06-09,9.980000,10.120000,9.940000,9.990000,7.653542,69200
2016-06-10,9.970000,10.000000,9.860000,9.950000,7.622896,33800
2016-06-13,9.900000,10.060000,9.900000,10.040000,7.691847,21000
2016-06-14,10.010000,10.190000,9.970000,10.170000,7.791444,31900
2016-06-15,10.170000,10.170000,10.080000,10.100000,7.737815,15800
2016-06-16,10.020000,10.250000,9.940000,10.220000,7.829749,29600
2016-06-17,10.220000,10.220000,9.920000,9.930000,7.607575,90700
2016-06-20,10.030000,10.150000,9.970000,10.010000,7.668864,54000
2016-06-21,10.040000,10.040000,9.850000,9.990000,7.653542,41500
2016-06-22,9.960000,9.970000,9.770000,9.800000,7.507978,34100
2016-06-23,9.900000,10.340000,9.680000,10.320000,7.906361,93200
2016-06-24,10.020000,10.250000,9.590000,10.060000,7.707169,870000
2016-06-27,10.070000,10.310000,10.030000,10.190000,7.806762,66900
2016-06-28,10.260000,10.270000,9.960000,10.080000,7.722494,88200
2016-06-29,10.180000,10.260000,10.080000,10.230000,7.837409,64100
2016-06-30,10.280000,10.620000,10.280000,10.480000,8.028940,55800
2016-07-01,10.430000,10.550000,10.430000,10.490000,8.036604,30800
2016-07-05,10.440000,10.550000,10.240000,10.480000,8.028940,41100
2016-07-06,10.440000,10.560000,10.330000,10.450000,8.005955,51900
2016-07-07,10.420000,10.540000,10.410000,10.440000,7.998296,36400
2016-07-08,10.540000,10.770000,10.480000,10.740000,8.228132,64700
2016-07-11,10.750000,11.000000,10.680000,10.920000,8.366034,50300
2016-07-12,11.040000,11.040000,10.820000,10.960000,8.396678,80100
2016-07-13,10.950000,10.960000,10.780000,10.800000,8.274099,28800
2016-07-14,10.850000,10.900000,10.790000,10.800000,8.274099,35100
2016-07-15,10.880000,11.280000,10.750000,10.780000,8.258778,42300
2016-07-18,10.800000,11.000000,10.770000,10.920000,8.366034,69500
2016-07-19,10.940000,10.990000,10.880000,10.930000,8.373695,34600
2016-07-20,10.940000,11.000000,10.820000,10.830000,8.297081,54000
2016-07-21,10.850000,10.990000,10.800000,10.930000,8.373695,28000
2016-07-22,10.950000,11.000000,10.770000,10.850000,8.312407,41300
2016-07-25,10.800000,10.850000,10.800000,10.850000,8.312407,22200
2016-07-26,10.850000,11.140000,10.810000,11.130000,8.526918,46900
2016-07-27,11.080000,11.180000,10.950000,11.130000,8.526918,38200
2016-07-28,11.090000,11.140000,11.010000,11.100000,8.503933,15100
2016-07-29,11.130000,11.190000,10.960000,11.030000,8.450305,82400
2016-08-01,11.100000,11.100000,11.000000,11.070000,8.480951,42800
2016-08-02,11.080000,11.170000,10.960000,11.000000,8.427324,23600
2016-08-03,10.930000,11.040000,10.840000,11.020000,8.527925,26900
2016-08-04,10.950000,11.050000,10.950000,11.010000,8.520185,18400
2016-08-05,11.040000,11.110000,10.990000,11.020000,8.527925,49500
2016-08-08,11.050000,11.090000,11.020000,11.070000,8.566616,14400
2016-08-09,11.120000,11.210000,11.000000,11.170000,8.644005,24600
2016-08-10,11.170000,11.170000,11.040000,11.080000,8.574355,13300
2016-08-11,11.070000,11.230000,11.060000,11.200000,8.667218,43500
2016-08-12,11.230000,11.240000,11.170000,11.210000,8.674959,29800
2016-08-15,11.180000,11.370000,11.160000,11.180000,8.651742,60700
2016-08-16,11.220000,11.250000,11.100000,11.150000,8.628524,54000
2016-08-17,11.200000,11.210000,10.940000,11.060000,8.558880,39000
2016-08-18,11.030000,11.260000,11.020000,11.250000,8.705912,33300
2016-08-19,11.270000,11.350000,11.090000,11.090000,8.582095,118300
2016-08-22,11.170000,11.170000,10.930000,10.980000,8.496970,66700
2016-08-23,10.960000,11.160000,10.960000,11.040000,8.543404,59100
2016-08-24,11.050000,11.300000,11.000000,11.270000,8.721390,43500
2016-08-25,11.200000,11.940000,11.190000,11.590000,8.969024,178300
2016-08-26,11.040000,11.270000,10.420000,10.600000,8.202905,108000
2016-08-29,10.570000,10.570000,9.930000,9.970000,7.715371,96400
2016-08-30,9.980000,10.470000,9.980000,10.430000,8.071347,87200
2016-08-31,10.400000,10.510000,10.200000,10.410000,8.055872,60400
2016-09-01,10.460000,10.570000,10.250000,10.290000,7.963006,51000
2016-09-02,10.380000,10.490000,10.300000,10.470000,8.102301,57100
2016-09-06,10.540000,10.780000,10.460000,10.710000,8.288028,50300
2016-09-07,10.750000,10.970000,10.750000,10.910000,8.442801,68900
2016-09-08,10.940000,11.000000,10.800000,10.990000,8.504707,43600
2016-09-09,10.860000,10.990000,10.550000,10.580000,8.187427,51200
2016-09-12,10.610000,10.850000,10.540000,10.850000,8.396369,49300
2016-09-13,10.840000,10.960000,10.600000,10.670000,8.257072,52500
2016-09-14,10.640000,10.760000,10.560000,10.580000,8.187427,40500
2016-09-15,10.630000,10.690000,10.560000,10.640000,8.233858,39400
2016-09-16,10.690000,10.980000,10.560000,10.920000,8.450540,166000
2016-09-19,11.000000,11.000000,10.580000,10.650000,8.241597,51800
2016-09-20,10.660000,10.970000,10.620000,10.820000,8.373155,27600
2016-09-21,10.880000,11.000000,10.640000,10.830000,8.380891,51400
2016-09-22,10.940000,11.020000,10.630000,11.000000,8.512448,110700
2016-09-23,11.030000,11.090000,10.940000,10.990000,8.504707,33500
2016-09-26,10.970000,10.990000,10.840000,10.850000,8.396369,27300
2016-09-27,10.900000,10.950000,10.830000,10.910000,8.442801,29700
2016-09-28,10.880000,10.950000,10.870000,10.910000,8.442801,48200
2016-09-29,10.900000,10.940000,10.770000,10.820000,8.373155,26600
2016-09-30,10.920000,11.160000,10.820000,11.100000,8.589831,52800
2016-10-03,11.020000,11.170000,10.970000,11.040000,8.543404,36500
2016-10-04,11.220000,11.220000,10.770000,10.890000,8.427324,29600
2016-10-05,10.840000,11.000000,10.800000,10.810000,8.365415,28700
2016-10-06,10.760000,10.830000,10.530000,10.670000,8.257072,36700
2016-10-07,10.820000,10.820000,10.510000,10.690000,8.272552,33400
2016-10-10,10.770000,10.990000,10.710000,10.960000,8.481493,19700
2016-10-11,10.990000,10.990000,10.720000,10.790000,8.349938,37600
2016-10-12,10.820000,11.020000,10.710000,11.010000,8.520185,281100
2016-10-13,10.940000,10.960000,10.710000,10.770000,8.334458,76900
2016-10-14,10.830000,11.110000,10.570000,10.840000,8.388631,101500
2016-10-17,10.800000,10.970000,10.790000,10.950000,8.473756,97500
2016-10-18,10.980000,11.060000,10.790000,10.800000,8.357677,34600
2016-10-19,10.810000,10.810000,10.530000,10.630000,8.226121,28600
2016-10-20,10.670000,10.710000,10.500000,10.540000,8.156474,38200
2016-10-21,10.500000,10.600000,10.500000,10.600000,8.202905,32200
2016-10-24,10.700000,10.700000,10.590000,10.640000,8.233858,27100
2016-10-25,10.660000,10.840000,10.620000,10.690000,8.272552,38300
2016-10-26,10.690000,10.750000,10.590000,10.670000,8.257072,41900
2016-10-27,10.610000,10.690000,10.510000,10.530000,8.148734,34900
2016-10-28,10.500000,10.980000,10.310000,10.400000,8.048131,67800
2016-10-31,10.380000,10.980000,10.280000,10.430000,8.071347,44900
2016-11-01,10.480000,10.740000,10.170000,10.200000,7.893360,69600
2016-11-02,10.240000,10.290000,10.010000,10.130000,7.839189,30700
2016-11-03,10.190000,10.360000,10.050000,10.100000,7.815974,36900
2016-11-04,10.130000,10.330000,10.100000,10.230000,7.916574,27900
2016-11-07,10.450000,10.450000,10.210000,10.420000,8.063607,34300
