Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,36.669998,36.860001,34.369999,35.060001,29.106058,8342700
2016-01-12,35.549999,35.689999,34.189999,35.419998,29.404917,9004500
2016-01-13,35.939999,37.220001,35.360001,35.599998,29.554344,8597000
2016-01-14,35.880001,37.639999,35.259998,37.029999,30.741505,6544400
2016-01-15,35.240002,35.910000,33.560001,35.330002,29.330202,10127400
2016-01-19,35.500000,35.689999,33.799999,34.480000,28.624557,8317500
2016-01-20,33.270000,35.349998,32.200001,34.610001,28.942327,8741800
2016-01-21,34.330002,37.590000,34.119999,37.240002,31.141645,7468000
2016-01-22,38.990002,40.060001,37.639999,39.380001,32.931198,7053600
2016-01-25,38.360001,40.639999,37.380001,37.430000,31.300528,5861400
2016-01-26,38.349998,38.810001,37.080002,38.029999,31.802275,7572500
2016-01-27,37.669998,40.259998,37.400002,38.630001,32.304016,5722700
2016-01-28,40.759998,40.980000,38.980000,40.599998,33.951412,4289500
2016-01-29,40.980000,42.540001,40.919998,42.540001,35.573723,5464400
2016-02-01,41.270000,41.750000,40.240002,40.820000,34.135395,5037400
2016-02-02,39.500000,40.070000,38.450001,38.549999,32.237118,6275000
2016-02-03,39.730000,41.299999,37.759998,41.240002,34.486607,5386100
2016-02-04,42.060001,43.799999,40.490002,40.740002,34.068489,7533600
2016-02-05,40.299999,40.310001,38.459999,39.049999,32.655235,6399300
2016-02-08,38.200001,38.360001,36.869999,37.580002,31.425974,6316300
2016-02-09,36.529999,37.130001,34.290001,35.580002,29.753485,7548000
2016-02-10,35.410000,36.330002,35.009998,35.330002,29.544420,5325100
2016-02-11,34.349998,35.040001,33.230000,34.380001,28.749987,5881100
2016-02-12,34.970001,36.939999,34.660000,36.529999,30.547903,5812300
2016-02-16,37.189999,37.880001,36.639999,37.470001,31.333986,4274300
2016-02-17,38.220001,40.340000,37.910000,40.060001,33.499844,5128700
2016-02-18,40.770000,40.889999,37.919998,38.799999,32.446175,6684200
2016-02-19,37.900002,37.970001,36.270000,37.330002,31.216911,5614400
2016-02-22,38.340000,39.750000,38.340000,39.610001,33.123539,4702700
2016-02-23,38.889999,39.779999,37.860001,37.880001,31.676830,5480500
2016-02-24,36.950001,38.720001,36.209999,38.599998,32.278938,7818000
2016-02-25,37.930000,38.930000,36.090000,37.790001,31.601574,7965100
2016-02-26,39.090000,40.480000,38.400002,39.470001,33.006466,5546300
2016-02-29,39.490002,39.500000,37.689999,38.279999,32.011333,5330300
2016-03-01,38.470001,38.680000,36.259998,38.619999,32.295658,5884700
2016-03-02,38.330002,42.009998,38.160000,41.970001,35.097069,6606500
2016-03-03,41.750000,45.599998,41.750000,45.090000,37.706142,10048500
2016-03-04,45.630001,48.939999,45.160000,48.040001,40.173058,8779100
2016-03-07,48.029999,51.110001,47.619999,51.020000,42.665058,10459600
2016-03-08,50.320000,50.419998,46.119999,46.169998,38.609280,8107600
2016-03-09,47.250000,47.689999,45.009998,46.230000,38.659454,6639800
2016-03-10,45.900002,46.650002,44.750000,46.250000,38.676174,5159900
2016-03-11,47.380001,49.040001,47.369999,48.970001,40.950756,6188200
2016-03-14,47.720001,48.900002,47.430000,48.189999,40.298496,4751900
2016-03-15,47.029999,48.020000,46.830002,47.930000,40.081059,5146800
2016-03-16,48.509998,49.980000,48.110001,49.250000,41.184910,5663700
2016-03-17,49.950001,51.020000,49.480000,50.470001,42.205120,4978500
2016-03-18,51.270000,51.810001,48.529999,49.630001,41.502678,7009600
2016-03-21,49.139999,50.750000,48.740002,49.880001,41.711746,3401800
2016-03-22,49.060001,51.320000,49.020000,50.270000,42.037876,3916500
2016-03-23,49.279999,49.730000,47.650002,47.860001,40.022526,5682500
2016-03-24,47.009998,48.860001,46.590000,48.849998,40.850407,4460600
2016-03-28,48.980000,49.080002,47.599998,48.410000,40.482456,3257300
2016-03-29,47.480000,48.630001,47.049999,48.560001,40.607903,3133300
2016-03-30,49.250000,49.509998,48.070000,48.639999,40.674797,3004400
2016-03-31,48.349998,49.180000,48.020000,48.810001,40.816967,3922700
2016-04-01,47.459999,48.630001,47.090000,47.500000,39.721481,5578600
2016-04-04,47.540001,48.290001,46.619999,46.820000,39.152843,2956500
2016-04-05,46.400002,48.180000,46.150002,47.330002,39.579315,2575400
2016-04-06,47.810001,49.900002,47.310001,49.759998,41.611382,3655000
2016-04-07,49.209999,50.009998,48.349998,49.189999,41.134731,2617000
2016-04-08,50.750000,51.639999,50.180000,50.660000,42.364002,4125500
2016-04-11,51.180000,51.660000,49.919998,49.950001,41.770271,3240300
2016-04-12,50.590000,53.689999,50.139999,53.290001,44.563320,5145000
2016-04-13,53.099998,53.110001,51.520000,52.459999,43.869232,3769300
2016-04-14,52.840000,53.450001,52.349998,52.970001,44.295731,1954500
2016-04-15,52.310001,52.639999,51.540001,52.049999,43.526390,2999000
2016-04-18,50.270000,53.869999,50.070000,53.439999,44.688763,3293800
2016-04-19,53.980000,55.500000,53.209999,55.020000,46.010021,4722700
2016-04-20,54.480000,55.439999,53.580002,54.680000,45.934406,3667100
2016-04-21,54.939999,55.619999,54.330002,54.779999,46.018417,3578700
2016-04-22,55.270000,56.660000,55.160000,56.200001,47.211308,2865100
2016-04-25,55.660000,55.980000,53.990002,54.410000,45.707584,3504800
2016-04-26,54.889999,56.009998,53.930000,55.880001,46.942490,3453700
2016-04-27,56.430000,58.060001,56.310001,57.540001,48.336987,4883800
2016-04-28,56.880001,57.630001,55.279999,55.430000,46.564457,2948400
2016-04-29,55.889999,56.270000,53.290001,54.400002,45.699207,4700100
2016-05-02,54.610001,54.970001,53.169998,54.240002,45.564781,4649900
2016-05-03,53.049999,53.820000,51.410000,52.130001,43.792267,5260000
2016-05-04,52.250000,52.730000,50.080002,50.730000,42.616188,4480400
2016-05-05,51.910000,55.000000,51.520000,54.820000,46.052032,6807800
2016-05-06,53.950001,55.570000,53.590000,53.840000,45.228760,6562100
2016-05-09,53.450001,53.450001,51.689999,52.119999,43.783867,4544500
2016-05-10,52.610001,53.340000,52.060001,53.090000,44.598728,4842300
2016-05-11,53.080002,54.820000,51.790001,54.009998,45.371578,5906700
2016-05-12,54.970001,55.599998,54.240002,54.299999,45.615204,5065300
2016-05-13,53.580002,54.490002,52.470001,53.020000,44.539913,2973900
2016-05-16,54.380001,55.599998,54.380001,54.799999,46.035213,4038100
2016-05-17,54.860001,55.810001,54.119999,55.119999,46.304035,4075700
2016-05-18,57.680000,58.209999,55.209999,56.610001,47.555721,12947400
2016-05-19,55.820000,57.209999,54.270000,56.980000,47.866543,6359500
2016-05-20,57.169998,57.610001,56.270000,57.110001,47.975754,3241400
