Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,1.620000,1.680000,1.620000,1.660000,1.660000,24200
2016-01-12,1.660000,1.670000,1.580000,1.610000,1.610000,28200
2016-01-13,1.590000,1.620000,1.570000,1.590000,1.590000,57000
2016-01-14,1.570000,1.630000,1.560000,1.590000,1.590000,34600
2016-01-15,1.600000,1.640000,1.560000,1.570000,1.570000,73800
2016-01-19,1.600000,1.630000,1.570000,1.570000,1.570000,18200
2016-01-20,1.560000,1.610000,1.560000,1.590000,1.590000,32700
2016-01-21,1.560000,1.590000,1.560000,1.580000,1.580000,25600
2016-01-22,1.580000,1.630000,1.560000,1.580000,1.580000,28900
2016-01-25,1.580000,1.620000,1.580000,1.580000,1.580000,26200
2016-01-26,1.580000,1.650000,1.580000,1.600000,1.600000,24600
2016-01-27,1.640000,1.720000,1.640000,1.700000,1.700000,52400
2016-01-28,1.700000,1.770000,1.700000,1.740000,1.740000,57100
2016-01-29,1.720000,1.800000,1.650000,1.650000,1.650000,69100
2016-02-01,1.660000,1.740000,1.630000,1.670000,1.670000,37200
2016-02-02,1.670000,1.720000,1.660000,1.680000,1.680000,27600
2016-02-03,1.680000,1.710000,1.660000,1.680000,1.680000,22900
2016-02-04,1.680000,1.720000,1.680000,1.690000,1.690000,55600
2016-02-05,1.690000,1.710000,1.650000,1.650000,1.650000,93200
2016-02-08,1.650000,1.680000,1.580000,1.600000,1.600000,45500
2016-02-09,1.600000,1.650000,1.580000,1.590000,1.590000,24600
2016-02-10,1.590000,1.640000,1.580000,1.600000,1.600000,60400
2016-02-11,1.580000,1.630000,1.560000,1.580000,1.580000,50200
2016-02-12,1.640000,1.640000,1.560000,1.570000,1.570000,33400
2016-02-16,1.570000,1.650000,1.550000,1.620000,1.620000,29900
2016-02-17,1.620000,1.690000,1.620000,1.690000,1.690000,42500
2016-02-18,1.670000,1.710000,1.640000,1.640000,1.640000,44100
2016-02-19,1.680000,1.690000,1.620000,1.620000,1.620000,27500
2016-02-22,1.680000,1.730000,1.680000,1.690000,1.690000,57300
2016-02-23,1.650000,1.720000,1.640000,1.700000,1.700000,58300
2016-02-24,1.700000,1.700000,1.660000,1.680000,1.680000,35900
2016-02-25,1.700000,1.720000,1.620000,1.690000,1.690000,25100
