Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,1.360000,1.360000,1.360000,1.360000,1.276282,0
2016-01-12,1.360000,1.360000,1.360000,1.360000,1.276282,0
2016-01-13,1.590000,1.600000,1.500000,1.500000,1.407664,3300
2016-01-14,1.640000,1.640000,1.640000,1.640000,1.539046,300
2016-01-15,1.640000,1.640000,1.640000,1.640000,1.539046,0
2016-01-19,1.540000,1.540000,1.530000,1.530000,1.435817,2000
2016-01-20,1.530000,1.530000,1.530000,1.530000,1.435817,0
2016-01-21,1.530000,1.530000,1.530000,1.530000,1.435817,0
2016-01-22,1.360000,1.520000,1.090000,1.200000,1.126131,7100
2016-01-25,1.480000,1.490000,1.290000,1.290000,1.210591,900
2016-01-26,1.270000,1.510000,1.270000,1.450000,1.360742,1700
2016-01-27,1.450000,1.450000,1.440000,1.450000,1.360742,3300
2016-01-28,1.550000,1.650000,1.550000,1.550000,1.454586,7400
2016-01-29,1.650000,1.660000,1.490000,1.660000,1.557815,6500
2016-02-01,1.660000,1.660000,1.660000,1.660000,1.557815,0
2016-02-02,1.490000,1.550000,1.490000,1.550000,1.454586,300
2016-02-03,1.550000,1.550000,1.550000,1.550000,1.454586,0
2016-02-04,1.550000,1.550000,1.550000,1.550000,1.454586,0
2016-02-05,1.550000,1.550000,1.550000,1.550000,1.454586,0
2016-02-08,1.550000,1.550000,1.550000,1.550000,1.454586,0
2016-02-09,1.200000,1.750000,1.200000,1.350000,1.266898,9300
2016-02-10,1.350000,1.350000,1.350000,1.350000,1.266898,0
2016-02-11,1.350000,1.350000,1.350000,1.350000,1.266898,0
2016-02-12,1.480000,1.480000,1.280000,1.280000,1.201207,200
2016-02-16,1.300000,1.500000,1.300000,1.450000,1.360742,1100
2016-02-17,1.590000,1.600000,1.550000,1.590000,1.492124,5200
2016-02-18,1.600000,1.600000,1.580000,1.590000,1.492124,12800
2016-02-19,1.590000,1.590000,1.590000,1.590000,1.492124,0
2016-02-22,1.590000,1.590000,1.590000,1.590000,1.492124,0
2016-02-23,1.370000,1.580000,1.370000,1.570000,1.473355,900
2016-02-24,1.480000,1.550000,1.480000,1.550000,1.454586,500
2016-02-25,1.550000,1.550000,1.550000,1.550000,1.454586,0
2016-02-26,1.390000,1.550000,1.390000,1.550000,1.454586,1300
2016-02-29,1.550000,1.550000,1.350000,1.540000,1.445202,800
2016-03-01,1.540000,1.540000,1.540000,1.540000,1.445202,0
2016-03-02,1.540000,1.550000,1.540000,1.550000,1.454586,500
2016-03-03,1.560000,1.560000,1.560000,1.560000,1.463971,100
2016-03-04,1.590000,1.590000,1.590000,1.590000,1.492124,600
2016-03-07,1.590000,1.710000,1.590000,1.710000,1.604737,2400
2016-03-08,1.750000,1.760000,1.610000,1.610000,1.510893,1200
2016-03-09,1.610000,1.610000,1.610000,1.610000,1.510893,0
2016-03-10,1.610000,1.610000,1.610000,1.610000,1.510893,0
2016-03-11,1.610000,1.610000,1.610000,1.610000,1.510893,0
2016-03-14,1.610000,1.610000,1.610000,1.610000,1.510893,0
2016-03-15,1.610000,1.610000,1.610000,1.610000,1.510893,0
2016-03-16,1.670000,1.670000,1.670000,1.670000,1.567199,800
2016-03-17,1.670000,1.670000,1.670000,1.670000,1.567199,0
2016-03-18,1.670000,1.670000,1.670000,1.670000,1.567199,0
2016-03-21,1.670000,1.670000,1.670000,1.670000,1.567199,0
2016-03-22,1.670000,1.670000,1.670000,1.670000,1.567199,0
2016-03-23,1.670000,1.670000,1.670000,1.670000,1.567199,0
2016-03-24,1.600000,1.600000,1.600000,1.600000,1.501508,100
2016-03-28,1.560000,1.900000,1.540000,1.700000,1.595353,4500
2016-03-29,1.850000,1.850000,1.810000,1.810000,1.698581,4000
2016-03-30,1.810000,1.850000,1.810000,1.850000,1.736119,5300
2016-03-31,1.850000,1.850000,1.850000,1.850000,1.736119,600
