Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.050000,6.390000,5.730000,5.780000,5.780000,847200
2016-01-12,5.810000,5.970000,5.740000,5.890000,5.890000,1358500
2016-01-13,5.900000,6.030000,5.760000,5.820000,5.820000,931500
2016-01-14,5.890000,5.980000,5.790000,5.790000,5.790000,884800
2016-01-15,5.660000,5.740000,5.430000,5.650000,5.650000,815000
2016-01-19,5.710000,5.860000,5.580000,5.610000,5.610000,921200
2016-01-20,5.530000,5.960000,5.360000,5.920000,5.920000,1499400
2016-01-21,5.910000,5.930000,5.740000,5.780000,5.780000,688800
2016-01-22,5.870000,6.090000,5.790000,6.040000,6.040000,1029900
2016-01-25,6.040000,6.160000,5.900000,5.910000,5.910000,484500
2016-01-26,5.950000,6.180000,5.780000,6.100000,6.100000,774200
2016-01-27,6.110000,6.290000,5.970000,6.070000,6.070000,747300
2016-01-28,6.100000,6.290000,5.730000,5.800000,5.800000,953100
2016-01-29,5.470000,5.640000,5.140000,5.330000,5.330000,2262200
2016-02-01,5.270000,6.180000,5.260000,6.120000,6.120000,3069200
2016-02-02,6.050000,6.180000,5.820000,5.870000,5.870000,938000
2016-02-03,5.880000,5.880000,5.500000,5.680000,5.680000,1000500
2016-02-04,5.650000,5.840000,5.600000,5.620000,5.620000,344500
2016-02-05,5.580000,5.590000,5.310000,5.340000,5.340000,728100
2016-02-08,5.290000,5.290000,4.940000,5.150000,5.150000,1262700
2016-02-09,5.080000,5.210000,4.910000,5.040000,5.040000,609500
2016-02-10,5.110000,5.280000,4.940000,4.960000,4.960000,1768700
2016-02-11,4.930000,5.140000,4.830000,5.110000,5.110000,719300
2016-02-12,5.150000,5.200000,4.850000,5.130000,5.130000,1431900
2016-02-16,5.180000,5.300000,5.050000,5.100000,5.100000,498100
2016-02-17,5.110000,5.490000,5.110000,5.480000,5.480000,760100
2016-02-18,5.470000,5.660000,5.200000,5.310000,5.310000,502800
2016-02-19,5.300000,5.400000,5.170000,5.240000,5.240000,306800
2016-02-22,5.300000,5.300000,4.990000,5.030000,5.030000,632600
2016-02-23,5.010000,5.220000,5.010000,5.060000,5.060000,779800
2016-02-24,5.030000,5.210000,4.890000,5.210000,5.210000,937600
2016-02-25,5.230000,5.330000,5.030000,5.140000,5.140000,316900
2016-02-26,5.160000,5.250000,5.120000,5.170000,5.170000,242300
2016-02-29,5.170000,5.230000,5.020000,5.050000,5.050000,560300
2016-03-01,5.070000,5.240000,5.000000,5.180000,5.180000,1891600
2016-03-02,5.150000,5.580000,5.150000,5.350000,5.350000,1539900
2016-03-03,5.350000,5.450000,5.240000,5.360000,5.360000,821100
2016-03-04,5.340000,5.550000,5.280000,5.460000,5.460000,751700
2016-03-07,5.450000,5.580000,5.380000,5.460000,5.460000,798200
2016-03-08,5.440000,5.540000,5.310000,5.430000,5.430000,604000
2016-03-09,5.420000,5.510000,5.300000,5.460000,5.460000,360800
2016-03-10,5.500000,5.550000,5.250000,5.400000,5.400000,915900
2016-03-11,5.440000,5.560000,5.220000,5.500000,5.500000,507100
2016-03-14,5.500000,5.660000,5.460000,5.600000,5.600000,482900
2016-03-15,5.550000,5.600000,5.200000,5.260000,5.260000,403900
2016-03-16,5.250000,5.300000,5.020000,5.100000,5.100000,552800
2016-03-17,5.110000,5.250000,5.000000,5.120000,5.120000,625800
2016-03-18,5.160000,5.420000,5.060000,5.380000,5.380000,836600
2016-03-21,5.380000,5.580000,5.340000,5.430000,5.430000,576800
2016-03-22,5.430000,5.640000,5.360000,5.580000,5.580000,692600
2016-03-23,5.580000,5.640000,5.410000,5.430000,5.430000,590000
2016-03-24,5.410000,5.430000,5.220000,5.400000,5.400000,702400
2016-03-28,5.400000,5.520000,5.350000,5.400000,5.400000,355500
2016-03-29,5.360000,5.660000,5.330000,5.620000,5.620000,512400
2016-03-30,5.650000,5.700000,5.410000,5.570000,5.570000,612400
2016-03-31,5.610000,5.860000,5.600000,5.780000,5.780000,547100
2016-04-01,5.730000,5.800000,5.570000,5.710000,5.710000,487600
2016-04-04,5.750000,5.940000,5.690000,5.800000,5.800000,503400
2016-04-05,5.770000,5.790000,5.640000,5.660000,5.660000,322600
2016-04-06,5.650000,5.910000,5.650000,5.870000,5.870000,388500
2016-04-07,5.830000,6.000000,5.750000,5.880000,5.880000,445300
2016-04-08,5.930000,5.930000,5.570000,5.740000,5.740000,533700
2016-04-11,5.750000,5.850000,5.660000,5.750000,5.750000,360600
2016-04-12,5.740000,5.970000,5.670000,5.930000,5.930000,719900
2016-04-13,5.950000,6.160000,5.890000,6.090000,6.090000,597200
2016-04-14,6.080000,6.200000,6.060000,6.140000,6.140000,351200
2016-04-15,6.120000,6.200000,6.090000,6.120000,6.120000,401300
2016-04-18,6.120000,6.330000,5.950000,6.240000,6.240000,1533400
2016-04-19,6.260000,6.330000,6.170000,6.180000,6.180000,260500
2016-04-20,6.210000,6.240000,6.050000,6.100000,6.100000,318000
2016-04-21,6.120000,6.260000,5.980000,6.110000,6.110000,616900
2016-04-22,6.130000,6.240000,6.020000,6.130000,6.130000,375100
2016-04-25,6.120000,6.180000,5.860000,5.880000,5.880000,373100
2016-04-26,5.900000,5.960000,5.660000,5.690000,5.690000,871800
2016-04-27,5.500000,5.500000,5.100000,5.460000,5.460000,2353600
