Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.930000,3.950000,3.640000,3.710000,2.934723,316100
2016-01-12,3.720000,3.790000,3.510000,3.660000,2.895171,195100
2016-01-13,3.660000,3.760000,3.400000,3.460000,2.736965,165500
2016-01-14,3.490000,3.670000,3.390000,3.610000,2.855619,238300
2016-01-15,3.510000,3.550000,3.340000,3.510000,2.776516,169800
2016-01-19,3.500000,3.580000,3.320000,3.400000,2.689503,193700
2016-01-20,3.310000,3.570000,3.170000,3.500000,2.768606,180600
2016-01-21,3.470000,3.590000,3.360000,3.450000,2.729054,134400
2016-01-22,3.510000,3.600000,3.470000,3.530000,2.792337,90100
2016-01-25,3.450000,3.560000,3.360000,3.380000,2.673682,132000
2016-01-26,3.370000,3.680000,3.360000,3.670000,2.903082,95700
2016-01-27,3.670000,3.670000,3.490000,3.500000,2.768606,123300
2016-01-28,3.540000,3.670000,3.520000,3.560000,2.816068,67500
2016-01-29,3.590000,3.760000,3.590000,3.690000,2.918902,226900
2016-02-01,3.670000,3.750000,3.560000,3.730000,2.950543,107500
2016-02-02,3.650000,3.670000,3.560000,3.650000,2.887260,134700
2016-02-03,3.700000,3.700000,3.490000,3.620000,2.863530,136900
2016-02-04,3.600000,3.860000,3.600000,3.650000,2.887260,178700
2016-02-05,3.600000,3.720000,3.450000,3.460000,2.736965,221500
2016-02-08,3.410000,3.500000,3.340000,3.460000,2.736965,119000
2016-02-09,3.500000,3.600000,3.450000,3.530000,2.792337,189100
2016-02-10,3.550000,3.720000,3.540000,3.650000,2.887260,173800
2016-02-11,3.570000,3.590000,3.330000,3.380000,2.673682,102000
2016-02-12,3.420000,3.510000,3.390000,3.500000,2.768606,134400
2016-02-16,3.540000,3.630000,3.500000,3.630000,2.871440,88900
2016-02-17,3.610000,3.720000,3.590000,3.670000,2.903082,174700
2016-02-18,3.670000,3.720000,3.600000,3.650000,2.887260,103200
2016-02-19,3.660000,3.760000,3.590000,3.710000,2.934723,110900
2016-02-22,3.800000,3.850000,3.740000,3.740000,2.958454,189900
2016-02-23,3.770000,3.770000,3.680000,3.740000,2.958454,81500
2016-02-24,3.580000,3.580000,3.290000,3.450000,2.729054,205200
2016-02-25,3.450000,3.500000,3.350000,3.430000,2.713234,148400
2016-02-26,3.430000,3.590000,3.420000,3.500000,2.768606,103200
2016-02-29,3.470000,3.560000,3.430000,3.500000,2.768606,242400
2016-03-01,3.540000,3.620000,3.490000,3.590000,2.839799,137400
2016-03-02,3.570000,3.670000,3.570000,3.610000,2.855619,287700
2016-03-03,3.610000,3.650000,3.560000,3.610000,2.855619,655100
2016-03-04,3.630000,3.850000,3.630000,3.750000,2.966363,482400
2016-03-07,3.780000,3.900000,3.740000,3.780000,2.990095,610800
2016-03-08,3.800000,3.840000,3.650000,3.740000,2.958454,3503500
2016-03-09,3.760000,3.830000,3.760000,3.810000,3.013825,697000
2016-03-10,3.830000,3.850000,3.790000,3.840000,3.037556,567300
2016-03-11,3.900000,3.920000,3.840000,3.890000,3.077108,598700
2016-03-14,3.930000,3.990000,3.860000,3.950000,3.124570,620000
2016-03-15,3.920000,3.980000,3.880000,3.920000,3.100839,488500
2016-03-16,3.920000,3.980000,3.900000,3.960000,3.132480,360600
2016-03-17,3.960000,4.080000,3.920000,4.030000,3.187852,378100
2016-03-18,4.040000,4.110000,3.990000,4.000000,3.164121,456600
2016-03-21,3.960000,4.230000,3.960000,4.170000,3.298596,429000
2016-03-22,4.140000,4.210000,4.120000,4.120000,3.259044,311600
2016-03-23,4.120000,4.170000,4.070000,4.080000,3.227404,336300
2016-03-24,4.080000,4.230000,4.020000,4.170000,3.298596,213400
2016-03-28,4.230000,4.230000,4.030000,4.070000,3.219493,246900
2016-03-29,4.040000,4.200000,4.020000,4.160000,3.290686,426900
2016-03-30,4.160000,4.390000,4.160000,4.350000,3.440982,274800
2016-03-31,4.340000,4.530000,4.340000,4.500000,3.559637,917300
2016-04-01,4.450000,4.450000,4.160000,4.190000,3.314417,217400
2016-04-04,4.250000,4.300000,4.050000,4.070000,3.219493,316500
2016-04-05,4.000000,4.030000,3.820000,3.840000,3.037556,259100
2016-04-06,3.850000,4.100000,3.760000,4.090000,3.235314,494400
2016-04-07,4.050000,4.060000,3.870000,3.890000,3.077108,171100
2016-04-08,3.910000,4.060000,3.900000,3.970000,3.140390,130700
2016-04-11,3.900000,4.030000,3.790000,3.810000,3.013825,233500
2016-04-12,3.860000,4.100000,3.800000,4.070000,3.219493,248200
2016-04-13,4.100000,4.210000,4.070000,4.180000,3.306507,145100
2016-04-14,4.180000,4.180000,4.040000,4.130000,3.266955,146800
2016-04-15,4.120000,4.230000,4.120000,4.210000,3.330237,82500
2016-04-18,4.210000,4.210000,4.080000,4.160000,3.290686,115400
2016-04-19,4.140000,4.340000,4.140000,4.250000,3.361879,194300
2016-04-20,4.250000,4.310000,4.200000,4.220000,3.338148,80100
2016-04-21,4.200000,4.290000,4.110000,4.250000,3.361879,211500
2016-04-22,4.250000,4.390000,4.250000,4.360000,3.448892,98100
2016-04-25,4.310000,4.310000,4.150000,4.250000,3.361879,159800
2016-04-26,4.250000,4.410000,4.210000,4.380000,3.464713,183300
2016-04-27,4.350000,4.420000,4.250000,4.260000,3.369790,109500
2016-04-28,4.260000,4.370000,4.230000,4.250000,3.361879,112800
2016-04-29,4.210000,4.250000,4.080000,4.120000,3.259044,129100
2016-05-02,4.160000,4.230000,4.120000,4.200000,3.322327,118900
2016-05-03,4.150000,4.190000,4.010000,4.170000,3.298596,167300
2016-05-04,4.400000,4.490000,4.080000,4.230000,3.346059,641800
2016-05-05,4.230000,4.270000,3.960000,4.080000,3.227404,181400
2016-05-06,4.120000,4.210000,4.100000,4.140000,3.274866,136600
2016-05-09,4.140000,4.320000,4.070000,4.230000,3.346059,135900
2016-05-10,4.260000,4.380000,4.060000,4.110000,3.251135,160900
2016-05-11,4.110000,4.180000,4.030000,4.030000,3.187852,135500
2016-05-12,4.040000,4.180000,4.020000,4.100000,3.243225,178600
2016-05-13,4.040000,4.120000,3.880000,3.900000,3.085018,179000
2016-05-16,3.900000,4.010000,3.900000,3.910000,3.092929,151900
2016-05-17,3.890000,4.090000,3.810000,3.840000,3.037556,276400
2016-05-18,3.820000,3.880000,3.740000,3.840000,3.037556,289300
2016-05-19,3.790000,3.870000,3.770000,3.790000,2.998005,179500
2016-05-20,3.780000,4.010000,3.780000,3.900000,3.085018,189200
2016-05-23,3.880000,3.970000,3.850000,3.870000,3.061287,140500
2016-05-24,3.900000,4.020000,3.890000,3.990000,3.156211,139400
