Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.130000,3.150000,3.000000,3.070000,2.783555,473600
2016-01-12,3.080000,3.080000,2.720000,2.790000,2.529680,343500
2016-01-13,2.800000,2.910000,2.650000,2.690000,2.439011,302600
2016-01-14,2.700000,2.910000,2.640000,2.760000,2.502480,433700
2016-01-15,2.710000,2.710000,2.590000,2.600000,2.357408,432900
2016-01-19,2.600000,2.830000,2.600000,2.790000,2.529680,487700
2016-01-20,2.780000,2.780000,2.520000,2.710000,2.457144,335700
2016-01-21,2.680000,2.770000,2.620000,2.670000,2.420877,125900
2016-01-22,2.690000,2.880000,2.690000,2.830000,2.565948,277500
2016-01-25,2.810000,2.960000,2.740000,2.760000,2.502480,342400
2016-01-26,2.790000,2.840000,2.750000,2.810000,2.547815,177600
2016-01-27,2.830000,2.930000,2.820000,2.890000,2.620351,118700
2016-01-28,2.900000,2.970000,2.760000,2.830000,2.565948,232300
2016-01-29,2.840000,2.960000,2.770000,2.860000,2.593149,175300
2016-02-01,2.820000,2.830000,2.620000,2.760000,2.502480,474500
2016-02-02,2.710000,2.880000,2.670000,2.770000,2.511547,300600
2016-02-03,2.770000,2.780000,2.600000,2.720000,2.466211,327900
2016-02-04,2.730000,2.850000,2.730000,2.830000,2.565948,180200
2016-02-05,2.790000,2.800000,2.680000,2.700000,2.448078,319500
2016-02-08,2.660000,2.670000,2.440000,2.520000,2.284872,706700
2016-02-09,2.460000,2.670000,2.380000,2.520000,2.284872,664600
2016-02-10,2.570000,2.590000,2.310000,2.380000,2.157936,396700
2016-02-11,2.320000,2.360000,2.250000,2.270000,2.058199,481500
2016-02-12,2.280000,2.320000,2.160000,2.210000,2.003798,465500
2016-02-16,2.280000,2.330000,2.220000,2.280000,2.067265,392600
2016-02-17,2.270000,2.390000,2.270000,2.360000,2.139801,481300
2016-02-18,2.330000,2.460000,2.330000,2.440000,2.212337,698400
2016-02-19,2.440000,2.450000,2.400000,2.420000,2.194203,382100
2016-02-22,2.410000,2.480000,2.370000,2.440000,2.212337,362000
2016-02-23,2.420000,2.440000,2.390000,2.400000,2.176069,189400
2016-02-24,2.370000,2.540000,2.330000,2.420000,2.194203,1274000
2016-02-25,2.420000,2.600000,2.420000,2.570000,2.330207,1834100
2016-02-26,2.590000,2.680000,2.500000,2.660000,2.411809,571600
