Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,2.760000,2.860000,2.760000,2.860000,2.860000,700
2016-01-12,2.900000,2.980000,2.760000,2.760000,2.760000,2200
2016-01-13,2.850000,2.970000,2.760000,2.770000,2.770000,5700
2016-01-14,2.800000,2.800000,2.760000,2.760000,2.760000,4200
2016-01-15,2.800000,2.800000,2.720000,2.760000,2.760000,6800
2016-01-19,2.800000,2.800000,2.460000,2.580000,2.580000,10600
2016-01-20,2.580000,2.580000,2.580000,2.580000,2.580000,0
2016-01-21,2.590000,2.610000,2.590000,2.610000,2.610000,6300
2016-01-22,2.650000,2.750000,2.600000,2.740000,2.740000,11600
2016-01-25,2.940000,2.950000,2.540000,2.870000,2.870000,6400
2016-01-26,2.950000,2.990000,2.560000,2.730000,2.730000,6500
2016-01-27,2.570000,3.000000,2.540000,2.870000,2.870000,10600
2016-01-28,2.870000,2.870000,2.870000,2.870000,2.870000,0
2016-01-29,2.650000,3.000000,2.650000,2.810000,2.810000,4500
2016-02-01,2.900000,2.920000,2.860000,2.920000,2.920000,1200
2016-02-02,2.750000,2.860000,2.750000,2.760000,2.760000,2000
2016-02-03,2.770000,2.950000,2.750000,2.900000,2.900000,3400
2016-02-04,2.960000,3.000000,2.960000,3.000000,3.000000,1700
2016-02-05,2.970000,2.990000,2.920000,2.950000,2.950000,2800
2016-02-08,2.890000,2.990000,2.890000,2.920000,2.920000,2400
2016-02-09,2.890000,2.920000,2.890000,2.920000,2.920000,2200
2016-02-10,2.890000,2.900000,2.890000,2.890000,2.890000,1800
2016-02-11,2.850000,2.860000,2.850000,2.850000,2.850000,1600
2016-02-12,2.850000,2.850000,2.850000,2.850000,2.850000,0
2016-02-16,2.740000,2.780000,2.680000,2.680000,2.680000,2000
2016-02-17,2.870000,2.870000,2.730000,2.730000,2.730000,400
2016-02-18,2.720000,2.730000,2.660000,2.730000,2.730000,500
2016-02-19,2.730000,2.800000,2.730000,2.800000,2.800000,1400
2016-02-22,2.800000,2.910000,2.800000,2.830000,2.830000,11900
2016-02-23,2.880000,2.920000,2.880000,2.900000,2.900000,600
2016-02-24,3.030000,3.190000,3.020000,3.180000,3.180000,8600
2016-02-25,3.020000,3.020000,3.020000,3.020000,3.020000,100
2016-02-26,3.020000,3.020000,3.020000,3.020000,3.020000,0
2016-02-29,2.950000,3.190000,2.950000,3.100000,3.100000,6300
2016-03-01,2.930000,3.030000,2.900000,3.030000,3.030000,4800
