Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,4.500000,4.630000,4.410000,4.630000,4.630000,33500
2016-01-12,4.860000,5.000000,4.620000,5.000000,5.000000,13900
2016-01-13,4.900000,5.140000,4.900000,5.100000,5.100000,13300
2016-01-14,5.060000,5.120000,5.060000,5.120000,5.120000,2000
2016-01-15,5.070000,5.200000,5.000000,5.100000,5.100000,16300
2016-01-19,5.130000,5.140000,5.100000,5.140000,5.140000,7800
2016-01-20,5.140000,5.150000,5.140000,5.140000,5.140000,700
2016-01-21,5.140000,5.140000,5.140000,5.140000,5.140000,200
2016-01-22,5.200000,5.270000,5.170000,5.270000,5.270000,75900
2016-01-25,5.290000,5.450000,5.290000,5.450000,5.450000,4100
2016-01-26,5.400000,5.470000,5.370000,5.380000,5.380000,18500
2016-01-27,5.370000,5.380000,5.300000,5.380000,5.380000,11700
2016-01-28,5.410000,5.450000,5.410000,5.410000,5.410000,9700
2016-01-29,5.490000,5.490000,5.360000,5.370000,5.370000,1600
2016-02-01,5.360000,5.490000,5.360000,5.490000,5.490000,3800
2016-02-02,5.490000,5.490000,5.490000,5.490000,5.490000,100
2016-02-03,5.400000,5.480000,5.230000,5.480000,5.480000,13800
2016-02-04,5.480000,5.480000,5.480000,5.480000,5.480000,0
2016-02-05,5.460000,5.590000,5.430000,5.510000,5.510000,37100
2016-02-08,5.240000,5.260000,5.210000,5.210000,5.210000,2300
2016-02-09,5.230000,5.310000,5.230000,5.310000,5.310000,900
2016-02-10,5.460000,5.460000,5.230000,5.370000,5.370000,2000
2016-02-11,5.370000,5.370000,5.370000,5.370000,5.370000,0
2016-02-12,5.380000,5.510000,5.380000,5.470000,5.470000,4900
2016-02-16,5.300000,5.360000,5.260000,5.260000,5.260000,5300
2016-02-17,5.350000,5.440000,5.320000,5.440000,5.440000,19400
2016-02-18,5.390000,5.410000,5.260000,5.410000,5.410000,1300
2016-02-19,5.430000,5.440000,5.250000,5.290000,5.290000,4300
2016-02-22,5.290000,5.310000,5.290000,5.300000,5.300000,6100
2016-02-23,5.420000,5.420000,5.420000,5.420000,5.420000,100
2016-02-24,5.420000,5.420000,5.420000,5.420000,5.420000,0
2016-02-25,5.400000,5.420000,5.400000,5.420000,5.420000,700
2016-02-26,5.430000,5.440000,5.430000,5.440000,5.440000,200
2016-02-29,5.240000,5.240000,5.240000,5.240000,5.240000,200
2016-03-01,5.240000,5.600000,5.240000,5.600000,5.600000,15500
2016-03-02,5.320000,5.320000,5.320000,5.320000,5.320000,1100
2016-03-03,5.490000,5.600000,5.250000,5.340000,5.340000,12800
2016-03-04,5.400000,5.590000,5.360000,5.360000,5.360000,600
2016-03-07,5.490000,5.490000,5.480000,5.490000,5.490000,900
2016-03-08,5.490000,5.490000,5.410000,5.410000,5.410000,300
2016-03-09,5.410000,5.410000,5.410000,5.410000,5.410000,0
2016-03-10,5.450000,5.470000,5.360000,5.470000,5.470000,8500
2016-03-11,5.450000,5.470000,5.430000,5.450000,5.450000,9100
2016-03-14,5.220000,5.450000,5.220000,5.450000,5.450000,3900
2016-03-15,5.450000,5.470000,5.450000,5.470000,5.470000,300
2016-03-16,5.450000,5.490000,5.260000,5.480000,5.480000,9700
2016-03-17,5.360000,5.360000,5.360000,5.360000,5.360000,200
2016-03-18,5.400000,5.650000,5.400000,5.600000,5.600000,12800
2016-03-21,5.470000,5.610000,5.470000,5.600000,5.600000,10100
2016-03-22,5.610000,5.690000,5.600000,5.670000,5.670000,5300
2016-03-23,5.370000,5.640000,5.370000,5.640000,5.640000,900
2016-03-24,5.390000,5.660000,5.390000,5.560000,5.560000,5800
2016-03-28,5.600000,5.600000,5.600000,5.600000,5.600000,300
2016-03-29,5.470000,5.630000,5.400000,5.400000,5.400000,7500
2016-03-30,5.260000,5.620000,5.260000,5.360000,5.360000,6700
2016-03-31,5.370000,5.450000,5.360000,5.360000,5.360000,8000
2016-04-01,5.270000,5.430000,5.270000,5.320000,5.320000,1200
2016-04-04,5.300000,5.300000,5.300000,5.300000,5.300000,400
2016-04-05,5.300000,5.300000,5.300000,5.300000,5.300000,0
2016-04-06,5.300000,5.300000,5.300000,5.300000,5.300000,0
2016-04-07,5.460000,5.460000,5.300000,5.300000,5.300000,1600
2016-04-08,5.300000,5.340000,5.300000,5.340000,5.340000,800
2016-04-11,5.300000,5.310000,5.300000,5.310000,5.310000,1300
2016-04-12,5.310000,5.310000,5.310000,5.310000,5.310000,0
2016-04-13,5.220000,5.220000,5.220000,5.220000,5.220000,600
2016-04-14,5.220000,5.220000,5.220000,5.220000,5.220000,0
2016-04-15,5.480000,5.480000,5.370000,5.410000,5.410000,11000
2016-04-18,5.480000,5.480000,5.320000,5.320000,5.320000,500
2016-04-19,5.350000,5.350000,5.310000,5.310000,5.310000,1200
2016-04-20,5.450000,5.450000,5.450000,5.450000,5.450000,400
2016-04-21,5.450000,5.450000,5.450000,5.450000,5.450000,0
2016-04-22,5.310000,5.320000,5.310000,5.320000,5.320000,400
2016-04-25,5.320000,5.320000,5.320000,5.320000,5.320000,0
2016-04-26,5.300000,5.330000,5.300000,5.310000,5.310000,900
2016-04-27,5.240000,5.250000,5.230000,5.230000,5.230000,2300
2016-04-28,5.240000,5.240000,5.240000,5.240000,5.240000,600
2016-04-29,5.220000,5.220000,5.220000,5.220000,5.220000,2000
2016-05-02,5.100000,5.300000,5.100000,5.160000,5.160000,4200
2016-05-03,5.160000,5.160000,5.160000,5.160000,5.160000,0
2016-05-04,5.200000,5.200000,5.200000,5.200000,5.200000,500
2016-05-05,5.280000,5.280000,5.100000,5.230000,5.230000,5900
2016-05-06,5.230000,5.230000,5.230000,5.230000,5.230000,0
2016-05-09,5.370000,5.370000,5.370000,5.370000,5.370000,400
2016-05-10,5.360000,5.360000,5.110000,5.110000,5.110000,500
2016-05-11,5.250000,5.300000,5.240000,5.300000,5.300000,4300
2016-05-12,5.320000,5.320000,5.000000,5.000000,5.000000,42300
2016-05-13,5.000000,5.250000,5.000000,5.230000,5.230000,4500
2016-05-16,5.230000,5.230000,5.230000,5.230000,5.230000,0
2016-05-17,4.980000,5.220000,4.980000,5.200000,5.200000,600
2016-05-18,5.200000,5.200000,5.200000,5.200000,5.200000,0
2016-05-19,5.200000,5.220000,5.000000,5.000000,5.000000,18200
2016-05-20,5.000000,5.000000,4.980000,4.980000,4.980000,1200
2016-05-23,4.950000,4.970000,4.950000,4.970000,4.970000,2300
2016-05-24,4.980000,4.980000,4.970000,4.970000,4.970000,1200
