Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,5.190000,5.210000,5.090000,5.100000,3.400142,1290300
2016-01-12,5.180000,5.180000,5.060000,5.110000,3.406809,491300
2016-01-13,5.150000,5.230000,5.110000,5.140000,3.426809,889800
2016-01-14,5.150000,5.260000,5.140000,5.240000,3.493479,760300
2016-01-15,5.020000,5.080000,4.970000,5.020000,3.346807,890100
2016-01-19,5.120000,5.160000,4.980000,5.030000,3.353473,925800
2016-01-20,4.930000,5.100000,4.890000,5.100000,3.400142,1103200
2016-01-21,5.050000,5.170000,5.050000,5.130000,3.420143,1647100
2016-01-22,5.130000,5.190000,5.110000,5.180000,3.453477,881900
2016-01-25,5.190000,5.200000,5.120000,5.130000,3.420143,467300
2016-01-26,5.140000,5.250000,5.120000,5.240000,3.493479,1057100
2016-01-27,5.230000,5.300000,5.200000,5.210000,3.473479,1161600
2016-01-28,5.260000,5.260000,5.130000,5.150000,3.433476,745100
2016-01-29,5.190000,5.400000,5.190000,5.350000,3.566816,469200
2016-02-01,5.160000,5.270000,5.130000,5.270000,3.513480,1115300
2016-02-02,5.260000,5.260000,5.120000,5.120000,3.413475,715200
2016-02-03,5.150000,5.200000,5.070000,5.170000,3.446811,593200
2016-02-04,5.200000,5.350000,5.200000,5.350000,3.566816,736500
2016-02-05,5.320000,5.320000,5.190000,5.230000,3.486812,391300
2016-02-08,5.120000,5.190000,5.080000,5.150000,3.433476,400600
2016-02-09,5.090000,5.180000,5.020000,5.040000,3.360140,459200
2016-02-10,5.090000,5.120000,5.000000,5.020000,3.346807,345800
2016-02-11,4.930000,5.030000,4.900000,4.950000,3.300138,979600
2016-02-12,5.040000,5.060000,4.950000,5.050000,3.366807,534600
2016-02-16,5.110000,5.230000,5.110000,5.230000,3.486812,745300
2016-02-17,5.640000,5.670000,5.620000,5.640000,3.760157,5670600
2016-02-18,5.560000,5.630000,5.550000,5.610000,3.740156,870400
2016-02-19,5.560000,5.570000,5.500000,5.500000,3.666820,841400
2016-02-22,5.440000,5.540000,5.430000,5.540000,3.693487,912500
2016-02-23,5.570000,5.630000,5.550000,5.560000,3.706822,975500
2016-02-24,5.500000,5.570000,5.440000,5.560000,3.706822,683400
2016-02-25,5.610000,5.640000,5.560000,5.640000,3.760157,643500
2016-02-26,5.680000,5.710000,5.600000,5.610000,3.740156,332200
2016-02-29,5.630000,5.680000,5.600000,5.620000,3.746823,363600
2016-03-01,5.660000,5.750000,5.630000,5.750000,3.833493,408400
2016-03-02,5.740000,5.900000,5.710000,5.870000,3.913496,1756100
2016-03-03,5.880000,5.880000,5.810000,5.850000,3.900163,573300
2016-03-04,5.830000,5.870000,5.800000,5.870000,3.913496,846500
2016-03-07,5.780000,5.790000,5.700000,5.700000,3.800158,604100
2016-03-08,5.770000,5.780000,5.700000,5.700000,3.800158,422000
2016-03-09,5.660000,5.660000,5.590000,5.600000,3.733489,842300
2016-03-10,5.630000,5.650000,5.560000,5.640000,3.760157,711900
2016-03-11,5.700000,5.850000,5.700000,5.840000,3.893496,1038800
2016-03-14,5.780000,5.860000,5.760000,5.810000,3.873495,2166800
2016-03-15,5.620000,5.640000,5.580000,5.630000,3.753490,1065000
2016-03-16,5.560000,5.680000,5.530000,5.670000,3.780158,1665600
2016-03-17,5.740000,5.760000,5.700000,5.730000,3.820159,1045100
2016-03-18,5.780000,5.790000,5.690000,5.690000,3.793491,4057400
2016-03-21,5.690000,5.740000,5.660000,5.730000,3.820159,508300
2016-03-22,5.660000,5.710000,5.640000,5.670000,3.780158,742700
