Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,4.060000,4.150000,4.020000,4.050000,3.564041,67600
2016-01-12,4.080000,4.130000,4.060000,4.100000,3.608041,36900
2016-01-13,4.110000,4.150000,4.010000,4.050000,3.564041,43500
2016-01-14,4.040000,4.080000,3.970000,4.000000,3.520040,71400
2016-01-15,3.920000,3.960000,3.830000,3.940000,3.467240,50000
2016-01-19,3.980000,3.990000,3.840000,3.860000,3.396839,49600
2016-01-20,3.730000,3.800000,3.660000,3.770000,3.317638,71300
2016-01-21,3.790000,3.800000,3.710000,3.790000,3.335238,65000
2016-01-22,3.800000,4.070000,3.790000,3.930000,3.458439,87800
2016-01-25,3.900000,4.080000,3.900000,3.970000,3.493640,84500
2016-01-26,3.940000,4.080000,3.810000,4.010000,3.528840,113300
2016-01-27,3.960000,4.320000,3.910000,4.210000,3.704842,114200
2016-01-28,4.220000,4.290000,4.190000,4.210000,3.704842,51700
2016-01-29,4.210000,4.350000,4.210000,4.320000,3.801644,65400
2016-02-01,4.260000,4.380000,4.160000,4.320000,3.801644,84100
2016-02-02,4.210000,4.390000,4.190000,4.310000,3.792843,68800
2016-02-03,4.340000,4.340000,4.280000,4.300000,3.784043,37700
2016-02-04,4.320000,4.350000,4.200000,4.300000,3.784043,54500
2016-02-05,4.260000,4.350000,4.190000,4.310000,3.792843,73700
2016-02-08,4.160000,4.330000,4.140000,4.240000,3.731243,64000
2016-02-09,4.130000,4.390000,4.120000,4.170000,3.669642,189000
2016-02-10,4.170000,4.250000,4.090000,4.120000,3.625641,210000
2016-02-11,3.890000,4.030000,3.890000,3.940000,3.467240,63200
2016-02-12,3.910000,4.140000,3.690000,4.020000,3.537641,50700
2016-02-16,4.110000,4.230000,4.080000,4.160000,3.660842,89000
2016-02-17,4.210000,4.350000,4.210000,4.280000,3.766443,60200
2016-02-18,4.220000,4.520000,4.210000,4.380000,3.854444,114200
2016-02-19,4.400000,4.450000,4.300000,4.320000,3.801644,61000
2016-02-22,4.380000,4.430000,4.350000,4.350000,3.828043,59500
2016-02-23,4.320000,4.360000,4.200000,4.200000,3.696042,55300
2016-02-24,4.130000,4.300000,4.110000,4.270000,3.757643,54600
2016-02-25,4.240000,4.280000,4.200000,4.250000,3.740042,36600
2016-02-26,4.240000,4.290000,4.240000,4.270000,3.757643,46900
2016-02-29,4.300000,4.350000,4.220000,4.310000,3.792843,97900
2016-03-01,4.300000,4.400000,4.300000,4.400000,3.872044,78300
2016-03-02,4.350000,4.410000,4.350000,4.380000,3.854444,51600
2016-03-03,4.410000,4.490000,4.380000,4.450000,3.916045,87300
2016-03-04,4.440000,4.570000,4.440000,4.510000,3.968846,67900
2016-03-07,4.500000,4.720000,4.490000,4.650000,4.092047,89000
2016-03-08,4.650000,4.660000,4.620000,4.620000,4.065647,40400
2016-03-09,4.650000,4.760000,4.650000,4.680000,4.118446,46200
2016-03-10,4.760000,4.770000,4.530000,4.540000,3.995245,69900
2016-03-11,4.230000,4.720000,4.140000,4.690000,4.127247,50300
2016-03-14,4.530000,4.650000,4.520000,4.570000,4.021646,63600
2016-03-15,4.520000,4.570000,4.410000,4.510000,3.968846,35800
2016-03-16,4.490000,4.560000,4.470000,4.520000,3.977646,41100
2016-03-17,4.510000,4.550000,4.430000,4.490000,3.951245,70700
2016-03-18,4.520000,4.580000,4.430000,4.480000,3.942445,35500
2016-03-21,4.490000,4.610000,4.490000,4.540000,3.995245,28200
2016-03-22,4.510000,4.630000,4.470000,4.570000,4.021646,52600
2016-03-23,4.600000,4.630000,4.490000,4.580000,4.030446,55000
2016-03-24,4.540000,4.620000,4.510000,4.520000,3.977646,26100
2016-03-28,4.530000,4.650000,4.520000,4.590000,4.039247,41000
2016-03-29,4.530000,4.680000,4.530000,4.680000,4.118446,36800
2016-03-30,4.750000,4.750000,4.390000,4.680000,4.118446,86200
2016-03-31,4.710000,4.710000,4.600000,4.650000,4.092047,32000
2016-04-01,4.590000,4.710000,4.390000,4.680000,4.118446,60700
2016-04-04,4.640000,4.720000,4.610000,4.700000,4.136048,32200
2016-04-05,4.620000,4.700000,4.590000,4.680000,4.118446,35700
2016-04-06,4.700000,4.720000,4.590000,4.700000,4.136048,68100
2016-04-07,4.590000,4.620000,4.480000,4.540000,3.995245,73100
2016-04-08,4.540000,4.550000,4.460000,4.500000,3.960046,64000
2016-04-11,4.510000,4.590000,4.510000,4.510000,3.968846,31300
2016-04-12,4.500000,4.500000,4.380000,4.460000,3.924845,58700
2016-04-13,4.530000,4.540000,4.420000,4.440000,3.907244,59100
2016-04-14,4.430000,4.470000,4.320000,4.340000,3.819244,66500
2016-04-15,4.340000,4.510000,4.310000,4.480000,3.942445,36600
2016-04-18,4.440000,4.510000,4.410000,4.410000,3.880845,27900
2016-04-19,4.430000,4.460000,4.360000,4.400000,3.872044,27400
2016-04-20,4.380000,4.410000,4.310000,4.360000,3.836844,40100
2016-04-21,4.360000,4.450000,4.360000,4.450000,3.916045,31000
2016-04-22,4.470000,4.480000,4.200000,4.410000,3.880845,38000
2016-04-25,4.360000,4.520000,4.250000,4.260000,3.748843,43800
2016-04-26,4.150000,4.380000,4.150000,4.370000,3.845644,48500
2016-04-27,4.380000,4.530000,4.360000,4.510000,3.968846,54400
2016-04-28,4.510000,4.510000,4.380000,4.380000,3.854444,37500
2016-04-29,4.400000,4.450000,4.330000,4.350000,3.828043,22000
2016-05-02,4.330000,4.340000,4.160000,4.280000,3.766443,71900
2016-05-03,4.160000,4.210000,3.950000,4.020000,3.537641,87700
2016-05-04,3.970000,4.250000,3.960000,4.250000,3.740042,112300
2016-05-05,4.110000,4.110000,3.880000,3.880000,3.414439,54600
2016-05-06,3.900000,3.980000,3.840000,3.960000,3.484839,59200
2016-05-09,3.960000,3.960000,3.860000,3.910000,3.440840,72900
2016-05-10,3.900000,3.940000,3.830000,3.920000,3.449640,45700
2016-05-11,3.880000,3.930000,3.710000,3.790000,3.335238,117500
2016-05-12,3.870000,3.870000,3.720000,3.800000,3.344038,41500
2016-05-13,3.760000,3.930000,3.740000,3.930000,3.458439,58000
2016-05-16,3.850000,3.970000,3.830000,3.880000,3.414439,56200
2016-05-17,3.830000,3.880000,3.740000,3.760000,3.308838,35100
2016-05-18,3.750000,3.850000,3.710000,3.790000,3.335238,55600
2016-05-19,3.730000,3.780000,3.690000,3.780000,3.326438,62400
2016-05-20,3.790000,3.840000,3.750000,3.790000,3.335238,38800
2016-05-23,3.780000,3.900000,3.720000,3.840000,3.379238,52500
2016-05-24,3.880000,3.990000,3.880000,3.950000,3.476040,51900
2016-05-25,3.900000,4.000000,3.880000,3.890000,3.423239,18700
2016-05-26,3.890000,3.940000,3.820000,3.870000,3.405639,14000
2016-05-27,3.890000,4.090000,3.820000,3.990000,3.511240,76000
2016-05-31,3.880000,3.920000,3.800000,3.800000,3.344038,74100
2016-06-01,3.830000,3.920000,3.790000,3.900000,3.432039,137000
2016-06-02,3.880000,3.970000,3.850000,3.900000,3.432039,51400
2016-06-03,3.950000,3.960000,3.770000,3.870000,3.405639,87200
2016-06-06,3.890000,4.060000,3.860000,3.960000,3.484839,71300
2016-06-07,3.890000,4.050000,3.890000,3.910000,3.440840,83000
2016-06-08,3.870000,3.960000,3.800000,3.850000,3.388038,83600
2016-06-09,3.880000,3.960000,3.770000,3.950000,3.476040,56700
2016-06-10,3.850000,3.900000,3.850000,3.860000,3.396839,11800
2016-06-13,3.820000,3.840000,3.770000,3.770000,3.317638,33700
2016-06-14,3.740000,3.800000,3.680000,3.750000,3.300038,33800
2016-06-15,3.740000,3.870000,3.740000,3.830000,3.370439,31000
2016-06-16,4.080000,4.180000,4.040000,4.150000,3.652043,134600
2016-06-17,4.150000,4.150000,4.100000,4.130000,3.634441,71200
2016-06-20,4.150000,4.150000,4.070000,4.110000,3.616841,36400
2016-06-21,4.130000,4.150000,4.080000,4.090000,3.599241,36900
2016-06-22,4.120000,4.160000,4.050000,4.100000,3.608041,49800
2016-06-23,4.160000,4.200000,4.130000,4.160000,3.660842,31300
2016-06-24,4.010000,4.120000,4.010000,4.080000,3.590441,62100
2016-06-27,4.040000,4.040000,3.870000,3.950000,3.476040,76700
