Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,4.080000,4.500000,4.020000,4.260000,4.260000,29567
2016-01-12,4.260000,4.620000,3.960000,4.140000,4.140000,38300
2016-01-13,4.140000,4.320000,3.840000,3.900000,3.900000,26183
2016-01-14,3.840000,4.440000,3.840000,4.140000,4.140000,14017
2016-01-15,4.020000,4.140000,3.840000,3.960000,3.960000,8933
2016-01-19,4.020000,4.260000,3.720000,4.200000,4.200000,12883
2016-01-20,4.080000,4.200000,3.540000,3.960000,3.960000,32083
2016-01-21,3.900000,4.140000,3.780000,3.900000,3.900000,19883
2016-01-22,3.900000,4.200000,3.900000,3.900000,3.900000,4033
2016-01-25,3.960000,4.140000,3.600000,3.840000,3.840000,10100
2016-01-26,3.840000,4.560000,3.840000,4.200000,4.200000,26517
2016-01-27,4.500000,4.680000,4.260000,4.440000,4.440000,4617
2016-01-28,4.440000,4.740000,4.200000,4.440000,4.440000,16950
2016-01-29,4.380000,4.740000,4.380000,4.440000,4.440000,12200
2016-02-01,4.320000,4.500000,3.900000,4.440000,4.440000,15950
2016-02-02,4.080000,4.380000,3.900000,4.320000,4.320000,13767
2016-02-03,4.260000,4.320000,4.020000,4.260000,4.260000,9483
2016-02-04,4.140000,4.320000,4.020000,4.200000,4.200000,7617
2016-02-05,4.140000,4.380000,4.020000,4.080000,4.080000,8250
2016-02-08,4.020000,4.020000,3.900000,3.900000,3.900000,6250
2016-02-09,3.840000,4.080000,3.660000,3.840000,3.840000,21733
2016-02-10,3.840000,3.840000,3.480000,3.480000,3.480000,36433
2016-02-11,3.540000,4.020000,3.120000,3.300000,3.300000,58467
2016-02-12,3.360000,3.840000,3.300000,3.420000,3.420000,30133
2016-02-16,3.420000,3.780000,3.300000,3.600000,3.600000,21567
2016-02-17,3.540000,4.020000,3.540000,4.020000,4.020000,27800
2016-02-18,3.900000,4.680000,3.780000,4.620000,4.620000,27817
2016-02-19,4.440000,4.800000,4.200000,4.440000,4.440000,13917
2016-02-22,4.080000,4.440000,3.900000,4.080000,4.080000,42783
2016-02-23,3.900000,4.380000,3.480000,4.020000,4.020000,19233
2016-02-24,3.900000,4.320000,3.900000,3.960000,3.960000,11967
2016-02-25,3.900000,4.200000,3.900000,4.200000,4.200000,5067
2016-02-26,4.080000,4.320000,4.020000,4.140000,4.140000,3017
2016-02-29,4.140000,4.320000,3.900000,3.900000,3.900000,25000
2016-03-01,3.900000,4.020000,3.540000,3.780000,3.780000,50483
2016-03-02,3.720000,4.200000,3.720000,4.080000,4.080000,26250
2016-03-03,4.020000,4.320000,3.960000,4.200000,4.200000,21533
2016-03-04,4.140000,4.440000,3.840000,4.080000,4.080000,23867
2016-03-07,3.900000,4.380000,3.900000,4.080000,4.080000,17967
2016-03-08,3.960000,4.320000,3.960000,3.960000,3.960000,16683
2016-03-09,4.020000,4.200000,4.020000,4.020000,4.020000,4117
2016-03-10,4.080000,4.200000,3.960000,4.080000,4.080000,8650
2016-03-11,4.080000,4.200000,3.960000,4.080000,4.080000,8183
2016-03-14,4.020000,4.200000,3.960000,4.140000,4.140000,7533
2016-03-15,4.080000,4.140000,3.960000,3.960000,3.960000,5167
2016-03-16,3.960000,4.200000,3.960000,3.960000,3.960000,7500
2016-03-17,3.960000,4.200000,3.840000,4.080000,4.080000,4867
2016-03-18,4.200000,4.200000,3.960000,3.960000,3.960000,16083
2016-03-21,3.960000,4.020000,3.900000,4.020000,4.020000,5200
2016-03-22,4.200000,4.200000,3.960000,4.020000,4.020000,13767
2016-03-23,4.020000,4.200000,3.960000,4.080000,4.080000,10833
2016-03-24,4.020000,4.020000,3.900000,3.900000,3.900000,17850
2016-03-28,4.200000,4.200000,3.840000,3.960000,3.960000,9267
2016-03-29,4.200000,4.320000,3.840000,4.140000,4.140000,20933
2016-03-30,4.200000,4.500000,4.080000,4.440000,4.440000,11317
2016-03-31,4.380000,4.740000,4.260000,4.260000,4.260000,13750
2016-04-01,4.320000,4.500000,4.020000,4.140000,4.140000,13500
2016-04-04,4.140000,4.620000,4.020000,4.140000,4.140000,13533
2016-04-05,4.020000,4.500000,4.020000,4.140000,4.140000,4117
2016-04-06,4.140000,4.500000,4.080000,4.140000,4.140000,7850
2016-04-07,4.440000,4.440000,4.200000,4.320000,4.320000,2383
2016-04-08,4.320000,4.320000,4.140000,4.140000,4.140000,3983
