Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,25.650000,26.100000,25.049999,25.500000,25.500000,1107
2016-01-12,24.750000,25.350000,24.000000,24.900000,24.900000,573
2016-01-13,24.450001,25.049999,24.000000,24.750000,24.750000,613
2016-01-14,24.450001,24.750000,23.549999,24.450001,24.450001,1507
2016-01-15,23.100000,24.750000,15.000000,23.100000,23.100000,3407
2016-01-19,22.500000,22.500000,19.350000,22.049999,22.049999,5180
2016-01-20,20.400000,23.549999,20.250000,22.950001,22.950001,4193
2016-01-21,23.850000,23.850000,22.500000,22.950001,22.950001,1840
2016-01-22,23.250000,23.850000,22.500000,23.100000,23.100000,193
2016-01-25,23.100000,24.150000,23.100000,23.100000,23.100000,467
2016-01-26,23.100000,24.000000,23.100000,23.700001,23.700001,273
2016-01-27,24.000000,25.350000,23.700001,23.850000,23.850000,627
2016-01-28,24.450001,24.900000,24.000000,24.600000,24.600000,387
2016-01-29,24.000000,24.600000,22.650000,22.950001,22.950001,1260
2016-02-01,22.500000,23.700001,22.500000,23.700001,23.700001,120
2016-02-02,23.100000,23.549999,23.100000,23.250000,23.250000,1580
2016-02-03,22.950001,23.250000,22.500000,23.250000,23.250000,273
2016-02-04,22.650000,22.799999,20.549999,21.000000,21.000000,1213
2016-02-05,21.600000,21.600000,20.549999,20.549999,20.549999,1313
2016-02-08,21.600000,21.600000,18.000000,18.600000,18.600000,3040
2016-02-09,19.500000,19.650000,17.250000,17.250000,17.250000,1513
2016-02-10,16.950001,18.750000,16.950001,17.700001,17.700001,460
2016-02-11,18.299999,18.900000,15.600000,17.549999,17.549999,2367
2016-02-12,18.900000,18.900000,17.850000,18.750000,18.750000,1373
2016-02-16,19.049999,19.049999,18.150000,18.450001,18.450001,1167
2016-02-17,18.450001,20.850000,18.450001,20.700001,20.700001,34013
2016-02-18,22.799999,22.950001,19.350000,20.250000,20.250000,933
2016-02-19,20.100000,22.799999,19.350000,21.000000,21.000000,580
2016-02-22,22.950001,22.950001,20.400000,21.299999,21.299999,14147
2016-02-23,22.500000,22.500000,20.700001,21.150000,21.150000,647
2016-02-24,19.650000,21.150000,18.150000,19.650000,19.650000,5940
2016-02-25,20.549999,20.850000,19.500000,20.549999,20.549999,1907
2016-02-26,20.250000,24.299999,20.250000,24.000000,24.000000,5727
2016-02-29,24.000000,24.750000,22.350000,24.299999,24.299999,1173
2016-03-01,21.750000,22.950001,21.750000,22.650000,22.650000,960
2016-03-02,23.100000,23.100000,21.000000,22.200001,22.200001,4547
2016-03-03,22.650000,24.750000,21.450001,24.750000,24.750000,1333
2016-03-04,24.150000,24.150000,22.799999,23.250000,23.250000,1767
2016-03-07,22.799999,25.350000,22.799999,23.400000,23.400000,1127
2016-03-08,23.400000,23.400000,22.500000,22.500000,22.500000,1460
2016-03-09,22.650000,25.049999,21.000000,24.000000,24.000000,4067
2016-03-10,23.100000,24.000000,22.200001,22.950001,22.950001,1060
2016-03-11,22.500000,23.100000,22.500000,22.500000,22.500000,773
