Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,40.320000,40.970001,40.250000,40.810001,34.712246,142200
2016-01-12,41.000000,41.000000,40.290001,40.919998,34.805820,146600
2016-01-13,40.919998,41.459999,40.360001,40.439999,34.397530,209300
2016-01-14,40.459999,41.150002,40.250000,40.790001,34.695240,226200
2016-01-15,40.320000,40.419998,39.220001,40.119999,34.125351,262300
2016-01-19,40.209999,41.299999,40.130001,41.020000,34.890873,224200
2016-01-20,40.779999,40.950001,39.160000,40.139999,34.142345,230700
2016-01-21,40.150002,40.470001,39.500000,40.180000,34.176384,140300
2016-01-22,40.419998,41.380001,40.099998,41.029999,34.899372,160400
2016-01-25,41.000000,41.299999,40.660000,40.799999,34.703747,105400
2016-01-26,41.000000,41.500000,40.849998,41.130001,34.984440,98700
2016-01-27,41.119999,41.849998,40.919998,41.250000,35.086517,148600
2016-01-28,41.410000,43.919998,41.259998,43.860001,37.306526,342500
2016-01-29,43.880001,45.470001,43.650002,45.400002,38.616417,258600
2016-02-01,44.939999,46.740002,44.939999,46.110001,39.220329,277500
2016-02-02,45.900002,46.810001,45.560001,46.540001,39.586094,175100
2016-02-03,46.299999,46.959999,45.619999,45.910000,39.050217,223200
2016-02-04,45.840000,45.980000,45.070000,45.160000,38.412281,202600
2016-02-05,45.009998,45.250000,43.669998,44.160000,37.561707,296100
2016-02-08,43.680000,45.700001,43.610001,45.650002,38.829067,169600
2016-02-09,45.320000,46.650002,45.169998,46.230000,39.322399,152500
2016-02-10,46.369999,46.700001,46.000000,46.380001,39.449989,155800
2016-02-11,45.709999,46.540001,45.520000,46.430000,39.684185,226200
2016-02-12,46.490002,46.590000,45.700001,46.480000,39.726921,299900
2016-02-16,46.599998,46.689999,44.930000,45.950001,39.273930,183300
2016-02-17,46.169998,46.560001,45.540001,46.049999,39.359383,153600
2016-02-18,45.970001,46.840000,45.509998,46.540001,39.778202,173900
2016-02-19,46.490002,47.240002,46.430000,46.560001,39.795311,145200
2016-02-22,46.959999,47.220001,46.599998,46.840000,40.034618,221400
2016-02-23,46.630001,47.189999,46.299999,46.970001,40.145725,121400
2016-02-24,46.730000,47.240002,46.470001,47.180000,40.325218,114100
2016-02-25,46.740002,47.180000,46.020000,46.869999,40.060249,165900
2016-02-26,45.439999,45.500000,41.830002,42.529999,36.350822,532100
2016-02-29,42.500000,43.529999,42.060001,42.410000,36.248249,303900
2016-03-01,42.590000,43.080002,41.570000,41.980000,35.880730,188900
2016-03-02,42.070000,42.580002,41.299999,42.439999,36.273888,188200
2016-03-03,42.360001,42.900002,41.189999,41.470001,35.444820,258500
2016-03-04,41.419998,42.090000,41.130001,41.730000,35.667042,219700
2016-03-07,41.709999,41.790001,41.150002,41.380001,35.367897,209900
2016-03-08,41.389999,41.849998,41.209999,41.389999,35.376442,278300
2016-03-09,41.419998,41.669998,41.000000,41.540001,35.504654,172400
2016-03-10,41.660000,41.900002,41.099998,41.290001,35.290977,162500
2016-03-11,41.560001,41.570000,41.009998,41.009998,35.051659,210700
2016-03-14,41.009998,41.060001,40.560001,40.619999,34.718319,515300
2016-03-15,40.669998,41.070000,39.290001,39.570000,33.820866,517500
2016-03-16,39.599998,39.770000,38.750000,38.919998,33.265312,451000
2016-03-17,39.000000,39.360001,38.529999,38.720001,33.094368,505100
2016-03-18,38.990002,39.910000,38.250000,39.480000,33.743954,523900
2016-03-21,39.410000,39.610001,38.820000,38.980000,33.316601,184200
2016-03-22,38.980000,39.900002,38.980000,39.490002,33.752499,279700
2016-03-23,39.439999,39.639999,38.689999,38.919998,33.265312,576100
2016-03-24,38.939999,39.189999,38.650002,38.970001,33.308052,146900
2016-03-28,38.860001,39.160000,38.410000,38.750000,33.120007,145100
2016-03-29,38.779999,39.669998,38.779999,39.509998,33.769592,206200
2016-03-30,39.639999,40.029999,39.410000,39.810001,34.025993,182400
2016-03-31,39.910000,39.950001,39.299999,39.360001,33.641396,340700
2016-04-01,39.099998,39.970001,39.060001,39.860001,34.068741,206700
2016-04-04,39.820000,39.910000,39.310001,39.799999,34.017460,172500
2016-04-05,39.619999,39.910000,39.230000,39.230000,33.530266,162100
2016-04-06,39.209999,39.360001,38.610001,38.759998,33.128559,137900
2016-04-07,38.720001,38.970001,38.480000,38.790001,33.154190,133000
2016-04-08,38.849998,39.259998,38.810001,38.900002,33.248211,179300
2016-04-11,39.119999,39.250000,38.790001,39.060001,33.384968,175200
2016-04-12,39.180000,39.540001,38.959999,39.110001,33.427708,153600
2016-04-13,39.220001,39.310001,38.410000,39.279999,33.573017,192700
2016-04-14,39.230000,39.570000,38.990002,39.570000,33.820866,184300
2016-04-15,39.520000,40.619999,39.509998,40.580002,34.684128,213100
2016-04-18,40.590000,41.049999,40.200001,41.029999,35.068752,239000
2016-04-19,41.130001,42.240002,40.849998,42.029999,35.923454,291300
2016-04-20,42.070000,42.070000,40.810001,40.869999,34.931988,229100
2016-04-21,40.720001,40.720001,39.360001,39.459999,33.726852,148900
2016-04-22,39.470001,40.500000,39.400002,40.470001,34.590115,229300
2016-04-25,40.459999,40.639999,39.980000,40.509998,34.624306,255900
2016-04-26,40.570000,40.959999,40.509998,40.919998,34.974735,118400
2016-04-27,40.919998,41.119999,40.570000,40.959999,35.008930,163300
2016-04-28,40.689999,41.599998,40.520000,41.509998,35.479000,173600
2016-04-29,41.459999,41.959999,41.009998,41.689999,35.632839,297400
2016-05-02,41.660000,42.860001,41.619999,42.810001,36.590137,214700
2016-05-03,42.810001,42.980000,41.730000,41.810001,35.735432,181100
2016-05-04,41.630001,42.759998,41.630001,42.480000,36.308075,124200
2016-05-05,41.250000,41.910000,39.380001,39.599998,33.846523,316300
2016-05-06,39.540001,40.840000,39.340000,40.779999,34.855076,319300
2016-05-09,40.750000,41.169998,40.529999,40.700001,34.786694,180600
2016-05-10,40.750000,41.049999,39.700001,39.730000,33.957623,264300
2016-05-11,40.820000,41.119999,40.180000,40.619999,34.718319,248900
2016-05-12,40.619999,40.650002,39.590000,39.730000,33.957623,249400
2016-05-13,39.660000,40.369999,39.250000,40.080002,34.256771,168900
2016-05-16,39.889999,39.939999,39.630001,39.799999,34.208645,201700
2016-05-17,39.689999,39.689999,38.380001,38.700001,33.263180,299300
2016-05-18,38.330002,38.700001,37.320000,37.939999,32.609936,199200
2016-05-19,37.880001,37.990002,37.279999,37.919998,32.592754,161200
2016-05-20,38.029999,38.279999,37.500000,38.099998,32.747471,275300
2016-05-23,38.180000,38.380001,37.939999,37.939999,32.609936,112500
2016-05-24,37.970001,39.099998,37.919998,39.060001,33.572590,221800
2016-05-25,39.060001,39.139999,38.150002,38.220001,32.850613,158900
2016-05-26,38.380001,38.980000,38.360001,38.810001,33.357712,106700
2016-05-27,38.680000,39.049999,38.680000,38.980000,33.503838,95600
2016-05-31,39.040001,39.160000,38.709999,39.060001,33.572590,163800
2016-06-01,39.099998,39.849998,39.080002,39.830002,34.234428,158100
2016-06-02,39.889999,39.889999,39.270000,39.779999,34.191456,120400
2016-06-03,39.910000,40.799999,39.910000,40.599998,34.896252,137100
2016-06-06,40.490002,40.810001,40.009998,40.139999,34.500881,176500
2016-06-07,40.080002,40.740002,40.029999,40.490002,34.801704,81900
2016-06-08,40.459999,41.200001,40.000000,41.130001,35.351788,115700
2016-06-09,41.200001,41.380001,41.110001,41.270000,35.472122,112900
2016-06-10,41.020000,41.790001,40.830002,41.340000,35.532295,166200
2016-06-13,41.400002,41.570000,40.619999,40.889999,35.145504,176100
2016-06-14,40.860001,41.139999,40.630001,40.980000,35.222870,152900
2016-06-15,41.209999,41.209999,40.549999,40.680000,34.965008,133600
2016-06-16,40.660000,41.270000,40.500000,41.220001,35.429142,133300
2016-06-17,41.279999,41.790001,40.509998,40.830002,35.093937,389300
2016-06-20,40.910000,41.410000,40.880001,40.900002,35.154110,116200
2016-06-21,41.200001,41.910000,40.540001,41.369999,35.558079,218100
2016-06-22,41.650002,42.009998,41.320000,41.400002,35.583866,174100
2016-06-23,42.080002,42.209999,41.349998,42.119999,36.202705,170800
2016-06-24,41.160000,42.310001,41.020000,42.070000,36.159740,873100
2016-06-27,42.049999,42.419998,41.639999,42.279999,36.340233,171700
2016-06-28,42.299999,42.549999,41.830002,42.430000,36.469162,142200
2016-06-29,42.619999,42.930000,42.389999,42.450001,36.486355,131900
2016-06-30,42.730000,43.830002,42.500000,43.820000,37.663883,203500
2016-07-01,43.900002,43.990002,43.189999,43.369999,37.277107,114400
2016-07-05,43.730000,44.150002,43.380001,44.119999,37.921745,121600
2016-07-06,44.060001,44.459999,43.570000,43.930000,37.758438,114700
2016-07-07,43.700001,43.700001,42.790001,42.939999,36.907520,147600
2016-07-08,42.930000,43.430000,42.439999,43.369999,37.277107,142500
2016-07-11,43.330002,43.450001,42.630001,43.430000,37.328674,119600
2016-07-12,43.400002,43.439999,42.830002,42.950001,36.916107,102200
2016-07-13,43.389999,43.930000,41.709999,43.770000,37.620914,142800
2016-07-14,43.480000,43.560001,43.009998,43.029999,36.984871,104900
2016-07-15,43.130001,43.490002,42.980000,43.419998,37.320072,89400
2016-07-18,43.459999,43.639999,43.070000,43.270000,37.191158,77700
2016-07-19,43.220001,43.520000,42.869999,43.160000,37.096615,77500
2016-07-20,43.020000,43.470001,42.919998,43.250000,37.173965,66100
2016-07-21,43.320000,43.430000,42.799999,43.349998,37.259907,71500
2016-07-22,43.290001,44.029999,43.290001,43.840000,37.681080,61800
2016-07-25,43.759998,43.759998,43.310001,43.720001,37.577934,47700
2016-07-26,43.820000,43.990002,43.139999,43.669998,37.534966,128800
2016-07-27,43.669998,43.750000,43.080002,43.360001,37.268509,159100
2016-07-28,43.270000,43.419998,43.119999,43.160000,37.096615,85800
2016-07-29,43.070000,43.540001,43.040001,43.200001,37.130993,174100
2016-08-01,43.110001,43.889999,43.020000,43.480000,37.371647,142100
2016-08-02,43.459999,43.570000,42.840000,42.889999,36.864536,84900
2016-08-03,42.779999,42.779999,42.049999,42.320000,36.374622,94400
2016-08-04,42.529999,43.509998,41.770000,42.029999,36.125351,142100
2016-08-05,43.290001,44.430000,43.000000,43.290001,37.208340,220600
2016-08-08,43.259998,44.400002,42.529999,42.630001,36.641075,128300
2016-08-09,42.669998,42.700001,42.150002,42.220001,36.288651,157700
2016-08-10,42.279999,42.580002,42.090000,42.419998,36.460567,84700
2016-08-11,42.240002,42.240002,41.880001,42.029999,36.317127,80600
2016-08-12,42.029999,42.459999,41.889999,41.919998,36.222088,73900
2016-08-15,42.049999,42.049999,41.340000,41.369999,35.746853,75600
2016-08-16,41.349998,41.349998,39.709999,40.020000,34.580338,279700
2016-08-17,39.869999,41.570000,39.560001,40.959999,35.392563,408600
2016-08-18,40.990002,41.380001,40.750000,41.340000,35.720917,162100
2016-08-19,41.200001,41.360001,40.400002,40.509998,35.003727,171100
2016-08-22,40.549999,41.150002,40.380001,40.900002,35.340729,75900
2016-08-23,40.880001,40.939999,39.930000,40.430000,34.934612,149300
