Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,2.460000,2.540000,2.440000,2.500000,2.500000,39700
2016-01-12,2.520000,2.600000,2.470000,2.470000,2.470000,18600
2016-01-13,2.490000,2.490000,2.400000,2.400000,2.400000,184100
2016-01-14,2.400000,2.500000,2.390000,2.500000,2.500000,32600
2016-01-15,2.480000,2.490000,2.350000,2.390000,2.390000,123100
2016-01-19,2.360000,2.460000,2.350000,2.350000,2.350000,42400
2016-01-20,2.350000,2.460000,2.280000,2.420000,2.420000,31600
2016-01-21,2.290000,2.440000,2.290000,2.440000,2.440000,5900
2016-01-22,2.460000,2.580000,2.420000,2.570000,2.570000,37600
2016-01-25,2.550000,2.580000,2.400000,2.410000,2.410000,58400
2016-01-26,2.460000,2.590000,2.400000,2.450000,2.450000,31000
2016-01-27,2.560000,2.610000,2.500000,2.510000,2.510000,26900
2016-01-28,2.590000,2.590000,2.490000,2.530000,2.530000,23100
2016-01-29,2.520000,2.590000,2.510000,2.510000,2.510000,31900
2016-02-01,2.510000,2.560000,2.500000,2.500000,2.500000,50800
2016-02-02,2.490000,2.650000,2.480000,2.620000,2.620000,77900
2016-02-03,2.560000,2.970000,2.550000,2.840000,2.840000,241500
2016-02-04,2.840000,2.890000,2.770000,2.800000,2.800000,95100
2016-02-05,2.820000,2.830000,2.740000,2.780000,2.780000,28600
2016-02-08,2.770000,2.770000,2.530000,2.720000,2.720000,44500
2016-02-09,2.780000,2.790000,2.710000,2.780000,2.780000,184500
2016-02-10,2.780000,2.780000,2.670000,2.680000,2.680000,14500
2016-02-11,2.700000,2.710000,2.620000,2.650000,2.650000,5000
2016-02-12,2.710000,2.740000,2.540000,2.630000,2.630000,6200
2016-02-16,2.630000,2.760000,2.630000,2.630000,2.630000,7200
2016-02-17,2.680000,2.760000,2.600000,2.670000,2.670000,6300
2016-02-18,2.640000,2.750000,2.590000,2.650000,2.650000,8100
2016-02-19,2.660000,2.660000,2.580000,2.590000,2.590000,8900
2016-02-22,2.570000,2.780000,2.540000,2.710000,2.710000,81400
2016-02-23,2.660000,2.760000,2.600000,2.660000,2.660000,34700
2016-02-24,2.660000,2.730000,2.660000,2.730000,2.730000,37700
2016-02-25,2.750000,2.750000,2.620000,2.620000,2.620000,12800
2016-02-26,2.620000,2.750000,2.530000,2.560000,2.560000,20800
2016-02-29,2.510000,2.570000,2.480000,2.510000,2.510000,46600
2016-03-01,2.490000,2.750000,2.490000,2.680000,2.680000,88300
2016-03-02,2.690000,2.690000,2.590000,2.600000,2.600000,8000
2016-03-03,2.600000,2.690000,2.590000,2.600000,2.600000,40300
2016-03-04,2.680000,2.690000,2.500000,2.570000,2.570000,31800
2016-03-07,2.530000,2.700000,2.520000,2.670000,2.670000,51300
2016-03-08,2.610000,2.710000,2.610000,2.660000,2.660000,18600
2016-03-09,2.710000,2.870000,2.700000,2.800000,2.800000,130400
2016-03-10,2.850000,2.920000,2.710000,2.710000,2.710000,54000
2016-03-11,2.680000,2.810000,2.670000,2.700000,2.700000,13100
2016-03-14,2.660000,2.890000,2.630000,2.650000,2.650000,12900
2016-03-15,2.650000,2.650000,2.560000,2.610000,2.610000,17900
2016-03-16,2.580000,2.670000,2.550000,2.670000,2.670000,19000
2016-03-17,2.850000,2.850000,2.560000,2.610000,2.610000,38300
2016-03-18,2.590000,2.610000,2.530000,2.570000,2.570000,34700
2016-03-21,2.550000,2.700000,2.500000,2.540000,2.540000,3300
2016-03-22,2.530000,2.530000,2.500000,2.500000,2.500000,9300
2016-03-23,2.500000,2.500000,2.480000,2.480000,2.480000,8700
2016-03-24,2.480000,2.480000,2.430000,2.450000,2.450000,34200
2016-03-28,2.450000,2.580000,2.430000,2.570000,2.570000,15700
2016-03-29,2.550000,2.700000,2.530000,2.600000,2.600000,22000
2016-03-30,2.600000,2.600000,2.540000,2.570000,2.570000,22400
2016-03-31,2.550000,2.550000,2.470000,2.470000,2.470000,39500
2016-04-01,2.530000,2.690000,2.520000,2.550000,2.550000,78800
2016-04-04,2.550000,2.550000,2.490000,2.550000,2.550000,28300
2016-04-05,2.550000,2.550000,2.510000,2.530000,2.530000,17100
2016-04-06,2.520000,2.550000,2.500000,2.500000,2.500000,39200
2016-04-07,2.540000,2.550000,2.510000,2.550000,2.550000,31300
2016-04-08,2.550000,2.550000,2.520000,2.550000,2.550000,20900
2016-04-11,2.520000,2.550000,2.520000,2.550000,2.550000,23700
2016-04-12,2.540000,2.550000,2.520000,2.520000,2.520000,7700
2016-04-13,2.530000,2.550000,2.520000,2.520000,2.520000,33400
2016-04-14,2.520000,2.550000,2.520000,2.550000,2.550000,9300
2016-04-15,2.550000,2.580000,2.520000,2.520000,2.520000,112600
2016-04-18,2.560000,2.690000,2.550000,2.550000,2.550000,91400
2016-04-19,2.630000,2.650000,2.560000,2.630000,2.630000,54200
2016-04-20,2.650000,2.650000,2.580000,2.610000,2.610000,32900
2016-04-21,2.640000,2.640000,2.540000,2.550000,2.550000,51500
2016-04-22,2.560000,2.600000,2.540000,2.570000,2.570000,19300
2016-04-25,2.750000,2.770000,2.640000,2.670000,2.670000,121400
2016-04-26,2.660000,2.770000,2.660000,2.680000,2.680000,15100
2016-04-27,2.700000,2.710000,2.630000,2.700000,2.700000,32500
2016-04-28,2.670000,2.780000,2.640000,2.710000,2.710000,41700
2016-04-29,2.670000,2.670000,2.550000,2.570000,2.570000,112800
2016-05-02,2.640000,2.700000,2.560000,2.650000,2.650000,36100
2016-05-03,2.850000,3.920000,2.800000,3.000000,3.000000,6363200
2016-05-04,3.050000,3.160000,2.940000,3.060000,3.060000,965700
2016-05-05,3.120000,3.190000,2.990000,3.180000,3.180000,514700
2016-05-06,3.180000,3.200000,3.060000,3.120000,3.120000,140100
2016-05-09,3.170000,3.200000,3.090000,3.130000,3.130000,156300
2016-05-10,3.130000,3.160000,3.110000,3.150000,3.150000,116200
2016-05-11,3.150000,3.180000,3.120000,3.150000,3.150000,81900
2016-05-12,3.130000,3.200000,3.120000,3.200000,3.200000,127000
2016-05-13,3.120000,3.200000,3.120000,3.180000,3.180000,145100
2016-05-16,3.180000,3.360000,3.180000,3.300000,3.300000,483800
2016-05-17,3.330000,3.410000,3.300000,3.380000,3.380000,858000
2016-05-18,3.400000,3.400000,3.310000,3.380000,3.380000,136600
2016-05-19,3.400000,3.410000,3.230000,3.230000,3.230000,174900
2016-05-20,3.200000,3.230000,3.160000,3.220000,3.220000,132100
2016-05-23,3.220000,3.360000,3.200000,3.250000,3.250000,133600
2016-05-24,3.260000,3.420000,3.260000,3.370000,3.370000,226500
2016-05-25,3.440000,3.600000,3.390000,3.580000,3.580000,431000
2016-05-26,3.650000,3.750000,3.590000,3.690000,3.690000,513300
