Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.610000,3.740000,3.520000,3.660000,3.084495,6200
2016-01-12,3.720000,3.770000,3.360000,3.360000,2.831667,6600
2016-01-13,3.550000,3.650000,3.480000,3.650000,3.076067,600
2016-01-14,3.460000,3.550000,3.350000,3.550000,2.991791,1500
2016-01-15,3.720000,3.720000,3.460000,3.560000,3.000219,3100
2016-01-19,3.600000,3.630000,3.520000,3.630000,3.059212,700
2016-01-20,3.520000,3.570000,3.200000,3.200000,2.696826,1000
2016-01-21,3.210000,3.310000,3.210000,3.270000,2.755819,1200
2016-01-22,3.270000,3.270000,3.270000,3.270000,2.755819,0
2016-01-25,3.430000,3.640000,3.430000,3.510000,2.958081,1100
2016-01-26,3.330000,3.330000,3.210000,3.300000,2.781101,2500
2016-01-27,3.300000,3.300000,3.300000,3.300000,2.781101,0
2016-01-28,3.300000,3.300000,3.300000,3.300000,2.781101,0
2016-01-29,3.490000,3.490000,3.470000,3.470000,2.924371,400
2016-02-01,3.470000,3.470000,3.470000,3.470000,2.924371,0
2016-02-02,3.470000,3.470000,3.220000,3.220000,2.713681,800
2016-02-03,3.210000,3.210000,3.200000,3.200000,2.696826,1500
2016-02-04,3.200000,3.200000,3.200000,3.200000,2.696826,0
2016-02-05,3.200000,3.200000,3.200000,3.200000,2.696826,0
2016-02-08,3.200000,3.200000,3.050000,3.080000,2.595695,4400
2016-02-09,3.080000,3.080000,3.080000,3.080000,2.595695,0
2016-02-10,3.080000,3.080000,3.080000,3.080000,2.595695,0
2016-02-11,3.090000,3.090000,3.090000,3.090000,2.604123,600
2016-02-12,3.300000,3.550000,3.250000,3.480000,2.932798,6600
2016-02-16,3.380000,3.380000,3.350000,3.350000,2.823239,200
2016-02-17,3.420000,3.470000,3.220000,3.220000,2.713681,17100
2016-02-18,3.240000,3.280000,3.210000,3.280000,2.764246,3500
2016-02-19,3.230000,3.230000,3.210000,3.210000,2.705254,6600
2016-02-22,3.330000,3.330000,3.330000,3.330000,2.806385,4600
2016-02-23,3.170000,3.600000,3.160000,3.360000,2.831667,27400
2016-02-24,3.230000,3.490000,3.230000,3.490000,2.941226,200
2016-02-25,3.400000,3.400000,3.290000,3.290000,2.772674,700
2016-02-26,3.400000,3.680000,3.400000,3.680000,3.101350,1200
2016-02-29,3.680000,3.680000,3.680000,3.680000,3.101350,0
2016-03-01,3.680000,3.680000,3.680000,3.680000,3.101350,0
2016-03-02,3.560000,3.560000,3.560000,3.560000,3.000219,500
2016-03-03,3.690000,3.700000,3.680000,3.700000,3.118205,1100
2016-03-04,3.700000,3.700000,3.540000,3.540000,2.983364,1600
2016-03-07,3.540000,3.540000,3.540000,3.540000,2.983364,0
2016-03-08,3.530000,3.790000,3.520000,3.790000,3.194053,7200
2016-03-09,3.670000,3.760000,3.670000,3.690000,3.109777,4700
2016-03-10,3.680000,3.680000,3.670000,3.670000,3.092922,300
2016-03-11,3.670000,3.670000,3.670000,3.670000,3.092922,0
2016-03-14,3.610000,3.610000,3.610000,3.610000,3.042356,300
2016-03-15,3.610000,3.610000,3.610000,3.610000,3.042356,0
2016-03-16,3.610000,3.610000,3.610000,3.610000,3.042356,0
2016-03-17,3.600000,3.600000,3.600000,3.600000,3.033929,400
2016-03-18,3.700000,3.720000,3.520000,3.520000,2.966508,9700
2016-03-21,3.700000,4.010000,3.570000,3.580000,3.017074,30900
2016-03-22,3.900000,3.900000,3.820000,3.820000,3.219336,500
2016-03-23,3.820000,3.820000,3.820000,3.820000,3.219336,0
2016-03-24,3.820000,3.820000,3.820000,3.820000,3.219336,0
2016-03-28,3.800000,3.800000,3.800000,3.800000,3.202481,700
2016-03-29,3.570000,3.630000,3.530000,3.530000,3.010588,4900
2016-03-30,3.530000,3.530000,3.530000,3.530000,3.010588,0
2016-03-31,3.630000,3.630000,3.510000,3.510000,2.993530,6100
2016-04-01,3.640000,3.760000,3.640000,3.660000,3.121459,2700
2016-04-04,3.710000,3.710000,3.640000,3.640000,3.104402,1300
2016-04-05,3.740000,3.790000,3.730000,3.790000,3.232331,3000
2016-04-06,3.780000,3.780000,3.780000,3.780000,3.223802,2000
2016-04-07,3.640000,3.640000,3.640000,3.640000,3.104402,200
2016-04-08,3.640000,3.640000,3.640000,3.640000,3.104402,600
2016-04-11,3.640000,3.790000,3.640000,3.700000,3.155574,1600
2016-04-12,3.810000,3.810000,3.700000,3.780000,3.223802,900
2016-04-13,3.800000,3.800000,3.780000,3.790000,3.232331,400
2016-04-14,3.650000,3.650000,3.650000,3.650000,3.112931,2000
2016-04-15,3.770000,3.790000,3.660000,3.660000,3.121459,2600
2016-04-18,3.740000,3.740000,3.640000,3.640000,3.104402,6200
2016-04-19,3.670000,3.720000,3.660000,3.700000,3.155574,1400
2016-04-20,3.650000,3.690000,3.640000,3.650000,3.112931,4200
2016-04-21,3.650000,3.650000,3.650000,3.650000,3.112931,0
2016-04-22,3.640000,3.720000,3.640000,3.720000,3.172631,400
2016-04-25,3.760000,3.760000,3.710000,3.710000,3.164102,1900
2016-04-26,3.760000,3.760000,3.720000,3.750000,3.198216,700
2016-04-27,3.760000,3.820000,3.760000,3.820000,3.257916,1500
2016-04-28,3.810000,3.820000,3.810000,3.820000,3.257916,8900
2016-04-29,3.840000,3.840000,3.840000,3.840000,3.274974,300
2016-05-02,3.700000,3.780000,3.680000,3.690000,3.147045,5100
2016-05-03,3.730000,3.860000,3.650000,3.650000,3.112931,4600
2016-05-04,3.850000,4.280000,3.640000,4.170000,3.556417,12800
2016-05-05,4.100000,4.100000,3.980000,4.030000,3.437017,3900
2016-05-06,4.040000,4.100000,4.040000,4.100000,3.496716,2800
2016-05-09,4.250000,4.260000,4.180000,4.250000,3.624646,11400
2016-05-10,4.260000,4.260000,4.120000,4.250000,3.624646,6500
2016-05-11,4.210000,4.290000,4.210000,4.290000,3.658760,2600
2016-05-12,4.250000,4.250000,4.220000,4.220000,3.599059,2100
2016-05-13,4.220000,4.220000,4.220000,4.220000,3.599059,0
2016-05-16,4.220000,4.220000,4.220000,4.220000,3.599059,0
2016-05-17,4.250000,4.430000,4.250000,4.250000,3.624646,1100
2016-05-18,4.260000,4.260000,4.250000,4.250000,3.624646,2400
2016-05-19,4.250000,4.440000,4.030000,4.280000,3.650232,4200
2016-05-20,4.450000,4.450000,4.000000,4.450000,3.795217,2400
2016-05-23,4.450000,4.760000,4.450000,4.490000,3.829331,8100
2016-05-24,4.960000,5.000000,4.530000,4.800000,4.093718,900
2016-05-25,4.710000,4.900000,4.710000,4.900000,4.179003,300
2016-05-26,4.710000,4.850000,4.510000,4.850000,4.136360,4900
2016-05-27,4.420000,4.860000,4.420000,4.790000,4.085189,1600
2016-05-31,4.770000,4.780000,4.660000,4.700000,4.008431,7700
2016-06-01,4.870000,4.880000,4.750000,4.770000,4.068131,2000
2016-06-02,4.770000,4.770000,4.540000,4.630000,3.948731,600
2016-06-03,4.480000,4.890000,4.480000,4.710000,4.016959,600
2016-06-06,4.810000,4.890000,4.800000,4.890000,4.170474,1600
2016-06-07,4.810000,4.840000,4.700000,4.780000,4.076660,3600
2016-06-08,4.780000,4.780000,4.780000,4.780000,4.076660,0
2016-06-09,4.710000,4.750000,4.570000,4.570000,3.897561,3000
2016-06-10,4.660000,4.660000,4.560000,4.630000,3.948731,2000
2016-06-13,4.840000,4.840000,4.800000,4.800000,4.093718,2100
2016-06-14,4.800000,4.800000,4.800000,4.800000,4.093718,0
2016-06-15,4.790000,4.880000,4.700000,4.700000,4.008431,1200
2016-06-16,4.700000,4.700000,4.650000,4.650000,3.965788,8500
2016-06-17,4.730000,4.880000,4.570000,4.570000,3.897561,2100
