Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,9.680000,9.762500,9.212500,9.715000,8.450469,367600
2016-01-12,9.837500,10.175000,9.720000,10.122500,8.804928,456400
2016-01-13,10.180000,10.230000,9.422500,9.542500,8.300423,308800
2016-01-14,9.655000,9.830000,9.415000,9.617500,8.365657,406800
2016-01-15,9.357500,9.587500,9.042500,9.587500,8.339565,248400
2016-01-19,9.650000,9.650000,8.912500,9.077500,7.895947,485600
2016-01-20,8.942500,9.642500,8.520000,9.527500,8.287375,823200
2016-01-21,9.657500,9.697500,9.275000,9.312500,8.100358,288400
2016-01-22,9.502500,9.762500,9.502500,9.702500,8.439595,178800
2016-01-25,9.680000,9.812500,9.457500,9.537500,8.296073,268800
2016-01-26,9.560000,9.927500,9.472500,9.785000,8.511356,267200
2016-01-27,9.765000,9.765000,9.202500,9.295000,8.085137,222400
2016-01-28,9.385000,9.635000,9.255000,9.482500,8.248230,240000
2016-01-29,9.517500,9.857500,9.517500,9.792500,8.517880,257600
2016-02-01,9.727500,9.787500,9.327500,9.357500,8.139503,302800
2016-02-02,9.352500,10.700000,9.117500,9.235000,8.032947,251200
2016-02-03,9.250000,9.287500,8.670000,8.972500,7.804615,237200
2016-02-04,8.897500,9.060000,8.822500,8.895000,7.737205,271200
2016-02-05,8.870000,8.892500,8.432500,8.725000,7.589332,390400
2016-02-08,8.585000,8.585000,8.027500,8.062500,7.013062,413600
2016-02-09,7.985000,8.122500,7.817500,8.035000,6.989144,351600
2016-02-10,8.085000,8.305000,7.830000,7.867500,6.843444,336800
2016-02-11,7.730000,8.200000,7.710000,8.052500,7.004365,352000
2016-02-12,9.522500,9.657500,8.482500,9.107500,7.922044,438400
2016-02-16,9.277500,9.562500,8.502500,8.585000,7.467552,486000
2016-02-17,8.617500,8.897500,8.472500,8.662500,7.583550,307200
2016-02-18,8.667500,9.255000,8.547500,8.687500,7.605436,356800
2016-02-19,8.615000,8.932500,8.562500,8.650000,7.572604,294400
2016-02-22,8.712500,8.847500,8.652500,8.695000,7.612000,234000
2016-02-23,8.692500,8.992500,8.667500,8.682500,7.601059,216800
2016-02-24,8.547500,8.817500,8.450000,8.797500,7.701734,208400
2016-02-25,8.857500,8.857500,8.557500,8.640000,7.563851,331600
2016-02-26,8.705000,8.932500,8.660000,8.822500,7.723620,345200
2016-02-29,8.855000,9.042500,8.712500,8.735000,7.647019,402800
2016-03-01,8.790000,9.020000,8.712500,8.950000,7.835239,427600
2016-03-02,8.960000,9.202500,8.850000,9.065000,7.935918,317600
2016-03-03,9.065000,9.280000,9.000000,9.202500,8.056290,405200
2016-03-04,9.237500,9.370000,9.137500,9.257500,8.104439,347200
2016-03-07,9.250000,9.450000,9.135000,9.392500,8.222627,255200
2016-03-08,9.320000,9.425000,8.987500,8.997500,7.876825,418800
2016-03-09,9.000000,9.215000,8.925000,9.130000,7.992825,227200
2016-03-10,6.430000,6.822500,5.637500,6.090000,5.331466,4012400
2016-03-11,6.027500,6.987500,6.025000,6.885000,6.027445,2212800
2016-03-14,6.887500,7.152500,6.822500,7.035000,6.158762,691200
2016-03-15,6.957500,7.192500,6.752500,6.955000,6.088724,514400
2016-03-16,7.005000,7.155000,6.775000,6.997500,6.125933,619600
2016-03-17,6.870000,6.870000,6.550000,6.767500,5.924579,458000
2016-03-18,6.792500,7.082500,6.785000,7.015000,6.141252,431600
2016-03-21,6.960000,7.125000,6.822500,6.840000,5.988048,470400
2016-03-22,6.787500,7.097500,6.787500,6.910000,6.049331,368800
2016-03-23,6.907500,6.982500,6.787500,6.812500,5.963974,668800
2016-03-24,6.770000,7.000000,6.730000,6.945000,6.079971,619200
2016-03-28,6.925000,6.987500,6.742500,6.827500,5.977106,440800
2016-03-29,6.822500,7.017500,6.807500,7.005000,6.132498,357600
2016-03-30,7.005000,7.242500,6.972500,7.165000,6.272570,231200
2016-03-31,7.145000,7.295000,7.050000,7.187500,6.292267,506400
2016-04-01,7.097500,7.190000,6.890000,7.060000,6.180648,476800
2016-04-04,7.062500,7.105000,6.832500,6.917500,6.055896,569600
2016-04-05,6.872500,6.935000,6.795000,6.815000,5.966163,228400
2016-04-06,6.802500,6.820000,6.670000,6.752500,5.911447,357600
2016-04-07,6.722500,6.895000,6.680000,6.725000,5.887374,368400
2016-04-08,6.765000,6.885000,6.645000,6.807500,5.959598,419600
2016-04-11,6.830000,6.992500,6.825000,6.887500,6.029632,367600
2016-04-12,6.897500,7.067500,6.807500,6.980000,6.110612,313200
2016-04-13,7.005000,7.130000,6.900000,7.107500,6.222231,317200
2016-04-14,7.075000,7.307500,7.020000,7.230000,6.329476,405600
2016-04-15,7.235000,7.520000,7.230000,7.420000,6.495808,397200
2016-04-18,7.415000,7.495000,7.295000,7.405000,6.482677,327600
2016-04-19,7.470000,7.675000,7.380000,7.420000,6.495808,212000
2016-04-20,7.467500,9.037500,7.467500,8.642500,7.566040,1391600
2016-04-21,8.582500,8.610000,8.087500,8.245000,7.218050,463600
2016-04-22,8.267500,8.370000,8.122500,8.160000,7.143638,236800
2016-04-25,8.115000,8.127500,7.792500,7.922500,6.935720,233200
2016-04-26,7.915000,8.215000,7.837500,8.097500,7.088923,221600
2016-04-27,7.985000,8.152500,7.785000,8.015000,7.016699,268800
2016-04-28,7.920000,8.100000,7.892500,7.930000,6.942285,275600
2016-04-29,7.875000,7.985000,7.687500,7.752500,6.786893,185600
2016-05-02,7.755000,7.810000,7.610000,7.767500,6.800026,238800
2016-05-03,7.680000,7.945000,7.515000,7.787500,6.817534,376400
2016-05-04,7.762500,7.907500,7.685000,7.755000,6.789082,337600
2016-05-05,7.807500,8.000000,7.632500,7.692500,6.734367,191600
2016-05-06,7.622500,7.625000,7.375000,7.525000,6.587731,288800
2016-05-09,7.505000,7.800000,7.422500,7.680000,6.723424,324800
2016-05-10,7.697500,7.705000,7.467500,7.597500,6.651199,200400
2016-05-11,7.555000,7.600000,7.412500,7.450000,6.522071,226400
2016-05-12,7.442500,7.492500,7.240000,7.317500,6.406075,166800
2016-05-13,7.337500,7.390000,7.167500,7.302500,6.392943,210000
2016-05-16,7.040000,7.352500,7.040000,7.265000,6.360114,342800
2016-05-17,7.195000,7.412500,7.075000,7.130000,6.241929,280800
2016-05-18,7.122500,7.290000,7.065000,7.177500,6.283513,225200
2016-05-19,7.147500,7.147500,6.965000,7.025000,6.150009,230800
2016-05-20,6.975000,7.192500,6.820000,7.020000,6.194125,404400
2016-05-23,7.042500,7.210000,6.937500,7.065000,6.233831,284400
2016-05-24,7.075000,7.312500,7.072500,7.147500,6.306624,323600
2016-05-25,7.205000,7.315000,7.150000,7.282500,6.425743,200400
2016-05-26,7.487500,9.485000,7.487500,9.125000,8.051480,1860400
2016-05-27,9.092500,9.317500,8.975000,9.117500,8.044864,402000
2016-05-31,9.180000,9.627500,9.015000,9.340000,8.241184,847600
2016-06-01,9.487500,9.807500,9.357500,9.735000,8.589716,387600
2016-06-02,9.722500,9.802500,9.615000,9.685000,8.545597,229600
2016-06-03,9.635000,9.637500,9.350000,9.402500,8.296334,329600
2016-06-06,9.495000,9.632500,9.425000,9.597500,8.468392,326800
2016-06-07,9.637500,9.675000,9.550000,9.575000,8.448539,244400
2016-06-08,9.645000,9.930000,9.542500,9.702500,8.561039,324000
2016-06-09,9.662500,9.705000,9.445000,9.477500,8.362508,194000
2016-06-10,9.445000,9.522500,9.327500,9.430000,8.320597,186000
2016-06-13,9.427500,9.427500,9.202500,9.267500,8.177218,149200
2016-06-14,9.287500,9.460000,9.162500,9.235000,8.148540,154400
2016-06-15,9.307500,9.495000,9.212500,9.380000,8.276480,194000
2016-06-16,9.340000,9.340000,9.155000,9.235000,8.148540,275600
2016-06-17,9.265000,9.390000,9.075000,9.205000,8.122067,260400
2016-06-20,9.362500,9.695000,9.175000,9.580000,8.452950,271200
