Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.770000,6.820000,6.720000,6.770000,4.441934,2858700
2016-01-12,6.840000,6.860000,6.720000,6.810000,4.468180,2062100
2016-01-13,6.820000,6.850000,6.600000,6.620000,4.343517,7301900
2016-01-14,6.680000,6.800000,6.600000,6.760000,4.435373,2709600
2016-01-15,6.550000,6.590000,6.410000,6.460000,4.238537,3106200
2016-01-19,6.420000,6.440000,6.310000,6.370000,4.179485,4169300
2016-01-20,6.220000,6.240000,6.060000,6.200000,4.067946,4300200
2016-01-21,6.200000,6.320000,6.130000,6.280000,4.120435,2408500
2016-01-22,6.480000,6.530000,6.440000,6.510000,4.271343,5037400
2016-01-25,6.300000,6.330000,6.230000,6.260000,4.107314,3692500
2016-01-26,6.340000,6.490000,6.330000,6.480000,4.251659,2970000
2016-01-27,6.400000,6.490000,6.370000,6.380000,4.186048,1914000
2016-01-28,6.350000,6.380000,6.220000,6.310000,4.140119,3321500
2016-01-29,6.380000,6.470000,6.330000,6.470000,4.245098,2874600
2016-02-01,6.340000,6.400000,6.290000,6.370000,4.179485,2798000
2016-02-02,6.180000,6.180000,6.050000,6.080000,3.989211,3171000
2016-02-03,6.090000,6.190000,5.890000,6.180000,4.054823,3813400
2016-02-04,6.190000,6.510000,6.190000,6.510000,4.271343,3112900
2016-02-05,6.560000,6.630000,6.530000,6.580000,4.317272,2187700
2016-02-08,6.310000,6.330000,6.210000,6.290000,4.126997,3965600
2016-02-09,6.030000,6.140000,5.980000,6.090000,3.995773,4960900
2016-02-10,6.310000,6.420000,6.250000,6.310000,4.140119,2698300
2016-02-11,6.020000,6.080000,5.910000,5.970000,3.917038,4547100
2016-02-12,6.090000,6.230000,5.990000,6.220000,4.081069,2207600
2016-02-16,6.370000,6.370000,6.240000,6.300000,4.133558,1766000
2016-02-17,6.440000,6.560000,6.430000,6.540000,4.291027,3057600
2016-02-18,6.460000,6.460000,6.250000,6.280000,4.120435,1780500
2016-02-19,6.110000,6.200000,6.060000,6.170000,4.048262,2720600
2016-02-22,6.280000,6.360000,6.270000,6.350000,4.166364,1513600
2016-02-23,6.300000,6.310000,6.150000,6.180000,4.054823,1571200
2016-02-24,5.940000,6.010000,5.860000,6.010000,3.943283,2916700
2016-02-25,6.060000,6.090000,5.990000,6.080000,3.989211,2827100
2016-02-26,6.300000,6.350000,6.270000,6.270000,4.113874,2032000
2016-02-29,6.360000,6.380000,6.300000,6.330000,4.153242,2024000
2016-03-01,6.360000,6.520000,6.320000,6.520000,4.277904,2594300
2016-03-02,6.610000,6.770000,6.590000,6.760000,4.435373,2844700
2016-03-03,6.800000,6.900000,6.770000,6.900000,4.527231,1863200
2016-03-04,6.850000,6.910000,6.820000,6.860000,4.500985,2250100
2016-03-07,6.690000,6.830000,6.680000,6.830000,4.481302,10967100
2016-03-08,6.850000,6.880000,6.710000,6.720000,4.409128,1423200
2016-03-09,6.720000,6.730000,6.620000,6.670000,4.376322,1636400
2016-03-10,7.000000,7.130000,6.820000,6.920000,4.540352,4521000
2016-03-11,7.220000,7.350000,7.170000,7.320000,4.802800,3550700
2016-03-14,7.320000,7.340000,7.260000,7.280000,4.776556,1443500
2016-03-15,7.080000,7.120000,7.030000,7.070000,4.638770,2130800
2016-03-16,6.940000,7.150000,6.940000,7.130000,4.678138,3457800
2016-03-17,7.100000,7.210000,7.030000,7.200000,4.724066,1843400
2016-03-18,7.280000,7.300000,7.160000,7.220000,4.737188,2324100
2016-03-21,7.160000,7.190000,7.080000,7.100000,4.658454,2428200
2016-03-22,6.960000,7.050000,6.930000,7.030000,4.612526,1676200
2016-03-23,6.940000,6.960000,6.830000,6.890000,4.520669,4190500
2016-03-24,6.700000,6.790000,6.680000,6.790000,4.455056,3878200
2016-03-28,6.810000,6.830000,6.740000,6.790000,4.455056,1484000
2016-03-29,6.670000,6.800000,6.630000,6.800000,4.461618,2666800
2016-03-30,6.840000,6.880000,6.740000,6.760000,4.435373,1850000
2016-03-31,6.550000,6.610000,6.500000,6.520000,4.371014,2600900
2016-04-01,6.410000,6.460000,6.360000,6.440000,4.317382,1747800
2016-04-04,6.450000,6.520000,6.400000,6.440000,4.317382,5591800
2016-04-05,6.290000,6.310000,6.230000,6.260000,4.196711,10063800
2016-04-06,6.240000,6.270000,6.180000,6.270000,4.203415,1989000
2016-04-07,6.130000,6.170000,6.000000,6.030000,4.042519,3156900
2016-04-08,6.180000,6.240000,6.150000,6.180000,4.143078,2232700
2016-04-11,6.330000,6.360000,6.220000,6.220000,4.169894,1889100
2016-04-12,6.270000,6.330000,6.140000,6.300000,4.223526,8435900
2016-04-13,6.560000,6.630000,6.540000,6.620000,4.438055,2394100
2016-04-14,6.640000,6.680000,6.600000,6.640000,4.451463,1813300
2016-04-15,6.710000,6.730000,6.650000,6.680000,4.478279,1767700
2016-04-18,6.680000,6.790000,6.670000,6.780000,4.545319,1723700
2016-04-19,6.850000,6.900000,6.810000,6.870000,4.605654,1583100
2016-04-20,7.130000,7.240000,7.120000,7.200000,4.826887,3218600
2016-04-21,7.420000,7.420000,7.270000,7.300000,4.893927,3700100
2016-04-22,7.310000,7.410000,7.310000,7.380000,4.947560,2540500
2016-04-25,7.270000,7.270000,7.180000,7.230000,4.847000,2110600
2016-04-26,7.600000,7.670000,7.560000,7.600000,5.095047,3008700
2016-04-27,7.560000,7.670000,7.550000,7.630000,5.115160,2006900
2016-04-28,7.040000,7.140000,7.030000,7.070000,4.739735,3754600
2016-04-29,6.930000,6.950000,6.810000,6.890000,4.619062,3569000
2016-05-02,6.870000,6.890000,6.800000,6.870000,4.605654,1910900
2016-05-03,6.680000,6.680000,6.560000,6.580000,4.411238,2467800
2016-05-04,6.460000,6.540000,6.410000,6.450000,4.324086,2254500
2016-05-05,6.370000,6.390000,6.300000,6.340000,4.250342,2627700
2016-05-06,6.360000,6.530000,6.350000,6.460000,4.330790,2437100
2016-05-09,6.350000,6.380000,6.280000,6.310000,4.230230,2732500
2016-05-10,6.390000,6.460000,6.380000,6.440000,4.317382,1851100
2016-05-11,6.270000,6.340000,6.240000,6.270000,4.203415,1626700
2016-05-12,6.330000,6.350000,6.220000,6.300000,4.223526,2582000
2016-05-13,6.260000,6.320000,6.150000,6.160000,4.129670,2400900
2016-05-16,6.220000,6.320000,6.220000,6.300000,4.223526,1961400
2016-05-17,6.350000,6.380000,6.290000,6.320000,4.236934,2749600
2016-05-18,6.310000,6.440000,6.280000,6.360000,4.263751,2328300
2016-05-19,6.360000,6.410000,6.240000,6.270000,4.203415,2092800
2016-05-20,6.280000,6.340000,6.270000,6.310000,4.230230,1712100
2016-05-23,6.230000,6.260000,6.210000,6.220000,4.169894,1691900
2016-05-24,6.350000,6.490000,6.350000,6.460000,4.330790,2316500
2016-05-25,6.720000,6.840000,6.710000,6.780000,4.545319,4740100
2016-05-26,6.770000,6.790000,6.700000,6.760000,4.531910,2261400
2016-05-27,6.770000,6.820000,6.710000,6.760000,4.531910,1561400
2016-05-31,6.700000,6.730000,6.580000,6.610000,4.431351,3045100
2016-06-01,6.500000,6.570000,6.460000,6.550000,4.391127,1845000
2016-06-02,6.550000,6.620000,6.510000,6.560000,4.397830,3064500
2016-06-03,6.500000,6.520000,6.410000,6.490000,4.350902,3157100
2016-06-06,6.460000,6.540000,6.460000,6.490000,4.350902,1565800
2016-06-07,6.500000,6.560000,6.480000,6.480000,4.344198,2577100
2016-06-08,6.420000,6.470000,6.380000,6.420000,4.303975,3782400
2016-06-09,6.360000,6.400000,6.300000,6.330000,4.243638,2569800
2016-06-10,6.090000,6.100000,5.950000,5.980000,4.008998,5167100
2016-06-13,5.790000,5.890000,5.770000,5.790000,3.881622,3308000
2016-06-14,5.730000,5.790000,5.620000,5.670000,3.801174,2921300
2016-06-15,5.770000,5.840000,5.720000,5.730000,3.841398,3485700
2016-06-16,5.690000,5.940000,5.650000,5.940000,3.982182,4268200
2016-06-17,6.050000,6.170000,6.020000,6.130000,4.109558,4213700
2016-06-20,6.300000,6.330000,6.250000,6.250000,4.190006,2886000
2016-06-21,6.290000,6.360000,6.220000,6.330000,4.243638,2918600
2016-06-22,6.420000,6.450000,6.320000,6.330000,4.243638,2640500
2016-06-23,6.530000,6.630000,6.440000,6.630000,4.444759,3334300
2016-06-24,5.240000,5.480000,5.230000,5.380000,3.606757,17819100
2016-06-27,5.300000,5.310000,5.140000,5.300000,3.553126,4391100
2016-06-28,5.480000,5.490000,5.330000,5.440000,3.646981,9480300
2016-06-29,5.560000,5.590000,5.520000,5.570000,3.734134,3749000
2016-06-30,5.570000,5.740000,5.510000,5.740000,3.848102,5165700
2016-07-01,5.710000,5.730000,5.670000,5.700000,3.821286,4821000
2016-07-05,5.600000,5.610000,5.450000,5.460000,3.660389,5858100
2016-07-06,5.330000,5.420000,5.240000,5.410000,3.688341,3677400
2016-07-07,5.370000,5.450000,5.310000,5.330000,3.633800,2197800
2016-07-08,5.580000,5.580000,5.470000,5.520000,3.763336,3229100
