Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.510000,6.540000,6.180000,6.260000,3.409169,1022900
2016-01-12,6.340000,6.370000,6.110000,6.220000,3.387386,1045400
2016-01-13,6.180000,6.280000,6.010000,6.060000,3.335642,576600
2016-01-14,6.080000,6.240000,6.010000,6.190000,3.407201,817500
2016-01-15,5.990000,6.070000,5.950000,6.010000,3.308121,674700
2016-01-19,6.030000,6.060000,5.890000,5.920000,3.258581,512600
2016-01-20,5.800000,5.830000,5.570000,5.750000,3.165009,584000
2016-01-21,5.710000,5.940000,5.670000,5.910000,3.253077,788300
2016-01-22,6.060000,6.120000,6.000000,6.100000,3.357661,732300
2016-01-25,6.030000,6.090000,5.950000,5.960000,3.280600,568200
2016-01-26,6.030000,6.230000,6.020000,6.190000,3.407201,620000
2016-01-27,6.160000,6.260000,6.110000,6.130000,3.374174,270600
2016-01-28,6.220000,6.290000,6.160000,6.260000,3.445729,711900
2016-01-29,6.300000,6.440000,6.260000,6.430000,3.539304,556100
2016-02-01,6.360000,6.440000,6.310000,6.420000,3.533800,483700
2016-02-02,6.100000,6.240000,6.060000,6.180000,3.401695,506400
2016-02-03,6.220000,6.390000,6.140000,6.380000,3.511781,402000
2016-02-04,6.440000,6.600000,6.430000,6.590000,3.627375,566700
2016-02-05,6.530000,6.620000,6.480000,6.510000,3.583338,265100
2016-02-08,6.390000,6.440000,6.290000,6.440000,3.544809,420100
2016-02-09,6.340000,6.390000,6.240000,6.290000,3.462243,486300
2016-02-10,6.280000,6.410000,6.240000,6.360000,3.500774,836200
2016-02-11,6.160000,6.230000,6.090000,6.180000,3.437366,273200
2016-02-12,6.290000,6.420000,6.200000,6.370000,3.543046,571600
2016-02-16,6.470000,6.470000,6.330000,6.420000,3.570857,306200
2016-02-17,6.460000,6.640000,6.460000,6.620000,3.682098,273900
2016-02-18,6.750000,6.780000,6.580000,6.630000,3.687660,385300
2016-02-19,6.610000,6.610000,6.470000,6.610000,3.676536,378100
2016-02-22,6.760000,6.780000,6.690000,6.770000,3.765529,603900
2016-02-23,6.770000,6.770000,6.570000,6.600000,3.670974,348200
2016-02-24,6.540000,6.620000,6.470000,6.620000,3.682098,429300
2016-02-25,6.590000,6.680000,6.540000,6.670000,3.709908,379400
2016-02-26,6.750000,6.770000,6.680000,6.740000,3.748842,462400
2016-02-29,6.790000,6.840000,6.690000,6.730000,3.743281,483800
2016-03-01,6.790000,6.900000,6.750000,6.860000,3.815589,454800
2016-03-02,6.730000,6.940000,6.670000,6.940000,3.860084,903400
2016-03-03,6.940000,7.050000,6.910000,6.980000,3.882333,789800
2016-03-04,7.000000,7.180000,6.950000,7.080000,3.937953,641500
2016-03-07,7.090000,7.250000,7.090000,7.210000,4.010259,683200
2016-03-08,7.200000,7.200000,6.970000,7.010000,3.899018,716400
2016-03-09,7.090000,7.160000,7.030000,7.130000,3.965764,372000
2016-03-10,7.170000,7.170000,7.040000,7.100000,3.949077,335700
2016-03-11,7.160000,7.250000,7.140000,7.170000,4.013449,402600
2016-03-14,7.150000,7.200000,7.110000,7.150000,4.002255,452700
2016-03-15,7.100000,7.130000,7.020000,7.110000,3.979866,380300
2016-03-16,7.150000,7.310000,7.090000,7.310000,4.091816,319100
2016-03-17,7.350000,7.460000,7.210000,7.400000,4.142194,602200
2016-03-18,7.430000,7.480000,7.340000,7.430000,4.158984,468700
2016-03-21,7.460000,7.480000,7.340000,7.410000,4.147791,301500
2016-03-22,7.350000,7.430000,7.320000,7.410000,4.147791,279400
2016-03-23,7.320000,7.360000,7.220000,7.220000,4.041438,184900
2016-03-24,7.140000,7.190000,6.960000,7.130000,3.991059,335700
2016-03-28,7.120000,7.150000,7.110000,7.130000,3.991059,219300
2016-03-29,7.110000,7.190000,7.060000,7.180000,4.019046,351800
2016-03-30,7.200000,7.290000,7.180000,7.230000,4.047034,266900
2016-03-31,7.260000,7.300000,7.150000,7.210000,4.035841,562600
2016-04-01,7.150000,7.160000,7.110000,7.150000,4.002255,284100
2016-04-04,7.170000,7.170000,7.060000,7.060000,3.951875,242300
2016-04-05,7.030000,7.040000,6.950000,6.980000,3.907096,414700
2016-04-06,7.040000,7.140000,6.990000,7.070000,3.957475,232000
2016-04-07,7.090000,7.120000,7.000000,7.000000,3.918289,318200
2016-04-08,7.100000,7.180000,7.080000,7.080000,3.963072,203300
2016-04-11,7.140000,7.250000,7.130000,7.200000,4.030243,351500
2016-04-12,7.210000,7.410000,7.210000,7.370000,4.125400,437900
2016-04-13,7.290000,7.400000,7.280000,7.380000,4.156375,456200
2016-04-14,7.400000,7.400000,7.330000,7.350000,4.139481,244100
2016-04-15,7.270000,7.360000,7.200000,7.270000,4.094425,311400
2016-04-18,7.190000,7.380000,7.180000,7.380000,4.156375,265700
2016-04-19,7.400000,7.550000,7.400000,7.540000,4.246487,483200
2016-04-20,7.520000,7.650000,7.520000,7.570000,4.263383,477100
2016-04-21,7.570000,7.590000,7.410000,7.490000,4.218326,436200
2016-04-22,7.480000,7.580000,7.480000,7.550000,4.252120,346700
2016-04-25,7.520000,7.520000,7.400000,7.420000,4.178905,343300
2016-04-26,7.450000,7.600000,7.450000,7.580000,4.269016,425100
2016-04-27,7.600000,7.690000,7.560000,7.650000,4.308439,287400
2016-04-28,7.650000,7.770000,7.620000,7.670000,4.319705,432400
2016-04-29,7.740000,7.790000,7.640000,7.700000,4.336596,636400
2016-05-02,7.700000,7.800000,7.640000,7.750000,4.364758,708500
2016-05-03,7.660000,7.660000,7.510000,7.530000,4.240857,286100
2016-05-04,7.480000,7.550000,7.400000,7.430000,4.184536,195900
2016-05-05,7.490000,7.530000,7.410000,7.420000,4.178905,186000
2016-05-06,7.400000,7.490000,7.380000,7.450000,4.195799,318600
2016-05-09,7.420000,7.420000,7.330000,7.370000,4.150746,653400
2016-05-10,7.370000,7.460000,7.370000,7.460000,4.201434,266400
2016-05-11,7.400000,7.520000,7.400000,7.460000,4.201434,319500
2016-05-12,7.500000,7.560000,7.440000,7.450000,4.221262,228700
2016-05-13,7.480000,7.490000,7.380000,7.380000,4.181601,308000
2016-05-16,7.440000,7.590000,7.440000,7.570000,4.289258,302100
2016-05-17,7.520000,7.600000,7.500000,7.540000,4.272258,209900
2016-05-18,7.480000,7.770000,7.380000,7.430000,4.209930,291100
2016-05-19,7.400000,7.410000,7.280000,7.410000,4.198598,430500
2016-05-20,7.430000,7.450000,7.380000,7.420000,4.204265,488700
2016-05-23,7.400000,7.450000,7.350000,7.390000,4.187265,272700
2016-05-24,7.420000,7.510000,7.390000,7.410000,4.198598,197100
2016-05-25,7.440000,7.570000,7.440000,7.550000,4.277925,213800
2016-05-26,7.570000,7.600000,7.490000,7.490000,4.243927,439600
2016-05-27,7.490000,7.540000,7.460000,7.480000,4.238261,344100
2016-05-31,7.550000,7.550000,7.450000,7.450000,4.221262,362300
2016-06-01,7.410000,7.490000,7.380000,7.470000,4.232595,294900
2016-06-02,7.410000,7.530000,7.410000,7.500000,4.249593,176300
2016-06-03,7.480000,7.590000,7.480000,7.590000,4.300592,332700
2016-06-06,7.640000,7.770000,7.640000,7.770000,4.402581,314400
2016-06-07,7.770000,7.860000,7.740000,7.840000,4.442240,360900
2016-06-08,7.850000,7.920000,7.850000,7.880000,4.464905,310400
2016-06-09,7.820000,7.860000,7.790000,7.860000,4.453575,176800
2016-06-10,7.800000,7.800000,7.720000,7.770000,4.402581,178000
2016-06-13,7.670000,7.710000,7.590000,7.610000,4.337040,181700
2016-06-14,7.560000,7.610000,7.480000,7.520000,4.285746,290200
2016-06-15,7.520000,7.560000,7.490000,7.510000,4.280047,188600
2016-06-16,7.450000,7.530000,7.430000,7.530000,4.291446,200500
2016-06-17,7.590000,7.600000,7.540000,7.590000,4.325642,228700
2016-06-20,7.660000,7.730000,7.620000,7.680000,4.376935,504400
2016-06-21,7.650000,7.720000,7.640000,7.710000,4.394031,246900
2016-06-22,7.690000,7.740000,7.690000,7.720000,4.399731,237400
2016-06-23,7.750000,7.860000,7.740000,7.790000,4.439624,575000
2016-06-24,7.470000,7.670000,7.470000,7.580000,4.319942,632400
2016-06-27,7.530000,7.530000,7.320000,7.320000,4.171764,553400
2016-06-28,7.440000,7.500000,7.430000,7.480000,4.262951,434700
2016-06-29,7.590000,7.660000,7.550000,7.640000,4.354139,585900
2016-06-30,7.650000,7.710000,7.560000,7.700000,4.388329,477700
2016-07-01,7.670000,7.790000,7.670000,7.740000,4.411131,362900
2016-07-05,7.600000,7.700000,7.590000,7.650000,4.359837,528300
2016-07-06,7.580000,7.770000,7.580000,7.700000,4.388329,457200
