Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,7.230000,7.260000,7.060000,7.140000,3.571365,1042400
2016-01-12,7.190000,7.240000,7.080000,7.120000,3.561363,649900
2016-01-13,7.130000,7.140000,6.930000,6.930000,3.489358,580400
2016-01-14,6.930000,7.050000,6.890000,7.000000,3.524604,576700
2016-01-15,6.860000,6.900000,6.780000,6.860000,3.454112,1054600
2016-01-19,6.920000,6.960000,6.780000,6.800000,3.423902,691000
2016-01-20,6.750000,6.760000,6.420000,6.600000,3.323200,1059800
2016-01-21,6.640000,6.780000,6.620000,6.700000,3.373550,594900
2016-01-22,6.790000,6.880000,6.790000,6.880000,3.464182,417200
2016-01-25,6.880000,6.880000,6.740000,6.740000,3.393690,583100
2016-01-26,6.780000,6.900000,6.780000,6.900000,3.474254,406700
2016-01-27,6.890000,6.940000,6.800000,6.850000,3.449079,420800
2016-01-28,6.950000,7.090000,6.870000,7.090000,3.569922,1317300
2016-01-29,7.140000,7.250000,7.090000,7.250000,3.650485,911200
2016-02-01,7.180000,7.240000,7.160000,7.230000,3.640413,308200
2016-02-02,7.170000,7.180000,7.060000,7.100000,3.574957,466900
2016-02-03,7.120000,7.160000,7.010000,7.140000,3.595099,455700
2016-02-04,7.140000,7.200000,7.100000,7.160000,3.605168,527900
2016-02-05,7.130000,7.130000,7.000000,7.020000,3.534675,547800
2016-02-08,6.960000,6.970000,6.880000,6.910000,3.479290,606800
2016-02-09,6.800000,6.930000,6.770000,6.890000,3.469218,431100
2016-02-10,6.940000,6.970000,6.910000,6.920000,3.484322,358500
2016-02-11,6.780000,6.780000,6.700000,6.780000,3.437176,608800
2016-02-12,6.800000,6.860000,6.770000,6.860000,3.477734,436100
2016-02-16,6.960000,6.990000,6.880000,6.990000,3.543638,427100
2016-02-17,7.060000,7.120000,7.020000,7.120000,3.609541,520800
2016-02-18,7.130000,7.130000,7.060000,7.070000,3.584193,370700
2016-02-19,7.030000,7.060000,7.000000,7.040000,3.568987,391100
2016-02-22,7.070000,7.150000,7.070000,7.110000,3.604473,583100
2016-02-23,7.100000,7.120000,7.060000,7.070000,3.584193,298100
2016-02-24,7.010000,7.140000,6.970000,7.140000,3.619680,387400
2016-02-25,7.110000,7.180000,7.080000,7.180000,3.639960,376300
2016-02-26,7.200000,7.210000,7.150000,7.180000,3.639960,390600
2016-02-29,7.220000,7.250000,7.150000,7.170000,3.634889,567900
2016-03-01,7.220000,7.290000,7.200000,7.290000,3.695728,446300
2016-03-02,7.260000,7.380000,7.250000,7.380000,3.741351,481800
2016-03-03,7.390000,7.400000,7.340000,7.390000,3.746422,683500
2016-03-04,7.390000,7.440000,7.380000,7.410000,3.756561,493200
2016-03-07,7.390000,7.420000,7.370000,7.390000,3.746422,276300
2016-03-08,7.360000,7.380000,7.300000,7.310000,3.705863,343500
2016-03-09,7.330000,7.370000,7.310000,7.320000,3.710935,425400
2016-03-10,7.360000,7.370000,7.280000,7.350000,3.726144,312900
2016-03-11,7.350000,7.430000,7.350000,7.430000,3.790939,304100
2016-03-14,7.420000,7.440000,7.400000,7.400000,3.775636,253800
2016-03-15,7.350000,7.380000,7.340000,7.350000,3.750124,445900
2016-03-16,7.330000,7.390000,7.330000,7.370000,3.760328,579500
2016-03-17,7.390000,7.430000,7.360000,7.400000,3.775636,591100
2016-03-18,7.430000,7.450000,7.400000,7.430000,3.790939,344800
2016-03-21,7.410000,7.460000,7.410000,7.460000,3.806249,388600
2016-03-22,7.440000,7.480000,7.420000,7.420000,3.785839,462600
2016-03-23,7.410000,7.460000,7.370000,7.380000,3.765429,374600
2016-03-24,7.360000,7.380000,7.320000,7.350000,3.750124,484900
2016-03-28,7.370000,7.410000,7.370000,7.390000,3.770533,464400
2016-03-29,7.390000,7.500000,7.380000,7.490000,3.821556,925200
2016-03-30,7.500000,7.540000,7.480000,7.480000,3.816451,565000
