Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,21.093332,21.586666,20.900000,21.333332,15.694288,11100
2016-01-12,21.299999,22.540001,21.026667,21.540001,15.846330,12300
2016-01-13,21.540001,21.540001,19.686666,20.093332,14.782057,38400
2016-01-14,20.266666,20.366667,20.026667,20.366667,14.983144,16500
2016-01-15,19.833332,20.466667,19.833332,19.853333,14.605498,19050
2016-01-19,20.020000,20.600000,19.833332,20.486668,15.071427,11250
2016-01-20,19.920000,20.946667,19.893333,20.946667,15.409835,23550
2016-01-21,20.500000,21.013332,20.500000,20.746668,15.262697,14550
2016-01-22,20.833332,21.180000,20.653334,20.833332,15.326455,8400
2016-01-25,20.673332,21.059999,20.666668,20.666668,15.203844,9150
2016-01-26,20.980000,21.059999,20.600000,20.973333,15.429448,9450
2016-01-27,20.780001,21.280001,20.333332,20.806667,15.306834,10350
2016-01-28,20.799999,21.393333,20.799999,21.393333,15.738432,5100
2016-01-29,21.553333,23.133333,21.553333,23.133333,17.018494,22950
2016-02-01,22.813334,22.933332,22.013332,22.620001,16.640852,10800
2016-02-02,22.500000,22.666668,21.680000,22.193333,16.326963,10650
2016-02-03,22.206667,22.413334,21.613333,21.766666,16.013075,11700
2016-02-04,21.700001,22.313334,21.700001,21.820000,16.052320,5100
2016-02-05,21.526667,21.906668,20.966667,20.966667,15.424545,22050
2016-02-08,20.866667,21.020000,20.379999,20.566668,15.130277,6300
2016-02-09,20.633333,21.293333,20.620001,20.966667,15.424545,4500
2016-02-10,21.006666,22.393333,21.006666,21.200001,15.728731,3900
2016-02-11,20.700001,20.900000,20.293333,20.846666,15.466586,9750
2016-02-12,20.980000,21.593332,20.526667,21.500000,15.951313,7800
2016-02-16,21.406668,21.726667,21.406668,21.706667,16.104647,5550
2016-02-17,21.500000,22.293333,21.500000,22.253332,16.510220,11700
2016-02-18,22.233334,22.273333,22.120001,22.120001,16.411301,9600
2016-02-19,22.146667,22.333332,22.040001,22.326668,16.564631,7350
2016-02-22,22.333332,22.606667,22.306667,22.520000,16.708071,8550
2016-02-23,22.459999,22.520000,21.526667,21.620001,16.040340,12150
2016-02-24,21.333332,22.093332,21.333332,22.000000,16.322271,4200
2016-02-25,21.973333,22.440001,21.400000,21.986668,16.312380,11100
2016-02-26,21.833332,22.386667,21.366667,22.386667,16.609146,11850
2016-02-29,22.120001,22.120001,21.386667,22.059999,16.366787,5850
2016-03-01,21.980000,22.186666,21.700001,22.146667,16.431082,6000
2016-03-02,21.879999,22.386667,21.480000,22.386667,16.609146,4500
2016-03-03,22.153334,22.600000,22.013332,22.386667,16.609146,6450
2016-03-04,22.320000,22.660000,22.100000,22.466667,16.668501,3150
2016-03-07,22.879999,22.879999,22.500000,22.793333,16.910864,9750
2016-03-08,22.879999,22.879999,22.500000,22.500000,16.693232,6150
2016-03-09,21.866667,22.760000,21.686666,22.466667,16.668501,5250
2016-03-10,22.506666,22.666668,21.760000,22.133333,16.421196,9150
2016-03-11,21.406668,22.626667,21.406668,22.440001,16.648716,6450
2016-03-14,22.466667,22.480000,22.093332,22.100000,16.396458,7500
2016-03-15,22.273333,22.280001,22.000000,22.133333,16.421196,6150
2016-03-16,22.200001,22.840000,21.506666,22.773333,16.896023,6000
2016-03-17,22.540001,22.826668,22.346666,22.666668,16.816885,7800
2016-03-18,22.786667,22.879999,22.200001,22.693333,16.836670,15450
2016-03-21,22.600000,22.813334,22.500000,22.593332,16.762478,4950
2016-03-22,22.286667,22.286667,21.760000,21.873333,16.228292,4800
2016-03-23,21.773333,22.066668,21.566668,21.566668,16.000771,9600
2016-03-24,21.566668,21.826668,21.566668,21.773333,16.154100,8250
2016-03-28,21.526667,21.906668,21.346666,21.533333,15.976043,7950
2016-03-29,21.879999,22.106667,21.780001,22.106667,16.401407,6000
2016-03-30,22.013332,22.520000,21.353333,22.520000,16.708071,3450
2016-03-31,22.346666,22.620001,22.139999,22.146667,16.431082,7050
2016-04-01,22.186666,22.540001,22.100000,22.120001,16.411301,7050
2016-04-04,22.166668,22.166668,21.666668,21.786667,16.163994,11700
2016-04-05,21.686666,22.653334,21.686666,21.686666,16.089804,4950
