Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,13.634921,13.742063,13.357143,13.484127,9.437768,799344
2016-01-12,13.658730,13.674603,12.440476,12.869048,9.007264,2147544
2016-01-13,13.158730,13.869048,13.003968,13.317460,9.321113,1332324
2016-01-14,13.464286,13.555556,13.067460,13.349206,9.343332,1093176
2016-01-15,13.023810,13.261905,12.825397,13.039683,9.126693,823536
2016-01-19,13.039683,13.039683,12.726190,12.773810,8.940605,840168
2016-01-20,12.666667,12.777778,12.103175,12.730159,8.910052,1216152
2016-01-21,12.793651,13.039683,12.702381,12.829365,8.979487,665028
2016-01-22,13.011905,13.222222,12.992063,13.142857,9.198908,1255968
2016-01-25,13.134921,13.162698,13.011905,13.023810,9.115583,367416
2016-01-26,13.123016,13.289683,13.103175,13.218254,9.251678,525924
2016-01-27,13.214286,13.567460,13.166667,13.484127,9.437768,1100484
2016-01-28,13.555556,14.027778,13.539683,13.869048,9.707181,636048
2016-01-29,14.119048,14.265873,14.007937,14.265873,9.984924,559944
2016-02-01,14.277778,14.285714,14.007937,14.099206,9.868269,350532
2016-02-02,14.051587,14.095238,13.769841,13.829365,9.679406,367668
2016-02-03,13.960317,14.194444,13.702381,14.119048,9.882160,876708
2016-02-04,14.202381,14.480159,14.202381,14.404762,10.082136,728280
2016-02-05,14.412698,14.547619,14.206349,14.210317,9.946038,871920
2016-02-08,14.142857,14.265873,13.960317,14.111111,9.876604,739872
2016-02-09,14.007937,14.265873,13.980159,14.083333,9.857162,782208
2016-02-10,14.019841,14.178571,13.876984,13.928571,9.748841,539532
2016-02-11,13.773810,13.825397,13.277778,13.456349,9.418324,1331316
2016-02-12,13.654762,13.781746,13.503968,13.595238,9.515535,593964
2016-02-16,13.761905,13.928571,13.591270,13.726190,9.607191,732060
2016-02-17,13.920635,14.059524,13.801587,13.972222,9.779396,899388
2016-02-18,14.027778,14.218254,14.003968,14.095238,9.865497,776160
2016-02-19,14.043651,14.111111,13.876984,14.015873,9.809947,495180
2016-02-22,14.250000,14.476190,14.011905,14.150794,9.904379,1243872
2016-02-23,14.253968,14.448413,14.174603,14.416667,10.090467,602784
2016-02-24,14.341270,14.678571,14.162698,14.551587,10.184901,788256
2016-02-25,14.361111,14.666667,14.361111,14.638889,10.407784,701064
2016-02-26,14.682540,14.821429,14.654762,14.773810,10.503709,622440
2016-02-29,14.773810,14.952381,14.773810,14.940476,10.622201,617652
2016-03-01,15.043651,15.226190,14.869048,15.087302,10.726591,1109052
2016-03-02,15.079365,15.095238,14.698413,14.813492,10.531920,454104
2016-03-03,14.857143,14.865079,14.607143,14.825397,10.540384,687204
2016-03-04,14.892857,15.007937,14.761905,15.007937,10.670166,578592
2016-03-07,14.944444,15.480159,14.884921,15.448413,10.983330,526680
2016-03-08,15.535714,15.551587,15.273810,15.337302,10.904331,510300
2016-03-09,15.400794,15.575397,15.313492,15.531746,11.042576,444024
2016-03-10,15.547619,15.658730,15.309524,15.468254,10.997434,370188
2016-03-11,15.575397,15.718254,15.484127,15.658730,11.132856,399672
2016-03-14,15.611111,15.690476,15.460317,15.615079,11.101825,223020
2016-03-15,15.472222,15.801587,15.349206,15.793651,11.228783,320292
2016-03-16,15.761905,15.968254,15.682540,15.873016,11.285208,497952
2016-03-17,15.884921,16.138889,15.865079,15.972222,11.355742,706356
2016-03-18,16.047619,16.103174,15.916667,15.932540,11.327527,631008
2016-03-21,15.932540,16.178572,15.904762,16.158730,11.488340,480816
2016-03-22,16.115080,16.238094,15.916667,16.134920,11.471415,519876
2016-03-23,16.130953,16.150793,15.769841,15.769841,11.211856,644112
2016-03-24,15.607143,15.896825,15.587302,15.833333,11.256993,381024
2016-03-28,15.833333,16.095238,15.809524,16.063492,11.420630,484092
2016-03-29,16.075397,16.218254,15.940476,16.178572,11.502448,319536
2016-03-30,16.269840,16.488094,16.218254,16.412699,11.668905,423612
2016-03-31,16.444445,16.797619,16.373016,16.718254,11.886146,463680
2016-04-01,16.611111,16.777779,16.416668,16.607143,11.807149,395388
2016-04-04,16.519840,16.567459,15.960317,16.000000,11.375490,795816
2016-04-05,15.682540,16.067459,15.515873,15.940476,11.333169,781200
2016-04-06,15.892857,16.031746,15.809524,15.944444,11.335990,409248
2016-04-07,15.873016,15.956349,15.694444,15.734127,11.186460,501732
2016-04-08,15.912698,16.154762,15.912698,16.126984,11.465772,778932
2016-04-11,16.190475,16.400793,16.150793,16.305555,11.592732,352548
2016-04-12,16.396826,16.551586,16.238094,16.507936,11.736616,941220
2016-04-13,16.507936,16.507936,16.396826,16.503967,11.733793,613116
2016-04-14,16.472221,16.543652,16.369047,16.456348,11.699940,876204
2016-04-15,16.448414,16.579365,16.400793,16.460318,11.702763,181692
2016-04-18,16.369047,16.503967,16.349207,16.460318,11.702763,274932
2016-04-19,16.484127,16.638889,16.456348,16.579365,11.787399,431172
2016-04-20,16.547619,16.666668,16.353174,16.634920,11.826896,355068
2016-04-21,16.666668,16.670635,16.460318,16.599207,11.801509,309456
2016-04-22,16.615080,16.920635,16.615080,16.682541,11.860756,444780
2016-04-25,16.678572,16.765873,16.579365,16.718254,11.886146,249228
2016-04-26,16.746033,16.908730,16.718254,16.777779,11.928466,265608
2016-04-27,16.785713,17.007936,16.174603,16.896826,12.013105,342468
2016-04-28,16.884920,17.059525,16.861111,16.896826,12.013105,232092
2016-04-29,16.908730,16.976191,16.591270,16.738094,11.900250,295344
2016-05-02,16.706348,16.785713,16.603174,16.690475,11.866395,460656
2016-05-03,16.543652,16.757936,16.289682,16.658730,11.843823,444024
2016-05-04,16.638889,16.654762,16.357143,16.476191,11.714046,285012
2016-05-05,16.388889,16.845238,16.388889,16.773809,11.925645,270396
2016-05-06,16.714287,17.257936,16.714287,17.170635,12.207774,379512
2016-05-09,17.246033,17.246033,16.880953,16.964287,12.061069,410508
2016-05-10,17.031746,17.222221,16.801586,17.142857,12.188025,540540
2016-05-11,17.087301,17.321428,16.960318,17.226191,12.247271,274428
2016-05-12,17.313492,17.404762,17.174603,17.206348,12.233163,192780
2016-05-13,17.007936,17.107143,16.924603,17.047619,12.120314,332136
2016-05-16,17.214287,17.428572,17.166668,17.202381,12.230347,243180
2016-05-17,17.202381,17.440475,17.178572,17.392857,12.365766,235368
2016-05-18,17.333332,17.448414,17.162699,17.162699,12.202129,301896
2016-05-19,17.162699,17.162699,16.888889,16.968254,12.063888,277956
2016-05-20,16.968254,17.047619,16.873016,16.944445,12.046964,403200
2016-05-23,16.916668,16.948414,16.813492,16.853174,11.982069,144648
2016-05-24,16.936508,17.023809,16.841270,16.884920,12.004640,358092
2016-05-25,16.912699,17.000000,16.781746,16.912699,12.024388,525168
2016-05-26,16.785713,16.869047,16.690475,16.789682,12.098738,348012
2016-05-27,16.865080,16.908730,16.726191,16.833332,12.130192,291060
2016-05-31,16.845238,17.035713,16.797619,16.968254,12.227416,586656
2016-06-01,16.960318,17.047619,16.666668,17.003967,12.253150,253764
2016-06-02,16.873016,17.150793,16.865080,17.059525,12.293186,248472
2016-06-03,17.103174,17.361111,17.055555,17.095238,12.318920,323820
2016-06-06,17.138889,17.432541,17.123016,17.345238,12.499073,290808
2016-06-07,17.424603,17.503967,17.285713,17.388889,12.530528,405972
2016-06-08,17.539682,17.789682,17.539682,17.726191,12.773593,855036
2016-06-09,17.765873,17.976191,17.690475,17.916668,12.910847,353052
2016-06-10,17.904762,17.960318,17.757936,17.896826,12.896550,343224
2016-06-13,17.884920,17.884920,17.611111,17.615080,12.693522,801612
2016-06-14,17.583332,17.619047,17.353174,17.400793,12.539105,550620
2016-06-15,17.507936,17.555555,17.373016,17.476191,12.593438,584388
2016-06-16,17.341270,17.507936,17.099207,17.404762,12.541965,391104
2016-06-17,17.480160,17.611111,17.392857,17.543652,12.642051,183708
2016-06-20,17.630953,17.876984,17.511906,17.746033,12.787888,218484
2016-06-21,17.896826,17.896826,17.488094,17.599207,12.682083,360612
2016-06-22,17.623016,17.666668,17.492064,17.503967,12.613453,394380
2016-06-23,17.650793,17.734127,17.555555,17.694445,12.750709,267120
2016-06-24,17.130953,17.551586,16.873016,17.091270,12.316065,669312
2016-06-27,16.849207,16.948414,16.539682,16.615080,11.972917,861336
2016-06-28,16.884920,16.884920,16.654762,16.730160,12.055841,478548
2016-06-29,16.920635,17.575397,16.920635,17.523809,12.627754,381780
2016-06-30,17.607143,17.960318,17.476191,17.960318,12.942303,531972
2016-07-01,17.857143,18.428572,17.857143,18.305555,13.191082,617400
2016-07-05,18.297619,18.341270,18.059525,18.134920,13.068123,740880
2016-07-06,17.920635,18.476191,17.626984,18.404762,13.262570,864360
2016-07-07,18.642857,18.642857,17.992064,18.111111,13.050966,484092
2016-07-08,18.253967,18.408730,18.091270,18.376984,13.242556,287532
2016-07-11,18.376984,18.472221,18.071428,18.333332,13.211097,321048
2016-07-12,18.428572,18.726191,18.333332,18.579365,13.388394,454608
2016-07-13,18.571428,18.773809,18.456348,18.515873,13.342637,327600
