Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,28.299999,28.480000,27.670000,28.120001,11.288035,550300
2016-01-12,28.549999,28.780001,27.860001,28.410000,11.404449,728200
2016-01-13,27.160000,27.610001,26.549999,26.809999,11.257484,727200
2016-01-14,26.910000,27.330000,26.590000,26.790001,11.249089,897200
2016-01-15,26.370001,27.299999,26.309999,27.150000,11.400250,649600
2016-01-19,27.709999,28.000000,26.590000,26.879999,11.286880,419100
2016-01-20,26.490000,27.450001,26.049999,27.200001,11.421246,477400
2016-01-21,27.320000,27.320000,26.480000,27.129999,11.391852,669000
2016-01-22,27.500000,28.200001,27.440001,27.850000,11.694181,495800
2016-01-25,27.660000,27.760000,26.650000,26.730000,11.223893,604100
2016-01-26,26.860001,28.180000,26.860001,27.920000,11.723576,296700
2016-01-27,27.860001,28.100000,27.420000,27.680000,11.622798,409100
2016-01-28,27.940001,28.100000,27.400000,27.680000,11.622798,336600
2016-01-29,27.719999,28.490000,27.610001,28.420000,11.933522,401700
2016-02-01,28.219999,29.040001,28.219999,28.860001,12.118278,401500
2016-02-02,28.750000,28.790001,28.270000,28.520000,11.975513,410600
2016-02-03,28.660000,28.969999,28.280001,28.959999,12.160267,290900
2016-02-04,28.410000,29.230000,27.950001,28.580000,12.000706,581000
2016-02-05,28.080000,28.639999,27.760000,28.120001,11.807550,607200
2016-02-08,27.879999,28.650000,27.540001,28.570000,11.996506,531700
2016-02-09,28.320000,28.980000,28.320000,28.670000,12.038496,682300
2016-02-10,28.860001,28.990000,27.950001,28.370001,11.912529,396400
2016-02-11,28.030001,28.700001,27.860001,28.510000,11.971313,479200
2016-02-12,28.559999,29.270000,28.219999,29.219999,12.269442,373500
2016-02-16,29.379999,30.910000,29.160000,30.620001,12.857297,664300
2016-02-17,30.959999,31.850000,30.709999,31.299999,13.142832,569000
2016-02-18,31.270000,31.840000,30.820000,31.750000,13.331785,289700
2016-02-19,31.500000,31.820000,30.990000,31.320000,13.151227,403400
2016-02-22,31.650000,31.910000,31.290001,31.360001,13.168027,462900
2016-02-23,31.420000,32.110001,31.280001,31.860001,13.377974,286000
2016-02-24,31.440001,31.780001,31.180000,31.670000,13.298194,330000
2016-02-25,31.730000,31.980000,31.490000,31.889999,13.390570,265800
2016-02-26,31.850000,31.959999,31.320000,31.750000,13.331785,313500
2016-02-29,31.770000,32.099998,31.379999,31.799999,13.352778,326100
2016-03-01,31.910000,32.070000,30.969999,31.930000,13.407367,425500
2016-03-02,32.009998,32.450001,31.730000,32.180000,13.512341,241000
2016-03-03,31.830000,32.080002,29.379999,30.969999,13.004264,725800
