Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,41.639999,42.270000,40.770000,41.509998,23.002193,4344300
2016-01-12,42.200001,42.250000,40.130001,41.040001,22.741749,2517200
2016-01-13,41.799999,42.189999,38.650002,39.250000,21.749853,4142400
2016-01-14,39.450001,41.549999,38.619999,41.169998,22.813787,2356700
2016-01-15,39.480000,40.220001,38.990002,39.889999,22.104490,2455800
2016-01-19,40.110001,40.869999,39.259998,39.790001,22.049082,3032300
2016-01-20,39.000000,39.340000,37.580002,38.880001,21.544813,3123800
2016-01-21,38.770000,41.330002,38.500000,40.730000,22.569960,3398100
2016-01-22,42.520000,42.950001,40.660000,42.040001,23.295885,2047900
2016-01-25,41.259998,41.770000,39.119999,39.180000,21.711058,2800500
2016-01-26,40.299999,40.590000,39.389999,39.970001,22.148823,2590600
2016-01-27,39.849998,41.880001,39.740002,40.830002,22.625383,2722500
2016-01-28,42.000000,43.290001,41.560001,43.119999,23.894352,2857400
2016-01-29,43.299999,44.160000,42.549999,43.509998,24.110462,4162700
2016-02-01,42.560001,43.650002,42.060001,43.290001,23.988550,2744300
2016-02-02,42.200001,42.500000,41.779999,42.000000,23.273726,1739100
2016-02-03,42.720001,44.459999,41.959999,44.410000,24.609184,2771700
2016-02-04,44.980000,45.849998,43.910000,44.240002,24.514986,2297200
2016-02-05,43.750000,45.090000,42.650002,44.849998,24.853008,4157300
2016-02-08,43.130001,43.599998,42.220001,42.820000,23.728115,6173600
2016-02-09,42.230000,42.900002,41.590000,41.750000,23.135187,5533500
2016-02-10,41.750000,42.320000,41.220001,41.509998,23.002193,3310000
2016-02-11,40.400002,40.990002,39.110001,39.779999,22.043543,3393600
2016-02-12,40.400002,40.790001,39.400002,39.900002,22.110031,4239400
2016-02-16,40.689999,41.470001,40.259998,41.200001,22.830414,4099100
2016-02-17,41.820000,42.930000,41.470001,42.490002,23.545238,2398200
2016-02-18,43.060001,43.330002,41.830002,41.990002,23.268177,1830300
2016-02-19,42.130001,42.250000,41.299999,42.139999,23.351295,2585900
2016-02-22,43.119999,43.720001,42.770000,43.490002,24.099377,2629100
2016-02-23,43.490002,43.709999,42.360001,42.490002,23.545238,3534300
2016-02-24,41.639999,42.279999,41.200001,41.910000,23.223852,1873300
2016-02-25,41.830002,43.779999,41.500000,43.250000,23.966387,3071600
2016-02-26,44.099998,45.189999,43.759998,44.250000,24.520527,2425300
2016-02-29,44.169998,44.529999,42.230000,42.869999,23.847433,3488400
2016-03-01,43.290001,44.470001,43.160000,44.259998,24.620657,3002500
2016-03-02,44.230000,45.509998,43.090000,45.410000,25.260368,3298600
2016-03-03,45.139999,46.990002,45.139999,46.549999,25.894520,3166100
2016-03-04,46.669998,47.450001,45.529999,46.200001,25.699818,3415600
2016-03-07,45.779999,47.520000,45.660000,46.580002,25.911209,4999000
2016-03-08,46.250000,46.459999,43.869999,44.049999,24.503843,3933700
2016-03-09,44.759998,45.299999,43.669998,44.310001,24.648472,3295000
2016-03-10,44.200001,44.610001,42.599998,43.529999,24.214579,2274400
2016-03-11,44.250000,46.000000,43.880001,45.790001,25.471750,3679500
2016-03-14,44.930000,45.419998,43.389999,43.880001,24.409271,4924500
2016-03-15,43.279999,44.220001,42.759998,44.209999,24.592840,2138100
2016-03-16,44.650002,46.009998,44.310001,45.900002,25.532938,4071800
2016-03-17,46.270000,47.049999,45.740002,46.810001,26.039154,6545600
2016-03-18,47.279999,47.470001,46.610001,47.439999,26.389608,5405200
2016-03-21,47.130001,47.590000,46.450001,47.040001,26.167097,2501800
2016-03-22,46.540001,47.169998,46.180000,46.430000,25.827765,2481400
2016-03-23,46.230000,46.599998,44.919998,44.959999,25.010050,2057400
2016-03-24,44.270000,44.849998,43.759998,44.680000,24.854284,2644300
2016-03-28,44.820000,44.930000,43.570000,43.869999,24.403713,1845900
2016-03-29,43.330002,43.430000,42.330002,42.720001,23.763996,2894100
2016-03-30,43.270000,44.320000,42.619999,43.369999,24.125570,3782300
2016-03-31,43.320000,44.040001,43.189999,43.830002,24.381451,2126500
2016-04-01,42.950001,44.020000,42.669998,42.950001,23.891945,3035100
2016-04-04,41.799999,42.580002,40.240002,41.470001,23.068657,7146100
2016-04-05,40.790001,41.080002,38.160000,39.360001,21.894917,11392700
2016-04-06,39.000000,43.250000,38.770000,42.830002,23.825182,14881000
2016-04-07,42.220001,43.320000,41.070000,41.930000,23.324539,8520500
2016-04-08,43.160000,43.880001,42.400002,43.110001,23.980934,5291400
2016-04-11,43.470001,43.740002,41.189999,41.740002,23.218847,4467100
2016-04-12,41.750000,42.169998,40.349998,41.230000,22.935141,6654800
2016-04-13,41.119999,41.630001,40.689999,41.299999,22.974077,5481900
2016-04-14,41.529999,43.869999,41.180000,43.180000,24.019876,8396700
2016-04-15,43.119999,43.900002,42.450001,43.799999,24.364775,3492100
2016-04-18,42.919998,45.830002,42.709999,45.700001,25.421696,3344700
2016-04-19,45.820000,46.599998,45.380001,46.500000,25.866705,2918500
2016-04-20,46.380001,47.169998,45.619999,47.000000,26.144836,7722900
2016-04-21,46.580002,47.419998,46.360001,46.689999,25.972395,3469700
2016-04-22,47.110001,48.160000,45.700001,46.430000,25.827765,4487800
2016-04-25,46.169998,46.400002,44.509998,45.040001,25.054546,3519300
2016-04-26,45.340000,45.810001,44.750000,45.799999,25.477316,2588000
2016-04-27,44.230000,47.669998,44.049999,46.939999,26.111467,5430000
2016-04-28,46.349998,48.110001,46.349998,47.860001,26.623245,5561600
2016-04-29,47.900002,49.250000,47.310001,48.360001,26.901381,3650400
2016-05-02,49.439999,50.759998,45.930000,47.400002,26.367352,13238100
2016-05-03,46.689999,46.959999,45.150002,45.540001,25.332685,8688700
2016-05-04,45.500000,46.040001,44.139999,44.490002,24.748602,4560800
2016-05-05,45.130001,45.619999,44.290001,45.049999,25.060112,4238600
2016-05-06,44.590000,46.279999,44.500000,45.880001,25.521824,4059300
