Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,27.600000,28.195000,27.500000,28.049999,25.806423,392200
2016-01-12,28.270000,28.270000,27.549999,27.834999,25.608612,144800
2016-01-13,27.834999,28.090000,26.955000,27.195000,25.019806,423400
2016-01-14,27.270000,28.135000,26.950001,27.955000,25.719023,214200
2016-01-15,27.235001,27.480000,26.875000,27.385000,25.194613,178800
2016-01-19,27.615000,27.760000,27.000000,27.170000,24.996805,186600
2016-01-20,26.930000,27.180000,26.400000,26.879999,24.730003,232800
2016-01-21,26.910000,27.510000,26.410000,27.219999,25.042807,266600
2016-01-22,27.430000,27.770000,26.910000,27.165001,24.992210,218800
2016-01-25,27.125000,27.125000,26.670000,26.709999,24.573601,100200
2016-01-26,26.715000,27.219999,26.715000,27.100000,24.932404,262000
2016-01-27,26.924999,27.180000,26.625000,26.730000,24.592003,258000
2016-01-28,26.965000,27.075001,26.510000,26.605000,24.477003,244000
2016-01-29,26.650000,27.915001,26.650000,27.915001,25.682228,270600
2016-02-01,27.730000,27.975000,27.535000,27.709999,25.493614,154600
2016-02-02,27.434999,27.764999,27.209999,27.719999,25.502815,137600
2016-02-03,29.200001,29.900000,28.540001,29.889999,27.499249,357600
2016-02-04,29.834999,30.490000,29.809999,30.059999,27.655651,209800
2016-02-05,29.545000,30.465000,28.985001,30.059999,27.655651,204000
2016-02-08,29.915001,31.469999,29.754999,31.400000,28.888472,183000
2016-02-09,31.105000,31.495001,30.865000,30.950001,28.474464,128000
2016-02-10,31.129999,31.334999,30.469999,30.490000,28.051258,272600
2016-02-11,30.000000,31.264999,30.000000,31.200001,28.704470,137800
2016-02-12,31.500000,31.620001,31.020000,31.420000,28.906866,184400
2016-02-16,31.750000,32.549999,31.629999,32.459999,29.863684,156200
2016-02-17,32.705002,33.224998,32.610001,32.665001,30.052288,233600
2016-02-18,32.700001,33.134998,32.264999,32.485001,29.886686,233400
2016-02-19,32.470001,32.700001,32.064999,32.685001,30.070692,252200
2016-02-22,32.965000,33.205002,32.445000,32.500000,29.900484,174800
2016-02-23,32.465000,32.865002,32.340000,32.470001,29.872885,224800
2016-02-24,32.250000,32.970001,31.830000,32.915001,30.282303,144200
2016-02-25,33.000000,33.055000,32.525002,33.020000,30.471478,110200
2016-02-26,33.105000,33.130001,32.650002,32.985001,30.439173,99000
2016-02-29,33.044998,33.215000,32.764999,32.845001,30.309977,177000
2016-03-01,33.119999,33.474998,32.805000,33.355000,30.780617,205400
2016-03-02,33.244999,33.279999,32.805000,33.154999,30.596050,128200
2016-03-03,33.474998,33.595001,33.035000,33.459999,30.877506,170800
2016-03-04,33.450001,34.040001,32.915001,33.974998,31.352751,162800
2016-03-07,33.970001,34.470001,33.880001,34.095001,31.463499,203000
2016-03-08,33.919998,34.084999,33.619999,33.724998,31.122055,157400
2016-03-09,33.779999,34.115002,33.730000,33.880001,31.265097,79200
2016-03-10,34.005001,34.095001,33.119999,33.395000,30.817524,211400
2016-03-11,33.650002,33.985001,33.445000,33.669998,31.071306,182800
2016-03-14,33.535000,33.980000,33.195000,33.305000,30.734467,94800
2016-03-15,33.084999,33.720001,32.970001,33.485001,30.900579,129200
2016-03-16,33.474998,33.950001,33.230000,33.785000,31.177425,125600
2016-03-17,33.855000,34.740002,33.799999,34.595001,31.924906,219200
2016-03-18,34.419998,34.419998,32.820000,32.955002,30.411486,456600
2016-03-21,32.855000,33.220001,32.650002,32.700001,30.176180,123400
2016-03-22,32.500000,33.134998,32.500000,32.735001,30.208471,152600
2016-03-23,32.570000,32.860001,32.139999,32.209999,29.723988,159000
2016-03-24,32.090000,32.709999,32.020000,32.625000,30.106962,130400
2016-03-28,32.625000,32.919998,32.139999,32.490002,29.982380,151200
2016-03-29,32.485001,33.494999,32.485001,33.480000,30.895977,139000
2016-03-30,33.544998,33.544998,33.000000,33.165001,30.605276,77200
2016-03-31,33.255001,33.384998,32.974998,33.255001,30.688332,76200
2016-04-01,32.994999,33.430000,32.820000,33.360001,30.785227,104600
2016-04-04,33.685001,33.685001,33.075001,33.275002,30.706797,184000
2016-04-05,32.959999,33.255001,32.775002,32.820000,30.286898,105400
2016-04-06,32.724998,32.810001,32.275002,32.584999,30.070042,102200
2016-04-07,32.430000,32.610001,32.215000,32.505001,29.996218,173800
2016-04-08,32.680000,33.259998,32.334999,32.529999,30.019287,83200
2016-04-11,32.615002,32.930000,32.209999,32.244999,29.756283,115600
2016-04-12,32.134998,32.404999,31.719999,32.305000,29.811659,183800
2016-04-13,32.494999,33.634998,32.310001,33.330002,30.757545,264000
2016-04-14,33.480000,33.480000,32.680000,33.049999,30.499157,143400
2016-04-15,33.000000,33.299999,32.380001,32.919998,30.379179,112400
2016-04-18,32.900002,33.125000,32.450001,33.060001,30.508385,155400
2016-04-19,35.200001,38.305000,35.200001,36.525002,33.705959,826400
2016-04-20,35.820000,36.020000,34.134998,35.639999,32.889248,428200
2016-04-21,35.799999,36.345001,35.215000,35.544998,32.801582,256200
2016-04-22,35.669998,35.840000,35.180000,35.389999,32.658550,176000
2016-04-25,35.049999,35.680000,35.014999,35.244999,32.524746,172200
2016-04-26,35.215000,36.139999,35.215000,36.044998,33.262993,206000
2016-04-27,36.115002,36.349998,35.665001,36.224998,33.429111,270400
2016-04-28,35.840000,36.435001,35.750000,35.849998,33.083050,148800
2016-04-29,35.849998,36.474998,35.430000,35.665001,32.912327,179400
2016-05-02,35.875000,36.110001,35.505001,35.959999,33.184563,144200
2016-05-03,35.775002,36.070000,35.650002,35.750000,32.990768,79200
2016-05-04,35.680000,39.360001,35.680000,37.139999,34.273483,599400
2016-05-05,39.130001,39.130001,37.040001,37.090000,34.227329,221400
2016-05-06,37.000000,37.445000,36.650002,37.419998,34.531864,156800
2016-05-09,37.255001,37.415001,36.814999,37.055000,34.195049,200800
2016-05-10,37.224998,37.654999,37.080002,37.395000,34.508789,101200
2016-05-11,37.470001,37.474998,36.869999,37.055000,34.195049,126000
2016-05-12,37.240002,37.564999,36.930000,37.174999,34.305775,135200
2016-05-13,37.044998,37.250000,36.625000,36.770000,33.932045,95600
2016-05-16,36.900002,37.549999,36.794998,37.235001,34.361156,151600
