Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,1.830000,1.850000,1.800000,1.820000,1.820000,9500
2016-01-12,1.840000,1.870000,1.840000,1.870000,1.870000,1900
2016-01-13,1.870000,1.870000,1.700000,1.750000,1.750000,35800
2016-01-14,1.720000,1.800000,1.720000,1.760000,1.760000,4200
2016-01-15,1.740000,1.980000,1.740000,1.760000,1.760000,16000
2016-01-19,1.800000,1.910000,1.720000,1.720000,1.720000,26000
2016-01-20,1.720000,1.850000,1.650000,1.680000,1.680000,14600
2016-01-21,1.790000,1.850000,1.680000,1.680000,1.680000,5400
2016-01-22,1.800000,1.800000,1.700000,1.700000,1.700000,500
2016-01-25,1.810000,1.810000,1.810000,1.810000,1.810000,300
2016-01-26,1.830000,1.830000,1.760000,1.770000,1.770000,700
2016-01-27,1.720000,1.720000,1.720000,1.720000,1.720000,100
2016-01-28,1.800000,1.840000,1.770000,1.800000,1.800000,4800
2016-01-29,1.830000,1.830000,1.750000,1.830000,1.830000,5900
2016-02-01,1.850000,1.850000,1.730000,1.730000,1.730000,400
2016-02-02,1.800000,1.840000,1.740000,1.740000,1.740000,3100
2016-02-03,1.730000,1.800000,1.730000,1.750000,1.750000,9300
2016-02-04,1.800000,1.800000,1.680000,1.740000,1.740000,10000
2016-02-05,1.760000,1.800000,1.690000,1.720000,1.720000,10800
2016-02-08,1.720000,1.720000,1.640000,1.640000,1.640000,200
2016-02-09,1.800000,1.850000,1.650000,1.750000,1.750000,10500
2016-02-10,1.780000,1.830000,1.710000,1.710000,1.710000,2300
2016-02-11,1.800000,1.800000,1.720000,1.750000,1.750000,1300
2016-02-12,1.760000,1.760000,1.600000,1.650000,1.650000,16200
2016-02-16,1.700000,1.740000,1.630000,1.700000,1.700000,8100
2016-02-17,1.760000,1.760000,1.650000,1.650000,1.650000,300
2016-02-18,1.650000,1.840000,1.650000,1.700000,1.700000,3700
2016-02-19,1.750000,1.780000,1.740000,1.750000,1.750000,14200
2016-02-22,1.750000,1.750000,1.750000,1.750000,1.750000,0
2016-02-23,1.770000,1.770000,1.720000,1.720000,1.720000,400
2016-02-24,1.700000,1.700000,1.630000,1.660000,1.660000,23700
2016-02-25,1.700000,1.740000,1.670000,1.670000,1.670000,1500
2016-02-26,1.730000,1.730000,1.730000,1.730000,1.730000,500
2016-02-29,1.740000,1.740000,1.740000,1.740000,1.740000,200
2016-03-01,1.860000,1.860000,1.690000,1.760000,1.760000,4400
2016-03-02,1.790000,1.790000,1.790000,1.790000,1.790000,100
2016-03-03,1.780000,1.780000,1.780000,1.780000,1.780000,1000
2016-03-04,1.780000,1.780000,1.780000,1.780000,1.780000,0
2016-03-07,1.670000,1.780000,1.670000,1.730000,1.730000,6700
2016-03-08,1.790000,1.790000,1.750000,1.750000,1.750000,500
2016-03-09,1.700000,1.740000,1.700000,1.720000,1.720000,1600
2016-03-10,1.660000,1.790000,1.660000,1.770000,1.770000,4700
2016-03-11,1.710000,1.790000,1.710000,1.790000,1.790000,2200
2016-03-14,1.740000,1.740000,1.710000,1.710000,1.710000,2000
2016-03-15,1.680000,1.790000,1.680000,1.780000,1.780000,4200
