Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.110000,6.150000,6.050000,6.110000,4.037621,17700
2016-01-12,6.060000,6.070000,6.000000,6.000000,3.964932,8700
2016-01-13,6.020000,6.080000,6.000000,6.000000,3.964932,6900
2016-01-14,6.010000,6.020000,5.950000,5.950000,3.931890,9200
2016-01-15,5.950000,5.970000,5.950000,5.950000,3.931890,3500
2016-01-19,5.990000,5.990000,5.900000,5.900000,3.898848,12400
2016-01-20,5.900000,5.940000,5.700000,5.700000,3.766685,34500
2016-01-21,5.790000,5.790000,5.700000,5.700000,3.766685,1000
2016-01-22,5.700000,5.760000,5.700000,5.700000,3.766685,1900
2016-01-25,5.650000,5.700000,5.410000,5.410000,3.575047,22600
2016-01-26,5.410000,5.710000,5.410000,5.670000,3.746860,8200
2016-01-27,5.550000,5.610000,5.550000,5.550000,3.667561,2000
2016-01-28,5.500000,5.500000,5.440000,5.440000,3.594872,600
2016-01-29,5.520000,5.700000,5.520000,5.670000,3.746860,5000
2016-02-01,5.680000,5.760000,5.680000,5.720000,3.779901,2600
2016-02-02,5.760000,5.760000,5.720000,5.720000,3.779901,1000
2016-02-03,5.720000,5.720000,5.690000,5.700000,3.766685,1600
2016-02-04,5.690000,5.730000,5.460000,5.620000,3.713820,10900
2016-02-05,5.590000,5.590000,5.590000,5.590000,3.693995,300
2016-02-08,5.590000,5.590000,5.520000,5.530000,3.654345,1300
2016-02-09,5.430000,5.590000,5.430000,5.570000,3.680778,2000
2016-02-10,5.460000,5.570000,5.460000,5.560000,3.674170,800
2016-02-11,5.480000,5.580000,5.450000,5.520000,3.647737,1200
2016-02-12,5.590000,5.670000,5.570000,5.670000,3.746860,2000
2016-02-16,5.560000,5.750000,5.560000,5.690000,3.760077,8900
2016-02-17,5.800000,5.800000,5.650000,5.660000,3.740251,34100
2016-02-18,5.690000,5.690000,5.690000,5.690000,3.760077,100
2016-02-19,5.570000,5.840000,5.570000,5.650000,3.733644,1300
2016-02-22,5.610000,5.610000,5.610000,5.610000,3.707210,300
2016-02-23,5.740000,5.770000,5.720000,5.720000,3.779901,10800
2016-02-24,5.750000,6.200000,5.740000,6.200000,4.097096,16100
2016-02-25,6.120000,6.330000,6.120000,6.240000,4.123529,331000
2016-02-26,6.270000,6.500000,6.170000,6.490000,4.288734,5600
2016-02-29,6.490000,6.500000,6.400000,6.450000,4.262301,8100
2016-03-01,6.500000,6.500000,6.450000,6.490000,4.288734,6700
2016-03-02,6.500000,6.500000,6.320000,6.490000,4.288734,9400
2016-03-03,6.450000,6.500000,6.420000,6.500000,4.295343,7600
2016-03-04,6.500000,6.630000,6.490000,6.510000,4.301950,8300
2016-03-07,6.620000,6.630000,6.600000,6.600000,4.361425,1900
2016-03-08,6.600000,6.700000,6.600000,6.700000,4.427508,10700
2016-03-09,6.600000,6.650000,6.600000,6.630000,4.381249,2500
2016-03-10,6.600000,6.610000,6.480000,6.610000,4.368033,8900
2016-03-11,6.570000,6.640000,6.490000,6.510000,4.301950,15100
2016-03-14,6.530000,6.630000,6.530000,6.600000,4.361425,4700
2016-03-15,6.620000,6.640000,6.600000,6.610000,4.368033,18200
2016-03-16,6.610000,6.710000,6.610000,6.690000,4.420898,7000
2016-03-17,6.660000,6.750000,6.660000,6.730000,4.447332,11400
2016-03-18,6.700000,6.800000,6.660000,6.690000,4.420898,7100
2016-03-21,6.680000,6.740000,6.650000,6.680000,4.414290,14600
2016-03-22,6.700000,6.870000,6.700000,6.770000,4.473764,12500
2016-03-23,6.720000,6.870000,6.720000,6.750000,4.460547,7600
2016-03-24,6.760000,6.760000,6.700000,6.750000,4.460547,1800
2016-03-28,6.720000,6.790000,6.710000,6.740000,4.453940,42400
2016-03-29,6.720000,6.850000,6.650000,6.710000,4.434115,26400
2016-03-30,6.850000,7.150000,6.850000,7.090000,4.685227,12700
2016-03-31,7.090000,7.100000,6.910000,6.950000,4.592712,6000
2016-04-01,7.090000,7.230000,7.030000,7.180000,4.744702,15300
2016-04-04,7.150000,7.210000,7.100000,7.140000,4.718267,32000
2016-04-05,7.140000,7.180000,7.000000,7.040000,4.652186,4600
2016-04-06,7.110000,7.180000,7.110000,7.130000,4.711660,1000
2016-04-07,7.070000,7.100000,7.060000,7.070000,4.672011,2700
2016-04-08,7.090000,7.090000,7.060000,7.060000,4.665402,3600
2016-04-11,7.050000,7.050000,7.040000,7.040000,4.652186,400
2016-04-12,7.080000,7.250000,7.080000,7.140000,4.718267,21200
2016-04-13,7.220000,7.220000,7.090000,7.110000,4.698443,2000
2016-04-14,7.120000,7.160000,7.080000,7.120000,4.705052,1800
2016-04-15,7.080000,7.160000,7.070000,7.090000,4.685227,1900
2016-04-18,7.090000,7.090000,7.050000,7.050000,4.658794,700
2016-04-19,7.130000,7.170000,7.100000,7.130000,4.711660,6300
2016-04-20,7.070000,7.100000,7.070000,7.100000,4.691836,200
2016-04-21,7.070000,7.120000,7.070000,7.090000,4.685227,1000
2016-04-22,7.040000,7.150000,7.040000,7.100000,4.691836,600
2016-04-25,7.150000,7.150000,7.120000,7.140000,4.718267,1700
2016-04-26,7.070000,7.150000,7.070000,7.150000,4.724876,500
2016-04-27,7.040000,7.150000,7.040000,7.070000,4.672011,2100
2016-04-28,7.070000,7.070000,7.070000,7.070000,4.672011,0
2016-04-29,7.130000,7.130000,7.130000,7.130000,4.711660,500
2016-05-02,7.100000,7.170000,7.100000,7.150000,4.724876,6600
2016-05-03,7.240000,7.240000,7.110000,7.140000,4.718267,5900
2016-05-04,7.090000,7.140000,7.040000,7.090000,4.685227,5300
2016-05-05,7.160000,7.160000,7.110000,7.150000,4.724876,3900
2016-05-06,7.190000,7.190000,7.070000,7.100000,4.691836,1900
2016-05-09,7.130000,7.160000,7.130000,7.150000,4.724876,1100
2016-05-10,7.160000,7.170000,7.140000,7.150000,4.724876,2200
2016-05-11,7.150000,7.220000,7.050000,7.150000,4.724876,10800
2016-05-12,7.180000,7.200000,7.140000,7.200000,4.757917,4000
2016-05-13,7.130000,7.210000,7.130000,7.140000,4.718267,3200
2016-05-16,7.160000,7.200000,7.160000,7.170000,4.738093,4800
2016-05-17,7.150000,7.150000,7.120000,7.130000,4.711660,3200
2016-05-18,7.190000,7.240000,7.120000,7.200000,4.757917,3900
2016-05-19,7.140000,7.220000,7.130000,7.180000,4.744702,3800
2016-05-20,7.140000,7.240000,7.110000,7.110000,4.698443,10300
2016-05-23,7.180000,7.180000,7.140000,7.140000,4.718267,2200
2016-05-24,7.100000,7.100000,7.100000,7.100000,4.691836,100
2016-05-25,7.100000,7.100000,7.100000,7.100000,4.691836,200
2016-05-26,7.140000,7.160000,7.140000,7.160000,4.731485,1100
2016-05-27,7.160000,7.160000,7.160000,7.160000,4.731485,2100
2016-05-31,7.240000,7.240000,7.160000,7.180000,4.744702,3700
2016-06-01,7.160000,7.160000,7.140000,7.150000,4.724876,1800
2016-06-02,7.120000,7.180000,7.100000,7.180000,4.744702,3200
2016-06-03,7.110000,7.140000,7.110000,7.140000,4.718267,1600
2016-06-06,7.190000,7.190000,7.100000,7.160000,4.731485,4200
2016-06-07,7.100000,7.150000,7.100000,7.150000,4.724876,2500
2016-06-08,7.050000,7.110000,7.030000,7.080000,4.678619,4800
2016-06-09,7.040000,7.080000,6.930000,7.080000,4.678619,14600
2016-06-10,7.030000,7.170000,7.020000,7.170000,4.738093,2100
2016-06-13,7.090000,7.220000,7.070000,7.150000,4.724876,2000
2016-06-14,7.050000,7.100000,7.050000,7.100000,4.691836,300
2016-06-15,7.150000,7.150000,7.060000,7.140000,4.718267,2500
2016-06-16,7.060000,7.130000,7.060000,7.100000,4.691836,1500
2016-06-17,7.080000,7.150000,7.080000,7.150000,4.724876,1700
2016-06-20,7.120000,7.160000,7.100000,7.120000,4.705052,1300
2016-06-21,7.120000,7.120000,7.120000,7.120000,4.705052,0
2016-06-22,7.160000,7.190000,7.130000,7.130000,4.711660,5400
2016-06-23,7.170000,7.180000,7.120000,7.130000,4.711660,4000
2016-06-24,7.100000,7.280000,7.090000,7.210000,4.764525,3700
2016-06-27,7.250000,7.250000,7.140000,7.140000,4.718267,4000
2016-06-28,7.130000,7.160000,7.090000,7.100000,4.691836,4900
2016-06-29,7.170000,7.170000,7.110000,7.110000,4.698443,3800
2016-06-30,7.040000,7.220000,7.040000,7.150000,4.724876,6900
2016-07-01,7.020000,7.210000,7.020000,7.210000,4.764525,700
2016-07-05,7.200000,7.200000,7.140000,7.140000,4.718267,3200
2016-07-06,7.010000,7.220000,7.010000,7.140000,4.718267,15600
2016-07-07,7.110000,7.110000,7.070000,7.080000,4.678619,1700
2016-07-08,7.070000,7.070000,7.070000,7.070000,4.672011,100
2016-07-11,7.080000,7.240000,7.070000,7.190000,4.751310,12500
2016-07-12,7.140000,7.200000,7.140000,7.150000,4.724876,1300
2016-07-13,7.230000,7.240000,7.190000,7.220000,4.771133,900
2016-07-14,7.250000,7.250000,7.150000,7.180000,4.744702,6600
2016-07-15,7.190000,7.230000,7.190000,7.230000,4.777741,4300
2016-07-18,7.240000,7.250000,7.150000,7.150000,4.724876,11600
2016-07-19,7.110000,7.240000,7.110000,7.180000,4.744702,500
2016-07-20,7.180000,7.200000,7.140000,7.170000,4.738093,9500
2016-07-21,7.160000,7.300000,7.150000,7.190000,4.751310,4300
2016-07-22,7.230000,7.240000,7.130000,7.150000,4.724876,2000
2016-07-25,7.210000,7.280000,7.150000,7.150000,4.724876,9500
2016-07-26,7.180000,7.220000,7.110000,7.120000,4.705052,2500
2016-07-27,7.200000,7.200000,7.040000,7.050000,4.658794,1000
2016-07-28,7.050000,7.150000,7.050000,7.080000,4.678619,1100
2016-07-29,7.050000,7.200000,7.050000,7.200000,4.757917,900
2016-08-01,7.070000,7.160000,7.040000,7.080000,4.678619,2400
2016-08-02,7.040000,7.040000,7.040000,7.040000,4.652186,100
2016-08-03,7.050000,7.150000,7.050000,7.150000,4.724876,400
2016-08-04,7.040000,7.180000,7.040000,7.180000,4.744702,2100
2016-08-05,7.070000,7.150000,7.060000,7.120000,4.705052,6200
2016-08-08,7.150000,7.170000,7.130000,7.170000,4.738093,1500
2016-08-09,7.120000,7.130000,7.120000,7.130000,4.711660,1200
2016-08-10,7.220000,7.220000,7.160000,7.160000,4.731485,2900
2016-08-11,7.120000,7.140000,7.120000,7.130000,4.711660,2100
2016-08-12,7.120000,7.150000,7.120000,7.150000,4.724876,2700
2016-08-15,7.190000,7.230000,7.130000,7.150000,4.724876,9600
2016-08-16,7.120000,7.240000,7.120000,7.240000,4.784351,3300
2016-08-17,7.150000,7.170000,7.140000,7.150000,4.724876,6300
2016-08-18,7.100000,7.190000,7.100000,7.150000,4.724876,1100
2016-08-19,7.280000,7.280000,7.160000,7.160000,4.731485,2400
2016-08-22,7.270000,7.300000,7.150000,7.250000,4.790959,3100
2016-08-23,7.230000,7.280000,7.230000,7.240000,4.784351,7700
2016-08-24,7.240000,7.250000,7.190000,7.190000,4.751310,5400
2016-08-25,7.250000,7.250000,7.200000,7.220000,4.771133,8800
2016-08-26,7.230000,7.240000,7.190000,7.230000,4.777741,1700
2016-08-29,7.170000,7.380000,7.170000,7.370000,4.870257,3300
2016-08-30,7.400000,7.520000,7.350000,7.520000,4.969380,9000
2016-08-31,7.540000,7.800000,7.540000,7.750000,5.121370,44400
2016-09-01,7.620000,7.730000,7.620000,7.720000,5.101544,7100
2016-09-02,7.710000,7.850000,7.710000,7.780000,5.141195,11800
2016-09-06,7.810000,8.250000,7.810000,8.170000,5.398915,16400
2016-09-07,7.990000,8.240000,7.960000,8.180000,5.405524,28300
2016-09-08,8.080000,8.080000,7.860000,7.900000,5.220493,6700
2016-09-09,7.900000,8.050000,7.890000,8.010000,5.293184,10900
2016-09-12,8.000000,8.150000,8.000000,8.080000,5.339441,12800
2016-09-13,8.010000,8.140000,8.010000,8.020000,5.299792,6800
2016-09-14,8.100000,8.140000,7.860000,7.940000,5.246926,11400
2016-09-15,7.990000,8.100000,7.990000,8.030000,5.306399,2600
2016-09-16,8.180000,8.220000,7.850000,7.850000,5.187451,15800
2016-09-19,7.990000,7.990000,7.860000,7.860000,5.194059,1800
2016-09-20,7.850000,8.070000,7.850000,7.940000,5.246926,3600
2016-09-21,8.010000,8.010000,7.940000,7.950000,5.253535,4600
2016-09-22,8.000000,8.150000,8.000000,8.100000,5.352658,3100
2016-09-23,8.100000,8.250000,8.100000,8.140000,5.379090,14600
2016-09-26,8.100000,8.170000,8.100000,8.140000,5.379090,2200
2016-09-27,8.150000,8.210000,8.150000,8.200000,5.418740,3900
2016-09-28,8.180000,8.250000,8.160000,8.190000,5.412131,4500
2016-09-29,8.190000,8.190000,8.120000,8.120000,5.365874,900
2016-09-30,8.120000,8.120000,8.000000,8.000000,5.286575,4600
2016-10-03,8.100000,8.100000,7.880000,7.880000,5.207276,5100
2016-10-04,8.010000,8.010000,7.720000,7.720000,5.101544,4300
2016-10-05,7.760000,7.950000,7.570000,7.820000,5.167628,5400
2016-10-06,7.950000,7.970000,7.650000,7.810000,5.161019,17300
2016-10-07,7.910000,8.050000,7.890000,8.050000,5.319617,5700
2016-10-10,8.100000,8.100000,7.940000,7.940000,5.246926,2900
2016-10-11,8.000000,8.010000,7.740000,7.930000,5.240317,4300
2016-10-12,7.900000,7.900000,7.900000,7.900000,5.220493,500
2016-10-13,7.880000,8.040000,7.650000,7.660000,5.061894,14800
2016-10-14,7.670000,7.740000,7.650000,7.660000,5.061894,7900
2016-10-17,7.700000,7.700000,7.700000,7.700000,5.088329,500
2016-10-18,7.830000,7.830000,7.750000,7.800000,5.154412,1400
2016-10-19,7.800000,7.800000,7.800000,7.800000,5.154412,0
2016-10-20,7.840000,7.840000,7.710000,7.760000,5.127978,3400
2016-10-21,7.760000,7.760000,7.760000,7.760000,5.127978,0
2016-10-24,7.800000,7.800000,7.720000,7.720000,5.101544,1600
2016-10-25,7.690000,7.790000,7.650000,7.730000,5.108153,3300
2016-10-26,7.650000,7.670000,7.650000,7.650000,5.055288,4900
2016-10-27,7.680000,7.690000,7.580000,7.640000,5.048680,1800
2016-10-28,7.730000,7.730000,7.600000,7.600000,5.022246,1200
2016-10-31,7.700000,7.700000,7.620000,7.640000,5.048680,4400
2016-11-01,7.700000,7.720000,7.600000,7.710000,5.094937,18500
2016-11-02,7.760000,7.820000,7.760000,7.770000,5.134587,800
2016-11-03,7.840000,7.840000,7.810000,7.820000,5.167628,900
2016-11-04,7.840000,8.120000,7.840000,7.910000,5.227101,17700
2016-11-07,8.000000,8.100000,8.000000,8.050000,5.319617,14200
2016-11-08,8.030000,8.040000,7.740000,7.770000,5.134587,17700
2016-11-09,7.770000,7.780000,7.770000,7.770000,5.134587,500
2016-11-10,7.800000,7.860000,7.710000,7.820000,5.167628,11700
2016-11-11,7.900000,7.900000,7.900000,7.900000,5.220493,100
2016-11-14,7.940000,8.000000,7.940000,8.000000,5.286575,3000
2016-11-15,7.880000,7.970000,7.800000,7.900000,5.220493,5400
2016-11-16,7.900000,7.990000,7.900000,7.930000,5.240317,6800
2016-11-17,7.980000,7.980000,7.850000,7.870000,5.200669,3300
2016-11-18,7.940000,7.940000,7.850000,7.910000,5.227101,2500
2016-11-21,7.900000,8.000000,7.900000,7.970000,5.266750,2800
2016-11-22,8.000000,8.000000,7.880000,7.880000,5.207276,4400
2016-11-23,7.980000,7.980000,7.950000,7.950000,5.253535,600
2016-11-25,7.900000,7.970000,7.900000,7.970000,5.266750,700
2016-11-28,7.860000,7.890000,7.860000,7.890000,5.213884,2300
2016-11-29,7.900000,7.900000,7.900000,7.900000,5.220493,1700
2016-11-30,7.940000,7.990000,7.880000,7.990000,5.279967,1700
2016-12-01,8.000000,8.000000,7.800000,7.810000,5.161019,19400
