Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.670000,3.690000,3.490000,3.510000,2.056636,1775300
2016-01-12,3.390000,3.430000,3.290000,3.410000,2.117491,740100
2016-01-13,3.440000,3.490000,3.340000,3.340000,2.074023,551700
2016-01-14,3.330000,3.430000,3.310000,3.370000,2.092652,1032200
2016-01-15,3.240000,3.280000,3.180000,3.190000,1.980879,902600
2016-01-19,3.230000,3.260000,3.130000,3.250000,2.018137,1132500
2016-01-20,3.150000,3.230000,3.040000,3.210000,1.993298,1277500
2016-01-21,3.050000,3.210000,3.050000,3.130000,1.943621,1070300
2016-01-22,3.220000,3.250000,3.100000,3.170000,1.968460,1262000
2016-01-25,3.160000,3.190000,3.050000,3.070000,1.906363,1757600
2016-01-26,3.070000,3.110000,3.030000,3.080000,1.912573,1973400
2016-01-27,3.070000,3.110000,3.020000,3.080000,1.912573,2636700
2016-01-28,3.120000,3.140000,3.060000,3.100000,1.924992,1952800
2016-01-29,3.180000,3.240000,3.130000,3.200000,1.987089,5098800
2016-02-01,3.170000,3.360000,3.130000,3.360000,2.086443,2570400
2016-02-02,3.230000,3.240000,3.020000,3.050000,1.893943,2344800
2016-02-03,3.190000,3.230000,3.070000,3.220000,1.999508,790500
2016-02-04,3.270000,3.510000,3.270000,3.470000,2.154749,1320600
2016-02-05,3.400000,3.510000,3.400000,3.460000,2.148539,622100
2016-02-08,3.390000,3.420000,3.290000,3.340000,2.074023,596800
2016-02-09,3.270000,3.320000,3.190000,3.290000,2.042975,327600
2016-02-10,3.330000,3.460000,3.290000,3.340000,2.074023,982500
2016-02-11,3.270000,3.340000,3.230000,3.280000,2.036766,1203900
2016-02-12,3.350000,3.410000,3.280000,3.330000,2.067814,434900
2016-02-16,3.400000,3.420000,3.350000,3.380000,2.098862,429100
2016-02-17,3.570000,3.620000,3.470000,3.560000,2.210635,1283000
2016-02-18,3.470000,3.490000,3.340000,3.390000,2.105072,639700
2016-02-19,3.310000,3.440000,3.290000,3.430000,2.129911,1349300
2016-02-22,3.520000,3.640000,3.500000,3.630000,2.254103,530400
2016-02-23,3.550000,3.600000,3.460000,3.540000,2.198217,452100
2016-02-24,3.460000,3.570000,3.430000,3.560000,2.210635,1012100
2016-02-25,3.610000,3.640000,3.480000,3.520000,2.185797,1544100
2016-02-26,3.570000,3.570000,3.470000,3.490000,2.167168,367300
2016-02-29,3.600000,3.730000,3.570000,3.680000,2.285152,1072400
2016-03-01,3.680000,3.910000,3.650000,3.910000,2.427974,864100
2016-03-02,4.010000,4.080000,3.980000,4.060000,2.521118,2180300
2016-03-03,4.370000,4.580000,4.320000,4.530000,2.812972,5010700
2016-03-04,4.880000,4.910000,4.590000,4.610000,2.862648,4874800
