Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,2.730002,2.730002,2.520002,2.590002,2.590002,6394
2016-01-12,2.590702,2.744002,2.578802,2.730002,2.730002,5372
2016-01-13,2.755902,2.755902,2.520002,2.520002,2.520002,2458
2016-01-14,2.520002,2.520002,2.473102,2.485002,2.485002,3546
2016-01-15,2.450002,2.660002,2.380002,2.380002,2.380002,8412
2016-01-19,2.380002,2.729302,2.331002,2.450002,2.450002,2470
2016-01-20,2.505302,2.505302,2.100002,2.169302,2.169302,5688
2016-01-21,2.168602,2.450002,2.163002,2.380702,2.380702,2822
2016-01-22,2.450002,2.716002,2.100002,2.366002,2.366002,1968
2016-01-25,2.310002,2.436002,2.100002,2.100002,2.100002,1662
2016-01-26,2.309302,2.434602,2.240002,2.240002,2.240002,2143
2016-01-27,2.310002,2.625002,2.310002,2.436002,2.436002,1811
2016-01-28,2.695002,2.695002,2.310002,2.462602,2.462602,1889
2016-01-29,2.484302,2.484302,2.310702,2.450002,2.450002,1765
2016-02-01,2.240002,3.010003,2.240002,3.010003,3.010003,6167
2016-02-02,3.010003,3.150003,2.451402,2.590002,2.590002,2088
2016-02-03,2.590002,2.590002,2.590002,2.590002,2.590002,0
2016-02-04,2.590002,2.800702,2.590002,2.800002,2.800002,2819
2016-02-05,2.340000,2.510000,2.050000,2.510000,2.510000,88215
2016-02-08,2.500000,2.500000,2.180000,2.200000,2.200000,14297
2016-02-09,2.100000,2.100000,1.530000,1.620000,1.620000,64324
2016-02-10,1.530000,1.690000,1.530000,1.550100,1.550100,8230
2016-02-11,1.492200,1.579900,1.400000,1.460400,1.460400,22418
2016-02-12,1.500000,1.577000,1.500000,1.568000,1.568000,19016
2016-02-16,1.560000,1.870000,1.560000,1.730000,1.730000,39944
2016-02-17,1.660000,2.029200,1.660000,1.910000,1.910000,31387
2016-02-18,2.000000,2.144800,1.927600,2.040000,2.040000,6202
2016-02-19,2.100000,2.340000,2.036000,2.313000,2.313000,17267
2016-02-22,2.780000,3.186000,2.340100,2.492300,2.492300,51998
2016-02-23,2.529700,2.620000,2.260100,2.464000,2.464000,14644
2016-02-24,2.370000,2.370000,2.264000,2.271000,2.271000,5013
2016-02-25,2.260000,2.299900,2.040000,2.299900,2.299900,7430
2016-02-26,2.240000,2.330000,2.020000,2.210000,2.210000,14266
