Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,9.450000,10.500000,9.450000,10.250000,9.790635,121500
2020-10-20,10.900000,11.100000,10.130000,10.350000,9.886152,136400
2020-10-21,10.050000,10.090000,9.625000,9.900000,9.456320,102700
2020-10-22,9.500000,9.900000,9.380000,9.850000,9.408559,84400
2020-10-23,9.710000,10.190000,9.550000,9.760000,9.322594,75300
2020-10-26,9.530000,9.830000,9.420000,9.580000,9.150662,91900
2020-10-27,9.400000,9.450000,9.225000,9.430000,9.007383,44100
2020-10-28,9.000000,9.190000,8.735000,8.880000,8.482032,130800
2020-10-29,8.880000,8.980000,8.375000,8.720000,8.329203,120400
2020-10-30,8.810000,8.850000,8.290000,8.850000,8.453376,103200
2020-11-02,8.700000,8.700000,8.300000,8.360000,7.985335,105500
2020-11-03,8.780000,9.340000,8.696000,8.810000,8.415170,40500
2020-11-04,8.900000,9.520000,8.900000,9.090000,8.682621,60800
2020-11-05,9.210000,9.338000,9.130000,9.230000,8.816346,33500
2020-11-06,9.270000,9.500000,9.150000,9.240000,8.825897,34100
2020-11-09,9.530000,9.934000,9.340000,9.800000,9.360802,59700
2020-11-10,9.580000,9.980000,9.580000,9.620000,9.188868,30600
2020-11-11,9.600000,10.000000,9.480000,9.580000,9.150662,54400
2020-11-12,9.500000,10.000000,9.480000,9.760000,9.322594,42800
2020-11-13,9.600000,10.080000,9.570000,9.920000,9.475424,32500
2020-11-16,10.000000,10.270000,10.000000,10.270000,9.809738,47700
2020-11-17,10.000000,10.250000,9.780000,10.100000,9.647357,26000
2020-11-18,10.010000,10.470000,10.010000,10.300000,9.838395,231800
2020-11-19,10.120000,10.725000,10.040000,10.595000,10.120173,55800
2020-11-20,10.120000,11.055000,10.045000,10.540000,10.067637,109900
2020-11-23,10.490000,10.630000,10.300000,10.500000,10.029429,54000
2020-11-24,10.510000,10.660000,10.339000,10.500000,10.029429,226200
2020-11-25,10.540000,10.590000,10.310000,10.550000,10.077189,84800
2020-11-27,10.410000,10.770000,10.130000,10.290000,9.828841,40000
2020-11-30,10.370000,10.370000,10.060000,10.190000,9.733323,120200
2020-12-01,10.310000,10.460000,10.030000,10.210000,9.752426,90800
2020-12-02,10.170000,10.380000,9.840000,10.010000,9.561389,152300
2020-12-03,10.000000,10.155000,9.360000,9.490000,9.064693,132100
2020-12-04,9.660000,10.080000,9.510000,9.910000,9.465872,160300
2020-12-07,9.370000,9.670000,9.290000,9.610000,9.179317,118700
2020-12-08,9.500000,9.655000,9.260000,9.420000,8.997832,258000
2020-12-09,9.800000,10.010000,9.680000,9.770000,9.332146,59300
2020-12-10,9.510000,9.777000,9.290000,9.510000,9.083798,107300
2020-12-11,9.400000,9.760000,9.140000,9.460000,9.036038,95800
2020-12-14,9.410000,9.650000,9.330000,9.500000,9.074246,149600
2020-12-15,9.620000,10.020000,9.580000,9.800000,9.360802,125900
2020-12-16,9.860000,9.960000,9.840000,9.950000,9.504078,134600
2020-12-17,9.960000,10.110000,9.580000,9.670000,9.236627,288000
2020-12-18,9.670000,9.730000,9.390000,9.390000,8.969177,139000
2020-12-21,9.350000,9.510000,9.260000,9.300000,8.883209,164900
2020-12-22,9.460000,9.460000,9.200000,9.350000,8.930969,197700
2020-12-23,9.460000,9.640000,9.270000,9.360000,8.940520,186200
2020-12-24,9.240000,9.630000,9.140000,9.610000,9.179317,58700
2020-12-28,9.610000,9.720000,9.410000,9.430000,9.007383,57900
2020-12-29,9.510000,9.705000,9.370000,9.500000,9.074246,74200
2020-12-30,9.500000,9.790000,9.500000,9.570000,9.141108,125600
2020-12-31,9.550000,9.730000,9.550000,9.670000,9.236627,75300
2021-01-04,9.670000,9.670000,9.440000,9.580000,9.150662,105900
2021-01-05,9.710000,10.145000,9.670000,10.020000,9.570941,116700
2021-01-06,9.710000,10.000000,9.600000,9.780000,9.341698,50000
2021-01-07,9.650000,9.650000,9.410000,9.440000,9.016934,231200
2021-01-08,9.550000,9.589000,9.310000,9.400000,8.978726,64900
2021-01-11,9.170000,9.400000,9.120000,9.120000,8.711276,322600
2021-01-12,9.200000,9.200000,8.880000,8.980000,8.577551,214000
2021-01-13,8.880000,9.090000,8.740000,8.810000,8.415170,307300
2021-01-14,8.670000,8.910000,8.620000,8.680000,8.290995,378500
2021-01-15,8.700000,8.780000,8.520000,8.780000,8.386514,232900
2021-01-19,8.990000,8.995000,8.780000,8.940000,8.539344,177000
2021-01-20,8.980000,9.149000,8.970000,8.980000,8.577551,189300
2021-01-21,9.050000,9.270000,9.010000,9.040000,8.634861,58700
2021-01-22,9.120000,9.120000,8.890000,8.890000,8.491585,92100
2021-01-25,8.630000,8.875000,8.430000,8.670000,8.281445,191400
2021-01-26,8.760000,8.760000,8.470000,8.630000,8.243237,140400
2021-01-27,8.400000,8.630000,8.210000,8.390000,8.013992,135200
2021-01-28,8.460000,8.670000,8.460000,8.540000,8.157269,60900
2021-01-29,8.420000,8.590000,8.310000,8.490000,8.109509,86400
2021-02-01,8.820000,8.820000,8.570000,8.760000,8.367411,61700
2021-02-02,8.690000,8.860000,8.600000,8.830000,8.434273,124400
2021-02-03,8.710000,8.710000,8.420000,8.570000,8.185925,70900
2021-02-04,8.480000,8.600000,8.400000,8.470000,8.090407,59700
2021-02-05,8.430000,8.517000,8.390000,8.480000,8.099957,27000
2021-02-08,8.410000,8.570000,8.360000,8.535000,8.152493,227800
2021-02-09,8.530000,8.720000,8.500000,8.690000,8.300548,71700
2021-02-10,9.000000,9.150000,8.860000,8.860000,8.462929,109800
2021-02-11,8.860000,9.100000,8.800000,8.970000,8.568000,61400
2021-02-12,8.970000,9.173000,8.850000,9.070000,8.663516,82800
2021-02-16,9.210000,10.550000,9.130000,10.200000,9.742875,514300
2021-02-17,10.200000,10.200000,9.050000,9.280000,8.864106,321300
2021-02-18,9.100000,9.240000,8.840000,9.140000,8.730380,30600
2021-02-19,8.990000,9.080000,8.670000,8.780000,8.386514,207500
