Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,2.020000,2.150000,1.980000,2.150000,2.150000,63800
2016-01-12,2.130000,2.260000,2.120000,2.260000,2.260000,80000
2016-01-13,2.250000,2.250000,2.060000,2.150000,2.150000,16000
2016-01-14,2.220000,2.280000,2.080000,2.190000,2.190000,64200
2016-01-15,2.080000,2.240000,2.080000,2.150000,2.150000,20400
2016-01-19,2.160000,2.220000,2.120000,2.170000,2.170000,18200
2016-01-20,2.130000,2.160000,2.040000,2.110000,2.110000,70200
2016-01-21,2.120000,2.250000,2.090000,2.230000,2.230000,26300
2016-01-22,2.290000,2.490000,2.220000,2.350000,2.350000,34300
2016-01-25,2.330000,2.340000,2.110000,2.190000,2.190000,41400
2016-01-26,2.160000,2.250000,2.160000,2.160000,2.160000,35400
2016-01-27,2.180000,2.250000,2.150000,2.150000,2.150000,47000
2016-01-28,2.150000,2.220000,2.130000,2.180000,2.180000,29600
2016-01-29,2.250000,2.270000,2.210000,2.240000,2.240000,37400
2016-02-01,2.230000,2.260000,2.200000,2.230000,2.230000,12600
2016-02-02,2.250000,2.250000,2.190000,2.230000,2.230000,5900
2016-02-03,2.240000,2.240000,2.130000,2.230000,2.230000,33800
2016-02-04,2.230000,2.250000,2.100000,2.100000,2.100000,26400
2016-02-05,2.010000,2.020000,1.880000,1.990000,1.990000,141300
2016-02-08,1.950000,1.980000,1.860000,1.950000,1.950000,9200
2016-02-09,1.900000,1.960000,1.860000,1.900000,1.900000,16000
2016-02-10,1.880000,1.920000,1.860000,1.860000,1.860000,48000
2016-02-11,1.840000,1.900000,1.800000,1.810000,1.810000,11700
2016-02-12,1.850000,1.860000,1.750000,1.780000,1.780000,24900
2016-02-16,1.750000,1.820000,1.670000,1.720000,1.720000,61400
2016-02-17,1.800000,1.820000,1.710000,1.800000,1.800000,54400
2016-02-18,1.800000,1.830000,1.750000,1.760000,1.760000,30200
2016-02-19,1.770000,1.810000,1.750000,1.790000,1.790000,16300
2016-02-22,1.840000,1.840000,1.770000,1.770000,1.770000,14900
2016-02-23,1.830000,1.840000,1.800000,1.800000,1.800000,2700
2016-02-24,1.790000,1.800000,1.740000,1.800000,1.800000,13200
2016-02-25,1.800000,1.800000,1.760000,1.790000,1.790000,11600
2016-02-26,1.790000,1.890000,1.790000,1.810000,1.810000,84800
2016-02-29,1.810000,1.940000,1.800000,1.830000,1.830000,199900
2016-03-01,1.870000,1.970000,1.870000,1.970000,1.970000,11600
2016-03-02,1.960000,2.100000,1.960000,2.080000,2.080000,24400
2016-03-03,2.100000,2.100000,2.000000,2.000000,2.000000,11600
2016-03-04,2.040000,2.160000,2.000000,2.020000,2.020000,26100
2016-03-07,2.060000,2.100000,2.050000,2.090000,2.090000,13200
2016-03-08,2.040000,2.100000,2.000000,2.010000,2.010000,10500
2016-03-09,2.140000,2.200000,2.050000,2.130000,2.130000,33100
2016-03-10,2.110000,2.130000,2.030000,2.080000,2.080000,10900
2016-03-11,2.110000,2.180000,2.040000,2.160000,2.160000,22700
2016-03-14,2.150000,2.150000,2.000000,2.150000,2.150000,17600
2016-03-15,2.140000,2.230000,2.090000,2.200000,2.200000,39200
2016-03-16,2.220000,2.400000,2.190000,2.390000,2.390000,54900
2016-03-17,2.370000,2.450000,2.340000,2.450000,2.450000,19700
2016-03-18,2.430000,2.500000,2.410000,2.470000,2.470000,96700
2016-03-21,2.490000,2.750000,2.450000,2.710000,2.710000,54900
2016-03-22,2.670000,2.790000,2.570000,2.720000,2.720000,38800
2016-03-23,2.710000,2.710000,2.520000,2.550000,2.550000,12300
2016-03-24,2.540000,2.760000,2.540000,2.730000,2.730000,39300
2016-03-28,2.750000,3.060000,2.660000,2.870000,2.870000,61900
2016-03-29,2.890000,3.080000,2.770000,3.040000,3.040000,33000
2016-03-30,3.140000,3.230000,2.940000,3.120000,3.120000,101200
2016-03-31,3.160000,3.190000,3.010000,3.010000,3.010000,24800
2016-04-01,2.970000,3.110000,2.820000,3.030000,3.030000,53600
2016-04-04,2.940000,3.150000,2.920000,2.980000,2.980000,8500
2016-04-05,3.150000,3.150000,2.950000,2.960000,2.960000,9700
2016-04-06,2.920000,3.010000,2.900000,2.900000,2.900000,21000
2016-04-07,2.900000,3.040000,2.900000,3.000000,3.000000,12900
2016-04-08,3.080000,3.130000,2.960000,3.010000,3.010000,11300
2016-04-11,3.050000,3.120000,3.000000,3.050000,3.050000,8200
2016-04-12,3.010000,3.130000,3.000000,3.010000,3.010000,5100
2016-04-13,3.010000,3.120000,3.000000,3.000000,3.000000,23100
2016-04-14,3.040000,3.040000,2.990000,3.010000,3.010000,16500
2016-04-15,3.020000,3.040000,2.950000,2.960000,2.960000,12600
2016-04-18,2.940000,3.040000,2.900000,2.920000,2.920000,30300
2016-04-19,2.960000,3.030000,2.950000,2.990000,2.990000,21000
2016-04-20,2.970000,3.050000,2.970000,3.030000,3.030000,7800
2016-04-21,3.040000,3.170000,3.010000,3.160000,3.160000,17300
2016-04-22,3.200000,3.240000,3.160000,3.180000,3.180000,30200
2016-04-25,3.220000,3.270000,3.170000,3.250000,3.250000,8400
2016-04-26,3.200000,3.320000,3.170000,3.260000,3.260000,18800
2016-04-27,3.330000,3.330000,3.130000,3.140000,3.140000,10200
2016-04-28,3.140000,3.470000,3.140000,3.300000,3.300000,277100
2016-04-29,3.500000,3.500000,3.210000,3.380000,3.380000,52100
2016-05-02,3.340000,3.390000,3.190000,3.330000,3.330000,42100
2016-05-03,3.340000,3.360000,3.300000,3.300000,3.300000,51200
2016-05-04,3.310000,3.350000,3.300000,3.300000,3.300000,19600
2016-05-05,3.300000,3.390000,3.280000,3.290000,3.290000,21800
2016-05-06,3.320000,3.400000,3.300000,3.390000,3.390000,15300
2016-05-09,3.390000,3.400000,3.310000,3.310000,3.310000,14900
2016-05-10,3.390000,3.470000,3.340000,3.400000,3.400000,21900
2016-05-11,3.500000,3.580000,3.410000,3.580000,3.580000,47600
2016-05-12,3.510000,3.810000,3.510000,3.680000,3.680000,99800
2016-05-13,3.630000,3.820000,3.360000,3.530000,3.530000,76400
2016-05-16,3.500000,3.570000,3.380000,3.380000,3.380000,31300
2016-05-17,3.410000,3.500000,3.380000,3.500000,3.500000,20100
2016-05-18,3.410000,3.500000,3.410000,3.500000,3.500000,21800
2016-05-19,3.500000,3.500000,3.430000,3.500000,3.500000,26300
2016-05-20,3.430000,3.500000,3.430000,3.480000,3.480000,19700
2016-05-23,3.500000,3.520000,3.480000,3.490000,3.490000,32400
2016-05-24,3.500000,3.530000,3.490000,3.500000,3.500000,20400
2016-05-25,3.450000,3.800000,3.450000,3.790000,3.790000,23300
2016-05-26,3.800000,3.800000,3.620000,3.780000,3.780000,9400
2016-05-27,3.800000,3.830000,3.740000,3.830000,3.830000,55900
2016-05-31,3.840000,3.950000,3.840000,3.920000,3.920000,58900
2016-06-01,3.920000,4.260000,3.860000,4.200000,4.200000,86100
2016-06-02,5.020000,5.320000,4.550000,4.660000,4.660000,5445600
2016-06-03,4.590000,4.850000,4.300000,4.410000,4.410000,411100
2016-06-06,4.520000,4.590000,4.310000,4.490000,4.490000,235000
2016-06-07,4.540000,4.540000,4.020000,4.320000,4.320000,244200
2016-06-08,4.370000,4.640000,4.170000,4.230000,4.230000,144100
2016-06-09,4.230000,4.400000,4.210000,4.390000,4.390000,64000
2016-06-10,4.320000,4.550000,4.220000,4.330000,4.330000,58100
2016-06-13,4.200000,4.350000,4.200000,4.230000,4.230000,98000
2016-06-14,4.270000,4.500000,4.240000,4.450000,4.450000,117400
2016-06-15,4.500000,4.630000,4.440000,4.600000,4.600000,89100
2016-06-16,4.630000,4.640000,4.420000,4.580000,4.580000,61000
2016-06-17,4.580000,4.630000,4.370000,4.460000,4.460000,107700
2016-06-20,4.460000,4.580000,4.100000,4.330000,4.330000,155000
2016-06-21,4.300000,4.300000,4.000000,4.210000,4.210000,176800
