Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,9.810000,9.960000,9.430000,9.570000,9.570000,981700
2016-01-12,9.720000,9.850000,9.250000,9.530000,9.530000,628700
2016-01-13,9.530000,9.830000,8.810000,8.860000,8.860000,1361900
2016-01-14,8.970000,9.360000,8.620000,9.210000,9.210000,1288700
2016-01-15,8.680000,9.280000,8.640000,9.230000,9.230000,1169400
2016-01-19,9.400000,9.400000,8.540000,8.620000,8.620000,1254100
2016-01-20,8.360000,8.450000,7.340000,7.920000,7.920000,1860900
2016-01-21,8.000000,8.820000,7.810000,8.630000,8.630000,1030100
2016-01-22,8.840000,9.400000,8.770000,8.940000,8.940000,727000
2016-01-25,8.910000,8.990000,8.560000,8.630000,8.630000,586400
2016-01-26,8.680000,9.360000,8.520000,9.240000,9.240000,758400
2016-01-27,9.150000,9.350000,8.630000,8.720000,8.720000,996300
2016-01-28,8.940000,9.320000,8.580000,8.650000,8.650000,765200
2016-01-29,8.700000,8.920000,8.500000,8.550000,8.550000,1221200
2016-02-01,8.540000,8.570000,8.280000,8.490000,8.490000,871800
2016-02-02,8.380000,8.380000,7.780000,7.810000,7.810000,1052300
2016-02-03,7.900000,8.040000,7.290000,8.040000,8.040000,1403800
2016-02-04,8.340000,9.630000,8.330000,8.600000,8.600000,2428800
2016-02-05,8.340000,8.410000,6.610000,6.620000,6.620000,3892600
2016-02-08,6.680000,6.700000,6.070000,6.320000,6.320000,2198800
2016-02-09,6.210000,6.620000,6.110000,6.500000,6.500000,1738800
2016-02-10,6.940000,7.110000,6.610000,6.940000,6.940000,1871000
2016-02-11,6.820000,6.860000,6.480000,6.520000,6.520000,1615400
2016-02-12,6.720000,6.810000,6.410000,6.710000,6.710000,1141500
2016-02-16,6.770000,7.170000,6.640000,7.110000,7.110000,1118200
2016-02-17,7.160000,7.340000,6.970000,6.980000,6.980000,1195300
2016-02-18,7.030000,7.070000,6.660000,6.920000,6.920000,947700
2016-02-19,6.900000,6.960000,6.660000,6.670000,6.670000,722900
2016-02-22,6.750000,7.170000,6.730000,7.140000,7.140000,1638000
2016-02-23,7.070000,7.150000,6.820000,7.020000,7.020000,1093200
2016-02-24,6.850000,7.270000,6.720000,7.220000,7.220000,713800
2016-02-25,7.220000,7.480000,7.080000,7.450000,7.450000,961800
2016-02-26,7.500000,7.650000,7.250000,7.430000,7.430000,711300
2016-02-29,7.380000,7.570000,7.220000,7.320000,7.320000,752300
2016-03-01,7.460000,7.810000,7.300000,7.760000,7.760000,862200
2016-03-02,7.740000,8.040000,7.710000,7.970000,7.970000,1061900
2016-03-03,7.940000,8.440000,7.940000,8.340000,8.340000,842600
2016-03-04,8.330000,8.490000,8.120000,8.200000,8.200000,677800
2016-03-07,8.190000,8.480000,8.150000,8.440000,8.440000,556400
2016-03-08,8.380000,8.440000,8.000000,8.100000,8.100000,716800
2016-03-09,8.170000,8.250000,7.910000,8.230000,8.230000,977400
