Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,16.760000,16.959999,16.379999,16.750000,11.235230,368200
2016-01-12,16.820000,16.980000,16.719999,16.770000,11.248647,146300
2016-01-13,16.700001,16.889999,16.320000,16.370001,10.980343,258700
2016-01-14,16.549999,17.000000,16.520000,16.990000,11.396214,233400
2016-01-15,16.320000,16.450001,15.940000,16.030001,10.752284,393700
2016-01-19,16.469999,16.620001,16.230000,16.320000,10.946804,338300
2016-01-20,16.000000,16.090000,15.190000,16.000000,10.732162,355800
2016-01-21,15.890000,16.250000,15.770000,16.059999,10.772407,74200
2016-01-22,16.000000,16.290001,15.950000,15.990000,10.725454,538700
2016-01-25,15.980000,15.980000,15.810000,15.830000,10.618133,149100
2016-01-26,15.590000,15.740000,15.440000,15.700000,10.530933,223800
2016-01-27,15.600000,15.640000,15.260000,15.290000,10.255922,216700
2016-01-28,15.430000,15.440000,15.220000,15.310000,10.269338,178300
2016-01-29,15.580000,15.890000,15.580000,15.890000,10.658379,202100
2016-02-01,15.550000,15.590000,15.390000,15.450000,10.363243,131900
2016-02-02,15.310000,15.430000,15.200000,15.400000,10.329705,226700
2016-02-03,15.400000,15.740000,15.230000,15.600000,10.463857,212400
2016-02-04,15.650000,15.860000,15.320000,15.660000,10.504103,207000
2016-02-05,15.590000,15.600000,15.230000,15.260000,10.235799,87900
2016-02-08,15.210000,15.260000,14.820000,15.000000,10.061401,175200
2016-02-09,14.730000,14.730000,14.440000,14.690000,9.853465,178800
2016-02-10,14.200000,14.950000,14.140000,14.700000,9.860173,286000
2016-02-11,14.450000,14.550000,14.050000,14.400000,9.658945,248600
2016-02-12,14.600000,14.750000,14.420000,14.600000,9.793097,87500
2016-02-16,15.000000,15.240000,14.910000,15.060000,10.101646,182000
2016-02-17,15.260000,15.700000,15.150000,15.570000,10.443734,113200
2016-02-18,15.630000,16.200001,15.450000,15.500000,10.396781,223100
2016-02-19,15.550000,15.960000,15.530000,15.590000,10.457150,135800
2016-02-22,15.830000,16.219999,15.760000,15.920000,10.678499,188600
2016-02-23,15.810000,15.890000,15.680000,15.720000,10.544349,86500
2016-02-24,15.800000,15.900000,15.430000,15.880000,10.651670,128800
2016-02-25,15.350000,15.790000,15.350000,15.630000,10.483980,202400
2016-02-26,15.790000,15.790000,15.220000,15.400000,10.329705,217600
2016-02-29,15.390000,15.480000,15.230000,15.360000,10.302876,70500
2016-03-01,15.510000,15.710000,15.390000,15.650000,10.497395,125400
2016-03-02,15.870000,15.870000,15.640000,15.830000,10.618133,141000
2016-03-03,15.810000,15.960000,15.780000,15.940000,10.691916,125300
2016-03-04,16.010000,16.639999,15.900000,16.540001,11.094372,136100
2016-03-07,16.490000,16.490000,16.240000,16.379999,10.987050,132600
