Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,9.800000,9.800000,9.800000,9.800000,8.079220,0
2016-01-12,9.650000,9.650000,9.650000,9.650000,7.955558,400
2016-01-13,9.650000,9.940000,9.590000,9.890000,8.153419,11100
2016-01-14,9.550000,9.950000,9.550000,9.950000,8.202884,3600
2016-01-15,9.730000,9.880000,9.550000,9.580000,7.897849,3100
2016-01-19,9.600000,9.620000,9.310000,9.310000,7.675260,7400
2016-01-20,9.830000,9.830000,9.310000,9.310000,7.675260,2200
2016-01-21,9.400000,9.400000,9.310000,9.310000,7.675260,500
2016-01-22,9.450000,9.450000,9.350000,9.350000,7.708237,400
2016-01-25,9.310000,9.450000,9.310000,9.330000,7.691749,800
2016-01-26,9.310000,9.310000,9.310000,9.310000,7.675260,4500
2016-01-27,9.380000,9.450000,9.380000,9.450000,7.790677,600
2016-01-28,9.310000,9.450000,9.310000,9.350000,7.708237,1100
2016-01-29,9.390000,9.860000,9.310000,9.310000,7.675260,2700
2016-02-01,9.350000,9.430000,9.320000,9.320000,7.683505,5500
2016-02-02,9.330000,9.490000,9.330000,9.390000,7.741214,700
2016-02-03,9.350000,9.480000,9.310000,9.310000,7.675260,2900
2016-02-04,9.430000,9.430000,9.430000,9.430000,7.774188,700
2016-02-05,9.310000,9.310000,9.270000,9.270000,7.642281,18700
2016-02-08,9.150000,9.250000,9.150000,9.250000,7.625794,2600
2016-02-09,9.250000,9.250000,8.820000,8.960000,7.386714,7200
2016-02-10,9.130000,9.130000,8.770000,8.910000,7.345494,2600
2016-02-11,8.760000,8.870000,8.110000,8.300000,6.842606,18000
2016-02-12,8.790000,9.150000,8.540000,8.900000,7.337253,5600
2016-02-16,8.890000,8.900000,8.400000,8.900000,7.337253,6400
2016-02-17,8.900000,9.090000,8.800000,8.800000,7.254812,2400
2016-02-18,8.800000,8.860000,8.800000,8.860000,7.304276,2300
2016-02-19,8.850000,9.070000,8.850000,8.850000,7.296032,1800
2016-02-22,8.850000,8.850000,8.850000,8.850000,7.296032,0
2016-02-23,8.860000,9.070000,8.260000,8.350000,6.883824,6800
