Date,Open,High,Low,Close,Adj Close,Volume
2023-09-19,56.000000,84.699997,28.110001,32.369999,32.369999,471200
2023-09-20,32.009998,36.520000,23.030001,25.000000,25.000000,592300
2023-09-21,23.809999,23.809999,11.500000,14.850000,14.850000,1058800
2023-09-22,18.410000,24.187000,17.110001,19.520000,19.520000,7037200
2023-09-25,17.879999,19.629999,15.500000,16.010000,16.010000,939700
2023-09-26,15.830000,17.260000,15.010000,16.120001,16.120001,426100
2023-09-27,15.400000,15.900000,11.700000,12.000000,12.000000,572900
2023-09-28,11.420000,12.720000,10.410000,12.120000,12.120000,379900
2023-09-29,11.500000,12.474000,10.550000,10.690000,10.690000,308800
2023-10-02,10.810000,11.290000,8.500000,8.800000,8.800000,211200
2023-10-03,8.500000,10.960000,8.500000,9.390000,9.390000,467600
2023-10-04,9.700000,9.758000,8.719000,9.450000,9.450000,79200
2023-10-05,8.840000,9.233000,8.600000,8.730000,8.730000,55600
2023-10-06,8.480000,8.810000,7.230000,7.345000,7.345000,117500
2023-10-09,7.400000,8.440000,7.400000,8.110000,8.110000,162500
2023-10-10,8.380000,8.380000,7.200000,7.360000,7.360000,202900
2023-10-11,7.500000,7.654000,6.225000,6.610000,6.610000,146000
2023-10-12,6.100000,6.760000,5.500000,5.660000,5.660000,156700
2023-10-13,5.720000,6.990000,5.500000,6.720000,6.720000,165800
2023-10-16,6.120000,6.700000,6.000000,6.070000,6.070000,67000
2023-10-17,5.730000,6.225000,5.515000,5.720000,5.720000,69100
2023-10-18,5.580000,6.500000,5.580000,6.050000,6.050000,117000
2023-10-19,6.050000,6.050000,5.600000,5.730000,5.730000,79400
2023-10-20,5.570000,6.150000,5.510000,5.530000,5.530000,25900
2023-10-23,5.410000,5.950000,5.410000,5.520000,5.520000,62400
2023-10-24,5.520000,5.900000,5.520000,5.650000,5.650000,40000
2023-10-25,5.630000,5.790000,5.530000,5.530000,5.530000,19000
2023-10-26,5.530000,5.710000,5.200000,5.580000,5.580000,36500
2023-10-27,5.360000,6.000000,5.350000,5.460000,5.460000,30600
2023-10-30,5.500000,5.740000,5.460000,5.580000,5.580000,19800
2023-10-31,5.490000,5.900000,5.490000,5.740000,5.740000,18400
2023-11-01,5.470000,6.300000,5.470000,5.820000,5.820000,30600
2023-11-02,5.780000,6.400000,5.650000,5.710000,5.710000,131400
2023-11-03,5.896000,6.090000,5.800000,5.810000,5.810000,15000
2023-11-06,5.900000,6.150000,5.650000,5.650000,5.650000,12900
2023-11-07,5.550000,6.710000,5.550000,6.010000,6.010000,120100
2023-11-08,6.390000,6.400000,5.770000,6.085000,6.085000,35800
2023-11-09,5.920000,6.000000,5.750000,6.000000,6.000000,13300
2023-11-10,5.960000,6.240000,5.814000,6.070000,6.070000,19500
2023-11-13,5.960000,6.120000,4.890000,4.960000,4.960000,76800
2023-11-14,5.630000,5.630000,4.880000,5.060000,5.060000,34600
2023-11-15,4.880000,5.250000,4.880000,5.060000,5.060000,34200
2023-11-16,5.150000,5.480000,4.980000,5.190000,5.190000,33300
2023-11-17,5.100000,5.400000,5.020000,5.360000,5.360000,6100
2023-11-20,5.340000,5.800000,4.990000,5.190000,5.190000,28900
2023-11-21,5.270000,6.423000,5.230000,5.800000,5.800000,63600
2023-11-22,5.770000,6.400000,5.376000,5.550000,5.550000,27000
2023-11-24,5.200000,5.500000,5.200000,5.460000,5.460000,3200
2023-11-27,5.280000,5.830000,5.060000,5.490000,5.490000,13100
2023-11-28,5.320000,6.635000,5.320000,6.160000,6.160000,49300
2023-11-29,6.200000,8.580000,5.980000,7.750000,7.750000,107400
2023-11-30,7.164000,8.100000,7.000000,7.810000,7.810000,54400
2023-12-01,7.738000,7.980000,7.510000,7.910000,7.910000,47600
2023-12-04,7.510000,7.900000,7.250000,7.300000,7.300000,17200
2023-12-05,7.690000,7.690000,7.190000,7.470000,7.470000,10400
2023-12-06,7.310000,7.770000,7.180000,7.510000,7.510000,8000
2023-12-07,7.010000,7.305000,6.910000,7.030000,7.030000,10700
2023-12-08,6.770000,7.150000,6.770000,7.150000,7.150000,9800
2023-12-11,7.150000,7.486000,6.750000,6.820000,6.820000,8100
2023-12-12,6.410000,6.635000,6.410000,6.630000,6.630000,1900
2023-12-13,6.110000,6.500000,6.110000,6.150000,6.150000,7500
2023-12-14,6.730000,6.730000,6.320000,6.510000,6.510000,8800
2023-12-15,6.740000,6.740000,6.250000,6.325000,6.325000,6700
2023-12-18,6.100000,6.610000,6.100000,6.610000,6.610000,25300
2023-12-19,6.650000,6.950000,6.230000,6.410000,6.410000,39900
2023-12-20,6.620000,6.620000,6.290000,6.290000,6.290000,3200
2023-12-21,6.140000,6.900000,6.140000,6.720000,6.720000,13800
2023-12-22,6.980000,6.980000,6.390000,6.390000,6.390000,3100
2023-12-26,6.670000,6.970000,6.520000,6.950000,6.950000,8600
2023-12-27,6.520000,6.950000,6.510000,6.770000,6.770000,5000
2023-12-28,6.590000,6.789000,6.590000,6.789000,6.789000,1300
2023-12-29,6.800000,6.800000,6.430000,6.430000,6.430000,3900
2024-01-02,6.645000,6.650000,6.450000,6.450000,6.450000,4700
2024-01-03,6.500000,6.505000,6.270000,6.360000,6.360000,2000
2024-01-04,6.415000,6.430000,6.250000,6.430000,6.430000,3200
2024-01-05,6.489000,6.489000,6.200000,6.220000,6.220000,3900
2024-01-08,6.560000,6.590000,6.230000,6.230000,6.230000,1800
2024-01-09,6.260000,6.392000,6.000000,6.000000,6.000000,10800
2024-01-10,6.120000,6.230000,6.000000,6.230000,6.230000,13700
2024-01-11,6.230000,6.230000,6.000000,6.070000,6.070000,7800
2024-01-12,6.070000,6.310000,6.010000,6.070000,6.070000,8000
2024-01-16,6.010000,6.270000,5.810000,6.270000,6.270000,16500
2024-01-17,6.600000,6.600000,5.820000,5.820000,5.820000,7700
2024-01-18,6.090000,6.090000,5.900000,5.900000,5.900000,3600
2024-01-19,5.810000,5.930000,5.810000,5.930000,5.930000,1100
2024-01-22,5.930000,6.010000,5.800000,5.930000,5.930000,10200
2024-01-23,6.184000,6.184000,5.930000,5.930000,5.930000,5300
2024-01-24,5.850000,6.500000,5.850000,6.500000,6.500000,14700
2024-01-25,6.360000,6.500000,6.000000,6.000000,6.000000,1800
2024-01-26,6.000000,6.000000,6.000000,6.000000,6.000000,1200
2024-01-29,6.460000,6.460000,5.880000,5.900000,5.900000,11000
2024-01-30,6.150000,6.150000,5.820000,5.900000,5.900000,2500
2024-01-31,5.900000,5.950000,5.650000,5.650000,5.650000,32100
2024-02-01,5.600000,5.650000,5.000000,5.000000,5.000000,9500
2024-02-02,5.150000,5.182000,4.510000,4.610000,4.610000,11900
2024-02-05,4.600000,4.620000,4.150000,4.150000,4.150000,28200
2024-02-06,3.970000,4.260000,3.700000,3.720000,3.720000,9200
2024-02-07,3.960000,3.960000,3.500000,3.500000,3.500000,5600
2024-02-08,3.800000,3.980000,3.500000,3.500000,3.500000,23500
2024-02-09,3.700000,3.951000,3.500000,3.500000,3.500000,27100
2024-02-12,4.250000,4.250000,3.590000,3.730000,3.730000,21600
2024-02-13,3.530000,3.666000,3.180000,3.180000,3.180000,9400
2024-02-14,6.560000,10.000000,4.550000,4.750000,4.750000,8147500
2024-02-15,4.750000,5.980000,4.630000,5.760000,5.760000,663600
2024-02-16,5.350000,5.760000,5.110000,5.410000,5.410000,132600
2024-02-20,5.042000,5.168000,4.684000,4.970000,4.970000,53200
2024-02-21,5.100000,5.680000,4.820000,5.540000,5.540000,89400
2024-02-22,5.140000,5.490000,4.810000,4.850000,4.850000,64100
2024-02-23,4.840000,5.200000,4.502000,4.850000,4.850000,86000
2024-02-26,4.770000,5.270000,4.700000,4.810000,4.810000,68500
2024-02-27,4.830000,5.000000,4.510000,4.680000,4.680000,69600
2024-02-28,4.650000,4.838000,4.650000,4.700000,4.700000,16400
2024-02-29,4.700000,5.010000,4.700000,4.720000,4.720000,10000
2024-03-01,4.890000,4.890000,4.170000,4.270000,4.270000,18900
2024-03-04,4.270000,4.780000,4.270000,4.730000,4.730000,39400
2024-03-05,4.490000,4.679000,4.410000,4.410000,4.410000,12500
2024-03-06,4.270000,4.500000,4.270000,4.280000,4.280000,17800
2024-03-07,4.408000,5.000000,4.330000,4.850000,4.850000,81200
2024-03-08,4.880000,4.920000,4.588000,4.890000,4.890000,18500
2024-03-11,4.660000,4.917000,4.640000,4.786000,4.786000,9700
2024-03-12,4.790000,4.900000,4.530000,4.550000,4.550000,14800
2024-03-13,4.620000,4.920000,4.600000,4.890000,4.890000,18600
2024-03-14,4.710000,4.850000,4.580000,4.740000,4.740000,5900
2024-03-15,4.890000,4.890000,4.570000,4.750000,4.750000,1300
2024-03-18,4.400000,4.936000,4.000000,4.280000,4.280000,58400
2024-03-19,4.450000,4.640000,4.450000,4.500000,4.500000,4500
2024-03-20,4.480000,4.490000,4.190000,4.190000,4.190000,5400
2024-03-21,4.060000,4.665000,4.030000,4.230000,4.230000,18000
2024-03-22,4.330000,4.630000,4.320000,4.410000,4.410000,38000
2024-03-25,4.390000,4.390000,4.175000,4.240000,4.240000,38600
2024-03-26,4.190000,4.300000,4.000000,4.080000,4.080000,32100
2024-03-27,4.040000,4.200000,3.810000,3.850000,3.850000,33200
2024-03-28,4.000000,4.090000,3.680000,3.680000,3.680000,25700
2024-04-01,3.580000,3.810000,3.580000,3.660000,3.660000,24100
2024-04-02,3.740000,3.740000,3.370000,3.430000,3.430000,27100
2024-04-03,3.330000,3.590000,3.190000,3.400000,3.400000,59500
2024-04-04,3.070000,3.300000,3.060000,3.060000,3.060000,20100
2024-04-05,3.000000,3.021000,2.752000,2.850000,2.850000,18700
2024-04-08,2.850000,3.000000,2.850000,2.970000,2.970000,62400
2024-04-09,2.890000,3.055000,2.890000,3.000000,3.000000,31300
2024-04-10,2.940000,3.020000,2.940000,3.020000,3.020000,2500
2024-04-11,3.050000,3.050000,2.880000,2.880000,2.880000,17400
2024-04-12,2.830000,2.980000,2.830000,2.905000,2.905000,6400
2024-04-15,2.960000,2.960000,2.370000,2.500000,2.500000,32100
2024-04-16,2.420000,2.580000,2.310000,2.310000,2.310000,10400
2024-04-17,2.315000,2.994000,2.260000,2.370000,2.370000,33000
2024-04-18,2.370000,2.500000,2.330000,2.350000,2.350000,46000
2024-04-19,2.185000,2.300000,2.185000,2.260000,2.260000,8700
2024-04-22,2.250000,2.520000,2.250000,2.260000,2.260000,11600
2024-04-23,2.060000,2.100000,2.020000,2.020000,2.020000,22800
2024-04-24,2.020000,2.090000,1.870000,1.970000,1.970000,29400
2024-04-25,1.910000,2.100000,1.600000,1.970000,1.970000,33800
2024-04-26,2.000000,2.092000,1.940000,1.940000,1.940000,9900
2024-04-29,2.095000,2.095000,1.990000,2.000000,2.000000,8300
2024-04-30,2.030000,2.090000,1.910000,1.990000,1.990000,43600
2024-05-01,2.000000,2.000000,1.900000,2.000000,2.000000,14700
2024-05-02,1.995000,2.000000,1.940000,1.960000,1.960000,6300
2024-05-03,1.920000,2.080000,1.920000,1.950000,1.950000,14000
2024-05-06,1.970000,1.990000,1.810000,1.910000,1.910000,9700
2024-05-07,2.010000,2.020000,1.820000,1.820000,1.820000,41800
2024-05-08,1.810000,1.980000,1.800000,1.800000,1.800000,5600
2024-05-09,1.800000,1.990000,1.800000,1.900000,1.900000,2700
2024-05-10,1.910000,2.040000,1.910000,2.000000,2.000000,6600
2024-05-13,2.300000,2.390000,1.650000,1.650000,1.650000,2211400
2024-05-14,1.760000,1.900000,1.690000,1.700000,1.700000,388200
2024-05-15,1.800000,1.900000,1.700000,1.780000,1.780000,247800
2024-05-16,1.720000,1.880000,1.500000,1.670000,1.670000,264100
2024-05-17,2.000000,2.050000,1.700000,1.700000,1.700000,424200
2024-05-20,1.750000,1.800000,1.660000,1.700000,1.700000,187200
2024-05-21,1.700000,1.720000,1.561000,1.680000,1.680000,106800
2024-05-22,1.600000,1.665000,1.490000,1.500000,1.500000,65900
2024-05-23,1.520000,1.595000,1.320000,1.440000,1.440000,219500
2024-05-24,1.690000,1.700000,1.290000,1.350000,1.350000,676200
2024-05-28,1.290000,1.430000,1.240000,1.330000,1.330000,936100
2024-05-29,1.960000,1.970000,1.380000,1.440000,1.440000,31389000
2024-05-30,1.570000,1.570000,1.110000,1.240000,1.240000,9475000
2024-05-31,1.160000,1.320000,1.110000,1.200000,1.200000,1660300
2024-06-03,1.130000,1.160000,1.010000,1.060000,1.060000,1105500
2024-06-04,1.000000,1.038000,0.950000,0.995000,0.995000,893700
2024-06-05,1.010000,1.110000,0.990000,1.020000,1.020000,941900
2024-06-06,1.020000,1.020000,0.965000,1.000000,1.000000,490200
2024-06-07,0.957000,0.970000,0.900000,0.924000,0.924000,305400
