Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,16354.354492,17267.267578,16126.125977,16216.215820,12336.351563,14
2016-01-12,16276.276367,17087.087891,15555.555664,16066.066406,12222.125000,20
2016-01-13,15915.916016,16336.335938,15165.165039,15765.765625,11993.673828,16
2016-01-14,15975.975586,16351.351563,15180.180664,15885.885742,12085.053711,16
2016-01-15,15585.585938,15945.946289,15405.706055,15765.765625,11993.673828,3
2016-01-19,15636.636719,16156.156250,15045.044922,15465.465820,11765.224609,16
2016-01-20,15795.795898,15825.826172,15165.165039,15375.375000,11696.687500,8
2016-01-21,15315.315430,15615.615234,14894.894531,15405.405273,11719.532227,9
2016-01-22,15375.375000,15405.405273,15075.075195,15405.405273,11719.532227,3
2016-01-25,15345.345703,15915.916016,15165.165039,15165.165039,11536.771484,6
2016-01-26,15495.495117,15885.885742,15075.075195,15585.585938,11856.604492,6
2016-01-27,15615.615234,16366.366211,15075.075195,15585.585938,11856.604492,7
2016-01-28,15465.465820,16306.306641,15165.165039,16066.066406,12222.125000,7
2016-01-29,15585.585938,16216.215820,15195.195313,15195.195313,11559.616211,5
2016-02-01,15435.435547,15735.735352,15255.254883,15375.375000,11696.687500,3
2016-02-02,15495.495117,15555.555664,14924.924805,15015.014648,11422.545898,5
2016-02-03,15165.165039,15465.465820,15015.014648,15465.465820,11765.224609,1
2016-02-04,15315.315430,15435.435547,15045.044922,15345.345703,11673.843750,2
2016-02-05,15165.165039,15435.435547,14932.432617,15435.435547,11742.377930,4
2016-02-08,15225.225586,15705.405273,15195.195313,15465.465820,11765.224609,5
2016-02-09,15405.405273,15405.405273,14834.834961,14954.955078,11376.855469,7
2016-02-10,14864.865234,15615.615234,14564.564453,15195.195313,11559.616211,10
2016-02-11,15015.014648,15885.885742,14444.444336,15885.885742,12085.053711,9
2016-02-12,15105.105469,15825.826172,14849.849609,15705.706055,11947.983398,16
2016-02-16,16066.066406,16066.066406,15615.916016,15735.735352,11970.828125,5
2016-02-17,15891.891602,16546.546875,15795.795898,16246.246094,12359.195313,9
2016-02-18,16696.697266,16786.787109,16216.215820,16396.697266,12473.651367,4
2016-02-19,16276.276367,16906.906250,16156.156250,16366.366211,12450.575195,7
2016-02-22,16366.366211,16756.755859,16156.456055,16366.366211,12450.575195,4
2016-02-23,16516.515625,16786.787109,16216.516602,16786.787109,12770.408203,8
2016-02-24,15855.855469,16606.607422,15735.735352,16276.276367,12382.039063,3
2016-02-25,16366.366211,16666.367188,16321.321289,16516.515625,12564.799805,1
2016-02-26,16366.366211,17447.447266,16366.366211,17027.027344,12953.168945,24
2016-02-29,17267.267578,18027.927734,15495.495117,16156.156250,12290.659180,29
2016-03-01,16666.666016,17987.988281,16666.666016,17687.687500,13455.759766,32
2016-03-02,17567.568359,18468.468750,17027.027344,17567.568359,13364.380859,38
2016-03-03,17747.748047,18468.468750,16396.396484,18198.197266,13844.125000,12
2016-03-04,18423.423828,18423.423828,17447.447266,17867.867188,13592.830078,20
2016-03-07,17477.476563,18468.468750,17477.476563,18288.289063,13912.662109,15
2016-03-08,18318.318359,18468.468750,17837.837891,18048.048828,13729.902344,14
2016-03-09,18348.347656,18348.347656,17657.658203,18138.138672,13798.437500,2
2016-03-10,17462.462891,18432.431641,17462.462891,18288.289063,13912.662109,3
2016-03-11,17417.417969,18318.318359,17327.328125,18048.048828,14005.881836,8
2016-03-14,18348.347656,19909.910156,18348.347656,19429.429688,15077.877930,21
2016-03-15,19279.279297,19729.730469,18768.769531,19159.158203,14868.139648,7
2016-03-16,18798.798828,19549.548828,18468.468750,19159.158203,14868.139648,4
2016-03-17,18918.917969,19414.414063,18438.437500,19099.099609,14821.531250,7
2016-03-18,19219.218750,19219.218750,17987.988281,18228.228516,14145.705078,12
2016-03-21,18468.468750,19159.158203,17867.867188,18738.738281,14541.877930,6
2016-03-22,17657.658203,19039.039063,17657.658203,18528.529297,14378.747070,5
2016-03-23,18708.708984,19039.039063,17822.822266,18738.738281,14541.877930,9
2016-03-24,18468.468750,18468.468750,17867.867188,18138.138672,14075.793945,2
2016-03-28,18198.197266,18408.408203,17687.687500,18258.257813,14169.009766,2
2016-03-29,18318.318359,18648.648438,17718.017578,18198.197266,14122.400391,2
2016-03-30,18468.468750,18648.347656,17927.927734,17927.927734,13912.662109,1
2016-03-31,18018.017578,18018.017578,17687.687500,17717.716797,13749.531250,6
2016-04-01,18138.138672,18618.619141,18018.017578,18528.529297,14378.747070,2
2016-04-04,18348.347656,18858.859375,18348.347656,18708.708984,14518.574219,3
2016-04-05,18663.664063,18828.828125,18378.378906,18828.828125,14611.789063,3
2016-04-06,18438.437500,19219.218750,17927.927734,18708.708984,14518.574219,9
2016-04-07,18468.468750,18888.888672,18378.378906,18378.378906,14262.226563,0
2016-04-08,18768.769531,18828.828125,18168.167969,18318.318359,14215.617188,2
2016-04-11,18198.197266,19219.218750,17987.988281,18348.347656,14238.922852,9
2016-04-12,18078.078125,18918.917969,18078.078125,18378.378906,14262.226563,1
2016-04-13,18708.708984,19069.068359,18288.289063,18378.378906,14262.226563,2
2016-04-14,18108.107422,18494.593750,18108.107422,18228.228516,14145.705078,2
2016-04-15,18198.498047,18768.769531,18198.498047,18738.738281,14541.877930,3
2016-04-18,18515.015625,18888.888672,18515.015625,18708.708984,14518.574219,0
2016-04-19,18228.228516,18888.587891,18018.017578,18528.529297,14378.747070,8
2016-04-20,18768.769531,18858.558594,18078.078125,18738.738281,14541.877930,6
2016-04-21,18318.318359,18738.738281,17897.898438,18258.257813,14169.009766,8
2016-04-22,18618.619141,18726.726563,17958.257813,18528.529297,14378.747070,3
2016-04-25,18498.498047,19729.730469,18348.347656,19729.429688,15310.687500,14
2016-04-26,19759.759766,19909.910156,19159.158203,19369.369141,15031.265625,13
2016-04-27,19579.580078,19653.453125,18318.318359,18648.648438,14471.965820,8
2016-04-28,18948.949219,18948.949219,18258.257813,18408.408203,14285.529297,5
2016-04-29,18327.328125,19159.158203,18048.048828,18198.197266,14122.400391,5
2016-05-02,18048.048828,19219.218750,18048.048828,18828.828125,14611.789063,2
2016-05-03,18198.197266,18858.859375,17897.898438,18408.408203,14285.529297,7
2016-05-04,18675.675781,18993.994141,18318.318359,18318.318359,14215.617188,5
2016-05-05,18318.318359,18768.769531,18318.318359,18348.347656,14238.922852,3
2016-05-06,18558.558594,19249.250000,18318.619141,18648.648438,14471.965820,8
2016-05-09,18468.468750,19249.250000,18408.408203,18798.798828,14588.487305,7
2016-05-10,18858.859375,19069.068359,18618.619141,18648.648438,14471.965820,3
2016-05-11,18768.769531,19519.519531,18348.648438,18798.798828,14588.487305,10
2016-05-12,18798.798828,19009.308594,18558.558594,18678.677734,14495.267578,2
2016-05-13,19069.068359,19069.068359,18528.529297,18558.558594,14402.051758,1
2016-05-16,18438.437500,19129.128906,18318.619141,18738.738281,14541.877930,5
2016-05-17,18768.769531,19339.339844,18318.318359,18318.318359,14215.617188,6
2016-05-18,18558.558594,19309.308594,17687.687500,17687.687500,13726.227539,20
2016-05-19,17807.808594,18378.378906,17237.236328,17567.568359,13633.012695,5
2016-05-20,17417.417969,18378.378906,17417.417969,17417.417969,13516.488281,2
2016-05-23,17567.568359,18918.917969,17297.296875,18738.738281,14541.877930,9
2016-05-24,18618.619141,19564.564453,18288.289063,19159.158203,14868.139648,23
2016-05-25,19159.158203,19969.970703,19069.068359,19707.207031,15293.440430,13
2016-05-26,19549.548828,19658.558594,19399.398438,19399.398438,15054.572266,1
2016-05-27,19399.398438,19459.458984,18798.798828,19279.279297,14961.355469,2
2016-05-31,19729.730469,19729.730469,19069.068359,19519.519531,15147.789063,3
2016-06-01,19279.279297,19699.699219,18768.769531,18828.828125,14611.789063,8
2016-06-02,18978.978516,19459.458984,18918.917969,18948.949219,14705.009766,2
2016-06-03,18708.708984,18821.322266,17837.837891,18258.257813,14169.009766,9
2016-06-06,18138.138672,18738.738281,17717.716797,18588.587891,14425.357422,3
2016-06-07,18408.408203,19489.490234,18228.529297,18738.738281,14541.877930,7
2016-06-08,18348.347656,19459.458984,18228.228516,18708.708984,14518.574219,8
2016-06-09,18528.529297,18918.917969,17957.957031,18318.318359,14215.617188,7
2016-06-10,17897.898438,19039.039063,17777.777344,18288.289063,14477.109375,16
2016-06-13,18288.289063,19009.009766,17627.626953,17657.658203,13977.900391,9
2016-06-14,18558.558594,18558.558594,16966.966797,17147.146484,13573.777344,10
2016-06-15,17417.417969,18618.619141,16336.335938,17807.808594,14096.758789,11
2016-06-16,17447.447266,17927.927734,16846.847656,16876.876953,13359.830078,7
2016-06-17,16966.966797,17852.853516,16426.425781,16666.666016,13193.425781,5
2016-06-20,16816.816406,17537.537109,16546.546875,17357.357422,13740.181641,2
2016-06-21,17237.236328,17507.507813,16516.515625,17267.267578,13668.865234,16
2016-06-22,17237.236328,17237.236328,16096.095703,16336.335938,12931.933594,13
2016-06-23,16366.366211,17177.177734,16036.036133,16126.125977,12765.530273,10
