Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,5.890000,5.940000,5.590000,5.620000,5.620000,1667800
2016-01-12,5.670000,5.790000,5.330000,5.510000,5.510000,2118000
2016-01-13,5.510000,5.620000,5.280000,5.290000,5.290000,1129200
2016-01-14,5.310000,5.600000,5.290000,5.530000,5.530000,1340900
2016-01-15,5.390000,5.430000,5.160000,5.360000,5.360000,1161000
2016-01-19,5.410000,5.490000,5.200000,5.230000,5.230000,940200
2016-01-20,5.130000,5.530000,5.000000,5.520000,5.520000,1524700
2016-01-21,5.520000,5.830000,5.480000,5.640000,5.640000,1359300
2016-01-22,5.690000,5.750000,5.500000,5.570000,5.570000,909100
2016-01-25,5.550000,5.580000,5.310000,5.320000,5.320000,940800
2016-01-26,5.390000,5.420000,5.180000,5.390000,5.390000,985900
2016-01-27,5.350000,5.420000,5.100000,5.190000,5.190000,962200
2016-01-28,5.200000,5.800000,4.980000,5.260000,5.260000,5483700
2016-01-29,5.330000,5.510000,5.280000,5.430000,5.430000,1509600
2016-02-01,5.420000,5.490000,5.270000,5.320000,5.320000,1441700
2016-02-02,5.270000,5.360000,5.160000,5.290000,5.290000,1175200
2016-02-03,5.380000,5.450000,5.190000,5.330000,5.330000,1507700
2016-02-04,5.320000,5.460000,5.310000,5.380000,5.380000,1711100
2016-02-05,5.520000,5.550000,5.290000,5.430000,5.430000,2661500
2016-02-08,5.400000,5.720000,5.320000,5.690000,5.690000,2593400
2016-02-09,6.300000,6.440000,6.000000,6.020000,6.020000,8702200
2016-02-10,6.020000,6.070000,5.620000,5.660000,5.660000,3183800
2016-02-11,5.580000,5.600000,5.030000,5.200000,5.200000,3212700
2016-02-12,5.250000,5.370000,4.980000,5.110000,5.110000,1653900
2016-02-16,5.150000,5.220000,4.850000,5.000000,5.000000,1788900
2016-02-17,5.250000,5.330000,4.980000,5.290000,5.290000,1799600
2016-02-18,5.330000,5.410000,5.180000,5.330000,5.330000,1236800
2016-02-19,5.320000,5.400000,5.210000,5.360000,5.360000,1111500
2016-02-22,5.400000,5.450000,5.070000,5.090000,5.090000,1234800
2016-02-23,5.030000,5.120000,4.960000,5.070000,5.070000,997800
2016-02-24,5.040000,5.140000,4.810000,5.100000,5.100000,1252200
2016-02-25,5.090000,5.200000,4.860000,4.980000,4.980000,1107800
2016-02-26,5.000000,5.110000,4.960000,5.080000,5.080000,966200
2016-02-29,5.070000,5.150000,4.870000,4.900000,4.900000,797000
2016-03-01,4.950000,5.070000,4.810000,5.060000,5.060000,1356300
2016-03-02,5.040000,5.300000,5.040000,5.260000,5.260000,1016400
2016-03-03,5.440000,5.670000,5.350000,5.650000,5.650000,2454000
2016-03-04,5.750000,5.960000,5.620000,5.720000,5.720000,1626300
2016-03-07,5.690000,5.810000,5.570000,5.630000,5.630000,1091200
2016-03-08,5.590000,5.610000,5.300000,5.320000,5.320000,910300
2016-03-09,5.250000,5.960000,5.250000,5.660000,5.660000,3033200
2016-03-10,5.690000,5.820000,5.440000,5.490000,5.490000,1132300
2016-03-11,5.580000,5.670000,5.420000,5.650000,5.650000,1597000
2016-03-14,5.620000,5.890000,5.620000,5.700000,5.700000,1062700
2016-03-15,5.660000,6.150000,5.660000,5.990000,5.990000,4621400
2016-03-16,6.100000,6.170000,5.610000,5.790000,5.790000,2385000
2016-03-17,5.820000,5.880000,5.500000,5.780000,5.780000,1152600
2016-03-18,5.820000,5.990000,5.690000,5.950000,5.950000,1670600
2016-03-21,6.020000,6.110000,5.970000,5.990000,5.990000,1696400
2016-03-22,6.020000,6.100000,6.010000,6.010000,6.010000,849600
2016-03-23,6.010000,6.130000,5.790000,5.800000,5.800000,785800
2016-03-24,5.750000,5.820000,5.620000,5.780000,5.780000,710400
2016-03-28,5.770000,5.850000,5.680000,5.790000,5.790000,684300
2016-03-29,5.790000,5.990000,5.600000,5.950000,5.950000,836100
2016-03-30,5.990000,6.050000,5.690000,5.880000,5.880000,1083000
2016-03-31,5.910000,5.980000,5.850000,5.930000,5.930000,654900
2016-04-01,5.910000,6.030000,5.860000,6.000000,6.000000,850300
2016-04-04,5.990000,6.250000,5.930000,6.150000,6.150000,1740000
2016-04-05,6.100000,6.300000,6.100000,6.160000,6.160000,1233600
2016-04-06,6.190000,6.400000,6.090000,6.400000,6.400000,1568100
2016-04-07,6.390000,6.490000,6.320000,6.380000,6.380000,1408000
2016-04-08,6.400000,6.480000,6.060000,6.150000,6.150000,1100200
2016-04-11,6.220000,6.300000,6.050000,6.100000,6.100000,794200
2016-04-12,6.130000,6.310000,6.000000,6.300000,6.300000,707900
2016-04-13,6.360000,6.360000,6.170000,6.220000,6.220000,713600
2016-04-14,6.250000,6.490000,6.170000,6.460000,6.460000,1468800
2016-04-15,6.470000,6.680000,6.390000,6.600000,6.600000,1811700
2016-04-18,6.630000,6.670000,6.350000,6.430000,6.430000,880100
2016-04-19,6.430000,6.500000,6.320000,6.350000,6.350000,815100
2016-04-20,6.320000,6.580000,6.280000,6.520000,6.520000,928800
2016-04-21,6.520000,6.710000,6.500000,6.650000,6.650000,1639800
2016-04-22,6.750000,6.890000,6.560000,6.650000,6.650000,1019300
2016-04-25,6.690000,6.700000,6.440000,6.480000,6.480000,858300
2016-04-26,6.520000,6.540000,6.260000,6.450000,6.450000,1402500
2016-04-27,6.420000,6.580000,6.320000,6.470000,6.470000,790900
2016-04-28,6.410000,6.610000,6.400000,6.420000,6.420000,723800
2016-04-29,6.430000,6.470000,6.160000,6.260000,6.260000,950000
2016-05-02,6.260000,6.290000,6.110000,6.240000,6.240000,983500
2016-05-03,6.220000,6.310000,6.110000,6.170000,6.170000,1080800
2016-05-04,5.860000,5.910000,5.420000,5.830000,5.830000,2070900
2016-05-05,5.890000,5.890000,5.550000,5.630000,5.630000,1113100
2016-05-06,5.580000,5.630000,5.500000,5.510000,5.510000,934500
2016-05-09,5.450000,5.830000,5.450000,5.730000,5.730000,1021700
2016-05-10,5.720000,5.800000,5.580000,5.640000,5.640000,750000
2016-05-11,5.610000,5.720000,5.440000,5.440000,5.440000,830900
2016-05-12,5.440000,5.520000,5.110000,5.220000,5.220000,1534300
2016-05-13,5.220000,5.450000,5.210000,5.310000,5.310000,781600
2016-05-16,5.290000,5.460000,5.270000,5.430000,5.430000,671100
2016-05-17,5.420000,5.420000,5.130000,5.180000,5.180000,1056500
2016-05-18,5.170000,5.280000,5.140000,5.200000,5.200000,737800
2016-05-19,5.180000,5.260000,5.070000,5.070000,5.070000,889900
2016-05-20,5.100000,5.200000,4.900000,5.200000,5.200000,1520700
2016-05-23,5.500000,5.620000,5.330000,5.400000,5.400000,1814500
2016-05-24,5.400000,5.560000,5.330000,5.530000,5.530000,1006700
2016-05-25,5.540000,5.750000,5.520000,5.630000,5.630000,976500
2016-05-26,5.620000,5.670000,5.540000,5.550000,5.550000,805700
2016-05-27,5.550000,5.620000,5.440000,5.510000,5.510000,723200
2016-05-31,5.510000,5.610000,5.490000,5.560000,5.560000,1554800
2016-06-01,5.540000,5.700000,5.530000,5.660000,5.660000,908100
2016-06-02,5.660000,5.760000,5.640000,5.690000,5.690000,740900
2016-06-03,5.680000,5.700000,5.500000,5.520000,5.520000,603300
2016-06-06,5.540000,5.780000,5.470000,5.740000,5.740000,893200
2016-06-07,5.750000,6.160000,5.740000,6.030000,6.030000,2096100
2016-06-08,6.030000,6.130000,5.990000,6.080000,6.080000,898700
2016-06-09,6.050000,6.080000,5.940000,5.970000,5.970000,829700
2016-06-10,5.890000,6.170000,5.780000,6.090000,6.090000,1211800
2016-06-13,6.030000,6.180000,5.960000,6.090000,6.090000,1279000
2016-06-14,6.070000,6.130000,5.920000,5.960000,5.960000,739600
2016-06-15,5.960000,6.030000,5.880000,5.900000,5.900000,617200
2016-06-16,5.880000,5.930000,5.730000,5.900000,5.900000,651900
2016-06-17,5.900000,5.900000,5.670000,5.700000,5.700000,1094600
2016-06-20,6.370000,6.370000,6.050000,6.140000,6.140000,3393600
2016-06-21,6.150000,6.200000,5.900000,6.040000,6.040000,1110600
2016-06-22,6.030000,6.230000,5.990000,6.090000,6.090000,689500
2016-06-23,6.100000,6.290000,6.040000,6.290000,6.290000,967800
2016-06-24,6.000000,6.150000,5.930000,6.030000,6.030000,1612400
2016-06-27,5.950000,6.000000,5.760000,5.870000,5.870000,1005500
