Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.000000,6.040000,5.540000,5.550000,5.550000,183100
2016-01-12,5.650000,5.720000,5.300000,5.520000,5.520000,204400
2016-01-13,5.520000,5.680000,5.200000,5.210000,5.210000,311300
2016-01-14,5.190000,5.320000,4.930000,5.200000,5.200000,205300
2016-01-15,4.930000,5.110000,4.850000,5.080000,5.080000,189100
2016-01-19,5.200000,5.200000,4.800000,4.910000,4.910000,163700
2016-01-20,4.790000,5.030000,4.570000,4.960000,4.960000,238900
2016-01-21,4.970000,5.100000,4.850000,4.940000,4.940000,113800
2016-01-22,5.070000,5.160000,4.820000,4.940000,4.940000,140600
2016-01-25,4.830000,5.130000,4.830000,4.910000,4.910000,116200
2016-01-26,4.910000,4.980000,4.760000,4.800000,4.800000,166100
2016-01-27,4.800000,4.840000,4.530000,4.530000,4.530000,194400
2016-01-28,4.580000,4.730000,4.430000,4.580000,4.580000,204800
2016-01-29,4.580000,4.770000,4.560000,4.710000,4.710000,87200
2016-02-01,4.720000,4.770000,4.620000,4.720000,4.720000,73900
2016-02-02,4.670000,4.740000,4.570000,4.650000,4.650000,95500
2016-02-03,4.740000,4.740000,4.450000,4.530000,4.530000,170900
2016-02-04,4.500000,4.810000,4.480000,4.740000,4.740000,174300
2016-02-05,4.710000,4.840000,4.650000,4.690000,4.690000,163300
2016-02-08,4.590000,4.620000,4.500000,4.520000,4.520000,281600
2016-02-09,4.500000,4.690000,4.500000,4.510000,4.510000,142500
2016-02-10,4.530000,4.650000,4.500000,4.500000,4.500000,152400
2016-02-11,4.470000,4.600000,4.320000,4.510000,4.510000,208600
2016-02-12,4.670000,4.810000,4.410000,4.500000,4.500000,152400
2016-02-16,4.600000,4.750000,4.520000,4.720000,4.720000,110600
2016-02-17,4.710000,4.950000,4.710000,4.920000,4.920000,116800
2016-02-18,4.960000,4.960000,4.810000,4.810000,4.810000,94000
2016-02-19,4.830000,4.880000,4.750000,4.860000,4.860000,60500
2016-02-22,4.990000,5.030000,4.790000,4.870000,4.870000,152500
2016-02-23,4.900000,4.900000,4.760000,4.820000,4.820000,97900
2016-02-24,4.830000,4.840000,4.590000,4.810000,4.810000,93900
2016-02-25,4.810000,4.850000,4.620000,4.760000,4.760000,58400
2016-02-26,4.790000,4.850000,4.710000,4.730000,4.730000,57900
2016-02-29,4.840000,4.850000,4.600000,4.750000,4.750000,103800
2016-03-01,4.750000,5.290000,4.750000,5.240000,5.240000,184800
2016-03-02,5.180000,5.550000,5.180000,5.510000,5.510000,235600
2016-03-03,5.520000,5.640000,5.480000,5.570000,5.570000,93000
2016-03-04,5.590000,6.090000,5.550000,5.870000,5.870000,200500
2016-03-07,5.790000,6.060000,5.720000,5.870000,5.870000,127100
2016-03-08,5.860000,5.860000,5.500000,5.500000,5.500000,111500
2016-03-09,5.560000,5.590000,5.360000,5.450000,5.450000,88500
2016-03-10,5.570000,5.570000,5.300000,5.330000,5.330000,55600
2016-03-11,5.420000,5.650000,5.420000,5.590000,5.590000,118400
2016-03-14,5.510000,5.600000,5.460000,5.530000,5.530000,53700
2016-03-15,5.500000,5.500000,5.250000,5.340000,5.340000,205700
2016-03-16,5.340000,5.390000,5.250000,5.350000,5.350000,81800
2016-03-17,5.360000,5.540000,5.330000,5.460000,5.460000,68100
2016-03-18,5.410000,5.680000,5.410000,5.590000,5.590000,214000
2016-03-21,5.510000,5.830000,5.510000,5.800000,5.800000,109500
2016-03-22,5.750000,5.990000,5.750000,5.930000,5.930000,77600
2016-03-23,5.900000,5.950000,5.650000,5.720000,5.720000,72400
2016-03-24,5.800000,5.940000,5.590000,5.820000,5.820000,60800
2016-03-28,5.820000,5.820000,5.540000,5.570000,5.570000,79200
2016-03-29,5.500000,5.600000,5.310000,5.590000,5.590000,211700
2016-03-30,5.600000,5.720000,5.590000,5.690000,5.690000,157900
2016-03-31,5.680000,5.760000,5.540000,5.580000,5.580000,94400
2016-04-01,5.550000,5.690000,5.480000,5.660000,5.660000,92200
2016-04-04,5.670000,5.740000,5.610000,5.660000,5.660000,111700
2016-04-05,5.600000,5.700000,5.520000,5.640000,5.640000,70700
2016-04-06,5.690000,6.140000,5.690000,6.130000,6.130000,308200
2016-04-07,6.070000,6.290000,6.040000,6.180000,6.180000,100700
2016-04-08,6.280000,6.300000,6.170000,6.210000,6.210000,52300
2016-04-11,6.180000,6.400000,6.180000,6.240000,6.240000,83000
2016-04-12,6.240000,6.470000,6.210000,6.410000,6.410000,148200
2016-04-13,6.500000,6.700000,6.500000,6.700000,6.700000,86800
2016-04-14,6.660000,6.890000,6.570000,6.830000,6.830000,97100
2016-04-15,6.840000,7.040000,6.800000,6.860000,6.860000,127800
2016-04-18,6.930000,7.140000,6.820000,6.940000,6.940000,111200
2016-04-19,6.950000,7.070000,6.900000,7.020000,7.020000,93900
2016-04-20,7.000000,7.080000,6.960000,6.970000,6.970000,82700
2016-04-21,7.090000,7.110000,6.960000,7.030000,7.030000,66000
2016-04-22,7.040000,7.120000,6.900000,7.120000,7.120000,55200
2016-04-25,7.050000,7.130000,7.020000,7.020000,7.020000,53600
2016-04-26,7.100000,7.100000,6.860000,6.880000,6.880000,56000
2016-04-27,6.850000,6.950000,6.780000,6.890000,6.890000,50800
2016-04-28,6.880000,7.100000,6.680000,6.910000,6.910000,58400
2016-04-29,7.010000,7.010000,6.760000,6.780000,6.780000,99800
2016-05-02,6.790000,6.850000,6.600000,6.780000,6.780000,183300
2016-05-03,6.730000,7.010000,6.650000,6.880000,6.880000,119300
2016-05-04,6.760000,6.830000,6.650000,6.780000,6.780000,148600
2016-05-05,6.790000,6.790000,6.480000,6.540000,6.540000,115700
2016-05-06,6.570000,6.630000,6.430000,6.460000,6.460000,134400
2016-05-09,6.430000,6.750000,6.420000,6.690000,6.690000,91600
2016-05-10,6.780000,7.130000,6.780000,7.050000,7.050000,214100
2016-05-11,6.990000,6.990000,6.630000,6.660000,6.660000,158400
