Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,9.470000,9.640000,9.310000,9.360000,4.077523,367900
2016-01-12,9.370000,9.440000,9.200000,9.260000,4.033960,417300
2016-01-13,9.250000,9.290000,8.910000,8.980000,3.911983,481400
2016-01-14,9.010000,9.110000,8.840000,9.060000,3.946835,400900
2016-01-15,8.840000,8.890000,8.630000,8.820000,3.842281,695500
2016-01-19,8.870000,8.990000,8.560000,8.700000,3.790005,368300
2016-01-20,8.600000,8.600000,8.160000,8.460000,3.685456,971000
2016-01-21,8.450000,8.680000,8.410000,8.570000,3.733372,507400
2016-01-22,8.640000,8.800000,8.610000,8.790000,3.829213,339400
2016-01-25,8.770000,8.840000,8.610000,8.620000,3.755157,320400
2016-01-26,8.620000,8.850000,8.610000,8.850000,3.855351,244500
2016-01-27,8.760000,8.850000,8.670000,8.700000,3.790005,341800
2016-01-28,8.720000,8.810000,8.690000,8.780000,3.824856,349200
2016-01-29,8.830000,8.990000,8.830000,8.990000,3.916337,257400
2016-02-01,8.880000,9.120000,8.850000,9.110000,3.968615,342100
2016-02-02,8.980000,9.000000,8.910000,8.970000,3.907627,365600
2016-02-03,9.000000,9.020000,8.880000,8.950000,3.898914,305200
2016-02-04,8.910000,8.980000,8.890000,8.950000,3.898914,183400
2016-02-05,8.880000,8.960000,8.780000,8.840000,3.850996,222100
2016-02-08,8.630000,8.670000,8.400000,8.560000,3.769526,327600
2016-02-09,8.420000,8.490000,8.290000,8.460000,3.725492,355900
2016-02-10,8.480000,8.520000,8.420000,8.440000,3.716684,206100
2016-02-11,8.290000,8.350000,8.160000,8.170000,3.597786,600600
2016-02-12,8.190000,8.320000,8.190000,8.270000,3.641821,562000
2016-02-16,8.310000,8.400000,8.300000,8.320000,3.663839,587700
2016-02-17,8.370000,8.510000,8.360000,8.450000,3.721088,646400
2016-02-18,8.510000,8.510000,8.430000,8.430000,3.712279,846100
2016-02-19,8.430000,8.450000,8.370000,8.410000,3.703473,577100
2016-02-22,8.470000,8.530000,8.460000,8.480000,3.734298,581400
2016-02-23,8.440000,8.500000,8.430000,8.450000,3.721088,331600
2016-02-24,8.440000,8.500000,8.410000,8.500000,3.743105,409000
2016-02-25,8.540000,8.650000,8.530000,8.650000,3.809161,233400
2016-02-26,8.650000,8.730000,8.620000,8.690000,3.826772,215300
2016-02-29,8.720000,8.810000,8.700000,8.760000,3.857600,273300
2016-03-01,8.770000,8.980000,8.770000,8.950000,3.941269,303400
2016-03-02,8.960000,9.050000,8.910000,9.030000,3.976498,203500
2016-03-03,9.040000,9.140000,9.010000,9.120000,4.016131,401800
2016-03-04,9.130000,9.260000,9.110000,9.140000,4.024938,408500
2016-03-07,9.090000,9.180000,9.070000,9.120000,4.016131,295200
2016-03-08,9.040000,9.070000,8.960000,9.000000,4.005007,187200
2016-03-09,9.040000,9.060000,8.960000,9.030000,4.018355,227100
2016-03-10,9.040000,9.110000,9.020000,9.050000,4.027255,185500
2016-03-11,9.080000,9.220000,9.080000,9.180000,4.085104,369500
2016-03-14,9.130000,9.180000,9.100000,9.170000,4.080654,167100
2016-03-15,9.180000,9.180000,9.100000,9.170000,4.080654,273700
2016-03-16,9.180000,9.340000,9.170000,9.340000,4.156306,314300
2016-03-17,9.310000,9.440000,9.310000,9.420000,4.191907,292500
2016-03-18,9.440000,9.490000,9.430000,9.460000,4.209707,172000
2016-03-21,9.460000,9.500000,9.410000,9.450000,4.205257,226400
2016-03-22,9.440000,9.500000,9.410000,9.450000,4.205257,172800
2016-03-23,9.460000,9.480000,9.400000,9.420000,4.191907,141500
2016-03-24,9.350000,9.370000,9.210000,9.260000,4.120708,283400
2016-03-28,9.260000,9.260000,9.220000,9.240000,4.111807,186200
2016-03-29,9.240000,9.380000,9.230000,9.340000,4.156306,229900
2016-03-30,9.400000,9.490000,9.370000,9.420000,4.191907,242100
2016-03-31,9.450000,9.490000,9.430000,9.490000,4.223056,208400
2016-04-01,9.440000,9.500000,9.410000,9.460000,4.209707,96300
2016-04-04,9.440000,9.480000,9.390000,9.420000,4.191907,180000
2016-04-05,9.380000,9.410000,9.300000,9.300000,4.138508,157000
2016-04-06,9.280000,9.420000,9.280000,9.420000,4.191907,130200
2016-04-07,9.430000,9.440000,9.360000,9.370000,4.169656,330800
2016-04-08,9.290000,9.350000,9.260000,9.260000,4.162913,178600
2016-04-11,9.260000,9.300000,9.230000,9.270000,4.167412,199100
2016-04-12,9.240000,9.390000,9.240000,9.390000,4.221355,178600
2016-04-13,9.340000,9.460000,9.340000,9.450000,4.248330,204100
2016-04-14,9.430000,9.540000,9.410000,9.540000,4.288791,217600
2016-04-15,9.560000,9.580000,9.520000,9.550000,4.293284,259000
2016-04-18,9.500000,9.560000,9.460000,9.530000,4.284295,225200
2016-04-19,9.560000,9.570000,9.520000,9.560000,4.297782,134800
2016-04-20,9.540000,9.630000,9.530000,9.600000,4.315763,108500
2016-04-21,9.620000,9.680000,9.590000,9.660000,4.342738,198800
2016-04-22,9.660000,9.790000,9.640000,9.790000,4.401179,256000
2016-04-25,9.780000,9.790000,9.720000,9.730000,4.374207,162000
2016-04-26,9.720000,9.770000,9.700000,9.770000,4.392190,172800
2016-04-27,9.740000,9.790000,9.720000,9.790000,4.401179,223900
2016-04-28,9.730000,9.800000,9.730000,9.760000,4.387693,186700
2016-04-29,9.750000,9.750000,9.640000,9.650000,4.338241,259400
2016-05-02,9.700000,9.770000,9.660000,9.720000,4.369709,195600
2016-05-03,9.700000,9.710000,9.640000,9.690000,4.356223,231400
2016-05-04,9.680000,9.720000,9.650000,9.670000,4.347232,334400
2016-05-05,9.700000,9.710000,9.650000,9.670000,4.347232,255700
2016-05-06,9.670000,9.700000,9.630000,9.650000,4.338241,212700
2016-05-09,9.590000,9.590000,9.500000,9.550000,4.335970,216500
2016-05-10,9.550000,9.610000,9.550000,9.600000,4.358672,207800
2016-05-11,9.570000,9.610000,9.540000,9.580000,4.349592,140000
2016-05-12,9.600000,9.650000,9.580000,9.620000,4.367752,160400
2016-05-13,9.590000,9.620000,9.540000,9.580000,4.349592,209000
2016-05-16,9.620000,9.680000,9.590000,9.640000,4.376836,242400
2016-05-17,9.640000,9.700000,9.610000,9.660000,4.385914,239400
2016-05-18,9.640000,9.710000,9.600000,9.650000,4.381374,172600
2016-05-19,9.630000,9.630000,9.540000,9.590000,4.354132,126700
2016-05-20,9.590000,9.660000,9.500000,9.520000,4.322350,146000
2016-05-23,9.540000,9.610000,9.510000,9.580000,4.349592,231900
2016-05-24,9.600000,9.650000,9.600000,9.610000,4.363213,177100
2016-05-25,9.660000,9.710000,9.630000,9.710000,4.408616,144100
2016-05-26,9.720000,9.790000,9.630000,9.640000,4.376836,370300
2016-05-27,9.680000,9.720000,9.590000,9.630000,4.372292,323300
2016-05-31,9.630000,9.710000,9.630000,9.690000,4.399535,181400
2016-06-01,9.660000,9.770000,9.640000,9.730000,4.417695,160600
2016-06-02,9.700000,9.730000,9.670000,9.680000,4.394995,217000
2016-06-03,9.670000,9.730000,9.660000,9.720000,4.413155,276900
2016-06-06,9.730000,9.790000,9.700000,9.770000,4.435858,242200
2016-06-07,9.770000,9.850000,9.730000,9.850000,4.472177,240300
2016-06-08,9.820000,9.860000,9.790000,9.840000,4.511148,288800
2016-06-09,9.820000,9.960000,9.790000,9.920000,4.547823,326400
2016-06-10,9.890000,9.950000,9.680000,9.720000,4.456132,201800
2016-06-13,9.690000,9.730000,9.630000,9.630000,4.414870,116300
2016-06-14,9.610000,9.650000,9.540000,9.580000,4.391951,186300
2016-06-15,9.620000,9.700000,9.580000,9.650000,4.424043,188400
2016-06-16,9.610000,9.690000,9.580000,9.690000,4.442380,224000
2016-06-17,9.650000,9.720000,9.620000,9.710000,4.451550,198500
2016-06-20,9.730000,9.770000,9.710000,9.720000,4.456132,177900
2016-06-21,9.710000,9.750000,9.660000,9.690000,4.442380,165800
2016-06-22,9.690000,9.690000,9.640000,9.650000,4.424043,87100
2016-06-23,9.700000,9.780000,9.660000,9.780000,4.483639,131300
2016-06-24,9.530000,9.690000,9.370000,9.600000,4.401121,265400
2016-06-27,9.510000,9.600000,9.410000,9.430000,4.323185,214800
2016-06-28,9.530000,9.690000,9.530000,9.680000,4.437797,172300
2016-06-29,9.760000,9.790000,9.730000,9.780000,4.483639,277200
2016-06-30,9.790000,9.850000,9.730000,9.830000,4.506562,119000
2016-07-01,9.840000,9.880000,9.800000,9.850000,4.515731,128800
2016-07-05,9.920000,9.980000,9.880000,9.980000,4.575329,824500
2016-07-06,9.980000,10.150000,9.950000,10.150000,4.653269,460500
2016-07-07,10.160000,10.230000,10.120000,10.180000,4.667020,419600
2016-07-08,10.160000,10.180000,10.120000,10.150000,4.697102,366100
2016-07-11,10.180000,10.310000,9.980000,10.000000,4.627685,627300
2016-07-12,10.100000,10.250000,10.040000,10.230000,4.734123,516900
2016-07-13,10.210000,10.280000,10.100000,10.120000,4.683218,270100
2016-07-14,10.180000,10.220000,10.100000,10.160000,4.701727,242700
2016-07-15,10.210000,10.300000,10.170000,10.220000,4.729496,254800
2016-07-18,10.240000,10.340000,10.200000,10.320000,4.775767,370700
2016-07-19,10.330000,10.350000,10.310000,10.340000,4.785028,274300
2016-07-20,10.360000,10.460000,10.360000,10.400000,4.812791,289200
2016-07-21,10.430000,10.480000,10.360000,10.440000,4.831302,727500
2016-07-22,10.430000,10.480000,10.430000,10.470000,4.845184,239800
2016-07-25,10.490000,10.490000,10.340000,10.390000,4.808167,353300
2016-07-26,10.370000,10.390000,10.250000,10.330000,4.780399,369000
2016-07-27,10.360000,10.480000,10.360000,10.450000,4.835933,178500
2016-07-28,10.440000,10.520000,10.440000,10.450000,4.835933,205200
2016-07-29,10.450000,10.460000,10.370000,10.420000,4.822049,234400
2016-08-01,10.460000,10.490000,10.400000,10.420000,4.822049,184000
2016-08-02,10.440000,10.470000,10.270000,10.320000,4.775767,224800
2016-08-03,10.330000,10.400000,10.280000,10.400000,4.812791,295100
2016-08-04,10.420000,10.440000,10.380000,10.400000,4.812791,161300
2016-08-05,10.420000,10.480000,10.370000,10.400000,4.812791,197200
2016-08-08,10.370000,10.370000,10.230000,10.260000,4.791777,216900
2016-08-09,10.250000,10.360000,10.250000,10.360000,4.838479,126900
2016-08-10,10.350000,10.370000,10.210000,10.240000,4.782434,256800
2016-08-11,10.260000,10.360000,10.250000,10.320000,4.819794,194200
2016-08-12,10.330000,10.330000,10.250000,10.270000,4.796448,182000
2016-08-15,10.330000,10.470000,10.270000,10.440000,4.875843,901100
2016-08-16,10.450000,10.620000,10.400000,10.590000,4.945898,1066200
2016-08-17,10.630000,10.630000,10.560000,10.600000,4.950572,272500
2016-08-18,10.600000,10.700000,10.570000,10.660000,4.978590,339700
2016-08-19,10.630000,10.740000,10.540000,10.550000,4.927215,308300
2016-08-22,10.580000,10.660000,10.510000,10.530000,4.917875,288900
2016-08-23,10.600000,10.630000,10.550000,10.580000,4.941224,229900
2016-08-24,10.620000,10.650000,10.570000,10.610000,4.955241,250200
2016-08-25,10.610000,10.630000,10.560000,10.560000,4.931887,205600
2016-08-26,10.590000,10.680000,10.580000,10.640000,4.969251,340500
2016-08-29,10.700000,10.700000,10.610000,10.610000,4.955241,313500
2016-08-30,10.670000,10.710000,10.590000,10.600000,4.950572,351000
2016-08-31,10.640000,10.650000,10.560000,10.590000,4.945898,302700
2016-09-01,10.620000,10.650000,10.560000,10.560000,4.931887,328000
2016-09-02,10.580000,10.720000,10.570000,10.680000,4.987932,314700
2016-09-06,10.700000,10.740000,10.640000,10.700000,4.997270,392400
2016-09-07,10.740000,10.760000,10.670000,10.740000,5.015956,411500
2016-09-08,10.680000,10.690000,10.550000,10.560000,4.975903,299900
2016-09-09,10.540000,10.550000,10.150000,10.170000,4.792129,607100
2016-09-12,10.100000,10.450000,10.070000,10.320000,4.862810,447600
2016-09-13,10.310000,10.370000,10.000000,10.170000,4.792129,610700
2016-09-14,10.190000,10.350000,10.190000,10.290000,4.848674,268200
2016-09-15,10.320000,10.350000,10.160000,10.210000,4.810979,404600
2016-09-16,10.240000,10.370000,10.230000,10.320000,4.862810,338200
2016-09-19,10.320000,10.440000,10.300000,10.340000,4.872236,243800
2016-09-20,10.400000,10.440000,10.350000,10.370000,4.886372,146000
2016-09-21,10.340000,10.450000,10.220000,10.420000,4.909933,619500
2016-09-22,10.480000,10.520000,10.410000,10.480000,4.938203,315400
