Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,5.750000,5.750000,5.750000,5.750000,5.750000,240
2016-01-12,5.750000,6.700000,5.750000,6.200000,6.200000,720
2016-01-13,5.950000,5.950000,5.750000,5.750000,5.750000,640
2016-01-14,5.800000,5.800000,5.750000,5.750000,5.750000,440
2016-01-15,5.800000,5.800000,5.800000,5.800000,5.800000,60
2016-01-19,5.550000,5.550000,5.550000,5.550000,5.550000,120
2016-01-20,5.700000,5.700000,5.400000,5.400000,5.400000,900
2016-01-21,5.400000,5.400000,5.400000,5.400000,5.400000,0
2016-01-22,5.900000,5.900000,5.300000,5.500000,5.500000,680
2016-01-25,5.300000,5.450000,4.850000,5.450000,5.450000,260
2016-01-26,5.200000,5.200000,5.000000,5.100000,5.100000,520
2016-01-27,5.000000,5.350000,3.700000,4.550000,4.550000,1240
2016-01-28,4.550000,4.550000,4.350000,4.500000,4.500000,2800
2016-01-29,3.000000,4.650000,3.000000,4.400000,4.400000,2800
2016-02-01,3.100000,6.000000,3.000000,4.350000,4.350000,2040
2016-02-02,4.050000,4.250000,3.250000,4.200000,4.200000,2460
2016-02-03,4.050000,4.050000,3.750000,4.000000,4.000000,700
2016-02-04,5.000000,5.000000,3.850000,3.950000,3.950000,1640
2016-02-05,4.550000,4.550000,4.550000,4.550000,4.550000,80
2016-02-08,3.800000,3.800000,3.750000,3.750000,3.750000,200
2016-02-09,4.850000,4.850000,4.250000,4.550000,4.550000,240
2016-02-10,4.500000,4.500000,4.500000,4.500000,4.500000,300
2016-02-11,4.500000,4.500000,4.500000,4.500000,4.500000,0
2016-02-12,3.750000,5.100000,3.750000,4.000000,4.000000,1980
2016-02-16,3.750000,5.950000,3.750000,4.250000,4.250000,340
2016-02-17,4.250000,4.250000,4.250000,4.250000,4.250000,0
2016-02-18,3.800000,3.800000,3.800000,3.800000,3.800000,20
2016-02-19,3.800000,3.800000,3.800000,3.800000,3.800000,0
2016-02-22,4.000000,4.650000,4.000000,4.000000,4.000000,160
2016-02-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2016-02-24,4.000000,4.000000,4.000000,4.000000,4.000000,0
2016-02-25,4.750000,4.950000,4.750000,4.750000,4.750000,1360
2016-02-26,4.850000,4.850000,4.850000,4.850000,4.850000,40
2016-02-29,4.900000,5.000000,4.900000,4.950000,4.950000,720
2016-03-01,5.400000,5.400000,5.150000,5.150000,5.150000,520
2016-03-02,5.350000,5.350000,5.300000,5.300000,5.300000,1200
2016-03-03,5.300000,5.500000,5.300000,5.500000,5.500000,560
2016-03-04,5.500000,5.500000,5.500000,5.500000,5.500000,0
2016-03-07,6.100000,6.850000,5.850000,6.700000,6.700000,1620
2016-03-08,6.250000,6.250000,6.200000,6.200000,6.200000,200
2016-03-09,6.200000,6.200000,5.250000,5.250000,5.250000,500
2016-03-10,6.000000,6.000000,5.700000,5.700000,5.700000,140
2016-03-11,5.700000,5.700000,5.700000,5.700000,5.700000,0
2016-03-14,5.900000,6.000000,5.000000,6.000000,6.000000,10620
2016-03-15,6.000000,10.000000,5.950000,8.500000,8.500000,31660
2016-03-16,9.500000,13.450000,8.000000,8.800000,8.800000,96060
2016-03-17,9.000000,10.000000,8.500000,8.900000,8.900000,8740
2016-03-18,8.750000,9.650000,8.500000,8.550000,8.550000,2680
2016-03-21,8.600000,9.900000,8.600000,9.800000,9.800000,12920
2016-03-22,10.000000,11.500000,9.800000,10.200000,10.200000,18240
2016-03-23,11.000000,14.300000,10.500000,12.900000,12.900000,77560
2016-03-24,12.900000,12.900000,10.450000,10.600000,10.600000,14280
2016-03-28,10.600000,10.600000,9.000000,9.000000,9.000000,6900
2016-03-29,9.000000,9.450000,8.750000,8.900000,8.900000,3760
2016-03-30,9.050000,10.000000,6.450000,7.250000,7.250000,35840
2016-03-31,7.100000,7.200000,6.450000,6.900000,6.900000,5800
2016-04-01,6.850000,8.200000,6.700000,7.200000,7.200000,7520
2016-04-04,8.700000,8.700000,7.150000,7.550000,7.550000,7580
2016-04-05,7.550000,8.450000,6.900000,7.850000,7.850000,9180
2016-04-06,8.000000,8.750000,7.550000,8.100000,8.100000,4260
2016-04-07,8.150000,8.150000,6.500000,6.800000,6.800000,11800
2016-04-08,6.850000,7.950000,6.850000,7.200000,7.200000,8100
2016-04-11,7.150000,7.950000,7.150000,7.550000,7.550000,4860
2016-04-12,9.400000,9.400000,7.750000,8.350000,8.350000,4680
2016-04-13,7.900000,8.700000,7.900000,8.350000,8.350000,4240
2016-04-14,8.750000,8.750000,8.050000,8.550000,8.550000,1220
2016-04-15,9.400000,9.400000,8.050000,8.450000,8.450000,1680
2016-04-18,8.000000,8.650000,7.850000,8.000000,8.000000,2980
2016-04-19,8.400000,8.400000,7.600000,7.800000,7.800000,1200
2016-04-20,7.200000,8.550000,7.200000,7.400000,7.400000,13060
2016-04-21,7.650000,8.500000,7.000000,7.650000,7.650000,13620
2016-04-22,7.750000,8.150000,7.500000,7.500000,7.500000,3880
2016-04-25,7.700000,7.700000,7.250000,7.500000,7.500000,1140
2016-04-26,7.300000,7.700000,7.300000,7.650000,7.650000,600
2016-04-27,7.650000,7.650000,7.650000,7.650000,7.650000,0
2016-04-28,7.300000,7.850000,7.300000,7.550000,7.550000,2340
2016-04-29,7.550000,8.400000,7.500000,8.000000,8.000000,12700
2016-05-02,7.800000,8.450000,7.250000,7.900000,7.900000,11020
2016-05-03,7.300000,8.050000,7.050000,7.150000,7.150000,4360
2016-05-04,7.400000,8.850000,7.250000,8.850000,8.850000,14660
2016-05-05,8.600000,10.000000,7.800000,9.300000,9.300000,20260
2016-05-06,9.150000,9.150000,7.900000,8.550000,8.550000,540
