Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,10.120000,10.150000,9.910000,9.990000,4.339317,389600
2016-01-12,10.000000,10.080000,9.820000,9.880000,4.291536,374900
2016-01-13,9.950000,9.950000,9.410000,9.490000,4.122137,731600
2016-01-14,9.480000,9.580000,9.370000,9.550000,4.148197,377900
2016-01-15,9.370000,9.390000,9.110000,9.290000,4.035263,467600
2016-01-19,9.350000,9.380000,9.080000,9.220000,4.004858,322000
2016-01-20,9.090000,9.090000,8.690000,8.970000,3.896265,807300
2016-01-21,8.970000,9.220000,8.900000,9.100000,3.952734,268500
2016-01-22,9.160000,9.400000,9.150000,9.380000,4.074353,384200
2016-01-25,9.390000,9.390000,9.090000,9.110000,3.957076,265900
2016-01-26,9.150000,9.340000,9.120000,9.290000,4.035263,338600
2016-01-27,9.220000,9.340000,9.120000,9.220000,4.004858,300600
2016-01-28,9.240000,9.370000,9.210000,9.320000,4.048293,324300
2016-01-29,9.350000,9.500000,9.350000,9.490000,4.122137,252700
2016-02-01,9.450000,9.610000,9.340000,9.600000,4.169915,316700
2016-02-02,9.330000,9.470000,9.330000,9.420000,4.091729,477300
2016-02-03,9.420000,9.470000,9.280000,9.460000,4.109106,212100
2016-02-04,9.440000,9.530000,9.390000,9.500000,4.126477,201100
2016-02-05,9.500000,9.510000,9.230000,9.430000,4.096073,435200
2016-02-08,9.240000,9.240000,8.980000,9.080000,3.986320,461200
2016-02-09,8.920000,9.000000,8.830000,9.000000,3.951196,379000
2016-02-10,9.000000,9.090000,8.910000,8.920000,3.916074,172200
2016-02-11,8.800000,8.870000,8.640000,8.730000,3.832660,417000
2016-02-12,8.750000,8.870000,8.680000,8.870000,3.894123,217600
2016-02-16,8.950000,8.980000,8.890000,8.920000,3.916074,286800
2016-02-17,8.920000,9.160000,8.920000,9.040000,3.968756,365700
2016-02-18,9.040000,9.100000,9.000000,9.010000,3.955588,225000
2016-02-19,9.010000,9.120000,8.960000,9.100000,3.995100,309000
2016-02-22,9.160000,9.240000,9.070000,9.100000,3.995100,283100
2016-02-23,9.100000,9.160000,9.050000,9.070000,3.981928,225900
2016-02-24,9.060000,9.150000,9.010000,9.150000,4.017050,200100
2016-02-25,9.130000,9.310000,9.130000,9.290000,4.078512,145800
2016-02-26,9.290000,9.440000,9.280000,9.410000,4.131195,211000
2016-02-29,9.410000,9.530000,9.380000,9.500000,4.170705,207600
2016-03-01,9.540000,9.760000,9.480000,9.760000,4.284855,296300
2016-03-02,9.720000,9.840000,9.670000,9.800000,4.302413,241100
2016-03-03,9.770000,9.890000,9.770000,9.810000,4.306805,312400
2016-03-04,9.850000,10.000000,9.820000,9.830000,4.315583,397200
2016-03-07,9.840000,9.910000,9.790000,9.880000,4.337534,368100
2016-03-08,9.740000,9.790000,9.650000,9.780000,4.337534,187800
2016-03-09,9.800000,9.890000,9.750000,9.890000,4.386322,258600
2016-03-10,9.950000,9.970000,9.860000,9.920000,4.399629,251200
2016-03-11,10.000000,10.070000,9.960000,10.040000,4.452848,226700
2016-03-14,10.030000,10.080000,9.940000,10.050000,4.457281,217700
2016-03-15,10.070000,10.080000,9.970000,10.080000,4.470587,273200
2016-03-16,10.080000,10.260000,10.060000,10.250000,4.545986,322900
2016-03-17,10.210000,10.380000,10.210000,10.360000,4.594773,257200
2016-03-18,10.380000,10.430000,10.370000,10.400000,4.612511,165300
2016-03-21,10.370000,10.440000,10.320000,10.380000,4.603642,187400
2016-03-22,10.370000,10.400000,10.320000,10.400000,4.612511,131600
2016-03-23,10.390000,10.400000,10.330000,10.350000,4.590338,125100
2016-03-24,10.330000,10.330000,10.120000,10.130000,4.492763,204800
2016-03-28,10.170000,10.170000,10.090000,10.120000,4.488328,183500
2016-03-29,10.100000,10.240000,10.100000,10.220000,4.532678,181900
2016-03-30,10.240000,10.420000,10.230000,10.290000,4.563724,167800
2016-03-31,10.320000,10.430000,10.310000,10.390000,4.608078,125200
2016-04-01,10.330000,10.400000,10.300000,10.340000,4.585902,128300
2016-04-04,10.380000,10.380000,10.280000,10.320000,4.577031,117700
2016-04-05,10.280000,10.300000,10.150000,10.170000,4.510504,170600
2016-04-06,10.150000,10.320000,10.150000,10.290000,4.563724,165600
2016-04-07,10.210000,10.290000,10.150000,10.200000,4.523809,214600
2016-04-08,10.120000,10.190000,10.100000,10.150000,4.546203,115300
2016-04-11,10.160000,10.230000,10.120000,10.200000,4.568600,185400
2016-04-12,10.220000,10.300000,10.170000,10.290000,4.608911,137300
2016-04-13,10.290000,10.400000,10.260000,10.370000,4.644744,201500
2016-04-14,10.390000,10.470000,10.340000,10.460000,4.685053,164200
2016-04-15,10.490000,10.530000,10.350000,10.360000,4.640264,371500
2016-04-18,10.270000,10.340000,10.210000,10.260000,4.595475,596400
2016-04-19,10.230000,10.310000,10.230000,10.270000,4.599953,279500
2016-04-20,10.250000,10.380000,10.250000,10.340000,4.631306,204400
2016-04-21,10.370000,10.440000,10.340000,10.380000,4.649223,205500
2016-04-22,10.390000,10.460000,10.370000,10.460000,4.685053,128300
2016-04-25,10.410000,10.480000,10.410000,10.450000,4.680575,127600
2016-04-26,10.480000,10.540000,10.410000,10.540000,4.720888,199400
2016-04-27,10.580000,10.580000,10.430000,10.460000,4.685053,255900
2016-04-28,10.420000,10.500000,10.360000,10.380000,4.649223,305200
2016-04-29,10.390000,10.410000,10.260000,10.280000,4.604432,255000
2016-05-02,10.330000,10.380000,10.290000,10.330000,4.626828,227600
2016-05-03,10.320000,10.340000,10.270000,10.280000,4.604432,211500
2016-05-04,10.260000,10.270000,10.200000,10.200000,4.568600,261900
2016-05-05,10.200000,10.290000,10.180000,10.250000,4.590995,177100
2016-05-06,10.220000,10.250000,10.200000,10.210000,4.573081,164900
2016-05-09,10.090000,10.180000,10.080000,10.140000,4.586648,173800
2016-05-10,10.150000,10.180000,10.100000,10.160000,4.595694,170200
2016-05-11,10.130000,10.180000,10.100000,10.110000,4.573078,115400
2016-05-12,10.160000,10.180000,10.110000,10.180000,4.604742,136300
2016-05-13,10.200000,10.200000,10.080000,10.160000,4.595694,237100
2016-05-16,10.190000,10.280000,10.170000,10.200000,4.613788,224100
2016-05-17,10.180000,10.280000,10.180000,10.210000,4.618312,225900
2016-05-18,10.200000,10.270000,10.110000,10.210000,4.618312,176700
2016-05-19,10.180000,10.200000,10.100000,10.140000,4.586648,141900
2016-05-20,10.120000,10.170000,10.100000,10.100000,4.568556,188500
2016-05-23,10.080000,10.160000,10.080000,10.120000,4.577603,175100
2016-05-24,10.150000,10.220000,10.130000,10.200000,4.613788,247000
2016-05-25,10.200000,10.270000,10.200000,10.230000,4.627358,236400
2016-05-26,10.270000,10.330000,10.240000,10.290000,4.654499,158200
2016-05-27,10.320000,10.330000,10.230000,10.310000,4.663547,161200
2016-05-31,10.300000,10.360000,10.300000,10.350000,4.681639,129800
2016-06-01,10.350000,10.430000,10.290000,10.360000,4.686162,252600
2016-06-02,10.330000,10.360000,10.310000,10.310000,4.663547,211400
2016-06-03,10.270000,10.430000,10.270000,10.390000,4.699732,211400
2016-06-06,10.390000,10.450000,10.350000,10.420000,4.713300,200500
