Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,13.500000,13.500000,13.260000,13.320000,7.138294,207700
2016-01-12,13.440000,13.480000,13.320000,13.370000,7.165092,198800
2016-01-13,13.370000,13.390000,12.900000,12.900000,6.965309,267100
2016-01-14,13.000000,13.150000,12.850000,13.100000,7.073303,173800
2016-01-15,12.730000,13.100000,12.490000,12.520000,6.760128,354400
2016-01-19,12.720000,12.730000,12.430000,12.490000,6.743930,222500
2016-01-20,12.330000,12.360000,11.760000,12.180000,6.576550,412100
2016-01-21,12.250000,12.380000,12.220000,12.330000,6.657540,212600
2016-01-22,12.500000,12.690000,12.450000,12.610000,6.808724,196600
2016-01-25,12.600000,12.630000,12.420000,12.420000,6.706138,167500
2016-01-26,12.510000,12.670000,12.460000,12.660000,6.835727,183700
2016-01-27,12.680000,12.700000,12.500000,12.510000,6.754731,117100
2016-01-28,12.570000,12.610000,12.470000,12.610000,6.808724,170900
2016-01-29,12.650000,12.930000,12.630000,12.930000,6.981512,127500
2016-02-01,12.880000,13.050000,12.810000,13.010000,7.024704,114700
2016-02-02,12.800000,12.860000,12.640000,12.710000,6.862722,194900
2016-02-03,12.790000,12.800000,12.610000,12.740000,6.878922,108000
2016-02-04,12.760000,12.820000,12.700000,12.740000,6.878922,104100
2016-02-05,12.670000,12.750000,12.600000,12.610000,6.808724,93900
2016-02-08,12.500000,12.520000,12.160000,12.290000,6.635940,238000
2016-02-09,12.160000,12.180000,11.990000,12.050000,6.506352,164000
2016-02-10,12.120000,12.250000,12.080000,12.110000,6.538752,191400
2016-02-11,11.840000,11.910000,11.620000,11.670000,6.353644,329800
2016-02-12,11.780000,11.970000,11.770000,11.970000,6.516977,159300
2016-02-16,12.090000,12.290000,12.070000,12.290000,6.691197,119500
2016-02-17,12.430000,12.550000,12.370000,12.550000,6.832746,143800
2016-02-18,12.560000,12.560000,12.450000,12.470000,6.789195,71200
2016-02-19,12.420000,12.530000,12.360000,12.530000,6.821864,79300
2016-02-22,12.580000,12.710000,12.580000,12.710000,6.919864,130100
2016-02-23,12.700000,12.710000,12.620000,12.660000,6.892639,92300
2016-02-24,12.560000,12.750000,12.450000,12.730000,6.930752,92600
2016-02-25,12.780000,12.790000,12.680000,12.790000,6.963418,50800
2016-02-26,12.850000,12.900000,12.760000,12.830000,6.985188,85300
2016-02-29,12.870000,12.920000,12.810000,12.850000,6.996083,104600
2016-03-01,12.900000,13.130000,12.880000,13.130000,7.148529,113500
2016-03-02,13.030000,13.200000,12.970000,13.110000,7.137638,137700
2016-03-03,13.140000,13.200000,13.100000,13.110000,7.137638,108100
2016-03-04,13.190000,13.290000,13.110000,13.200000,7.186644,106400
2016-03-07,13.180000,13.340000,13.180000,13.340000,7.262858,113800
2016-03-08,13.290000,13.320000,13.210000,13.230000,7.202973,103500
2016-03-09,13.310000,13.320000,13.240000,13.310000,7.246526,55400
2016-03-10,13.350000,13.370000,13.100000,13.210000,7.192079,119200
2016-03-11,13.280000,13.340000,13.210000,13.300000,7.296319,81100
2016-03-14,13.270000,13.320000,13.240000,13.250000,7.268888,59900
2016-03-15,13.180000,13.250000,13.110000,13.180000,7.230489,121600
2016-03-16,13.140000,13.260000,13.140000,13.220000,7.252427,93600
2016-03-17,13.210000,13.290000,13.210000,13.270000,7.279861,102400
2016-03-18,13.260000,13.340000,13.260000,13.270000,7.279861,57400
2016-03-21,13.250000,13.520000,13.250000,13.520000,7.417010,154600
2016-03-22,13.460000,13.500000,13.350000,13.350000,7.323748,179000
2016-03-23,13.320000,13.330000,13.250000,13.250000,7.268888,116700
2016-03-24,13.220000,13.250000,13.120000,13.190000,7.235975,126800
2016-03-28,13.220000,13.230000,13.180000,13.200000,7.241458,109100
2016-03-29,13.200000,13.370000,13.180000,13.370000,7.334718,87900
2016-03-30,13.400000,13.500000,13.360000,13.480000,7.395064,125900
2016-03-31,13.500000,13.550000,13.370000,13.540000,7.427981,203300
2016-04-01,13.430000,13.750000,13.370000,13.750000,7.543185,144400
2016-04-04,13.650000,13.670000,13.470000,13.590000,7.455410,146100
2016-04-05,13.530000,13.530000,13.330000,13.440000,7.373122,188900
2016-04-06,13.480000,13.550000,13.330000,13.550000,7.433465,219500
2016-04-07,13.450000,13.480000,13.360000,13.480000,7.395064,129500
2016-04-08,13.590000,13.590000,13.380000,13.530000,7.422496,136300
2016-04-11,13.570000,13.580000,13.440000,13.540000,7.427981,149500
2016-04-12,13.520000,13.580000,13.450000,13.580000,7.449924,148500
2016-04-13,13.480000,13.550000,13.410000,13.550000,7.488608,187500
2016-04-14,13.510000,13.550000,13.470000,13.550000,7.488608,142500
2016-04-15,13.530000,13.540000,13.440000,13.440000,7.427814,107300
2016-04-18,13.420000,13.530000,13.410000,13.520000,7.472031,95900
2016-04-19,13.530000,13.570000,13.510000,13.560000,7.494134,137600
2016-04-20,13.560000,13.640000,13.540000,13.640000,7.538353,84100
2016-04-21,13.660000,13.720000,13.600000,13.620000,7.527296,149200
2016-04-22,13.650000,13.720000,13.610000,13.720000,7.582562,135900
2016-04-25,13.680000,13.680000,13.580000,13.610000,7.521773,114400
2016-04-26,13.660000,13.690000,13.620000,13.670000,7.554933,94800
2016-04-27,13.680000,13.740000,13.660000,13.740000,7.593619,79000
2016-04-28,13.670000,13.690000,13.550000,13.550000,7.488608,171000
2016-04-29,13.560000,13.570000,13.400000,13.450000,7.433343,160200
2016-05-02,13.500000,13.590000,13.410000,13.480000,7.449924,237700
2016-05-03,13.440000,13.470000,13.310000,13.470000,7.444399,177800
2016-05-04,13.440000,13.450000,13.350000,13.420000,7.416762,138500
2016-05-05,13.450000,13.470000,13.350000,13.390000,7.400183,92800
2016-05-06,13.330000,13.470000,13.290000,13.470000,7.444399,203400
2016-05-09,13.480000,13.500000,13.380000,13.440000,7.427814,195100
2016-05-10,13.500000,13.550000,13.480000,13.530000,7.477557,132600
2016-05-11,13.520000,13.520000,13.350000,13.420000,7.416762,211600
2016-05-12,13.300000,13.350000,13.180000,13.220000,7.361082,174000
2016-05-13,13.190000,13.240000,13.150000,13.150000,7.322104,76000
2016-05-16,13.150000,13.320000,13.130000,13.280000,7.394491,160600
2016-05-17,13.290000,13.290000,13.190000,13.260000,7.383356,125800
2016-05-18,13.220000,13.310000,13.210000,13.230000,7.366650,109700
2016-05-19,13.180000,13.240000,13.120000,13.140000,7.316536,72500
2016-05-20,13.210000,13.230000,13.100000,13.180000,7.338814,134800
2016-05-23,13.190000,13.290000,13.170000,13.240000,7.372218,99800
2016-05-24,13.300000,13.420000,13.250000,13.380000,7.450174,100500
2016-05-25,13.400000,13.500000,13.400000,13.500000,7.516991,114200
2016-05-26,13.500000,13.540000,13.450000,13.520000,7.528130,85800
2016-05-27,13.480000,13.660000,13.460000,13.570000,7.555966,200100
2016-05-31,13.650000,13.690000,13.540000,13.660000,7.606081,169000
2016-06-01,13.570000,13.690000,13.540000,13.680000,7.617214,168900
2016-06-02,13.640000,13.790000,13.590000,13.780000,7.672899,185600
2016-06-03,13.710000,13.710000,13.600000,13.630000,7.589380,147000
2016-06-06,13.650000,13.700000,13.630000,13.690000,7.622784,179800
2016-06-07,13.660000,13.710000,13.590000,13.710000,7.633924,142600
2016-06-08,13.680000,13.740000,13.610000,13.720000,7.639490,153300
2016-06-09,13.720000,13.750000,13.660000,13.740000,7.650630,127600
2016-06-10,13.700000,13.780000,13.690000,13.780000,7.672899,210400
2016-06-13,13.600000,13.680000,13.530000,13.540000,7.594374,109600
2016-06-14,13.520000,13.550000,13.450000,13.480000,7.560722,67400
2016-06-15,13.510000,13.530000,13.340000,13.340000,7.482200,117400
2016-06-16,13.300000,13.360000,13.210000,13.340000,7.482200,112000
2016-06-17,13.370000,13.390000,13.330000,13.360000,7.493417,53100
2016-06-20,13.430000,13.520000,13.430000,13.470000,7.555112,102600
2016-06-21,13.490000,13.550000,13.440000,13.540000,7.594374,87400
2016-06-22,13.540000,13.570000,13.470000,13.530000,7.588766,92300
2016-06-23,13.630000,13.650000,13.530000,13.530000,7.588766,145100
2016-06-24,13.190000,13.330000,13.150000,13.250000,7.431720,226100
2016-06-27,13.230000,13.230000,13.010000,13.150000,7.375631,206200
2016-06-28,13.250000,13.310000,13.150000,13.280000,7.448546,163500
2016-06-29,13.370000,13.450000,13.350000,13.440000,7.538287,168300
2016-06-30,13.420000,13.470000,13.330000,13.450000,7.543890,255300
2016-07-01,13.450000,13.600000,13.430000,13.600000,7.628026,110000
2016-07-05,13.500000,13.520000,13.380000,13.520000,7.583160,126600
2016-07-06,13.470000,13.570000,13.430000,13.570000,7.611200,115300
2016-07-07,13.530000,13.610000,13.520000,13.580000,7.616811,110200
2016-07-08,13.650000,13.660000,13.540000,13.640000,7.650467,181700
2016-07-11,13.690000,13.740000,13.640000,13.720000,7.695333,152100
2016-07-12,13.790000,13.800000,13.720000,13.800000,7.740205,155900
2016-07-13,13.630000,13.630000,13.500000,13.600000,7.683707,201600
2016-07-14,13.670000,13.670000,13.590000,13.630000,7.700658,136800
2016-07-15,13.640000,13.780000,13.600000,13.780000,7.785403,156000
2016-07-18,13.780000,13.790000,13.690000,13.750000,7.768452,194900
2016-07-19,13.720000,13.810000,13.700000,13.790000,7.791050,70400
2016-07-20,13.830000,13.850000,13.700000,13.800000,7.796700,130100
2016-07-21,13.860000,13.890000,13.730000,13.740000,7.762805,231300
2016-07-22,13.750000,13.770000,13.720000,13.720000,7.751504,122700
2016-07-25,13.750000,13.750000,13.700000,13.730000,7.757152,119800
2016-07-26,13.760000,13.820000,13.750000,13.810000,7.802353,141300
2016-07-27,13.860000,13.880000,13.800000,13.820000,7.808001,100900
2016-07-28,13.850000,13.910000,13.810000,13.900000,7.853200,68100
2016-07-29,13.920000,13.940000,13.850000,13.920000,7.864498,159000
2016-08-01,13.920000,13.940000,13.850000,13.880000,7.841899,122700
2016-08-02,13.890000,13.900000,13.760000,13.790000,7.791050,139700
2016-08-03,13.820000,13.850000,13.700000,13.790000,7.791050,135400
2016-08-04,13.830000,13.830000,13.740000,13.780000,7.785403,156200
2016-08-05,13.810000,13.890000,13.810000,13.860000,7.830601,93600
2016-08-08,13.900000,13.970000,13.890000,13.910000,7.858851,151500
2016-08-09,13.960000,13.980000,13.910000,13.980000,7.898399,101200
2016-08-10,13.990000,13.990000,13.910000,13.950000,7.881449,124800
2016-08-11,13.910000,13.960000,13.840000,13.940000,7.932667,166500
2016-08-12,13.940000,13.970000,13.920000,13.930000,7.926971,91800
2016-08-15,13.950000,13.980000,13.880000,13.890000,7.904210,148400
2016-08-16,13.910000,13.920000,13.870000,13.900000,7.909904,76600
2016-08-17,13.920000,13.920000,13.870000,13.900000,7.909904,79800
2016-08-18,13.880000,13.930000,13.880000,13.930000,7.926971,71600
2016-08-19,13.890000,13.940000,13.880000,13.940000,7.932667,67100
2016-08-22,13.930000,13.990000,13.920000,13.990000,7.961119,94000
2016-08-23,14.000000,14.040000,13.870000,13.870000,7.892830,153900
2016-08-24,13.930000,13.930000,13.860000,13.900000,7.909904,129800
2016-08-25,13.900000,13.900000,13.780000,13.800000,7.852995,98300
2016-08-26,13.780000,13.910000,13.780000,13.810000,7.858687,91700
2016-08-29,13.820000,13.950000,13.790000,13.930000,7.926971,112700
2016-08-30,13.910000,13.910000,13.860000,13.880000,7.898522,63800
2016-08-31,13.900000,13.910000,13.810000,13.870000,7.892830,139100
2016-09-01,13.890000,13.910000,13.830000,13.880000,7.898522,57800
2016-09-02,13.920000,13.950000,13.890000,13.940000,7.932667,88900
2016-09-06,13.950000,14.010000,13.920000,14.000000,7.966809,112100
2016-09-07,14.030000,14.070000,13.990000,14.070000,8.006640,74200
2016-09-08,14.070000,14.070000,14.010000,14.020000,7.978190,63800
2016-09-09,13.950000,13.980000,13.820000,13.820000,7.864377,73200
2016-09-12,13.840000,14.000000,13.840000,14.000000,7.966809,133400
2016-09-13,13.850000,13.850000,13.630000,13.660000,7.829247,103300
2016-09-14,13.680000,13.770000,13.680000,13.730000,7.869373,70500
2016-09-15,13.710000,13.790000,13.680000,13.700000,7.852178,116800
2016-09-16,13.730000,13.730000,13.640000,13.720000,7.863642,97300
2016-09-19,13.720000,13.770000,13.710000,13.730000,7.869373,97600
2016-09-20,13.750000,13.780000,13.670000,13.710000,7.857911,70600
2016-09-21,13.780000,13.860000,13.720000,13.840000,7.932416,84900
2016-09-22,13.950000,13.970000,13.860000,13.860000,7.943881,102500
2016-09-23,13.890000,13.900000,13.840000,13.890000,7.961078,61100
2016-09-26,13.820000,13.850000,13.720000,13.720000,7.863642,84500
2016-09-27,13.740000,13.810000,13.720000,13.790000,7.903763,110300
2016-09-28,13.820000,13.830000,13.740000,13.820000,7.920957,75800
2016-09-29,13.780000,13.810000,13.600000,13.650000,7.823518,236000
2016-09-30,13.700000,13.780000,13.670000,13.780000,7.898029,185300
2016-10-03,13.740000,13.780000,13.690000,13.730000,7.869373,151600
2016-10-04,13.610000,13.680000,13.600000,13.600000,7.794858,206600
2016-10-05,13.650000,13.700000,13.600000,13.600000,7.794858,103600
2016-10-06,13.610000,13.680000,13.600000,13.610000,7.800596,104500
2016-10-07,13.620000,13.720000,13.580000,13.640000,7.817792,145500
2016-10-10,13.690000,13.730000,13.530000,13.610000,7.800596,146500
2016-10-11,13.590000,13.590000,13.470000,13.480000,7.726084,138700
2016-10-12,13.370000,13.480000,13.350000,13.360000,7.704746,123800
2016-10-13,13.310000,13.320000,13.160000,13.190000,7.606707,256500
2016-10-14,13.240000,13.310000,13.150000,13.150000,7.583641,120500
2016-10-17,13.150000,13.160000,12.980000,12.980000,7.485600,209500
2016-10-18,13.110000,13.180000,13.050000,13.080000,7.543269,214800
2016-10-19,13.120000,13.150000,13.100000,13.150000,7.583641,187700
2016-10-20,13.100000,13.170000,13.060000,13.080000,7.543269,141900
2016-10-21,13.080000,13.210000,13.060000,13.190000,7.606707,89100
2016-10-24,13.270000,13.280000,13.230000,13.270000,7.652845,101900
2016-10-25,13.280000,13.280000,13.220000,13.240000,7.635540,147500
2016-10-26,13.210000,13.240000,13.150000,13.190000,7.606707,110900
2016-10-27,13.190000,13.210000,13.110000,13.120000,7.566338,92900
2016-10-28,13.080000,13.160000,13.050000,13.050000,7.525968,128100
2016-10-31,13.100000,13.100000,12.940000,13.020000,7.508663,147500
2016-11-01,13.050000,13.050000,12.900000,12.970000,7.479831,117700
2016-11-02,12.780000,12.980000,12.710000,12.710000,7.329884,351200
2016-11-03,12.710000,12.810000,12.700000,12.700000,7.324121,147400
2016-11-04,12.660000,12.730000,12.590000,12.640000,7.289523,222000
2016-11-07,12.720000,12.940000,12.720000,12.880000,7.427928,262000
2016-11-08,12.880000,13.010000,12.810000,12.950000,7.468301,127500
2016-11-09,12.840000,13.110000,12.820000,13.080000,7.543269,237800
2016-11-10,13.060000,13.120000,12.940000,12.980000,7.533404,208300
2016-11-11,12.960000,12.980000,12.880000,12.980000,7.533404,161100
2016-11-14,13.020000,13.020000,12.850000,13.000000,7.545012,190700
2016-11-15,13.040000,13.150000,13.020000,13.100000,7.603049,136000
2016-11-16,13.080000,13.160000,13.060000,13.150000,7.632070,121600
2016-11-17,13.120000,13.270000,13.120000,13.230000,7.678500,171100
2016-11-18,13.280000,13.280000,13.220000,13.280000,7.707520,76200
2016-11-21,13.280000,13.370000,13.250000,13.330000,7.736537,127100
2016-11-22,13.380000,13.440000,13.360000,13.440000,7.800381,163200
2016-11-23,13.340000,13.510000,13.340000,13.490000,7.829400,115700
2016-11-25,13.470000,13.590000,13.470000,13.550000,7.864223,61600
2016-11-28,13.560000,13.560000,13.420000,13.440000,7.800381,122100
2016-11-29,13.400000,13.470000,13.400000,13.430000,7.794575,142000
2016-11-30,13.480000,13.520000,13.410000,13.440000,7.800381,102100
2016-12-01,13.420000,13.480000,13.300000,13.360000,7.753950,145700
2016-12-02,13.350000,13.370000,13.290000,13.350000,7.748144,143400
2016-12-05,13.360000,13.440000,13.360000,13.380000,7.765556,189600
2016-12-06,13.380000,13.510000,13.360000,13.500000,7.835201,218200
2016-12-07,13.510000,13.670000,13.470000,13.650000,7.922262,225900
2016-12-08,13.600000,13.660000,13.570000,13.620000,7.904850,193300
2016-12-09,13.620000,13.690000,13.600000,13.650000,7.922262,152300
2016-12-12,13.670000,13.690000,13.560000,13.600000,7.893242,194200
2016-12-13,13.620000,13.690000,13.600000,13.670000,7.933868,207300
2016-12-14,13.630000,13.670000,13.560000,13.570000,7.875829,175000
2016-12-15,13.560000,13.610000,13.520000,13.540000,7.906781,141200
2016-12-16,13.600000,13.630000,13.570000,13.610000,7.947658,143600
2016-12-19,13.630000,13.660000,13.610000,13.640000,7.965178,123500
2016-12-20,13.640000,13.710000,13.640000,13.680000,7.988530,134600
2016-12-21,13.690000,13.720000,13.660000,13.690000,7.994373,78500
2016-12-22,13.710000,13.730000,13.650000,13.680000,7.988530,131800
2016-12-23,13.710000,13.710000,13.620000,13.660000,7.976853,92900
2016-12-27,13.640000,13.700000,13.640000,13.700000,8.000213,94200
2016-12-28,13.710000,13.720000,13.630000,13.640000,7.965178,114800
2016-12-29,13.650000,13.700000,13.650000,13.700000,8.000213,179100
2016-12-30,13.720000,13.730000,13.620000,13.710000,8.006053,263800
2017-01-03,13.710000,13.740000,13.680000,13.680000,7.988530,174200
2017-01-04,13.660000,13.760000,13.660000,13.760000,8.035252,186200
2017-01-05,13.760000,13.800000,13.680000,13.710000,8.006053,153600
2017-01-06,13.750000,13.880000,13.730000,13.840000,8.081968,141000
2017-01-09,13.840000,13.880000,13.730000,13.780000,8.046927,179200
2017-01-10,13.820000,13.840000,13.750000,13.820000,8.070292,146600
2017-01-11,13.750000,13.770000,13.690000,13.740000,8.072051,207000
2017-01-12,13.700000,13.750000,13.640000,13.700000,8.048551,136900
2017-01-13,13.750000,13.800000,13.750000,13.770000,8.089672,77600
2017-01-17,13.770000,13.770000,13.710000,13.740000,8.072051,150200
2017-01-18,13.780000,13.780000,13.670000,13.760000,8.083802,117700
2017-01-19,13.700000,13.720000,13.630000,13.680000,8.036798,223300
2017-01-20,13.690000,13.740000,13.680000,13.730000,8.066178,118900
2017-01-23,13.740000,13.760000,13.710000,13.750000,8.077927,104000
2017-01-24,13.750000,13.850000,13.740000,13.850000,8.136670,96900
2017-01-25,13.880000,13.970000,13.880000,13.930000,8.183670,223500
2017-01-26,13.950000,13.990000,13.920000,13.990000,8.218923,185800
2017-01-27,14.000000,14.030000,13.920000,13.970000,8.207176,129600
2017-01-30,13.910000,13.930000,13.880000,13.920000,8.177799,154000
2017-01-31,13.890000,13.890000,13.820000,13.890000,8.160174,171700
2017-02-01,13.960000,13.960000,13.860000,13.910000,8.171923,141300
2017-02-02,13.900000,13.910000,13.840000,13.890000,8.160174,150300
2017-02-03,13.910000,13.990000,13.910000,13.960000,8.201298,174100
2017-02-06,13.920000,13.990000,13.910000,13.980000,8.213050,146900
2017-02-07,13.990000,14.040000,13.980000,14.020000,8.236546,167100
2017-02-08,14.000000,14.080000,13.950000,14.070000,8.265919,194800
2017-02-09,14.060000,14.100000,14.050000,14.080000,8.271797,312900
2017-02-10,14.100000,14.190000,14.080000,14.180000,8.330544,128800
2017-02-13,14.140000,14.160000,14.080000,14.080000,8.320498,197800
2017-02-14,14.040000,14.150000,14.040000,14.120000,8.344135,255000
2017-02-15,14.100000,14.250000,14.090000,14.230000,8.409140,201900
2017-02-16,14.210000,14.240000,14.170000,14.200000,8.391411,131000
2017-02-17,14.180000,14.190000,14.120000,14.190000,8.385505,193500
2017-02-21,14.180000,14.230000,14.160000,14.220000,8.403230,210700
2017-02-22,14.220000,14.270000,14.200000,14.270000,8.432780,154200
2017-02-23,14.290000,14.330000,14.230000,14.290000,8.444595,253100
2017-02-24,14.250000,14.320000,14.230000,14.320000,8.462324,124900
2017-02-27,14.280000,14.370000,14.280000,14.320000,8.462324,93000
2017-02-28,14.320000,14.360000,14.260000,14.310000,8.456413,133100
2017-03-01,14.400000,14.560000,14.400000,14.490000,8.562784,266600
2017-03-02,14.510000,14.520000,14.380000,14.390000,8.503688,118200
2017-03-03,14.410000,14.470000,14.380000,14.470000,8.550965,96400
2017-03-06,14.440000,14.470000,14.350000,14.380000,8.497787,223500
2017-03-07,14.360000,14.420000,14.360000,14.390000,8.503688,138500
2017-03-08,14.390000,14.410000,14.330000,14.340000,8.474140,168900
2017-03-09,14.370000,14.400000,14.290000,14.400000,8.509598,301100
2017-03-10,14.450000,14.450000,14.380000,14.430000,8.527328,228800
2017-03-13,14.350000,14.390000,14.310000,14.370000,8.540999,118100
2017-03-14,14.310000,14.320000,14.260000,14.320000,8.511280,110800
2017-03-15,14.350000,14.400000,14.320000,14.400000,8.558831,112900
2017-03-16,14.370000,14.400000,14.350000,14.390000,8.552885,97100
2017-03-17,14.420000,14.420000,14.360000,14.360000,8.535057,73800
2017-03-20,14.360000,14.400000,14.320000,14.320000,8.511280,98200
2017-03-21,14.350000,14.380000,14.200000,14.220000,8.451844,124800
2017-03-22,14.230000,14.240000,14.150000,14.230000,8.457785,154000
2017-03-23,14.250000,14.310000,14.190000,14.190000,8.434013,181000
2017-03-24,14.200000,14.240000,14.130000,14.190000,8.434013,173200
2017-03-27,14.110000,14.160000,14.040000,14.160000,8.416182,152300
2017-03-28,14.140000,14.310000,14.120000,14.280000,8.487504,176600
2017-03-29,14.260000,14.280000,14.230000,14.240000,8.463730,154600
2017-03-30,14.250000,14.310000,14.240000,14.310000,8.505336,130700
2017-03-31,14.290000,14.320000,14.250000,14.320000,8.511280,234200
2017-04-03,14.320000,14.330000,14.220000,14.270000,8.481560,156800
2017-04-04,14.190000,14.240000,14.170000,14.240000,8.463730,165200
2017-04-05,14.260000,14.400000,14.230000,14.240000,8.463730,146800
2017-04-06,14.250000,14.290000,14.230000,14.290000,8.493448,142300
2017-04-07,14.280000,14.340000,14.260000,14.340000,8.523171,186300
2017-04-10,14.340000,14.400000,14.300000,14.400000,8.558831,144100
2017-04-11,14.300000,14.350000,14.250000,14.340000,8.572579,192900
2017-04-12,14.330000,14.330000,14.260000,14.300000,8.548667,102200
2017-04-13,14.280000,14.330000,14.240000,14.280000,8.536709,99700
2017-04-17,14.270000,14.280000,14.230000,14.260000,8.524752,120800
