Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,40.590000,40.770000,39.990002,40.049999,14.440587,630167
2016-01-12,40.259998,40.259998,39.480000,39.869999,14.375687,547200
2016-01-13,39.869999,39.959999,38.459999,38.759998,13.975465,539667
2016-01-14,38.549999,38.820000,37.619999,38.490002,13.878113,560433
2016-01-15,37.709999,37.830002,36.389999,37.380001,13.477888,774533
2016-01-19,37.439999,37.470001,35.639999,35.759998,12.893773,890967
2016-01-20,35.250000,35.400002,32.669998,34.740002,12.525995,1327467
2016-01-21,34.770000,35.610001,34.380001,34.560001,12.461096,745267
2016-01-22,34.830002,36.330002,34.830002,35.880001,12.937038,646567
2016-01-25,35.910000,36.180000,34.650002,34.799999,12.547631,610667
2016-01-26,35.040001,36.209999,34.770000,36.000000,12.980308,534967
2016-01-27,35.910000,36.360001,35.340000,35.669998,12.861320,481133
2016-01-28,36.000000,36.540001,35.549999,35.939999,12.958671,325333
2016-01-29,36.480000,37.169998,36.150002,37.169998,13.402165,804933
2016-02-01,36.509998,37.320000,36.389999,36.750000,13.250732,413367
2016-02-02,36.630001,36.720001,36.029999,36.419998,13.131742,414133
2016-02-03,36.660000,37.169998,36.270000,37.110001,13.380530,532033
2016-02-04,37.049999,37.680000,36.900002,37.320000,13.456251,340500
2016-02-05,37.320000,37.439999,36.840000,36.959999,13.326446,356000
2016-02-08,36.779999,36.840000,35.549999,35.759998,12.893773,555100
2016-02-09,35.459999,35.639999,34.590000,34.799999,12.547631,513933
2016-02-10,35.250000,35.639999,34.590000,35.130001,12.666614,422067
2016-02-11,34.500000,34.680000,33.959999,34.169998,12.320474,510100
2016-02-12,34.200001,35.520000,34.200001,35.189999,12.688249,446967
2016-02-16,35.430000,36.570000,35.400002,36.540001,13.175010,524667
2016-02-17,36.810001,37.619999,36.750000,37.529999,13.531967,797200
2016-02-18,38.549999,39.480000,37.650002,38.040001,13.715858,1358400
2016-02-19,37.680000,38.369999,37.500000,38.189999,13.769945,513133
2016-02-22,38.400002,38.820000,38.310001,38.700001,13.953833,650500
2016-02-23,38.669998,39.000000,38.340000,38.639999,13.932195,331633
2016-02-24,38.400002,38.970001,37.500000,38.759998,13.975465,311667
2016-02-25,38.939999,39.090000,38.639999,39.000000,14.062000,451433
2016-02-26,39.119999,39.930000,39.029999,39.240002,14.148531,378233
2016-02-29,39.240002,39.720001,39.029999,39.090000,14.094448,484667
2016-03-01,39.389999,39.509998,39.029999,39.419998,14.213429,340667
2016-03-02,39.419998,39.750000,39.150002,39.750000,14.332418,383867
2016-03-03,39.990002,40.680000,39.840000,40.650002,14.656927,389133
2016-03-04,41.430000,41.880001,41.099998,41.610001,15.003074,578600
2016-03-07,41.700001,41.849998,41.369999,41.700001,15.035520,590167
2016-03-08,41.700001,41.730000,40.860001,41.130001,14.830001,465367
2016-03-09,41.400002,41.939999,40.919998,41.849998,15.089600,559233
2016-03-10,41.970001,42.000000,41.549999,41.939999,15.122054,580233
2016-03-11,42.000000,42.720001,41.610001,42.660000,15.381659,982133
2016-03-14,42.450001,42.570000,41.549999,42.119999,15.186958,1013567
2016-03-15,41.040001,41.279999,40.349998,40.500000,15.142094,592233
2016-03-16,40.500000,41.279999,40.349998,41.279999,15.433722,433567
2016-03-17,41.279999,42.180000,41.130001,41.669998,15.579529,472333
2016-03-18,41.700001,42.090000,41.400002,41.520000,15.523452,1111067
2016-03-21,41.520000,42.029999,41.400002,41.970001,15.691696,804000
2016-03-22,41.820000,42.150002,41.639999,42.060001,15.725348,339267
2016-03-23,41.910000,42.000000,41.130001,41.189999,15.400068,397867
2016-03-24,40.980000,41.520000,40.650002,41.340000,15.456148,482567
2016-03-28,41.430000,41.549999,41.009998,41.250000,15.422504,761800
2016-03-29,39.840000,40.500000,39.540001,40.349998,15.631700,478767
2016-03-30,40.410000,40.770000,39.959999,40.139999,15.550348,381467
2016-03-31,40.709999,40.860001,40.349998,40.770000,15.794408,481500
2016-04-01,40.619999,40.770000,40.230000,40.619999,15.736298,387100
2016-04-04,40.590000,40.770000,40.410000,40.560001,15.713055,333200
2016-04-05,40.349998,40.709999,40.230000,40.439999,15.666566,472367
2016-04-06,40.500000,40.680000,40.320000,40.680000,15.759543,296100
2016-04-07,40.500000,40.799999,40.380001,40.680000,15.759543,417200
2016-04-08,40.770000,41.099998,40.529999,40.590000,15.724675,223500
2016-04-11,40.619999,41.400002,40.619999,41.189999,15.957114,411400
2016-04-12,41.250000,41.669998,41.189999,41.430000,16.050097,304267
2016-04-13,41.430000,41.700001,41.430000,41.669998,16.143068,235967
2016-04-14,41.669998,41.669998,41.340000,41.490002,16.073338,186467
2016-04-15,41.490002,41.730000,41.369999,41.639999,16.131451,230300
2016-04-18,41.369999,41.880001,41.340000,41.700001,16.154694,225433
2016-04-19,41.790001,42.000000,41.730000,41.939999,16.247669,200200
2016-04-20,41.880001,42.000000,41.610001,41.639999,16.131451,730067
2016-04-21,41.610001,41.880001,41.459999,41.610001,16.119829,444667
2016-04-22,41.580002,42.000000,41.459999,41.669998,16.143068,315700
2016-04-25,41.759998,42.180000,41.610001,42.090000,16.305780,626133
2016-04-26,42.119999,42.299999,41.910000,42.119999,16.317400,321367
2016-04-27,42.060001,42.330002,41.849998,42.299999,16.387133,474067
2016-04-28,42.240002,42.509998,42.000000,42.480000,16.456865,516233
2016-04-29,42.509998,42.599998,42.090000,42.599998,16.503351,588200
2016-05-02,42.750000,42.750000,42.000000,42.150002,16.329025,434800
2016-05-03,42.660000,42.869999,42.209999,42.570000,16.491735,586033
2016-05-04,42.150002,42.660000,41.700001,42.660000,16.526592,512433
2016-05-05,42.689999,43.049999,42.540001,43.049999,16.677685,634633
2016-05-06,43.139999,43.740002,42.959999,43.740002,16.944996,715000
2016-05-09,43.799999,44.400002,43.770000,44.340000,17.177441,635267
2016-05-10,44.250000,44.730000,44.099998,44.700001,17.316902,560700
2016-05-11,44.639999,45.360001,44.490002,45.029999,17.444742,767000
2016-05-12,45.150002,45.299999,44.880001,45.270000,17.537714,507067
2016-05-13,45.299999,45.330002,44.880001,45.150002,17.491230,504133
2016-05-16,45.240002,45.450001,45.150002,45.360001,17.572586,459133
2016-05-17,45.389999,45.750000,44.790001,45.150002,17.491230,721667
2016-05-18,45.330002,45.419998,44.009998,44.700001,17.316902,560533
2016-05-19,44.340000,44.520000,43.500000,44.520000,17.247169,887433
2016-05-20,44.820000,45.060001,44.369999,44.790001,17.351765,577233
2016-05-23,45.029999,45.119999,44.580002,44.820000,17.363392,445500
2016-05-24,45.119999,45.360001,44.639999,44.730000,17.328524,494933
