Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,193.199997,194.100006,165.300003,175.949997,175.949997,150013
2016-01-12,178.199997,190.800003,168.899994,182.100006,182.100006,137313
2016-01-13,183.899994,186.149994,159.300003,160.050003,160.050003,131407
2016-01-14,161.850006,167.850006,144.899994,162.600006,162.600006,202740
2016-01-15,156.600006,167.850006,150.000000,167.100006,167.100006,516613
2016-01-19,175.649994,177.300003,155.550003,157.500000,157.500000,231467
2016-01-20,154.199997,172.350006,148.800003,169.050003,169.050003,203340
2016-01-21,169.800003,182.399994,166.949997,171.449997,171.449997,173113
2016-01-22,175.800003,178.800003,164.100006,169.500000,169.500000,164160
2016-01-25,166.949997,170.550003,160.199997,160.350006,160.350006,162307
2016-01-26,158.850006,160.350006,147.149994,149.850006,149.850006,283707
2016-01-27,150.000000,151.500000,141.149994,144.000000,144.000000,196427
2016-01-28,144.149994,147.149994,126.000000,126.750000,126.750000,297513
2016-01-29,126.750000,130.949997,118.800003,124.500000,124.500000,279067
2016-02-01,125.849998,125.849998,116.250000,122.849998,122.849998,252600
2016-02-02,121.050003,121.650002,108.150002,112.050003,112.050003,321773
2016-02-03,112.949997,115.349998,101.250000,108.599998,108.599998,283907
2016-02-04,106.949997,117.449997,101.550003,110.699997,110.699997,315820
2016-02-05,110.250000,113.099998,100.500000,108.900002,108.900002,496380
2016-02-08,106.349998,107.250000,100.050003,102.599998,102.599998,280380
2016-02-09,99.750000,110.099998,97.500000,104.699997,104.699997,224507
2016-02-10,105.900002,108.750000,96.449997,96.750000,96.750000,281707
2016-02-11,94.800003,103.800003,93.750000,101.099998,101.099998,209847
2016-02-12,102.300003,109.949997,98.550003,108.750000,108.750000,194500
2016-02-16,112.199997,115.949997,107.699997,115.349998,115.349998,248287
2016-02-17,116.400002,118.349998,108.900002,112.349998,112.349998,227887
2016-02-18,112.500000,113.699997,100.949997,105.000000,105.000000,198047
2016-02-19,105.150002,106.199997,101.250000,105.000000,105.000000,142473
2016-02-22,107.400002,109.199997,100.199997,105.150002,105.150002,215140
2016-02-23,105.000000,106.800003,100.349998,100.349998,100.349998,211680
2016-02-24,99.900002,103.650002,93.900002,103.050003,103.050003,295100
2016-02-25,111.599998,115.500000,103.349998,103.650002,103.650002,377993
2016-02-26,105.599998,114.599998,99.449997,114.300003,114.300003,327340
2016-02-29,113.699997,114.750000,102.000000,102.000000,102.000000,261860
2016-03-01,106.650002,115.650002,105.000000,112.500000,112.500000,363707
2016-03-02,112.650002,125.550003,111.449997,124.650002,124.650002,347500
2016-03-03,125.400002,131.250000,122.250000,123.750000,123.750000,217473
2016-03-04,124.650002,127.949997,119.699997,122.849998,122.849998,211453
2016-03-07,56.400002,64.949997,55.500000,56.849998,56.849998,1558467
2016-03-08,58.049999,61.200001,53.549999,55.200001,55.200001,512047
2016-03-09,55.500000,56.849998,51.750000,54.299999,54.299999,304747
2016-03-10,54.000000,56.099998,53.549999,54.150002,54.150002,227267
2016-03-11,55.049999,55.049999,51.299999,52.200001,52.200001,333467
2016-03-14,51.750000,54.750000,51.599998,52.200001,52.200001,313073
2016-03-15,51.750000,52.200001,49.049999,49.200001,49.200001,247633
2016-03-16,48.900002,49.950001,46.799999,48.150002,48.150002,251200
2016-03-17,47.400002,48.450001,44.400002,47.549999,47.549999,224500
2016-03-18,46.950001,48.599998,44.700001,48.450001,48.450001,686440
2016-03-21,48.150002,54.450001,47.849998,54.150002,54.150002,382973
2016-03-22,54.150002,59.849998,53.700001,58.349998,58.349998,329520
2016-03-23,58.500000,60.000000,53.400002,53.549999,53.549999,233347
2016-03-24,53.099998,54.599998,50.400002,52.950001,52.950001,160133
2016-03-28,53.400002,54.299999,51.150002,52.049999,52.049999,94033
2016-03-29,51.900002,55.950001,49.500000,55.650002,55.650002,164360
2016-03-30,55.799999,59.549999,53.849998,54.000000,54.000000,191133
2016-03-31,53.549999,58.049999,52.650002,56.700001,56.700001,198047
2016-04-01,55.650002,59.400002,54.450001,59.250000,59.250000,185860
2016-04-04,59.549999,67.800003,59.250000,65.550003,65.550003,359620
2016-04-05,64.949997,69.750000,63.750000,65.699997,65.699997,253573
2016-04-06,65.849998,73.349998,65.849998,73.349998,73.349998,312600
2016-04-07,73.050003,74.400002,67.500000,70.650002,70.650002,343360
2016-04-08,71.849998,72.750000,66.900002,70.050003,70.050003,210347
2016-04-11,69.900002,71.550003,66.000000,67.349998,67.349998,207493
2016-04-12,67.199997,69.000000,64.800003,68.400002,68.400002,254053
2016-04-13,69.750000,72.300003,67.800003,68.550003,68.550003,266613
2016-04-14,68.849998,71.849998,67.500000,69.000000,69.000000,183440
2016-04-15,69.000000,70.349998,66.750000,69.599998,69.599998,423587
2016-04-18,74.550003,74.550003,65.699997,66.000000,66.000000,370900
2016-04-19,66.750000,67.199997,59.849998,60.000000,60.000000,341853
2016-04-20,60.450001,61.500000,59.250000,60.000000,60.000000,212500
2016-04-21,60.000000,62.849998,59.250000,61.950001,61.950001,268200
2016-04-22,61.650002,63.000000,59.849998,61.049999,61.049999,234913
2016-04-25,61.200001,63.150002,60.299999,60.450001,60.450001,152447
2016-04-26,60.750000,62.099998,58.650002,59.400002,59.400002,276360
2016-04-27,60.299999,62.849998,57.599998,61.200001,61.200001,213953
2016-04-28,59.400002,66.900002,59.250000,62.849998,62.849998,283387
2016-04-29,63.000000,65.699997,59.549999,60.000000,60.000000,218273
2016-05-02,61.349998,63.150002,59.250000,62.250000,62.250000,193933
2016-05-03,61.950001,65.699997,60.450001,61.049999,61.049999,241853
2016-05-04,61.200001,63.150002,57.299999,57.450001,57.450001,245613
2016-05-05,58.500000,59.400002,52.200001,52.349998,52.349998,315340
2016-05-06,52.650002,53.700001,51.000000,52.349998,52.349998,178727
2016-05-09,52.349998,59.400002,51.450001,58.799999,58.799999,266020
2016-05-10,58.950001,60.000000,55.500000,57.299999,57.299999,150327
2016-05-11,57.000000,57.750000,53.099998,53.549999,53.549999,158267
2016-05-12,53.849998,54.900002,51.150002,51.900002,51.900002,192780
2016-05-13,51.750000,57.299999,51.750000,56.099998,56.099998,181800
2016-05-16,55.799999,58.049999,54.750000,57.750000,57.750000,198760
2016-05-17,57.299999,59.099998,55.799999,56.099998,56.099998,190127
2016-05-18,55.650002,59.099998,55.650002,58.950001,58.950001,135473
2016-05-19,58.650002,61.799999,57.750000,58.200001,58.200001,184553
2016-05-20,58.500000,60.450001,57.599998,60.450001,60.450001,202007
2016-05-23,60.750000,67.500000,60.450001,64.050003,64.050003,283600
2016-05-24,64.800003,65.550003,60.900002,63.150002,63.150002,243760
2016-05-25,63.450001,65.699997,62.549999,63.299999,63.299999,182380
2016-05-26,63.750000,64.500000,62.099998,62.549999,62.549999,125153
2016-05-27,62.549999,65.099998,61.349998,64.949997,64.949997,96633
2016-05-31,66.000000,68.849998,65.699997,68.699997,68.699997,191227
2016-06-01,68.250000,69.300003,66.150002,68.250000,68.250000,203140
