Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,8.250000,8.380000,8.100000,8.200000,4.685361,249600
2016-01-12,8.230000,8.350000,7.610000,7.810000,4.462520,345100
2016-01-13,7.950000,8.020000,7.450000,7.550000,4.313959,385000
2016-01-14,7.590000,7.790000,7.260000,7.670000,4.382527,399200
2016-01-15,7.450000,7.450000,6.600000,6.930000,3.959701,342800
2016-01-19,6.840000,7.040000,6.630000,6.730000,4.013372,459500
2016-01-20,6.700000,6.700000,6.010000,6.230000,3.715202,445400
2016-01-21,6.380000,6.720000,6.270000,6.400000,3.816580,403200
2016-01-22,6.490000,6.700000,6.460000,6.600000,3.935848,321900
2016-01-25,6.610000,6.860000,6.500000,6.530000,3.894104,434300
2016-01-26,6.670000,6.890000,6.510000,6.720000,4.007408,378000
2016-01-27,6.790000,6.980000,6.620000,6.780000,4.043189,329600
2016-01-28,7.040000,8.670000,6.770000,8.130000,4.848249,1042900
2016-01-29,8.040000,8.250000,7.160000,7.270000,4.335396,753200
2016-02-01,7.380000,7.490000,7.050000,7.360000,4.389067,310900
2016-02-02,7.180000,7.270000,6.920000,7.210000,4.299616,335600
2016-02-03,7.370000,7.370000,6.950000,7.290000,4.347322,236400
2016-02-04,7.290000,7.700000,7.260000,7.400000,4.412920,188300
2016-02-05,7.420000,7.490000,7.180000,7.220000,4.305578,202800
2016-02-08,7.080000,7.140000,6.670000,6.820000,4.067041,264000
2016-02-09,6.650000,6.660000,6.340000,6.420000,3.828506,313000
2016-02-10,6.400000,6.610000,6.200000,6.480000,3.864286,250800
2016-02-11,6.270000,6.340000,6.030000,6.240000,3.721165,214300
2016-02-12,6.420000,6.700000,6.340000,6.700000,3.995480,195200
2016-02-16,6.850000,7.010000,6.660000,6.830000,4.073006,222400
2016-02-17,7.030000,7.250000,6.830000,7.100000,4.234016,180900
2016-02-18,7.060000,7.080000,6.850000,6.980000,4.162458,231300
2016-02-19,6.950000,7.010000,6.660000,6.910000,4.120713,244600
2016-02-22,6.920000,7.190000,6.920000,7.020000,4.186311,152500
2016-02-23,7.020000,7.050000,6.770000,6.810000,4.061080,179400
2016-02-24,6.740000,6.960000,6.520000,6.940000,4.138603,155000
2016-02-25,6.930000,7.150000,6.680000,7.030000,4.192275,215700
2016-02-26,7.030000,7.310000,7.030000,7.180000,4.281725,176500
2016-02-29,7.340000,7.860000,7.280000,7.430000,4.430809,420600
2016-03-01,7.490000,7.720000,7.360000,7.620000,4.544116,189800
2016-03-02,7.800000,8.400000,7.620000,8.320000,4.961553,415800
2016-03-03,8.360000,8.980000,8.150000,8.930000,5.325322,516000
2016-03-04,9.050000,9.420000,8.750000,9.010000,5.373029,363900
2016-03-07,9.010000,9.420000,8.830000,9.170000,5.468443,265400
2016-03-08,8.990000,9.010000,8.090000,8.220000,4.901920,360700
2016-03-09,8.170000,8.520000,8.070000,8.430000,5.027152,125200
2016-03-10,8.730000,8.730000,8.010000,8.290000,4.943664,174900
2016-03-11,8.310000,8.730000,8.310000,8.720000,5.200089,186800
2016-03-14,8.620000,9.010000,8.530000,8.890000,5.301466,217300
2016-03-15,8.720000,8.740000,8.370000,8.570000,5.110640,147300
2016-03-16,8.520000,9.010000,8.500000,8.970000,5.349174,122300
2016-03-17,8.920000,9.500000,8.920000,9.380000,5.593675,224000
2016-03-18,9.450000,9.550000,9.080000,9.400000,5.605602,330600
2016-03-21,9.370000,9.370000,9.050000,9.110000,5.432662,117100
2016-03-22,9.130000,9.190000,8.780000,9.150000,5.456516,123200
2016-03-23,9.260000,9.300000,8.550000,8.730000,5.206053,185900
