Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,4.640000,4.640000,4.550000,4.550000,2.917059,51900
2016-01-12,4.580000,4.580000,4.520000,4.570000,2.929881,35600
2016-01-13,4.550000,4.600000,4.520000,4.520000,2.897825,67400
2016-01-14,4.530000,4.590000,4.500000,4.580000,2.936291,48600
2016-01-15,4.540000,4.780000,4.540000,4.670000,2.993992,159300
2016-01-19,4.640000,4.740000,4.620000,4.630000,2.983039,108000
2016-01-20,4.680000,4.680000,4.510000,4.580000,2.950824,69900
2016-01-21,4.620000,4.630000,4.560000,4.620000,2.976597,68000
2016-01-22,4.660000,4.750000,4.560000,4.560000,2.937939,111800
2016-01-25,4.550000,4.640000,4.540000,4.550000,2.931497,56300
2016-01-26,4.530000,4.630000,4.530000,4.590000,2.957268,51200
2016-01-27,4.620000,4.650000,4.560000,4.570000,2.944382,66000
2016-01-28,4.600000,4.630000,4.570000,4.590000,2.957268,44900
2016-01-29,4.640000,4.690000,4.630000,4.650000,2.995925,59100
2016-02-01,4.680000,4.740000,4.670000,4.710000,3.034583,90100
2016-02-02,4.750000,4.750000,4.660000,4.710000,3.034583,56900
2016-02-03,4.700000,4.740000,4.670000,4.700000,3.028139,59300
2016-02-04,4.710000,4.720000,4.670000,4.690000,3.021697,25100
2016-02-05,4.700000,4.740000,4.680000,4.720000,3.041025,30000
2016-02-08,4.730000,4.760000,4.700000,4.750000,3.060354,39000
2016-02-09,4.750000,4.800000,4.730000,4.740000,3.053910,65100
2016-02-10,4.780000,4.850000,4.740000,4.770000,3.073239,93800
2016-02-11,4.810000,4.880000,4.720000,4.760000,3.066798,64600
2016-02-12,4.790000,4.840000,4.730000,4.770000,3.073239,33200
2016-02-16,4.740000,4.740000,4.610000,4.650000,3.010441,60900
2016-02-17,4.670000,4.690000,4.620000,4.670000,3.023389,51100
2016-02-18,4.700000,4.700000,4.620000,4.640000,3.003967,65400
2016-02-19,4.620000,4.700000,4.620000,4.690000,3.036336,69600
2016-02-22,4.720000,4.740000,4.680000,4.680000,3.029863,55700
2016-02-23,4.700000,4.790000,4.680000,4.740000,3.068707,45200
2016-02-24,4.780000,4.800000,4.750000,4.800000,3.107551,38800
2016-02-25,4.810000,4.850000,4.790000,4.840000,3.133450,55900
2016-02-26,4.830000,4.870000,4.790000,4.840000,3.133450,75300
2016-02-29,4.870000,4.900000,4.820000,4.880000,3.159344,43700
2016-03-01,4.890000,4.960000,4.850000,4.880000,3.159344,75000
2016-03-02,4.860000,4.860000,4.760000,4.760000,3.081657,106400
2016-03-03,4.780000,4.810000,4.770000,4.770000,3.088129,43900
2016-03-04,4.810000,4.880000,4.770000,4.770000,3.088129,74000
