Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.400000,6.420000,6.250000,6.290000,5.359887,1591300
2016-01-12,6.390000,6.400000,6.240000,6.300000,5.368409,1045900
2016-01-13,6.380000,6.410000,6.140000,6.180000,5.266153,1870900
2016-01-14,6.220000,6.310000,6.130000,6.290000,5.359887,1577600
2016-01-15,5.970000,5.990000,5.880000,5.960000,5.078685,3203800
2016-01-19,5.910000,5.970000,5.860000,5.940000,5.061643,1692000
2016-01-20,5.820000,5.910000,5.670000,5.880000,5.010515,2540500
2016-01-21,5.880000,6.080000,5.840000,6.040000,5.146855,1850800
2016-01-22,6.220000,6.250000,6.010000,6.050000,5.155377,4541000
2016-01-25,5.960000,5.960000,5.760000,5.760000,4.908259,3314000
2016-01-26,5.940000,6.160000,5.920000,6.120000,5.215025,2581500
2016-01-27,6.090000,6.210000,6.070000,6.110000,5.206504,2010200
2016-01-28,6.210000,6.220000,6.010000,6.130000,5.223547,1985100
2016-01-29,6.180000,6.270000,6.120000,6.260000,5.334324,2824300
2016-02-01,6.330000,6.530000,6.270000,6.510000,5.547356,2766700
2016-02-02,6.290000,6.300000,6.120000,6.150000,5.240590,2129300
2016-02-03,6.130000,6.210000,5.940000,6.180000,5.266153,1812600
2016-02-04,5.950000,6.280000,5.940000,6.270000,5.342844,5732400
2016-02-05,6.480000,6.630000,6.480000,6.560000,5.589962,2255400
2016-02-08,6.300000,6.310000,6.160000,6.250000,5.325802,2207100
2016-02-09,6.000000,6.100000,5.910000,5.970000,5.087206,1673000
2016-02-10,6.120000,6.390000,6.070000,6.280000,5.351366,2289400
2016-02-11,6.010000,6.050000,5.840000,5.920000,5.044600,2046300
2016-02-12,6.150000,6.310000,6.090000,6.310000,5.376930,1505800
2016-02-16,6.460000,6.490000,6.280000,6.420000,5.470664,1449300
2016-02-17,6.480000,6.700000,6.460000,6.670000,5.683696,1103800
2016-02-18,6.550000,6.560000,6.430000,6.450000,5.496227,1679500
2016-02-19,6.310000,6.340000,6.240000,6.300000,5.368409,1356700
2016-02-22,6.460000,6.590000,6.460000,6.540000,5.572919,962700
2016-02-23,6.480000,6.510000,6.360000,6.380000,5.436579,437400
2016-02-24,6.230000,6.280000,6.100000,6.260000,5.334324,1598800
2016-02-25,6.440000,6.490000,6.360000,6.460000,5.504749,893700
2016-02-26,6.540000,6.570000,6.470000,6.510000,5.547356,954100
2016-02-29,6.620000,6.700000,6.540000,6.630000,5.649611,762300
2016-03-01,6.650000,6.710000,6.550000,6.690000,5.700739,828200
2016-03-02,6.510000,6.590000,6.470000,6.580000,5.607004,1440600
2016-03-03,6.580000,6.800000,6.560000,6.780000,5.777431,1087000
2016-03-04,6.840000,7.010000,6.810000,6.950000,5.922292,1200500
2016-03-07,6.790000,7.030000,6.780000,7.020000,5.981941,1161400
2016-03-08,6.980000,7.010000,6.770000,6.780000,5.777431,1042800
2016-03-09,6.800000,6.870000,6.710000,6.790000,5.785951,607800
2016-03-10,6.780000,6.870000,6.640000,6.710000,5.717781,1033000
2016-03-11,6.930000,7.010000,6.890000,6.970000,5.939334,737000
2016-03-14,6.970000,7.110000,6.930000,7.060000,6.016026,1110200
2016-03-15,6.960000,6.960000,6.820000,6.900000,5.879685,1044500
2016-03-16,6.740000,6.900000,6.740000,6.890000,5.871164,1384800
2016-03-17,6.800000,6.960000,6.780000,6.930000,5.905249,2381800
2016-03-18,6.850000,6.950000,6.830000,6.930000,5.905249,1064500
2016-03-21,6.970000,6.990000,6.920000,6.960000,5.930813,714100
2016-03-22,6.850000,7.020000,6.840000,6.960000,5.930813,860500
2016-03-23,7.030000,7.040000,6.800000,6.810000,5.802994,2014500
2016-03-24,6.670000,6.800000,6.640000,6.780000,5.777431,663200
2016-03-28,6.780000,6.830000,6.750000,6.790000,5.785951,517600
2016-03-29,6.710000,6.860000,6.680000,6.840000,5.828558,935100
2016-03-30,6.970000,7.100000,6.930000,6.940000,5.913771,1114500
2016-03-31,6.910000,6.940000,6.690000,6.760000,5.760388,1823200
2016-04-01,6.560000,6.610000,6.490000,6.600000,5.624047,1852700
2016-04-04,6.500000,6.510000,6.450000,6.470000,5.513270,552000
2016-04-05,6.390000,6.430000,6.310000,6.330000,5.393973,996200
2016-04-06,6.180000,6.270000,6.110000,6.270000,5.342844,2541200
2016-04-07,6.110000,6.160000,6.030000,6.070000,5.172420,1838000
2016-04-08,6.210000,6.350000,6.210000,6.260000,5.334324,1170000
2016-04-11,6.410000,6.480000,6.390000,6.390000,5.445100,1168900
2016-04-12,6.250000,6.370000,6.170000,6.360000,5.419537,1240800
2016-04-13,6.490000,6.570000,6.450000,6.570000,5.598483,2020700
2016-04-14,6.480000,6.550000,6.450000,6.510000,5.547356,973300
2016-04-15,6.500000,6.560000,6.460000,6.510000,5.547356,1522400
2016-04-18,6.780000,6.890000,6.740000,6.810000,5.802994,1662000
2016-04-19,7.100000,7.300000,7.070000,7.290000,6.212016,3427600
2016-04-20,7.350000,7.540000,7.350000,7.450000,6.348356,1721900
2016-04-21,7.460000,7.500000,7.400000,7.450000,6.348356,954000
2016-04-22,7.310000,7.440000,7.280000,7.410000,6.314271,2084900
2016-04-25,7.190000,7.230000,7.120000,7.180000,6.241254,722500
2016-04-26,7.340000,7.370000,7.270000,7.360000,6.397719,2319200
2016-04-27,7.370000,7.520000,7.370000,7.470000,6.493338,3521500
2016-04-28,7.340000,7.560000,7.310000,7.450000,6.475952,2089100
2016-04-29,7.400000,7.810000,7.400000,7.740000,6.728036,2498200
2016-05-02,7.890000,7.890000,7.690000,7.710000,6.701959,3035300
2016-05-03,7.350000,7.380000,7.250000,7.310000,6.354257,2284600
2016-05-04,7.300000,7.420000,7.220000,7.260000,6.310794,1822600
2016-05-05,7.290000,7.300000,7.150000,7.170000,6.232561,1538400
