Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,51.689999,52.099998,51.090000,51.610001,46.052406,1919100
2016-01-12,51.840000,52.570000,51.320000,52.490002,46.837646,1707400
2016-01-13,53.400002,53.400002,50.200001,50.770000,45.302864,2287200
2016-01-14,50.900002,51.959999,50.450001,51.599998,46.043488,1733500
2016-01-15,49.880001,50.709999,49.250000,49.830002,44.464085,1618500
2016-01-19,50.580002,50.860001,48.889999,49.220001,43.919777,1915300
2016-01-20,48.259998,48.410000,46.490002,47.619999,42.492073,2750900
2016-01-21,47.560001,48.580002,46.230000,48.439999,43.223774,2912900
2016-01-22,49.639999,50.560001,49.439999,49.759998,44.401630,2428900
2016-01-25,49.560001,49.900002,48.889999,49.130001,43.839474,1970300
2016-01-26,49.520000,50.830002,49.389999,50.570000,45.124401,1874400
2016-01-27,51.869999,52.060001,50.200001,50.799999,45.329628,2087600
2016-01-28,51.560001,52.990002,51.130001,52.779999,47.096420,2245500
2016-01-29,53.279999,53.650002,52.730000,53.490002,47.729973,1605900
2016-02-01,52.650002,53.669998,52.110001,53.459999,47.703194,1780900
2016-02-02,52.290001,52.910000,51.750000,52.000000,46.400410,1658700
2016-02-03,52.990002,53.540001,51.779999,53.310001,47.569351,1606300
2016-02-04,53.509998,55.630001,53.500000,55.090000,49.157665,1935700
2016-02-05,54.970001,55.020000,53.040001,53.349998,47.605042,1474700
2016-02-08,52.700001,54.139999,52.380001,53.939999,48.131516,1525000
2016-02-09,53.369999,55.279999,53.349998,55.119999,49.184444,1920900
2016-02-10,55.029999,55.610001,54.169998,54.340000,48.488434,1370400
2016-02-11,52.840000,54.810001,52.529999,54.689999,48.800739,1694800
2016-02-12,54.700001,55.490002,54.610001,55.220001,49.273666,1141700
2016-02-16,55.900002,55.950001,54.599998,55.570000,49.585987,1296100
2016-02-17,55.930000,57.320000,55.700001,57.090000,50.942299,1404400
2016-02-18,57.310001,57.470001,56.480000,57.119999,50.969074,1107100
2016-02-19,56.419998,57.130001,56.220001,57.020000,50.879837,1340500
2016-02-22,57.619999,58.320000,57.330002,57.590000,51.388451,1153700
2016-02-23,57.770000,57.889999,56.700001,56.980000,50.844143,1173000
2016-02-24,56.200001,57.849998,55.270000,57.619999,51.415218,1451700
2016-02-25,57.900002,58.400002,57.349998,58.180000,51.914928,1611800
2016-02-26,58.400002,59.060001,58.330002,58.419998,52.129074,1068200
2016-02-29,58.349998,58.799999,57.759998,57.900002,51.665085,1279300
2016-03-01,58.500000,59.459999,58.480000,59.020000,52.664471,1364900
2016-03-02,58.570000,59.080002,57.509998,57.820000,51.593685,1134500
2016-03-03,58.029999,58.290001,57.570000,57.910000,51.674000,904800
2016-03-04,57.810001,59.340000,57.810001,59.169998,52.798317,830500
2016-03-07,58.660000,60.419998,58.630001,60.090000,53.619247,1151100
2016-03-08,59.580002,59.939999,59.240002,59.509998,53.352077,1057900
2016-03-09,59.790001,60.740002,59.490002,60.369999,54.123096,1138800
2016-03-10,60.580002,60.900002,58.560001,58.959999,52.858994,1166100
2016-03-11,59.700001,60.799999,59.570000,60.369999,54.123096,781000
2016-03-14,59.930000,60.660000,59.849998,60.200001,53.970688,746800
2016-03-15,59.610001,60.529999,59.410000,60.509998,54.248600,1104000
2016-03-16,60.480000,61.150002,60.049999,60.959999,54.652050,1016400
2016-03-17,61.360001,63.130001,61.150002,62.919998,56.409225,1113300
2016-03-18,62.869999,63.299999,62.049999,62.070000,55.647182,1468100
2016-03-21,62.040001,62.700001,61.900002,62.310001,55.862347,998100
2016-03-22,61.750000,61.869999,61.009998,61.099998,54.777565,868300
2016-03-23,60.930000,61.200001,60.220001,60.320000,54.078266,804700
2016-03-24,59.919998,60.820000,59.730000,60.750000,54.463776,682000
2016-03-28,60.830002,60.950001,60.020000,60.919998,54.616177,931700
2016-03-29,60.619999,61.849998,60.360001,61.720001,55.333408,729600
2016-03-30,62.090000,63.200001,62.029999,62.709999,56.220963,774700
