Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,7.360000,7.590000,7.310000,7.470000,7.470000,106900
2016-01-12,7.480000,7.500000,7.240000,7.400000,7.400000,104900
2016-01-13,7.390000,7.420000,6.880000,7.070000,7.070000,96100
2016-01-14,7.040000,7.100000,6.640000,6.740000,6.740000,173300
2016-01-15,6.630000,6.760000,6.220000,6.610000,6.610000,192500
2016-01-19,6.450000,6.810000,6.380000,6.490000,6.490000,178800
2016-01-20,6.440000,6.830000,5.780000,6.790000,6.790000,268000
2016-01-21,6.740000,6.790000,6.650000,6.690000,6.690000,116000
2016-01-22,6.750000,6.770000,6.490000,6.580000,6.580000,64800
2016-01-25,6.610000,6.930000,6.490000,6.550000,6.550000,109100
2016-01-26,6.600000,6.840000,6.410000,6.780000,6.780000,103000
2016-01-27,6.760000,6.880000,6.490000,6.570000,6.570000,71500
2016-01-28,6.570000,6.770000,6.550000,6.660000,6.660000,135400
2016-01-29,6.670000,6.800000,6.560000,6.760000,6.760000,141900
2016-02-01,6.700000,6.830000,6.700000,6.780000,6.780000,89700
2016-02-02,6.780000,6.820000,6.720000,6.800000,6.800000,370300
2016-02-03,6.860000,6.880000,6.750000,6.820000,6.820000,178900
2016-02-04,6.840000,6.840000,6.740000,6.770000,6.770000,41400
2016-02-05,6.800000,6.940000,6.670000,6.770000,6.770000,80100
2016-02-08,6.690000,6.770000,6.410000,6.600000,6.600000,73800
2016-02-09,6.500000,6.800000,6.430000,6.530000,6.530000,59800
2016-02-10,6.530000,6.530000,6.280000,6.320000,6.320000,72500
2016-02-11,6.240000,6.420000,6.160000,6.380000,6.380000,88300
2016-02-12,6.410000,6.640000,6.300000,6.380000,6.380000,63700
2016-02-16,6.340000,6.710000,6.140000,6.430000,6.430000,71600
2016-02-17,6.440000,6.740000,6.280000,6.300000,6.300000,188600
2016-02-18,6.350000,6.550000,6.130000,6.320000,6.320000,110300
2016-02-19,6.370000,6.540000,6.320000,6.420000,6.420000,179600
2016-02-22,6.450000,6.650000,6.420000,6.600000,6.600000,95700
2016-02-23,6.560000,6.780000,6.470000,6.750000,6.750000,119400
2016-02-24,6.780000,6.820000,6.480000,6.690000,6.690000,135100
2016-02-25,6.730000,6.760000,6.560000,6.750000,6.750000,50000
2016-02-26,6.740000,6.790000,6.680000,6.730000,6.730000,89500
2016-02-29,6.700000,6.790000,6.680000,6.730000,6.730000,73300
2016-03-01,6.730000,6.790000,6.720000,6.750000,6.750000,67900
2016-03-02,6.750000,6.800000,6.650000,6.760000,6.760000,73900
2016-03-03,6.780000,6.820000,6.680000,6.740000,6.740000,85000
2016-03-04,6.740000,6.800000,6.490000,6.770000,6.770000,134400
2016-03-07,6.750000,7.250000,6.550000,7.200000,7.200000,194800
2016-03-08,7.150000,7.280000,6.820000,6.940000,6.940000,88200
2016-03-09,6.910000,7.480000,6.830000,7.240000,7.240000,82600
2016-03-10,7.300000,7.430000,6.930000,7.240000,7.240000,161300
2016-03-11,7.000000,7.180000,6.510000,6.830000,6.830000,231300
