Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.316667,6.433333,5.608333,5.833333,5.825243,14731440
2016-01-12,5.925000,5.933333,5.258333,5.583333,5.575590,12710640
2016-01-13,5.641667,5.708333,4.808333,5.041667,5.034675,15466800
2016-01-14,5.025000,5.075000,4.608333,4.683333,4.676838,18808680
2016-01-15,4.425000,4.458333,4.066667,4.158333,4.152565,17532360
2016-01-19,4.225000,4.566667,4.108333,4.291667,4.285715,13916040
2016-01-20,3.966667,4.350000,3.783333,4.225000,4.219141,10678560
2016-01-21,4.200000,5.250000,4.175000,5.033333,5.026352,14402520
2016-01-22,5.183333,5.625000,4.758333,5.133333,5.126214,15594240
2016-01-25,4.916667,5.233333,4.750000,4.766667,4.760056,7802880
2016-01-26,4.883333,5.316667,4.625000,5.208333,5.201110,8776680
2016-01-27,5.158333,5.916667,5.033333,5.600000,5.592233,12059400
2016-01-28,5.925000,5.925000,5.416667,5.625000,5.617199,10479360
2016-01-29,5.958333,7.150000,5.891667,6.616667,6.607490,25970520
2016-02-01,6.366667,7.208333,6.233333,6.991667,6.981970,16435080
2016-02-02,6.633333,6.741667,6.391667,6.508333,6.499307,11865960
2016-02-03,6.641667,7.241667,6.216667,7.066667,7.056867,12927600
2016-02-04,7.166667,7.991667,7.058333,7.341667,7.331485,15689040
2016-02-05,7.166667,8.108333,7.133333,7.583333,7.572816,13885920
2016-02-08,7.400000,7.600000,6.883333,7.125000,7.115119,13014000
2016-02-09,7.083333,7.258333,6.058333,6.275000,6.266297,14320800
2016-02-10,6.833333,6.833333,5.983333,6.008333,6.000000,12927720
2016-02-11,5.783333,6.141667,5.600000,6.116667,6.116667,10133760
2016-02-12,6.291667,6.533333,5.950000,6.491667,6.491667,9057480
2016-02-16,6.591667,6.658333,6.175000,6.575000,6.575000,7511400
2016-02-17,6.666667,7.575000,6.633333,7.391667,7.391667,11171880
2016-02-18,7.516667,7.700000,6.850000,7.025000,7.025000,10691520
2016-02-19,6.900000,7.141667,6.416667,6.558333,6.558333,8204160
2016-02-22,6.758333,7.316667,6.708333,7.250000,7.250000,10006320
2016-02-23,7.341667,7.516667,6.508333,6.591667,6.591667,8571960
2016-02-24,6.383333,6.725000,6.050000,6.600000,6.600000,8982240
2016-02-25,6.558333,6.741667,6.100000,6.375000,6.375000,17272800
2016-02-26,6.575000,6.716667,6.283333,6.533333,6.533333,8670840
2016-02-29,7.125000,7.283333,6.758333,7.191667,7.191667,12799680
2016-03-01,7.383333,7.766667,6.866667,7.541667,7.541667,13070040
2016-03-02,7.400000,7.950000,7.266667,7.875000,7.875000,14427000
2016-03-03,7.875000,8.975000,7.800000,8.583333,8.583333,86523120
2016-03-04,8.775000,9.583333,8.541667,8.816667,8.816667,19338120
2016-03-07,8.933333,9.725000,8.933333,9.716667,9.716667,17217240
2016-03-08,9.500000,9.525000,8.633333,8.716667,8.716667,7998240
2016-03-09,8.875000,9.283333,8.716667,9.191667,9.191667,7025160
2016-03-10,9.075000,9.375000,8.733333,9.241667,9.241667,6987600
2016-03-11,9.600000,10.000000,9.508333,9.750000,9.750000,9418920
2016-03-14,9.583333,10.100000,9.350000,9.900000,9.900000,8114040
2016-03-15,9.508333,9.750000,9.158333,9.625000,9.625000,7724400
2016-03-16,9.408333,9.883333,9.341667,9.691667,9.691667,9752280
2016-03-17,9.883333,10.116667,9.566667,9.916667,9.916667,8022240
2016-03-18,10.016667,10.350000,9.650000,9.783333,9.783333,14757360
2016-03-21,9.775000,10.033333,9.575000,9.725000,9.725000,6132240
2016-03-22,9.600000,10.083333,9.466667,10.025000,10.025000,4605360
2016-03-23,9.866667,10.000000,8.658333,8.700000,8.700000,8421720
2016-03-24,8.558333,9.200000,8.050000,9.116667,9.116667,7643760
2016-03-28,9.091667,9.191667,8.683333,9.100000,9.100000,5527680
2016-03-29,8.750000,9.250000,8.650000,9.216667,9.216667,7269600
2016-03-30,9.391667,9.633333,9.083333,9.466667,9.466667,9113280
2016-03-31,9.475000,9.791667,9.341667,9.408333,9.408333,8500320
2016-04-01,9.050000,9.191667,8.841667,8.991667,8.991667,8530560
2016-04-04,9.116667,9.550000,8.891667,9.116667,9.116667,8182560
2016-04-05,8.958333,9.466667,8.775000,9.116667,9.116667,8040240
2016-04-06,9.141667,9.458333,8.966667,9.233333,9.233333,5682960
2016-04-07,9.183333,9.475000,9.108333,9.233333,9.233333,7694520
2016-04-08,9.575000,10.091667,9.491667,9.883333,9.883333,6156720
2016-04-11,9.983333,10.475000,9.925000,10.400000,10.400000,5987160
2016-04-12,10.550000,11.391667,10.550000,11.275000,11.275000,8643360
2016-04-13,11.383333,11.666667,10.891667,11.441667,11.441667,9302040
2016-04-14,11.508333,11.583333,10.691667,10.766667,10.766667,11188920
2016-04-15,10.625000,10.966667,10.433333,10.658333,10.658333,9086760
2016-04-18,10.333333,11.025000,10.100000,10.766667,10.766667,6089760
2016-04-19,11.041667,11.533333,11.000000,11.108333,11.108333,5655840
2016-04-20,11.133333,12.008333,11.025000,11.525000,11.525000,10615320
2016-04-21,11.725000,11.775000,10.808333,10.883333,10.883333,8884080
2016-04-22,11.091667,11.816667,10.975000,11.300000,11.300000,9087480
2016-04-25,11.333333,11.391667,10.783333,10.916667,10.916667,8925240
2016-04-26,11.058333,11.800000,10.241667,11.800000,11.800000,12009120
2016-04-27,11.908333,13.416667,11.883333,13.075000,13.075000,17073240
2016-04-28,13.066667,13.666667,12.541667,12.633333,12.633333,9479160
2016-04-29,12.875000,13.241667,12.216667,12.541667,12.541667,9243360
2016-05-02,12.583333,12.933333,12.091667,12.850000,12.850000,7125240
2016-05-03,12.508333,12.608333,12.033333,12.183333,12.183333,6054240
2016-05-04,12.341667,13.008333,11.675000,12.150000,12.150000,8606400
2016-05-05,12.791667,12.808333,11.941667,12.225000,12.225000,6901560
2016-05-06,11.891667,12.475000,11.800000,12.408333,12.408333,7323480
2016-05-09,12.075000,12.200000,11.400000,11.500000,11.500000,6572880
2016-05-10,11.675000,12.300000,11.458333,12.283333,12.283333,6387120
2016-05-11,12.091667,13.033333,11.991667,12.691667,12.691667,9285000
2016-05-12,12.916667,12.916667,11.941667,12.008333,12.008333,7921800
2016-05-13,11.866667,12.383333,11.766667,11.933333,11.933333,5152200
2016-05-16,12.141667,12.450000,11.675000,11.700000,11.700000,7422000
2016-05-17,11.883333,12.383333,11.683333,12.066667,12.066667,6810960
2016-05-18,12.000000,12.225000,11.233333,11.250000,11.250000,7819080
2016-05-19,10.966667,11.225000,10.516667,10.975000,10.975000,9301440
2016-05-20,11.008333,11.200000,10.908333,10.975000,10.975000,7311840
2016-05-23,10.883333,11.550000,10.575000,11.250000,11.250000,6108840
2016-05-24,11.375000,11.766667,11.083333,11.658333,11.658333,7647000
2016-05-25,11.725000,12.391667,11.716667,12.358333,12.358333,6156840
2016-05-26,12.491667,12.683333,12.308333,12.516667,12.516667,9466440
2016-05-27,12.433333,13.008333,12.308333,12.375000,12.375000,6389160
2016-05-31,12.416667,13.116667,12.375000,12.800000,12.800000,8627280
2016-06-01,12.658333,12.958333,12.316667,12.916667,12.916667,6358080
2016-06-02,12.625000,12.708333,12.408333,12.591667,12.591667,7797480
2016-06-03,12.758333,13.100000,12.633333,13.050000,13.050000,5337240
2016-06-06,13.075000,13.125000,12.708333,12.858333,12.858333,6630600
2016-06-07,12.916667,13.033333,12.708333,12.800000,12.800000,5669040
2016-06-08,12.991667,13.283333,12.508333,12.558333,12.558333,9568800
2016-06-09,12.350000,12.375000,11.850000,12.216667,12.216667,7493280
2016-06-10,11.975000,12.108333,11.000000,11.150000,11.150000,10425480
2016-06-13,10.966667,11.591667,10.925000,11.358333,11.358333,5756280
2016-06-14,11.191667,11.508333,10.833333,11.066667,11.066667,4938960
2016-06-15,11.066667,11.591667,10.800000,11.250000,11.250000,5312160
2016-06-16,11.150000,11.316667,10.725000,11.250000,11.250000,5690760
2016-06-17,11.416667,12.283333,11.416667,11.916667,11.916667,10417920
2016-06-20,12.325000,12.500000,12.075000,12.291667,12.291667,7666680
2016-06-21,12.191667,12.516667,12.058333,12.425000,12.425000,4761840
2016-06-22,12.525000,12.725000,12.275000,12.283333,12.283333,4949640
2016-06-23,12.491667,12.916667,12.400000,12.908333,12.908333,4683000
2016-06-24,12.308333,12.416667,11.941667,12.150000,12.150000,4954920
2016-06-27,11.925000,11.950000,11.133333,11.358333,11.358333,6615960
2016-06-28,11.783333,12.750000,11.775000,12.633333,12.633333,5544000
2016-06-29,12.875000,13.616667,12.808333,13.258333,13.258333,9618600
2016-06-30,13.325000,13.450000,13.091667,13.408333,13.408333,5582040
2016-07-01,13.166667,13.816667,13.033333,13.666667,13.666667,5014560
2016-07-05,13.275000,13.333333,12.525000,13.183333,13.183333,6749760
2016-07-06,12.991667,13.883333,12.900000,13.808333,13.808333,11376000
2016-07-07,13.966667,14.083333,13.166667,13.300000,13.300000,4745880
2016-07-08,13.525000,13.850000,13.375000,13.533333,13.533333,4493520
2016-07-11,13.641667,13.850000,13.508333,13.641667,13.641667,3553200
2016-07-12,13.916667,14.408333,13.916667,14.150000,14.150000,4194840
2016-07-13,14.200000,14.241667,13.741667,13.925000,13.925000,3244680
2016-07-14,14.166667,14.366667,13.925000,13.966667,13.966667,3534120
2016-07-15,14.025000,14.425000,13.958333,14.325000,14.325000,3874560
2016-07-18,14.133333,14.316667,14.050000,14.141667,14.141667,4640040
2016-07-19,14.066667,14.125000,13.733333,13.841667,13.841667,3815040
2016-07-20,13.675000,14.325000,13.550000,14.216667,14.216667,8429040
2016-07-21,14.391667,14.400000,13.966667,14.133333,14.133333,4215720
2016-07-22,14.183333,14.241667,13.908333,14.200000,14.200000,4573920
2016-07-25,14.091667,14.441667,14.008333,14.308333,14.308333,7386000
2016-07-26,14.225000,15.383333,13.983333,15.291667,15.291667,7702200
