Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,4.740000,4.770000,4.530000,4.610000,4.610000,93900
2016-01-12,4.660000,4.700000,4.260000,4.680000,4.680000,171500
2016-01-13,4.680000,5.000000,4.050000,4.410000,4.410000,135200
2016-01-14,4.410000,4.610000,4.070000,4.160000,4.160000,134700
2016-01-15,4.060000,4.060000,3.750000,3.900000,3.900000,189100
2016-01-19,3.920000,3.950000,3.760000,3.830000,3.830000,84400
2016-01-20,3.770000,4.020000,3.640000,3.870000,3.870000,115000
2016-01-21,4.000000,4.150000,3.920000,4.040000,4.040000,145300
2016-01-22,4.100000,4.310000,3.900000,4.300000,4.300000,109700
2016-01-25,4.320000,4.480000,4.130000,4.170000,4.170000,93800
2016-01-26,4.210000,4.530000,4.180000,4.450000,4.450000,62900
2016-01-27,4.400000,4.560000,4.210000,4.410000,4.410000,96000
2016-01-28,4.450000,4.450000,4.220000,4.290000,4.290000,64300
2016-01-29,4.290000,4.520000,4.290000,4.440000,4.440000,98600
2016-02-01,4.440000,4.510000,4.310000,4.370000,4.370000,58900
2016-02-02,4.350000,4.370000,4.120000,4.130000,4.130000,108100
2016-02-03,4.180000,4.320000,4.010000,4.270000,4.270000,51200
2016-02-04,4.260000,4.490000,4.140000,4.410000,4.410000,38000
2016-02-05,4.420000,4.590000,4.370000,4.430000,4.430000,36600
2016-02-08,4.400000,4.420000,4.180000,4.370000,4.370000,52200
2016-02-09,4.240000,4.300000,3.930000,4.030000,4.030000,109900
2016-02-10,3.830000,4.090000,3.830000,3.970000,3.970000,56300
2016-02-11,3.900000,4.070000,3.900000,3.970000,3.970000,35900
2016-02-12,3.960000,4.050000,3.900000,3.990000,3.990000,68100
2016-02-16,4.010000,4.210000,4.010000,4.140000,4.140000,65800
2016-02-17,4.170000,4.310000,4.160000,4.250000,4.250000,45700
2016-02-18,4.290000,4.420000,4.150000,4.360000,4.360000,27800
2016-02-19,4.370000,4.440000,4.200000,4.310000,4.310000,68000
2016-02-22,4.330000,4.360000,4.260000,4.290000,4.290000,33000
2016-02-23,4.310000,4.320000,4.250000,4.280000,4.280000,82100
2016-02-24,4.310000,4.510000,3.910000,4.370000,4.370000,147000
2016-02-25,4.350000,4.430000,3.980000,4.200000,4.200000,121500
2016-02-26,4.200000,4.330000,4.130000,4.150000,4.150000,70400
2016-02-29,4.120000,4.580000,4.050000,4.390000,4.390000,77300
2016-03-01,4.460000,4.520000,4.340000,4.500000,4.500000,26900
2016-03-02,4.500000,4.770000,4.440000,4.650000,4.650000,51900
2016-03-03,4.680000,4.990000,4.660000,4.710000,4.710000,75100
2016-03-04,4.730000,4.770000,4.550000,4.570000,4.570000,35800
2016-03-07,4.570000,4.650000,4.190000,4.320000,4.320000,60100
2016-03-08,4.330000,4.410000,4.220000,4.340000,4.340000,48000
2016-03-09,4.380000,4.380000,4.270000,4.280000,4.280000,66000
2016-03-10,4.280000,4.340000,4.190000,4.210000,4.210000,35000
2016-03-11,4.250000,4.330000,4.130000,4.140000,4.140000,133900
2016-03-14,4.080000,4.250000,4.030000,4.080000,4.080000,83200
2016-03-15,4.050000,4.210000,3.910000,3.920000,3.920000,109400
2016-03-16,3.860000,4.020000,3.730000,3.810000,3.810000,148200
