Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,74.650002,75.489998,74.370003,74.989998,53.667751,532600
2016-01-12,75.480003,75.769997,74.139999,74.599998,53.388638,519100
2016-01-13,74.750000,75.800003,73.769997,73.809998,52.823261,426600
2016-01-14,74.190002,75.459999,73.129997,73.160004,52.358086,609500
2016-01-15,72.029999,72.699997,71.550003,72.239998,51.699673,831800
2016-01-19,72.769997,73.660004,72.260002,73.309998,52.465427,692900
2016-01-20,73.120003,73.120003,69.760002,70.550003,50.490211,589100
2016-01-21,71.050003,71.639999,70.360001,70.589996,50.518822,615600
2016-01-22,71.300003,72.459999,71.239998,72.150002,51.635269,434100
2016-01-25,71.930000,73.160004,71.500000,71.650002,51.277435,667600
2016-01-26,71.769997,73.779999,71.769997,73.779999,52.801807,634100
2016-01-27,73.440002,74.150002,72.839996,73.680000,52.730228,1013500
2016-01-28,73.430000,74.570000,73.080002,73.720001,52.758850,838200
2016-01-29,73.339996,76.320000,73.339996,76.300003,54.605286,1376500
2016-02-01,75.570000,77.379997,75.269997,76.239998,54.562336,1051000
2016-02-02,76.129997,77.010002,74.959999,75.589996,54.097157,550400
2016-02-03,75.959999,77.059998,75.550003,76.589996,54.812824,865600
2016-02-04,76.230003,77.739998,75.459999,77.230003,55.270859,665400
2016-02-05,77.139999,77.139999,73.839996,73.930000,52.909138,790700
2016-02-08,73.910004,73.910004,71.540001,72.629997,51.978783,877400
2016-02-09,71.830002,73.680000,71.800003,72.650002,51.993099,777700
2016-02-10,72.949997,73.550003,72.580002,72.620003,51.971642,535700
2016-02-11,71.610001,72.099998,71.209999,71.389999,51.091354,537500
2016-02-12,71.879997,73.250000,70.660004,71.709999,51.320366,539600
2016-02-16,72.339996,73.610001,71.970001,73.580002,52.658676,499100
2016-02-17,73.930000,74.529999,72.610001,73.410004,52.537010,510700
2016-02-18,73.410004,74.010002,72.809998,73.680000,52.730228,492900
2016-02-19,73.279999,74.629997,72.790001,73.839996,52.844734,303100
2016-02-22,74.360001,75.389999,74.300003,74.529999,53.338547,371100
2016-02-23,74.449997,75.250000,74.010002,74.330002,53.195408,385300
2016-02-24,73.980003,74.690002,73.330002,73.830002,52.837574,333700
2016-02-25,74.120003,74.690002,73.989998,74.260002,53.145317,652900
2016-02-26,74.209999,75.010002,73.949997,74.279999,53.159645,399200
2016-02-29,74.309998,76.209999,74.309998,74.739998,53.488831,749500
2016-03-01,75.209999,76.790001,75.180000,76.760002,54.934471,487400
2016-03-02,76.709999,78.519997,76.709999,78.430000,56.129635,452700
2016-03-03,78.480003,79.269997,77.839996,79.220001,56.695023,344100
2016-03-04,78.949997,79.220001,78.250000,79.139999,56.637764,407800
2016-03-07,78.690002,79.379997,78.459999,79.059998,56.580509,325700
2016-03-08,79.220001,79.489998,78.610001,79.050003,56.573368,368300
2016-03-09,79.040001,79.589996,78.849998,79.220001,56.695023,294400
2016-03-10,79.680000,79.989998,77.830002,78.750000,56.358658,305100
2016-03-11,79.529999,79.550003,78.750000,79.190002,56.673542,566400
2016-03-14,79.370003,79.970001,79.070000,79.360001,56.795219,477700
